Problem,Optimizer,Run,FinalValue,Iterations,Time,Converged
Sphere_2D,QQN,0,1.335216e0,10,0.004,false
Sphere_2D,QQN,1,1.335216e0,10,0.004,false
Sphere_2D,QQN,2,1.335216e0,10,0.004,false
Sphere_2D,QQN,0,1.335216e0,10,0.002,false
Sphere_2D,QQN,1,1.335216e0,10,0.002,false
Sphere_2D,QQN,2,1.335216e0,10,0.002,false
Sphere_2D,L-BFGS,0,2.000000e0,51,0.004,true
Sphere_2D,L-BFGS,1,2.000000e0,51,0.003,true
Sphere_2D,L-BFGS,2,2.000000e0,51,0.003,true
Sphere_2D,L-BFGS,0,2.000000e0,51,0.003,true
Sphere_2D,L-BFGS,1,2.000000e0,51,0.003,true
Sphere_2D,L-BFGS,2,2.000000e0,51,0.002,true
Rosenbrock_2D,QQN,0,inf,5,0.000,false
Rosenbrock_2D,QQN,1,inf,5,0.000,false
Rosenbrock_2D,QQN,2,inf,5,0.000,false
Rosenbrock_2D,QQN,0,inf,5,0.000,false
Rosenbrock_2D,QQN,1,inf,5,0.000,false
Rosenbrock_2D,QQN,2,inf,5,0.000,false
Rosenbrock_2D,L-BFGS,0,7.018000e2,51,0.003,true
Rosenbrock_2D,L-BFGS,1,7.018000e2,51,0.005,true
Rosenbrock_2D,L-BFGS,2,7.018000e2,51,0.004,true
Rosenbrock_2D,L-BFGS,0,7.018000e2,51,0.002,true
Rosenbrock_2D,L-BFGS,1,7.018000e2,51,0.002,true
Rosenbrock_2D,L-BFGS,2,7.018000e2,51,0.002,true
Beale_2D,QQN,0,2.040041e0,10,0.001,false
Beale_2D,QQN,1,2.040041e0,10,0.001,false
Beale_2D,QQN,2,2.040041e0,10,0.001,false
Beale_2D,QQN,0,2.040041e0,10,0.001,false
Beale_2D,QQN,1,2.040041e0,10,0.001,false
Beale_2D,QQN,2,2.040041e0,10,0.001,false
Beale_2D,L-BFGS,0,1.420312e1,51,0.002,true
Beale_2D,L-BFGS,1,1.420312e1,51,0.002,true
Beale_2D,L-BFGS,2,1.420312e1,51,0.002,true
Beale_2D,L-BFGS,0,1.420312e1,51,0.002,true
Beale_2D,L-BFGS,1,1.420312e1,51,0.002,true
Beale_2D,L-BFGS,2,1.420312e1,51,0.002,true
