Optimizer,MaxEvaluation,ObjectiveValue
Adam-Fast,2,2.354398e0
Adam-Fast,6,2.354398e0
Adam-Fast,10,1.959414e0
Adam-Fast,14,1.607919e0
Adam-Fast,18,1.300937e0
Adam-Fast,22,1.039266e0
Adam-Fast,26,8.234184e-1
Adam-Fast,30,6.535834e-1
Adam-Fast,34,5.296090e-1
Adam-Fast,38,4.510555e-1
Adam-Fast,42,4.173454e-1
Adam-Fast,46,4.278192e-1
Adam-Fast,50,4.794725e-1
Adam-Fast,54,5.501180e-1
Adam-Fast,58,5.907461e-1
Adam-Fast,62,6.012796e-1
Adam-Fast,2,2.038286e0
Adam-Fast,6,2.038286e0
Adam-Fast,10,1.675592e0
Adam-Fast,14,1.356759e0
Adam-Fast,18,1.082911e0
Adam-Fast,22,8.549334e-1
Adam-Fast,26,6.734204e-1
Adam-Fast,30,5.386306e-1
Adam-Fast,34,4.504889e-1
Adam-Fast,38,4.086719e-1
Adam-Fast,42,4.127317e-1
Adam-Fast,46,4.612838e-1
Adam-Fast,50,5.430932e-1
Adam-Fast,54,6.083743e-1
Adam-Fast,58,6.030544e-1
Adam-Fast,2,1.527992e0
Adam-Fast,6,1.527992e0
Adam-Fast,10,1.227043e0
Adam-Fast,14,9.710728e-1
Adam-Fast,18,7.615573e-1
Adam-Fast,22,5.997532e-1
Adam-Fast,26,4.866226e-1
Adam-Fast,30,4.227437e-1
Adam-Fast,34,4.080564e-1
Adam-Fast,38,4.402583e-1
Adam-Fast,42,5.056347e-1
Adam-Fast,46,5.613460e-1
Adam-Fast,50,5.682623e-1
Adam-Fast,54,5.232060e-1
Adam-Fast,2,2.388964e0
Adam-Fast,6,2.388964e0
Adam-Fast,10,1.990482e0
Adam-Fast,14,1.635448e0
Adam-Fast,18,1.324878e0
Adam-Fast,22,1.059559e0
Adam-Fast,26,8.399963e-1
Adam-Fast,30,6.663700e-1
Adam-Fast,34,5.385207e-1
Adam-Fast,38,4.559958e-1
Adam-Fast,42,4.181997e-1
Adam-Fast,46,4.245223e-1
Adam-Fast,50,4.727375e-1
Adam-Fast,54,5.448564e-1
Adam-Fast,58,5.904837e-1
Adam-Fast,62,6.046089e-1
Adam-Fast,2,1.972720e0
Adam-Fast,6,1.972720e0
Adam-Fast,10,1.618644e0
Adam-Fast,14,1.308604e0
Adam-Fast,18,1.043780e0
Adam-Fast,22,8.251184e-1
Adam-Fast,26,6.532753e-1
Adam-Fast,30,5.285733e-1
Adam-Fast,34,4.509944e-1
Adam-Fast,38,4.201708e-1
Adam-Fast,42,4.347374e-1
Adam-Fast,46,4.865510e-1
Adam-Fast,50,5.409544e-1
Adam-Fast,54,5.693551e-1
Adam-Fast,58,5.740003e-1
Adam-Fast,2,2.448853e0
Adam-Fast,6,2.448853e0
Adam-Fast,10,2.044713e0
Adam-Fast,14,1.683969e0
Adam-Fast,18,1.367623e0
Adam-Fast,22,1.096451e0
Adam-Fast,26,8.709493e-1
Adam-Fast,30,6.912936e-1
Adam-Fast,34,5.573189e-1
Adam-Fast,38,4.685635e-1
Adam-Fast,42,4.244108e-1
Adam-Fast,46,4.242366e-1
Adam-Fast,50,4.661238e-1
Adam-Fast,54,5.343615e-1
Adam-Fast,58,5.793858e-1
Adam-Fast,62,5.989473e-1
Adam-Fast,66,5.774246e-1
Adam-Fast,2,1.915038e0
Adam-Fast,6,1.915038e0
Adam-Fast,10,1.567452e0
Adam-Fast,14,1.264000e0
Adam-Fast,18,1.005893e0
Adam-Fast,22,7.941063e-1
Adam-Fast,26,6.293250e-1
Adam-Fast,30,5.118989e-1
Adam-Fast,34,4.418293e-1
Adam-Fast,38,4.187047e-1
Adam-Fast,42,4.406378e-1
Adam-Fast,46,4.963092e-1
Adam-Fast,50,5.465217e-1
Adam-Fast,54,5.718890e-1
Adam-Fast,58,5.659856e-1
Adam-Fast,2,1.807626e0
Adam-Fast,6,1.807626e0
Adam-Fast,10,1.472707e0
Adam-Fast,14,1.182142e0
Adam-Fast,18,9.372071e-1
Adam-Fast,22,7.389503e-1
Adam-Fast,26,5.881272e-1
Adam-Fast,30,4.851500e-1
Adam-Fast,34,4.300359e-1
Adam-Fast,38,4.220725e-1
Adam-Fast,42,4.570066e-1
Adam-Fast,46,5.130487e-1
Adam-Fast,50,5.502141e-1
Adam-Fast,54,5.678570e-1
Adam-Fast,58,5.437474e-1
Adam-Fast,2,1.872560e0
Adam-Fast,6,1.872560e0
Adam-Fast,10,1.529346e0
Adam-Fast,14,1.230316e0
Adam-Fast,18,9.766917e-1
Adam-Fast,22,7.694594e-1
Adam-Fast,26,6.093141e-1
Adam-Fast,30,4.966143e-1
Adam-Fast,34,4.313743e-1
Adam-Fast,38,4.132248e-1
Adam-Fast,42,4.404670e-1
Adam-Fast,46,5.025699e-1
Adam-Fast,50,5.602730e-1
Adam-Fast,54,5.844736e-1
Adam-Fast,58,5.596312e-1
Adam-Fast,2,1.930857e0
Adam-Fast,6,1.930857e0
Adam-Fast,10,1.581892e0
Adam-Fast,14,1.277058e0
Adam-Fast,18,1.017564e0
Adam-Fast,22,8.043884e-1
Adam-Fast,26,6.382195e-1
Adam-Fast,30,5.194101e-1
Adam-Fast,34,4.479579e-1
Adam-Fast,38,4.233997e-1
Adam-Fast,42,4.434947e-1
Adam-Fast,46,4.951727e-1
Adam-Fast,50,5.382226e-1
Adam-Fast,54,5.614305e-1
Adam-Fast,58,5.650872e-1
Adam-Fast,2,1.387192e0
Adam-Fast,6,1.387192e0
Adam-Fast,10,1.104932e0
Adam-Fast,14,8.680675e-1
Adam-Fast,18,6.782177e-1
Adam-Fast,22,5.367934e-1
Adam-Fast,26,4.449112e-1
Adam-Fast,30,4.032622e-1
Adam-Fast,34,4.116393e-1
Adam-Fast,38,4.660115e-1
Adam-Fast,42,5.429911e-1
Adam-Fast,46,5.754771e-1
Adam-Fast,50,5.366362e-1
Adam-Fast,2,2.615927e0
Adam-Fast,6,2.615927e0
Adam-Fast,10,2.194453e0
Adam-Fast,14,1.816169e0
Adam-Fast,18,1.482027e0
Adam-Fast,22,1.192754e0
Adam-Fast,26,9.488015e-1
Adam-Fast,30,7.503075e-1
Adam-Fast,34,5.970631e-1
Adam-Fast,38,4.885301e-1
Adam-Fast,42,4.239417e-1
Adam-Fast,46,4.025587e-1
Adam-Fast,50,4.240906e-1
Adam-Fast,54,4.883705e-1
Adam-Fast,58,5.855390e-1
Adam-Fast,62,6.530569e-1
Adam-Fast,66,6.215554e-1
Adam-Fast,2,1.635615e0
Adam-Fast,6,1.635615e0
Adam-Fast,10,1.319869e0
Adam-Fast,14,1.048745e0
Adam-Fast,18,8.235923e-1
Adam-Fast,22,6.455309e-1
Adam-Fast,26,5.153865e-1
Adam-Fast,30,4.336480e-1
Adam-Fast,34,4.004611e-1
Adam-Fast,38,4.154936e-1
Adam-Fast,42,4.760174e-1
Adam-Fast,46,5.627248e-1
Adam-Fast,50,6.016754e-1
Adam-Fast,54,5.560788e-1
Adam-Fast,2,2.042885e0
Adam-Fast,6,2.042885e0
Adam-Fast,10,1.680426e0
Adam-Fast,14,1.361859e0
Adam-Fast,18,1.088317e0
Adam-Fast,22,8.607022e-1
Adam-Fast,26,6.796226e-1
Adam-Fast,30,5.453546e-1
Adam-Fast,34,4.578407e-1
Adam-Fast,38,4.167519e-1
Adam-Fast,42,4.214164e-1
Adam-Fast,46,4.686467e-1
Adam-Fast,50,5.383043e-1
Adam-Fast,54,5.833265e-1
Adam-Fast,58,5.909163e-1
Adam-Fast,2,2.376020e0
Adam-Fast,6,2.376020e0
Adam-Fast,10,1.977562e0
Adam-Fast,14,1.622516e0
Adam-Fast,18,1.311885e0
Adam-Fast,22,1.046441e0
Adam-Fast,26,8.266719e-1
Adam-Fast,30,6.527396e-1
Adam-Fast,34,5.244563e-1
Adam-Fast,38,4.413268e-1
Adam-Fast,42,4.027074e-1
Adam-Fast,46,4.081462e-1
Adam-Fast,50,4.576409e-1
Adam-Fast,54,5.483041e-1
Adam-Fast,58,6.431972e-1
Adam-Fast,62,6.338711e-1
Adam-Fast,2,2.143624e0
Adam-Fast,6,2.143624e0
Adam-Fast,10,1.774980e0
Adam-Fast,14,1.450312e0
Adam-Fast,18,1.170802e0
Adam-Fast,22,9.374059e-1
Adam-Fast,26,7.508015e-1
Adam-Fast,30,6.113384e-1
Adam-Fast,34,5.189900e-1
Adam-Fast,38,4.730850e-1
Adam-Fast,42,4.700694e-1
Adam-Fast,46,4.912549e-1
Adam-Fast,50,4.959704e-1
Adam-Fast,54,4.919576e-1
Adam-Fast,58,5.086894e-1
