Optimizer,MaxEvaluation,ObjectiveValue,LogObjectiveValue
Adam-Fast,2,4.242688e0,6.276410e-1
Adam-Fast,6,4.242688e0,6.276410e-1
Adam-Fast,10,3.442032e0,5.368148e-1
Adam-Fast,14,2.753066e0,4.398166e-1
Adam-Fast,18,2.179255e0,3.383080e-1
Adam-Fast,22,1.723511e0,2.364142e-1
Adam-Fast,26,1.388018e0,1.423950e-1
Adam-Fast,30,1.174018e0,6.967463e-2
Adam-Fast,34,1.081265e0,3.393226e-2
Adam-Fast,38,1.104639e0,4.322033e-2
Adam-Fast,42,1.214816e0,8.451050e-2
Adam-Fast,46,1.320061e0,1.205941e-1
Adam-Fast,50,1.350460e0,1.304818e-1
Adam-Fast,54,1.321934e0,1.212099e-1
Adam-Fast,2,4.693449e0,6.714921e-1
Adam-Fast,6,4.693449e0,6.714921e-1
Adam-Fast,10,3.838562e0,5.841685e-1
Adam-Fast,14,3.094369e0,4.905722e-1
Adam-Fast,18,2.464016e0,3.916436e-1
Adam-Fast,22,1.950078e0,2.900520e-1
Adam-Fast,26,1.554409e0,1.915652e-1
Adam-Fast,30,1.278008e0,1.065335e-1
Adam-Fast,34,1.120878e0,4.955836e-2
Adam-Fast,38,1.081124e0,3.387554e-2
Adam-Fast,42,1.147730e0,5.983969e-2
Adam-Fast,46,1.266526e0,1.026141e-1
Adam-Fast,50,1.336824e0,1.260742e-1
Adam-Fast,54,1.356011e0,1.322633e-1
Adam-Fast,58,1.358152e0,1.329485e-1
Adam-Fast,2,5.032891e0,7.018175e-1
Adam-Fast,6,5.032891e0,7.018175e-1
Adam-Fast,10,4.138286e0,6.168205e-1
Adam-Fast,14,3.353701e0,5.255243e-1
Adam-Fast,18,2.682072e0,4.284704e-1
Adam-Fast,22,2.125756e0,3.275134e-1
Adam-Fast,26,1.686391e0,2.269583e-1
Adam-Fast,30,1.364779e0,1.350625e-1
Adam-Fast,34,1.160838e0,6.477169e-2
Adam-Fast,38,1.073390e0,3.075762e-2
Adam-Fast,42,1.097506e0,4.040706e-2
Adam-Fast,46,1.207949e0,8.204851e-2
Adam-Fast,50,1.332373e0,1.246258e-1
Adam-Fast,54,1.391419e0,1.434581e-1
Adam-Fast,58,1.402932e0,1.470368e-1
Adam-Fast,2,5.054178e0,7.036505e-1
Adam-Fast,6,5.054178e0,7.036505e-1
Adam-Fast,10,4.151504e0,6.182054e-1
Adam-Fast,14,3.358520e0,5.261480e-1
Adam-Fast,18,2.678043e0,4.278176e-1
Adam-Fast,22,2.112296e0,3.247548e-1
Adam-Fast,26,1.662767e0,2.208314e-1
Adam-Fast,30,1.330106e0,1.238863e-1
Adam-Fast,34,1.114129e0,4.693557e-2
Adam-Fast,38,1.014050e0,6.059231e-3
Adam-Fast,42,1.028875e0,1.236257e-2
Adam-Fast,46,1.155910e0,6.292387e-2
Adam-Fast,50,1.370836e0,1.369855e-1
Adam-Fast,54,1.543693e0,1.885610e-1
Adam-Fast,58,1.504961e0,1.775252e-1
Adam-Fast,2,4.717689e0,6.737293e-1
Adam-Fast,6,4.717689e0,6.737293e-1
Adam-Fast,10,3.860227e0,5.866128e-1
Adam-Fast,14,3.113457e0,4.932429e-1
Adam-Fast,18,2.480535e0,3.945453e-1
Adam-Fast,22,1.964047e0,2.931519e-1
Adam-Fast,26,1.565855e0,1.947515e-1
Adam-Fast,30,1.286921e0,1.095518e-1
Adam-Fast,34,1.126959e0,5.190796e-2
Adam-Fast,38,1.082399e0,3.438758e-2
Adam-Fast,42,1.134588e0,5.483818e-2
Adam-Fast,46,1.224811e0,8.806891e-2
Adam-Fast,50,1.306104e0,1.159776e-1
Adam-Fast,54,1.388565e0,1.425661e-1
Adam-Fast,58,1.396323e0,1.449860e-1
Adam-Fast,2,4.842124e0,6.850359e-1
Adam-Fast,6,4.842124e0,6.850359e-1
Adam-Fast,10,3.972647e0,5.990800e-1
Adam-Fast,14,3.213745e0,5.070114e-1
Adam-Fast,18,2.568541e0,4.096865e-1
Adam-Fast,22,2.039599e0,3.095449e-1
Adam-Fast,26,1.628758e0,2.118566e-1
Adam-Fast,30,1.336953e0,1.261162e-1
Adam-Fast,34,1.163827e0,6.588854e-2
Adam-Fast,38,1.105500e0,4.355871e-2
Adam-Fast,42,1.143009e0,5.804968e-2
Adam-Fast,46,1.227343e0,8.896590e-2
Adam-Fast,50,1.304855e0,1.155622e-1
Adam-Fast,54,1.334449e0,1.253020e-1
Adam-Fast,58,1.353883e0,1.315810e-1
Adam-Fast,2,5.924220e0,7.726312e-1
Adam-Fast,6,5.924220e0,7.726312e-1
Adam-Fast,10,4.936454e0,6.934151e-1
Adam-Fast,14,4.057529e0,6.082616e-1
Adam-Fast,18,3.290057e0,5.172035e-1
Adam-Fast,22,2.636086e0,4.209596e-1
Adam-Fast,26,2.096963e0,3.215909e-1
Adam-Fast,30,1.673233e0,2.235563e-1
Adam-Fast,34,1.364591e0,1.350026e-1
Adam-Fast,38,1.169929e0,6.815959e-2
Adam-Fast,42,1.086955e0,3.621140e-2
Adam-Fast,46,1.107268e0,4.425268e-2
Adam-Fast,50,1.194804e0,7.729656e-2
Adam-Fast,54,1.296673e0,1.128306e-1
Adam-Fast,58,1.394102e0,1.442946e-1
Adam-Fast,62,1.477645e0,1.695702e-1
Adam-Fast,2,6.358174e0,8.033324e-1
Adam-Fast,6,6.358174e0,8.033324e-1
Adam-Fast,10,5.323072e0,7.261624e-1
Adam-Fast,14,4.396161e0,6.430736e-1
Adam-Fast,18,3.579872e0,5.538675e-1
Adam-Fast,22,2.876073e0,4.588000e-1
Adam-Fast,26,2.285942e0,3.590653e-1
Adam-Fast,30,1.809859e0,2.576449e-1
Adam-Fast,34,1.447348e0,1.605729e-1
Adam-Fast,38,1.197137e0,7.814393e-2
Adam-Fast,42,1.057455e0,2.426202e-2
Adam-Fast,46,1.026517e0,1.136635e-2
Adam-Fast,50,1.101567e0,4.201080e-2
Adam-Fast,54,1.264766e0,1.020101e-1
Adam-Fast,58,1.457268e0,1.635393e-1
Adam-Fast,62,1.592845e0,2.021735e-1
Adam-Fast,66,1.510089e0,1.790026e-1
Adam-Fast,2,5.004830e0,6.993893e-1
Adam-Fast,6,5.004830e0,6.993893e-1
Adam-Fast,10,4.116186e0,6.144950e-1
Adam-Fast,14,3.337750e0,5.234539e-1
Adam-Fast,18,2.672527e0,4.269220e-1
Adam-Fast,22,2.122946e0,3.269390e-1
Adam-Fast,26,1.690726e0,2.280732e-1
Adam-Fast,30,1.376742e0,1.388526e-1
Adam-Fast,34,1.180937e0,7.222664e-2
Adam-Fast,38,1.101775e0,4.209306e-2
Adam-Fast,42,1.131461e0,5.363940e-2
Adam-Fast,46,1.231099e0,9.029309e-2
Adam-Fast,50,1.316668e0,1.194764e-1
Adam-Fast,54,1.357856e0,1.328536e-1
Adam-Fast,58,1.354468e0,1.317687e-1
Adam-Fast,2,5.494318e0,7.399138e-1
Adam-Fast,6,5.494318e0,7.399138e-1
Adam-Fast,10,4.549620e0,6.579751e-1
Adam-Fast,14,3.714229e0,5.698686e-1
Adam-Fast,18,2.990874e0,4.757981e-1
Adam-Fast,22,2.381708e0,3.768885e-1
Adam-Fast,26,1.888168e0,2.760407e-1
Adam-Fast,30,1.510874e0,1.792283e-1
Adam-Fast,34,1.249609e0,9.677421e-2
Adam-Fast,38,1.103447e0,4.275144e-2
Adam-Fast,42,1.070642e0,2.964440e-2
Adam-Fast,46,1.144383e0,5.857154e-2
Adam-Fast,50,1.284857e0,1.088547e-1
Adam-Fast,54,1.393661e0,1.441572e-1
Adam-Fast,58,1.429768e0,1.552656e-1
Adam-Fast,62,1.398206e0,1.455712e-1
Adam-Fast,2,4.491768e0,6.524173e-1
Adam-Fast,6,4.491768e0,6.524173e-1
Adam-Fast,10,3.658185e0,5.632657e-1
Adam-Fast,14,2.935584e0,4.676946e-1
Adam-Fast,18,2.327192e0,3.668322e-1
Adam-Fast,22,1.835665e0,2.637935e-1
Adam-Fast,26,1.462929e0,1.652234e-1
Adam-Fast,30,1.210019e0,8.279230e-2
Adam-Fast,34,1.076804e0,3.213659e-2
Adam-Fast,38,1.060314e0,2.543459e-2
Adam-Fast,42,1.144159e0,5.848637e-2
Adam-Fast,46,1.270447e0,1.039567e-1
Adam-Fast,50,1.374597e0,1.381754e-1
Adam-Fast,54,1.423084e0,1.532306e-1
Adam-Fast,58,1.354591e0,1.318081e-1
Adam-Fast,2,5.225862e0,7.181580e-1
Adam-Fast,6,5.225862e0,7.181580e-1
Adam-Fast,10,4.310856e0,6.345635e-1
Adam-Fast,14,3.505617e0,5.447645e-1
Adam-Fast,18,2.813015e0,4.491721e-1
Adam-Fast,22,2.235346e0,3.493447e-1
Adam-Fast,26,1.774187e0,2.489993e-1
Adam-Fast,30,1.430273e0,1.554190e-1
Adam-Fast,34,1.203389e0,8.040620e-2
Adam-Fast,38,1.091865e0,3.816879e-2
Adam-Fast,42,1.088570e0,3.685646e-2
Adam-Fast,46,1.164652e0,6.619614e-2
Adam-Fast,50,1.280550e0,1.073964e-1
Adam-Fast,54,1.403742e0,1.472873e-1
Adam-Fast,58,1.431625e0,1.558293e-1
Adam-Fast,62,1.368058e0,1.361044e-1
Adam-Fast,2,5.592951e0,7.476410e-1
Adam-Fast,6,5.592951e0,7.476410e-1
Adam-Fast,10,4.637134e0,6.662497e-1
Adam-Fast,14,3.790470e0,5.786931e-1
Adam-Fast,18,3.055646e0,4.851031e-1
Adam-Fast,22,2.434774e0,3.864587e-1
Adam-Fast,26,1.929254e0,2.853894e-1
Adam-Fast,30,1.539664e0,1.874261e-1
Adam-Fast,34,1.265738e0,1.023437e-1
Adam-Fast,38,1.106432e0,4.392464e-2
Adam-Fast,42,1.059645e0,2.516046e-2
Adam-Fast,46,1.117417e0,4.821528e-2
Adam-Fast,50,1.243607e0,9.468310e-2
Adam-Fast,54,1.377819e0,1.391921e-1
Adam-Fast,58,1.466694e0,1.663394e-1
Adam-Fast,62,1.448271e0,1.608498e-1
Adam-Fast,2,5.703779e0,7.561627e-1
Adam-Fast,6,5.703779e0,7.561627e-1
Adam-Fast,10,4.738829e0,6.756710e-1
Adam-Fast,14,3.882998e0,5.891672e-1
Adam-Fast,18,3.138974e0,4.967877e-1
Adam-Fast,22,2.508872e0,3.994786e-1
Adam-Fast,26,1.994108e0,2.997486e-1
Adam-Fast,30,1.595283e0,2.028377e-1
Adam-Fast,34,1.312162e0,1.179874e-1
Adam-Fast,38,1.143730e0,5.832353e-2
Adam-Fast,42,1.087754e0,3.653068e-2
Adam-Fast,46,1.134736e0,5.489502e-2
Adam-Fast,50,1.236037e0,9.203133e-2
Adam-Fast,54,1.312294e0,1.180311e-1
Adam-Fast,58,1.394408e0,1.443900e-1
Adam-Fast,62,1.451981e0,1.619609e-1
Adam-Fast,2,4.601936e0,6.629406e-1
Adam-Fast,6,4.601936e0,6.629406e-1
Adam-Fast,10,3.756921e0,5.748321e-1
Adam-Fast,14,3.022740e0,4.804008e-1
Adam-Fast,18,2.402578e0,3.806775e-1
Adam-Fast,22,1.899052e0,2.785368e-1
Adam-Fast,26,1.514053e0,1.801410e-1
Adam-Fast,30,1.248609e0,9.642646e-2
Adam-Fast,34,1.102711e0,4.246176e-2
Adam-Fast,38,1.074206e0,3.108772e-2
Adam-Fast,42,1.150438e0,6.086338e-2
Adam-Fast,46,1.273005e0,1.048301e-1
Adam-Fast,50,1.347816e0,1.296306e-1
Adam-Fast,54,1.373067e0,1.376919e-1
Adam-Fast,58,1.358428e0,1.330367e-1
Adam-Fast,2,4.497697e0,6.529902e-1
Adam-Fast,6,4.497697e0,6.529902e-1
Adam-Fast,10,3.661011e0,5.636011e-1
Adam-Fast,14,2.935129e0,4.676272e-1
Adam-Fast,18,2.323204e0,3.660873e-1
Adam-Fast,22,1.827809e0,2.619308e-1
Adam-Fast,26,1.450784e0,1.616027e-1
Adam-Fast,30,1.193124e0,7.668553e-2
Adam-Fast,34,1.054946e0,2.323014e-2
Adam-Fast,38,1.035228e0,1.503616e-2
Adam-Fast,42,1.128230e0,5.239751e-2
Adam-Fast,46,1.299722e0,1.138505e-1
Adam-Fast,50,1.438352e0,1.578653e-1
Adam-Fast,54,1.440393e0,1.584810e-1
Adam-Fast,58,1.342763e0,1.279993e-1
Adam-Fast,2,5.328301e0,7.265888e-1
Adam-Fast,6,5.328301e0,7.265888e-1
Adam-Fast,10,4.400204e0,6.434729e-1
Adam-Fast,14,3.581609e0,5.540782e-1
Adam-Fast,18,2.875297e0,4.586826e-1
Adam-Fast,22,2.283469e0,3.585951e-1
Adam-Fast,26,1.807609e0,2.571046e-1
Adam-Fast,30,1.448376e0,1.608814e-1
Adam-Fast,34,1.205581e0,8.119647e-2
Adam-Fast,38,1.078267e0,3.272635e-2
Adam-Fast,42,1.064160e0,2.700690e-2
Adam-Fast,46,1.152619e0,6.168562e-2
Adam-Fast,50,1.292459e0,1.114169e-1
Adam-Fast,54,1.403487e0,1.472084e-1
Adam-Fast,58,1.459250e0,1.641296e-1
Adam-Fast,62,1.404627e0,1.475610e-1
Adam-Fast,2,5.549969e0,7.442906e-1
Adam-Fast,6,5.549969e0,7.442906e-1
Adam-Fast,10,4.599571e0,6.627173e-1
Adam-Fast,14,3.758427e0,5.750062e-1
Adam-Fast,18,3.029258e0,4.813363e-1
Adam-Fast,22,2.414208e0,3.827746e-1
Adam-Fast,26,1.914710e0,2.821030e-1
Adam-Fast,30,1.531381e0,1.850833e-1
Adam-Fast,34,1.263989e0,1.017433e-1
Adam-Fast,38,1.111504e0,4.591093e-2
Adam-Fast,42,1.071534e0,3.000603e-2
Adam-Fast,46,1.133655e0,5.448072e-2
Adam-Fast,50,1.250945e0,9.723824e-2
Adam-Fast,54,1.353371e0,1.314167e-1
Adam-Fast,58,1.437445e0,1.575914e-1
Adam-Fast,62,1.448031e0,1.607779e-1
Adam-Fast,2,4.596684e0,6.624447e-1
Adam-Fast,6,4.596684e0,6.624447e-1
Adam-Fast,10,3.751392e0,5.741924e-1
Adam-Fast,14,3.016890e0,4.795595e-1
Adam-Fast,18,2.396348e0,3.795499e-1
Adam-Fast,22,1.892360e0,2.770037e-1
Adam-Fast,26,1.506795e0,1.780542e-1
Adam-Fast,30,1.240666e0,9.365490e-2
Adam-Fast,34,1.093992e0,3.901411e-2
Adam-Fast,38,1.064937e0,2.732382e-2
Adam-Fast,42,1.142776e0,5.796125e-2
Adam-Fast,46,1.274767e0,1.054308e-1
Adam-Fast,50,1.362093e0,1.342068e-1
Adam-Fast,54,1.390677e0,1.432262e-1
Adam-Fast,58,1.363082e0,1.345218e-1
Adam-Fast,2,4.994951e0,6.985312e-1
Adam-Fast,6,4.994951e0,6.985312e-1
Adam-Fast,10,4.114343e0,6.143005e-1
Adam-Fast,14,3.344375e0,5.243149e-1
Adam-Fast,18,2.688220e0,4.294648e-1
Adam-Fast,22,2.148507e0,3.321368e-1
Adam-Fast,26,1.727150e0,2.373300e-1
Adam-Fast,30,1.425140e0,1.538575e-1
Adam-Fast,34,1.241971e0,9.411130e-2
Adam-Fast,38,1.172312e0,6.904338e-2
Adam-Fast,42,1.188213e0,7.489419e-2
Adam-Fast,46,1.214629e0,8.444349e-2
Adam-Fast,50,1.231809e0,9.054323e-2
Adam-Fast,54,1.261848e0,1.010071e-1
Adam-Fast,58,1.293887e0,1.118963e-1
GD,2,4.654861e0,6.679067e-1
GD,5,4.654861e0,6.679067e-1
GD,8,4.490812e0,6.523249e-1
GD,11,4.333614e0,6.368503e-1
GD,14,4.182996e0,6.214874e-1
GD,17,4.038694e0,6.062409e-1
GD,20,3.900456e0,5.911154e-1
GD,23,3.768042e0,5.761157e-1
GD,26,3.641217e0,5.612466e-1
GD,29,3.519759e0,5.465129e-1
GD,32,3.403454e0,5.319198e-1
GD,35,3.292094e0,5.174722e-1
GD,38,3.185483e0,5.031753e-1
GD,41,3.083429e0,4.890340e-1
GD,44,2.985751e0,4.750536e-1
GD,47,2.892272e0,4.612391e-1
GD,50,2.802824e0,4.475958e-1
GD,53,2.717244e0,4.341287e-1
GD,56,2.635378e0,4.208429e-1
GD,59,2.557074e0,4.077433e-1
GD,62,2.482190e0,3.948350e-1
GD,65,2.410587e0,3.821228e-1
GD,68,2.342132e0,3.696115e-1
GD,71,2.276699e0,3.573055e-1
GD,74,2.214163e0,3.452095e-1
GD,77,2.154407e0,3.333278e-1
GD,80,2.097319e0,3.216644e-1
GD,83,2.042788e0,3.102233e-1
GD,86,1.990711e0,2.990082e-1
GD,89,1.940987e0,2.880225e-1
GD,92,1.893519e0,2.772696e-1
GD,95,1.848214e0,2.667523e-1
GD,98,1.804983e0,2.564732e-1
GD,101,1.763741e0,2.464348e-1
GD,104,1.724404e0,2.366390e-1
GD,107,1.686894e0,2.270877e-1
GD,110,1.651133e0,2.177821e-1
GD,113,1.617050e0,2.087234e-1
GD,116,1.584573e0,1.999121e-1
GD,119,1.553634e0,1.913487e-1
GD,122,1.524169e0,1.830331e-1
GD,125,1.496115e0,1.749648e-1
GD,128,1.469411e0,1.671433e-1
GD,131,1.444000e0,1.595673e-1
GD,134,1.419827e0,1.522353e-1
GD,137,1.396837e0,1.451457e-1
GD,140,1.374980e0,1.382963e-1
GD,143,1.354205e0,1.316845e-1
GD,146,1.334466e0,1.253076e-1
GD,149,1.315717e0,1.191626e-1
GD,152,1.297914e0,1.132461e-1
GD,155,1.281015e0,1.075543e-1
GD,158,1.264980e0,1.020835e-1
GD,161,1.249768e0,9.682953e-2
GD,164,1.235344e0,9.178799e-2
GD,167,1.221671e0,8.695436e-2
GD,170,1.208715e0,8.232391e-2
GD,173,1.196442e0,7.789177e-2
GD,176,1.184821e0,7.365292e-2
GD,179,1.173822e0,6.960220e-2
GD,182,1.163414e0,6.573437e-2
GD,185,1.153570e0,6.204413e-2
GD,188,1.144264e0,5.852607e-2
GD,191,1.135468e0,5.517479e-2
GD,194,1.127158e0,5.198482e-2
GD,197,1.119311e0,4.895070e-2
GD,200,1.111903e0,4.606699e-2
GD,203,1.104913e0,4.332826e-2
GD,206,1.098321e0,4.072912e-2
GD,209,1.092105e0,3.826422e-2
GD,212,1.086246e0,3.592829e-2
GD,215,1.080727e0,3.371612e-2
GD,218,1.075530e0,3.162261e-2
GD,221,1.070638e0,2.964272e-2
GD,224,1.066035e0,2.777153e-2
GD,227,1.061706e0,2.600423e-2
GD,230,1.057636e0,2.433613e-2
GD,233,1.053811e0,2.276266e-2
GD,236,1.050218e0,2.127937e-2
GD,239,1.046844e0,1.988194e-2
GD,242,1.043677e0,1.856619e-2
GD,245,1.040706e0,1.732807e-2
GD,248,1.037920e0,1.616368e-2
GD,251,1.035307e0,1.506924e-2
GD,254,1.032859e0,1.404113e-2
GD,257,1.030566e0,1.307583e-2
GD,260,1.028419e0,1.217001e-2
GD,263,1.026409e0,1.132044e-2
GD,266,1.024528e0,1.052402e-2
GD,269,1.022770e0,9.777817e-3
GD,272,1.021125e0,9.078994e-3
GD,275,1.019588e0,8.424857e-3
GD,278,1.018153e0,7.812836e-3
GD,281,1.016812e0,7.240480e-3
GD,284,1.015560e0,6.705457e-3
