Optimizer,MaxEvaluation,ObjectiveValue
QQN-GoldenSection,2,1.180924e1
QQN-GoldenSection,53,1.180924e1
QQN-GoldenSection,103,3.367747e0
QQN-GoldenSection,151,1.053358e0
QQN-GoldenSection,202,4.677944e-1
QQN-GoldenSection,253,1.178034e-1
QQN-GoldenSection,311,9.758387e-2
QQN-GoldenSection,359,3.488380e-2
QQN-GoldenSection,407,8.295606e-3
QQN-GoldenSection,455,1.836446e-3
QQN-GoldenSection,503,3.455422e-4
QQN-GoldenSection,551,6.600461e-6
QQN-GoldenSection,599,4.080543e-8
QQN-GoldenSection,647,8.280208e-10
QQN-GoldenSection,695,4.516133e-12
QQN-GoldenSection,699,7.875960e-15
QQN-GoldenSection,2,1.169642e1
QQN-GoldenSection,53,1.169642e1
QQN-GoldenSection,103,3.000413e0
QQN-GoldenSection,151,9.212822e-1
QQN-GoldenSection,202,4.222595e-1
QQN-GoldenSection,253,1.143488e-1
QQN-GoldenSection,311,9.508318e-2
QQN-GoldenSection,359,3.307044e-2
QQN-GoldenSection,407,7.876540e-3
QQN-GoldenSection,455,1.721848e-3
QQN-GoldenSection,503,3.198010e-4
QQN-GoldenSection,551,4.966695e-6
QQN-GoldenSection,599,2.838215e-8
QQN-GoldenSection,647,5.603128e-10
QQN-GoldenSection,695,2.359649e-12
QQN-GoldenSection,699,3.777191e-15
QQN-GoldenSection,2,1.116783e1
QQN-GoldenSection,52,1.116783e1
QQN-GoldenSection,102,3.874088e0
QQN-GoldenSection,151,1.519508e0
QQN-GoldenSection,201,5.580330e-1
QQN-GoldenSection,251,8.848179e-2
QQN-GoldenSection,299,7.539770e-2
QQN-GoldenSection,347,6.543107e-2
QQN-GoldenSection,395,5.710130e-2
QQN-GoldenSection,443,5.045335e-2
QQN-GoldenSection,491,4.471995e-2
QQN-GoldenSection,539,3.997836e-2
QQN-GoldenSection,588,3.577639e-2
QQN-GoldenSection,636,3.219227e-2
QQN-GoldenSection,685,2.892188e-2
QQN-GoldenSection,733,2.603458e-2
QQN-GoldenSection,782,2.332726e-2
QQN-GoldenSection,844,2.082139e-2
QQN-GoldenSection,892,6.283756e-3
QQN-GoldenSection,940,9.028749e-4
QQN-GoldenSection,988,6.133893e-5
QQN-GoldenSection,1036,1.895266e-6
QQN-GoldenSection,2,1.459194e1
QQN-GoldenSection,53,1.459194e1
QQN-GoldenSection,103,4.662195e0
QQN-GoldenSection,151,1.273666e0
QQN-GoldenSection,200,5.931710e-1
QQN-GoldenSection,249,3.031678e-1
QQN-GoldenSection,299,1.824610e-1
QQN-GoldenSection,357,4.932718e-2
QQN-GoldenSection,405,1.639742e-2
QQN-GoldenSection,453,2.586149e-3
QQN-GoldenSection,501,3.133727e-4
QQN-GoldenSection,549,3.966186e-5
QQN-GoldenSection,597,4.727386e-7
QQN-GoldenSection,645,5.081486e-10
QQN-GoldenSection,693,2.011120e-14
QQN-GoldenSection,697,1.013270e-18
QQN-GoldenSection,2,2.089635e1
QQN-GoldenSection,54,2.089635e1
QQN-GoldenSection,104,4.193474e0
QQN-GoldenSection,152,1.072108e0
QQN-GoldenSection,201,5.362873e-1
QQN-GoldenSection,250,3.135489e-1
QQN-GoldenSection,298,2.082103e-1
QQN-GoldenSection,347,1.457153e-1
QQN-GoldenSection,408,1.050119e-1
QQN-GoldenSection,456,3.102152e-2
QQN-GoldenSection,504,7.614153e-3
QQN-GoldenSection,552,1.884077e-3
QQN-GoldenSection,600,1.300628e-4
QQN-GoldenSection,648,3.908322e-6
QQN-GoldenSection,696,1.067168e-8
QQN-GoldenSection,744,4.048360e-12
QQN-GoldenSection,748,3.456122e-15
QQN-GoldenSection,2,1.585142e1
QQN-GoldenSection,53,1.585142e1
QQN-GoldenSection,103,6.044682e0
QQN-GoldenSection,151,1.272222e0
QQN-GoldenSection,200,6.055565e-1
QQN-GoldenSection,249,3.278677e-1
QQN-GoldenSection,310,2.076196e-1
QQN-GoldenSection,358,6.412989e-2
QQN-GoldenSection,406,1.852555e-2
QQN-GoldenSection,454,5.513786e-3
QQN-GoldenSection,502,1.012094e-3
QQN-GoldenSection,550,9.576700e-5
QQN-GoldenSection,598,1.930078e-6
QQN-GoldenSection,646,3.846433e-9
QQN-GoldenSection,694,4.113990e-12
QQN-GoldenSection,698,6.149392e-16
QQN-GoldenSection,2,1.137936e1
QQN-GoldenSection,53,1.137936e1
QQN-GoldenSection,103,2.908226e0
QQN-GoldenSection,151,8.917747e-1
QQN-GoldenSection,202,4.060790e-1
QQN-GoldenSection,253,1.106126e-1
QQN-GoldenSection,311,9.232811e-2
QQN-GoldenSection,359,3.198983e-2
QQN-GoldenSection,407,7.572362e-3
QQN-GoldenSection,455,1.626731e-3
QQN-GoldenSection,503,3.047007e-4
QQN-GoldenSection,551,5.209492e-6
QQN-GoldenSection,599,2.566116e-8
QQN-GoldenSection,647,3.963233e-10
QQN-GoldenSection,695,2.869814e-12
QQN-GoldenSection,699,3.905721e-15
QQN-GoldenSection,2,1.289161e1
QQN-GoldenSection,53,1.289161e1
QQN-GoldenSection,103,3.000371e0
QQN-GoldenSection,151,9.189976e-1
QQN-GoldenSection,202,4.396888e-1
QQN-GoldenSection,253,1.231050e-1
