Optimizer,MaxEvaluation,ObjectiveValue,LogObjectiveValue
QQN-GoldenSection,2,1.180924e1,1.072222e0
QQN-GoldenSection,53,1.180924e1,1.072222e0
QQN-GoldenSection,103,3.367747e0,5.273394e-1
QQN-GoldenSection,151,1.053358e0,2.257589e-2
QQN-GoldenSection,202,4.677944e-1,-3.299450e-1
QQN-GoldenSection,253,1.178034e-1,-9.288423e-1
QQN-GoldenSection,311,9.758387e-2,-1.010622e0
QQN-GoldenSection,359,3.488380e-2,-1.457376e0
QQN-GoldenSection,407,8.295606e-3,-2.081152e0
QQN-GoldenSection,455,1.836446e-3,-2.736022e0
QQN-GoldenSection,503,3.455422e-4,-3.461499e0
QQN-GoldenSection,551,6.600461e-6,-5.180426e0
QQN-GoldenSection,599,4.080543e-8,-7.389282e0
QQN-GoldenSection,647,8.280208e-10,-9.081959e0
QQN-GoldenSection,695,4.516133e-12,-1.134523e1
QQN-GoldenSection,699,7.875960e-15,-1.410370e1
QQN-GoldenSection,2,1.169642e1,1.068053e0
QQN-GoldenSection,53,1.169642e1,1.068053e0
QQN-GoldenSection,103,3.000413e0,4.771810e-1
QQN-GoldenSection,151,9.212822e-1,-3.560732e-2
QQN-GoldenSection,202,4.222595e-1,-3.744206e-1
QQN-GoldenSection,253,1.143488e-1,-9.417682e-1
QQN-GoldenSection,311,9.508318e-2,-1.021896e0
QQN-GoldenSection,359,3.307044e-2,-1.480560e0
QQN-GoldenSection,407,7.876540e-3,-2.103665e0
QQN-GoldenSection,455,1.721848e-3,-2.764005e0
QQN-GoldenSection,503,3.198010e-4,-3.495120e0
QQN-GoldenSection,551,4.966695e-6,-5.303932e0
QQN-GoldenSection,599,2.838215e-8,-7.546955e0
QQN-GoldenSection,647,5.603128e-10,-9.251569e0
QQN-GoldenSection,695,2.359649e-12,-1.162715e1
QQN-GoldenSection,699,3.777191e-15,-1.442283e1
QQN-GoldenSection,2,1.116783e1,1.047969e0
QQN-GoldenSection,52,1.116783e1,1.047969e0
QQN-GoldenSection,102,3.874088e0,5.881694e-1
QQN-GoldenSection,151,1.519508e0,1.817029e-1
QQN-GoldenSection,201,5.580330e-1,-2.533401e-1
QQN-GoldenSection,251,8.848179e-2,-1.053146e0
QQN-GoldenSection,299,7.539770e-2,-1.122642e0
QQN-GoldenSection,347,6.543107e-2,-1.184216e0
QQN-GoldenSection,395,5.710130e-2,-1.243354e0
QQN-GoldenSection,443,5.045335e-2,-1.297110e0
QQN-GoldenSection,491,4.471995e-2,-1.349499e0
QQN-GoldenSection,539,3.997836e-2,-1.398175e0
QQN-GoldenSection,588,3.577639e-2,-1.446404e0
