Optimizer,MaxEvaluation,ObjectiveValue,LogObjectiveValue
QQN-GoldenSection,2,7.271742e1,1.861638e0
QQN-GoldenSection,53,7.271742e1,1.861638e0
QQN-GoldenSection,102,1.441083e0,1.586891e-1
QQN-GoldenSection,153,2.855843e-2,-1.544266e0
QQN-GoldenSection,212,5.386761e-4,-3.268672e0
QQN-GoldenSection,260,9.197831e-11,-1.003631e1
QQN-GoldenSection,264,5.219893e-27,-1.500000e1
QQN-GoldenSection,2,7.132617e1,1.853249e0
QQN-GoldenSection,53,7.132617e1,1.853249e0
QQN-GoldenSection,102,1.101805e0,4.210478e-2
QQN-GoldenSection,153,1.701838e-2,-1.769082e0
QQN-GoldenSection,212,2.496956e-4,-3.602589e0
QQN-GoldenSection,260,1.566234e-11,-1.080514e1
QQN-GoldenSection,264,3.321104e-28,-1.500000e1
QQN-GoldenSection,2,7.440377e1,1.871595e0
QQN-GoldenSection,53,7.440377e1,1.871595e0
QQN-GoldenSection,102,1.188037e0,7.483007e-2
QQN-GoldenSection,153,1.897068e-2,-1.721917e0
QQN-GoldenSection,212,2.878223e-4,-3.540876e0
QQN-GoldenSection,260,2.063342e-11,-1.068543e1
QQN-GoldenSection,264,5.111819e-28,-1.500000e1
QQN-GoldenSection,2,7.481398e1,1.873983e0
QQN-GoldenSection,53,7.481398e1,1.873983e0
QQN-GoldenSection,102,1.501191e0,1.764359e-1
QQN-GoldenSection,153,3.012736e-2,-1.521039e0
QQN-GoldenSection,212,5.755505e-4,-3.239917e0
QQN-GoldenSection,260,1.033882e-10,-9.985529e0
QQN-GoldenSection,264,6.166526e-27,-1.500000e1
QQN-GoldenSection,2,7.146865e1,1.854116e0
QQN-GoldenSection,53,7.146865e1,1.854116e0
QQN-GoldenSection,102,1.145922e0,5.915511e-2
QQN-GoldenSection,153,1.837601e-2,-1.735749e0
QQN-GoldenSection,212,2.799963e-4,-3.552848e0
QQN-GoldenSection,260,2.041753e-11,-1.069000e1
QQN-GoldenSection,264,4.835717e-28,-1.500000e1
QQN-GoldenSection,2,6.226161e1,1.794220e0
QQN-GoldenSection,53,6.226161e1,1.794220e0
QQN-GoldenSection,102,1.537476e0,1.868083e-1
QQN-GoldenSection,153,3.797087e-2,-1.420550e0
QQN-GoldenSection,212,8.944221e-4,-3.048457e0
QQN-GoldenSection,260,3.701259e-10,-9.431651e0
QQN-GoldenSection,264,5.059123e-26,-1.500000e1
QQN-GoldenSection,2,8.203719e1,1.914011e0
QQN-GoldenSection,53,8.203719e1,1.914011e0
QQN-GoldenSection,102,1.687425e0,2.272244e-1
QQN-GoldenSection,153,3.470306e-2,-1.459632e0
QQN-GoldenSection,212,6.795092e-4,-3.167805e0
QQN-GoldenSection,260,1.346708e-10,-9.870726e0
QQN-GoldenSection,264,8.766611e-27,-1.500000e1
QQN-GoldenSection,2,7.796544e1,1.891902e0
QQN-GoldenSection,53,7.796544e1,1.891902e0
QQN-GoldenSection,102,1.637786e0,2.142571e-1
QQN-GoldenSection,153,3.440708e-2,-1.463352e0
QQN-GoldenSection,212,6.883574e-4,-3.162186e0
QQN-GoldenSection,260,1.486177e-10,-9.827929e0
QQN-GoldenSection,264,1.061491e-26,-1.500000e1
QQN-GoldenSection,2,7.408924e1,1.869755e0
QQN-GoldenSection,53,7.408924e1,1.869755e0
QQN-GoldenSection,102,1.132343e0,5.397807e-2
QQN-GoldenSection,153,1.730570e-2,-1.761811e0
QQN-GoldenSection,212,2.512194e-4,-3.599947e0
QQN-GoldenSection,260,1.510118e-11,-1.082099e1
QQN-GoldenSection,264,3.092335e-28,-1.500000e1
QQN-GoldenSection,2,7.442593e1,1.871724e0
QQN-GoldenSection,53,7.442593e1,1.871724e0
QQN-GoldenSection,102,1.449119e0,1.611040e-1
QQN-GoldenSection,153,2.821416e-2,-1.549533e0
QQN-GoldenSection,212,5.227702e-4,-3.281689e0
QQN-GoldenSection,260,8.313558e-11,-1.008021e1
QQN-GoldenSection,264,4.433398e-27,-1.500000e1
QQN-GoldenSection,2,7.697996e1,1.886378e0
QQN-GoldenSection,53,7.697996e1,1.886378e0
QQN-GoldenSection,102,1.825376e0,2.613524e-1
QQN-GoldenSection,153,4.328670e-2,-1.363646e0
QQN-GoldenSection,212,9.786639e-4,-3.009366e0
QQN-GoldenSection,260,3.439344e-10,-9.463524e0
QQN-GoldenSection,264,3.991163e-26,-1.500000e1
QQN-GoldenSection,2,7.427896e1,1.870866e0
QQN-GoldenSection,53,7.427896e1,1.870866e0
QQN-GoldenSection,102,1.486186e0,1.720730e-1
QQN-GoldenSection,153,2.973485e-2,-1.526734e0
QQN-GoldenSection,212,5.663010e-4,-3.246953e0
QQN-GoldenSection,260,1.004794e-10,-9.997923e0
QQN-GoldenSection,264,6.071074e-27,-1.500000e1
QQN-GoldenSection,2,7.262002e1,1.861056e0
QQN-GoldenSection,53,7.262002e1,1.861056e0
QQN-GoldenSection,102,1.555075e0,1.917513e-1
QQN-GoldenSection,153,3.330017e-2,-1.477554e0
QQN-GoldenSection,212,6.791872e-4,-3.168010e0
QQN-GoldenSection,260,1.583577e-10,-9.800361e0
QQN-GoldenSection,264,1.222419e-26,-1.500000e1
QQN-GoldenSection,2,6.265137e1,1.796931e0
QQN-GoldenSection,53,6.265137e1,1.796931e0
QQN-GoldenSection,102,1.680752e0,2.255037e-1
QQN-GoldenSection,153,4.509154e-2,-1.345905e0
QQN-GoldenSection,212,1.154785e-3,-2.937499e0
QQN-GoldenSection,260,6.667460e-10,-9.176040e0
QQN-GoldenSection,264,1.237944e-25,-1.500000e1
QQN-GoldenSection,2,6.816589e1,1.833567e0
QQN-GoldenSection,53,6.816589e1,1.833567e0
QQN-GoldenSection,102,1.670080e0,2.227373e-1
QQN-GoldenSection,153,4.091500e-2,-1.388117e0
QQN-GoldenSection,212,9.559639e-4,-3.019558e0
QQN-GoldenSection,260,3.829831e-10,-9.416820e0
QQN-GoldenSection,264,5.030172e-26,-1.500000e1
QQN-GoldenSection,2,8.363377e1,1.922382e0
QQN-GoldenSection,53,8.363377e1,1.922382e0
QQN-GoldenSection,102,1.808773e0,2.573841e-1
QQN-GoldenSection,153,3.912225e-2,-1.407576e0
QQN-GoldenSection,212,8.060270e-4,-3.093650e0
QQN-GoldenSection,260,1.956455e-10,-9.708530e0
QQN-GoldenSection,264,1.594525e-26,-1.500000e1
QQN-GoldenSection,2,6.636874e1,1.821964e0
QQN-GoldenSection,53,6.636874e1,1.821964e0
QQN-GoldenSection,102,1.546656e0,1.893937e-1
QQN-GoldenSection,153,3.604164e-2,-1.443195e0
QQN-GoldenSection,212,8.006005e-4,-3.096584e0
QQN-GoldenSection,260,2.622548e-10,-9.581277e0
QQN-GoldenSection,264,2.813788e-26,-1.500000e1
QQN-GoldenSection,2,7.316512e1,1.864304e0
QQN-GoldenSection,53,7.316512e1,1.864304e0
QQN-GoldenSection,102,1.029015e0,1.242180e-2
QQN-GoldenSection,153,1.447175e-2,-1.839479e0
QQN-GoldenSection,212,1.932054e-4,-3.713981e0
QQN-GoldenSection,260,8.316633e-12,-1.108005e1
QQN-GoldenSection,264,1.277955e-28,-1.500000e1
QQN-GoldenSection,2,6.860345e1,1.836346e0
QQN-GoldenSection,53,6.860345e1,1.836346e0
QQN-GoldenSection,102,1.195679e0,7.761477e-2
QQN-GoldenSection,153,2.083998e-2,-1.681103e0
QQN-GoldenSection,212,3.453515e-4,-3.461739e0
QQN-GoldenSection,260,3.519662e-11,-1.045350e1
QQN-GoldenSection,264,1.151737e-27,-1.500000e1
QQN-GoldenSection,2,7.085963e1,1.850399e0
QQN-GoldenSection,53,7.085963e1,1.850399e0
QQN-GoldenSection,102,1.564029e0,1.942448e-1
QQN-GoldenSection,153,3.452323e-2,-1.461889e0
QQN-GoldenSection,212,7.260207e-4,-3.139051e0
QQN-GoldenSection,260,1.912340e-10,-9.718435e0
QQN-GoldenSection,264,1.707884e-26,-1.500000e1
QQN-Bisection-1,2,6.986737e1,1.844274e0
QQN-Bisection-1,69,6.986737e1,1.844274e0
QQN-Bisection-1,140,1.598609e0,2.037424e-1
QQN-Bisection-1,211,1.023110e0,9.922341e-3
QQN-Bisection-1,282,6.683214e-1,-1.750146e-1
QQN-Bisection-1,322,4.360469e-1,-3.604668e-1
QQN-Bisection-1,343,3.482182e-1,-4.581486e-1
QQN-Bisection-1,364,1.502518e-2,-1.823180e0
QQN-Bisection-1,385,3.584350e-9,-8.445590e0
QQN-Bisection-1,406,1.026400e-12,-1.198868e1
QQN-Bisection-1,410,1.718306e-14,-1.376490e1
QQN-Bisection-1,2,6.334819e1,1.801734e0
QQN-Bisection-1,69,6.334819e1,1.801734e0
QQN-Bisection-1,140,1.687040e0,2.271254e-1
QQN-Bisection-1,211,1.079706e0,3.330536e-2
QQN-Bisection-1,282,7.049134e-1,-1.518642e-1
QQN-Bisection-1,322,4.597655e-1,-3.374636e-1
QQN-Bisection-1,343,3.241015e-1,-4.893189e-1
QQN-Bisection-1,364,1.666969e-2,-1.778073e0
QQN-Bisection-1,385,8.324850e-9,-8.079624e0
QQN-Bisection-1,406,1.817691e-12,-1.174048e1
QQN-Bisection-1,410,2.433823e-14,-1.361371e1
QQN-Bisection-1,2,7.603819e1,1.881032e0
QQN-Bisection-1,69,7.603819e1,1.881032e0
QQN-Bisection-1,140,1.224028e0,8.779127e-2
QQN-Bisection-1,211,7.833778e-1,-1.060288e-1
QQN-Bisection-1,282,5.122754e-1,-2.904965e-1
QQN-Bisection-1,322,3.345256e-1,-4.755707e-1
QQN-Bisection-1,343,3.338256e-1,-4.764803e-1
QQN-Bisection-1,364,1.045889e-2,-1.980515e0
QQN-Bisection-1,385,2.075135e-10,-9.682954e0
QQN-Bisection-1,406,9.743323e-14,-1.301129e1
QQN-Bisection-1,410,1.232666e-17,-1.500000e1
QQN-Bisection-1,2,6.059634e1,1.782446e0
QQN-Bisection-1,69,6.059634e1,1.782446e0
QQN-Bisection-1,140,1.585942e0,2.002872e-1
QQN-Bisection-1,211,1.015003e0,6.467198e-3
QQN-Bisection-1,282,6.627120e-1,-1.786752e-1
QQN-Bisection-1,322,4.322563e-1,-3.642586e-1
QQN-Bisection-1,343,3.093263e-1,-5.095832e-1
QQN-Bisection-1,364,1.558148e-2,-1.807391e0
QQN-Bisection-1,385,7.221441e-9,-8.141376e0
QQN-Bisection-1,406,1.629963e-12,-1.178782e1
QQN-Bisection-1,410,2.242914e-14,-1.364919e1
QQN-Bisection-1,2,6.084619e1,1.784233e0
QQN-Bisection-1,69,6.084619e1,1.784233e0
QQN-Bisection-1,140,1.591884e0,2.019115e-1
QQN-Bisection-1,211,1.018806e0,8.091511e-3
QQN-Bisection-1,282,6.651958e-1,-1.770505e-1
QQN-Bisection-1,322,4.338766e-1,-3.626337e-1
QQN-Bisection-1,343,3.105499e-1,-5.078686e-1
QQN-Bisection-1,364,1.563862e-2,-1.805801e0
QQN-Bisection-1,385,7.240323e-9,-8.140242e0
QQN-Bisection-1,406,1.634968e-12,-1.178649e1
QQN-Bisection-1,410,2.250644e-14,-1.364769e1
QQN-Bisection-1,2,7.810707e1,1.892690e0
QQN-Bisection-1,69,7.810707e1,1.892690e0
QQN-Bisection-1,140,1.311787e0,1.178634e-1
QQN-Bisection-1,211,8.395439e-1,-7.595661e-2
QQN-Bisection-1,282,5.489402e-1,-2.604750e-1
QQN-Bisection-1,322,3.584301e-1,-4.455955e-1
QQN-Bisection-1,343,3.499529e-1,-4.559905e-1
QQN-Bisection-1,364,1.130726e-2,-1.946643e0
QQN-Bisection-1,385,3.170749e-10,-9.498838e0
QQN-Bisection-1,406,1.413108e-13,-1.284982e1
QQN-Bisection-1,410,1.652305e-17,-1.500000e1
QQN-Bisection-1,2,8.168259e1,1.912129e0
QQN-Bisection-1,69,8.168259e1,1.912129e0
