Optimizer,MaxEvaluation,ObjectiveValue
QQN-GoldenSection,2,1.363642e3
QQN-GoldenSection,53,1.363642e3
QQN-GoldenSection,108,9.240683e1
QQN-GoldenSection,166,8.922833e1
QQN-GoldenSection,214,8.575727e1
QQN-GoldenSection,262,8.403557e1
QQN-GoldenSection,310,8.400081e1
QQN-GoldenSection,358,8.400003e1
QQN-GoldenSection,406,8.400000e1
QQN-GoldenSection,420,8.400000e1
QQN-GoldenSection,468,8.400000e1
QQN-GoldenSection,516,8.400000e1
QQN-GoldenSection,530,8.400000e1
QQN-GoldenSection,2,1.279330e3
QQN-GoldenSection,53,1.279330e3
QQN-GoldenSection,108,9.062540e1
QQN-GoldenSection,166,8.787628e1
QQN-GoldenSection,214,8.487216e1
QQN-GoldenSection,262,8.405036e1
QQN-GoldenSection,310,8.400026e1
QQN-GoldenSection,358,8.400001e1
QQN-GoldenSection,406,8.400000e1
QQN-GoldenSection,454,8.400000e1
QQN-GoldenSection,512,8.400000e1
QQN-GoldenSection,2,1.983874e3
QQN-GoldenSection,53,1.983874e3
QQN-GoldenSection,108,8.897011e1
QQN-GoldenSection,160,8.475973e1
QQN-GoldenSection,218,8.408772e1
QQN-GoldenSection,266,8.405691e1
QQN-GoldenSection,314,8.400017e1
QQN-GoldenSection,362,8.400000e1
QQN-GoldenSection,2,9.272197e2
QQN-GoldenSection,54,9.272197e2
QQN-GoldenSection,109,8.679679e1
QQN-GoldenSection,161,8.412567e1
QQN-GoldenSection,219,8.400471e1
QQN-GoldenSection,267,8.400107e1
QQN-GoldenSection,315,8.400000e1
QQN-GoldenSection,363,8.400000e1
QQN-GoldenSection,411,8.400000e1
QQN-GoldenSection,471,8.400000e1
QQN-GoldenSection,2,2.486952e3
QQN-GoldenSection,53,2.486952e3
QQN-GoldenSection,108,8.997221e1
QQN-GoldenSection,160,8.581721e1
QQN-GoldenSection,218,8.441761e1
QQN-GoldenSection,266,8.435200e1
QQN-GoldenSection,314,8.400500e1
QQN-GoldenSection,362,8.400005e1
QQN-GoldenSection,376,8.400000e1
QQN-GoldenSection,390,8.400000e1
QQN-GoldenSection,447,8.400000e1
QQN-GoldenSection,2,1.274594e3
QQN-GoldenSection,53,1.274594e3
QQN-GoldenSection,108,8.677568e1
QQN-GoldenSection,160,8.459701e1
QQN-GoldenSection,218,8.410620e1
QQN-GoldenSection,266,8.401988e1
QQN-GoldenSection,314,8.400008e1
QQN-GoldenSection,328,8.400000e1
QQN-GoldenSection,342,8.400000e1
QQN-GoldenSection,401,8.400000e1
QQN-GoldenSection,2,3.614537e3
QQN-GoldenSection,53,3.614537e3
QQN-GoldenSection,108,8.718797e1
QQN-GoldenSection,166,8.581426e1
QQN-GoldenSection,214,8.417939e1
QQN-GoldenSection,262,8.400108e1
QQN-GoldenSection,310,8.400003e1
QQN-GoldenSection,358,8.400000e1
QQN-GoldenSection,406,8.400000e1
QQN-GoldenSection,454,8.400000e1
QQN-GoldenSection,468,8.400000e1
QQN-GoldenSection,2,2.680720e3
QQN-GoldenSection,53,2.680720e3
QQN-GoldenSection,108,9.008748e1
QQN-GoldenSection,160,8.588786e1
QQN-GoldenSection,218,8.444100e1
QQN-GoldenSection,266,8.438821e1
QQN-GoldenSection,314,8.400579e1
QQN-GoldenSection,362,8.400006e1
QQN-GoldenSection,376,8.400000e1
QQN-GoldenSection,424,8.400000e1
QQN-GoldenSection,438,8.400000e1
QQN-GoldenSection,496,8.400000e1
QQN-GoldenSection,2,8.447312e2
QQN-GoldenSection,55,8.447312e2
QQN-GoldenSection,110,8.807667e1
QQN-GoldenSection,168,8.654808e1
QQN-GoldenSection,216,8.448601e1
QQN-GoldenSection,264,8.400473e1
QQN-GoldenSection,312,8.400040e1
QQN-GoldenSection,360,8.400000e1
QQN-GoldenSection,408,8.400000e1
QQN-GoldenSection,422,8.400000e1
QQN-GoldenSection,436,8.400000e1
QQN-GoldenSection,495,8.400000e1
QQN-GoldenSection,2,1.894710e3
QQN-GoldenSection,53,1.894710e3
QQN-GoldenSection,108,9.086909e1
QQN-GoldenSection,166,8.717695e1
QQN-GoldenSection,214,8.530878e1
QQN-GoldenSection,262,8.423700e1
QQN-GoldenSection,310,8.400524e1
QQN-GoldenSection,358,8.400004e1
QQN-GoldenSection,406,8.400000e1
QQN-GoldenSection,420,8.400000e1
QQN-GoldenSection,434,8.400000e1
QQN-GoldenSection,2,3.285144e3
QQN-GoldenSection,53,3.285144e3
QQN-GoldenSection,108,8.748211e1
QQN-GoldenSection,160,8.510097e1
QQN-GoldenSection,218,8.429126e1
QQN-GoldenSection,266,8.406008e1
QQN-GoldenSection,314,8.400066e1
QQN-GoldenSection,362,8.400000e1
QQN-GoldenSection,420,8.400000e1
QQN-GoldenSection,434,8.400000e1
QQN-GoldenSection,2,2.299951e3
QQN-GoldenSection,53,2.299951e3
QQN-GoldenSection,108,9.060300e1
QQN-GoldenSection,166,8.685835e1
QQN-GoldenSection,214,8.544036e1
QQN-GoldenSection,262,8.425002e1
QQN-GoldenSection,310,8.400857e1
QQN-GoldenSection,358,8.400005e1
QQN-GoldenSection,372,8.400000e1
QQN-GoldenSection,386,8.400000e1
QQN-GoldenSection,2,1.681010e3
QQN-GoldenSection,53,1.681010e3
QQN-GoldenSection,108,8.806216e1
QQN-GoldenSection,160,8.419757e1
QQN-GoldenSection,218,8.400760e1
QQN-GoldenSection,266,8.400329e1
QQN-GoldenSection,314,8.400000e1
QQN-GoldenSection,328,8.400000e1
QQN-GoldenSection,387,8.400000e1
QQN-GoldenSection,2,2.114516e3
QQN-GoldenSection,53,2.114516e3
QQN-GoldenSection,108,8.647988e1
QQN-GoldenSection,166,8.538700e1
QQN-GoldenSection,214,8.410574e1
QQN-GoldenSection,262,8.400043e1
QQN-GoldenSection,310,8.400001e1
QQN-GoldenSection,358,8.400000e1
QQN-GoldenSection,406,8.400000e1
QQN-GoldenSection,2,3.094969e3
QQN-GoldenSection,53,3.094969e3
QQN-GoldenSection,108,9.110206e1
QQN-GoldenSection,166,8.672441e1
QQN-GoldenSection,214,8.656031e1
QQN-GoldenSection,262,8.438227e1
QQN-GoldenSection,310,8.403130e1
QQN-GoldenSection,358,8.400004e1
QQN-GoldenSection,406,8.400000e1
QQN-GoldenSection,454,8.400000e1
QQN-GoldenSection,2,1.134963e3
QQN-GoldenSection,54,1.134963e3
QQN-GoldenSection,109,8.998441e1
QQN-GoldenSection,167,8.780565e1
QQN-GoldenSection,215,8.492104e1
QQN-GoldenSection,263,8.401247e1
QQN-GoldenSection,311,8.400005e1
QQN-GoldenSection,359,8.400001e1
QQN-GoldenSection,407,8.400000e1
