Optimizer,MaxEvaluation,ObjectiveValue,LogObjectiveValue
QQN-GoldenSection,2,1.363642e3,3.134701e0
QQN-GoldenSection,53,1.363642e3,3.134701e0
QQN-GoldenSection,108,9.240683e1,1.965704e0
QQN-GoldenSection,166,8.922833e1,1.950503e0
QQN-GoldenSection,214,8.575727e1,1.933271e0
QQN-GoldenSection,262,8.403557e1,1.924463e0
QQN-GoldenSection,310,8.400081e1,1.924283e0
QQN-GoldenSection,358,8.400003e1,1.924279e0
QQN-GoldenSection,406,8.400000e1,1.924279e0
QQN-GoldenSection,420,8.400000e1,1.924279e0
QQN-GoldenSection,468,8.400000e1,1.924279e0
QQN-GoldenSection,516,8.400000e1,1.924279e0
QQN-GoldenSection,530,8.400000e1,1.924279e0
QQN-GoldenSection,2,1.279330e3,3.106982e0
QQN-GoldenSection,53,1.279330e3,3.106982e0
QQN-GoldenSection,108,9.062540e1,1.957250e0
QQN-GoldenSection,166,8.787628e1,1.943872e0
QQN-GoldenSection,214,8.487216e1,1.928765e0
QQN-GoldenSection,262,8.405036e1,1.924540e0
QQN-GoldenSection,310,8.400026e1,1.924281e0
QQN-GoldenSection,358,8.400001e1,1.924279e0
QQN-GoldenSection,406,8.400000e1,1.924279e0
QQN-GoldenSection,454,8.400000e1,1.924279e0
QQN-GoldenSection,512,8.400000e1,1.924279e0
QQN-GoldenSection,2,1.983874e3,3.297514e0
QQN-GoldenSection,53,1.983874e3,3.297514e0
QQN-GoldenSection,108,8.897011e1,1.949244e0
QQN-GoldenSection,160,8.475973e1,1.928190e0
QQN-GoldenSection,218,8.408772e1,1.924733e0
QQN-GoldenSection,266,8.405691e1,1.924573e0
QQN-GoldenSection,314,8.400017e1,1.924280e0
QQN-GoldenSection,362,8.400000e1,1.924279e0
QQN-GoldenSection,2,9.272197e2,2.967183e0
QQN-GoldenSection,54,9.272197e2,2.967183e0
QQN-GoldenSection,109,8.679679e1,1.938504e0
QQN-GoldenSection,161,8.412567e1,1.924929e0
QQN-GoldenSection,219,8.400471e1,1.924304e0
QQN-GoldenSection,267,8.400107e1,1.924285e0
QQN-GoldenSection,315,8.400000e1,1.924279e0
QQN-GoldenSection,363,8.400000e1,1.924279e0
QQN-GoldenSection,411,8.400000e1,1.924279e0
QQN-GoldenSection,471,8.400000e1,1.924279e0
QQN-GoldenSection,2,2.486952e3,3.395667e0
QQN-GoldenSection,53,2.486952e3,3.395667e0
QQN-GoldenSection,108,8.997221e1,1.954108e0
QQN-GoldenSection,160,8.581721e1,1.933574e0
QQN-GoldenSection,218,8.441761e1,1.926433e0
QQN-GoldenSection,266,8.435200e1,1.926095e0
QQN-GoldenSection,314,8.400500e1,1.924305e0
QQN-GoldenSection,362,8.400005e1,1.924280e0
QQN-GoldenSection,376,8.400000e1,1.924279e0
QQN-GoldenSection,390,8.400000e1,1.924279e0
QQN-GoldenSection,447,8.400000e1,1.924279e0
QQN-GoldenSection,2,1.274594e3,3.105372e0
QQN-GoldenSection,53,1.274594e3,3.105372e0
QQN-GoldenSection,108,8.677568e1,1.938398e0
QQN-GoldenSection,160,8.459701e1,1.927355e0
QQN-GoldenSection,218,8.410620e1,1.924828e0
QQN-GoldenSection,266,8.401988e1,1.924382e0
QQN-GoldenSection,314,8.400008e1,1.924280e0
QQN-GoldenSection,328,8.400000e1,1.924279e0
QQN-GoldenSection,342,8.400000e1,1.924279e0
QQN-GoldenSection,401,8.400000e1,1.924279e0
QQN-GoldenSection,2,3.614537e3,3.558053e0
QQN-GoldenSection,53,3.614537e3,3.558053e0
QQN-GoldenSection,108,8.718797e1,1.940457e0
QQN-GoldenSection,166,8.581426e1,1.933559e0
QQN-GoldenSection,214,8.417939e1,1.925206e0
QQN-GoldenSection,262,8.400108e1,1.924285e0
QQN-GoldenSection,310,8.400003e1,1.924279e0
QQN-GoldenSection,358,8.400000e1,1.924279e0
QQN-GoldenSection,406,8.400000e1,1.924279e0
QQN-GoldenSection,454,8.400000e1,1.924279e0
QQN-GoldenSection,468,8.400000e1,1.924279e0
QQN-GoldenSection,2,2.680720e3,3.428251e0
QQN-GoldenSection,53,2.680720e3,3.428251e0
QQN-GoldenSection,108,9.008748e1,1.954664e0
QQN-GoldenSection,160,8.588786e1,1.933932e0
QQN-GoldenSection,218,8.444100e1,1.926553e0
QQN-GoldenSection,266,8.438821e1,1.926282e0
QQN-GoldenSection,314,8.400579e1,1.924309e0
QQN-GoldenSection,362,8.400006e1,1.924280e0
QQN-GoldenSection,376,8.400000e1,1.924279e0
QQN-GoldenSection,424,8.400000e1,1.924279e0
QQN-GoldenSection,438,8.400000e1,1.924279e0
QQN-GoldenSection,496,8.400000e1,1.924279e0
QQN-GoldenSection,2,8.447312e2,2.926719e0
QQN-GoldenSection,55,8.447312e2,2.926719e0
QQN-GoldenSection,110,8.807667e1,1.944861e0
QQN-GoldenSection,168,8.654808e1,1.937257e0
QQN-GoldenSection,216,8.448601e1,1.926785e0
QQN-GoldenSection,264,8.400473e1,1.924304e0
QQN-GoldenSection,312,8.400040e1,1.924281e0
QQN-GoldenSection,360,8.400000e1,1.924279e0
QQN-GoldenSection,408,8.400000e1,1.924279e0
QQN-GoldenSection,422,8.400000e1,1.924279e0
QQN-GoldenSection,436,8.400000e1,1.924279e0
QQN-GoldenSection,495,8.400000e1,1.924279e0
QQN-GoldenSection,2,1.894710e3,3.277543e0
QQN-GoldenSection,53,1.894710e3,3.277543e0
QQN-GoldenSection,108,9.086909e1,1.958416e0
QQN-GoldenSection,166,8.717695e1,1.940402e0
QQN-GoldenSection,214,8.530878e1,1.930994e0
QQN-GoldenSection,262,8.423700e1,1.925503e0
QQN-GoldenSection,310,8.400524e1,1.924306e0
QQN-GoldenSection,358,8.400004e1,1.924279e0
QQN-GoldenSection,406,8.400000e1,1.924279e0
QQN-GoldenSection,420,8.400000e1,1.924279e0
QQN-GoldenSection,434,8.400000e1,1.924279e0
