Optimizer,MaxEvaluation,ObjectiveValue
QQN-GoldenSection,2,6.124144e0
QQN-GoldenSection,51,6.124144e0
QQN-GoldenSection,109,5.351768e0
QQN-GoldenSection,157,4.953018e0
QQN-GoldenSection,205,4.916330e0
QQN-GoldenSection,253,4.911738e0
QQN-GoldenSection,301,4.911416e0
QQN-GoldenSection,315,4.911410e0
QQN-GoldenSection,319,4.911410e0
QQN-GoldenSection,2,5.962364e0
QQN-GoldenSection,51,5.962364e0
QQN-GoldenSection,109,5.088873e0
QQN-GoldenSection,157,4.912542e0
QQN-GoldenSection,205,4.911427e0
QQN-GoldenSection,253,4.911412e0
QQN-GoldenSection,301,4.911410e0
QQN-GoldenSection,315,4.911410e0
QQN-GoldenSection,319,4.911410e0
QQN-GoldenSection,2,6.139874e0
QQN-GoldenSection,51,6.139874e0
QQN-GoldenSection,109,5.208299e0
QQN-GoldenSection,157,4.923251e0
QQN-GoldenSection,205,4.912492e0
QQN-GoldenSection,253,4.911509e0
QQN-GoldenSection,301,4.911410e0
QQN-GoldenSection,305,4.911410e0
QQN-GoldenSection,2,6.051723e0
QQN-GoldenSection,51,6.051723e0
QQN-GoldenSection,109,5.230484e0
QQN-GoldenSection,157,4.921781e0
QQN-GoldenSection,205,4.912200e0
QQN-GoldenSection,253,4.911512e0
QQN-GoldenSection,301,4.911410e0
QQN-GoldenSection,305,4.911410e0
QQN-GoldenSection,2,5.921040e0
QQN-GoldenSection,51,5.921040e0
QQN-GoldenSection,109,4.995460e0
QQN-GoldenSection,157,4.911556e0
QQN-GoldenSection,205,4.911410e0
QQN-GoldenSection,219,4.911410e0
QQN-GoldenSection,233,4.911410e0
QQN-GoldenSection,247,4.911410e0
QQN-GoldenSection,251,4.911410e0
QQN-GoldenSection,2,6.120908e0
QQN-GoldenSection,51,6.120908e0
QQN-GoldenSection,109,5.512834e0
QQN-GoldenSection,157,5.045582e0
QQN-GoldenSection,205,4.999409e0
QQN-GoldenSection,253,4.912843e0
QQN-GoldenSection,301,4.911596e0
QQN-GoldenSection,349,4.911410e0
QQN-GoldenSection,397,4.911410e0
QQN-GoldenSection,401,4.911410e0
QQN-GoldenSection,2,5.906131e0
QQN-GoldenSection,51,5.906131e0
QQN-GoldenSection,109,4.984292e0
QQN-GoldenSection,157,4.911514e0
QQN-GoldenSection,205,4.911411e0
QQN-GoldenSection,253,4.911410e0
QQN-GoldenSection,267,4.911410e0
QQN-GoldenSection,271,4.911410e0
QQN-GoldenSection,2,6.001456e0
QQN-GoldenSection,51,6.001456e0
QQN-GoldenSection,109,5.140238e0
QQN-GoldenSection,157,4.914229e0
QQN-GoldenSection,205,4.911545e0
QQN-GoldenSection,253,4.911435e0
QQN-GoldenSection,301,4.911410e0
QQN-GoldenSection,305,4.911410e0
QQN-GoldenSection,2,5.967617e0
QQN-GoldenSection,51,5.967617e0
QQN-GoldenSection,109,4.990464e0
QQN-GoldenSection,157,4.911573e0
QQN-GoldenSection,205,4.911420e0
QQN-GoldenSection,253,4.911412e0
QQN-GoldenSection,257,4.911410e0
QQN-GoldenSection,2,5.993413e0
QQN-GoldenSection,51,5.993413e0
QQN-GoldenSection,109,5.201325e0
QQN-GoldenSection,157,4.916722e0
QQN-GoldenSection,205,4.911653e0
QQN-GoldenSection,253,4.911449e0
QQN-GoldenSection,301,4.911411e0
QQN-GoldenSection,315,4.911410e0
QQN-GoldenSection,319,4.911410e0
QQN-GoldenSection,2,6.086791e0
QQN-GoldenSection,51,6.086791e0
QQN-GoldenSection,109,5.360227e0
QQN-GoldenSection,157,4.950768e0
QQN-GoldenSection,205,4.915977e0
QQN-GoldenSection,253,4.911732e0
QQN-GoldenSection,301,4.911417e0
QQN-GoldenSection,349,4.911410e0
