Optimizer,MaxEvaluation,ObjectiveValue,LogObjectiveValue
QQN-GoldenSection,2,6.124144e0,7.870454e-1
QQN-GoldenSection,51,6.124144e0,7.870454e-1
QQN-GoldenSection,109,5.351768e0,7.284973e-1
QQN-GoldenSection,157,4.953018e0,6.948699e-1
QQN-GoldenSection,205,4.916330e0,6.916410e-1
QQN-GoldenSection,253,4.911738e0,6.912352e-1
QQN-GoldenSection,301,4.911416e0,6.912067e-1
QQN-GoldenSection,315,4.911410e0,6.912062e-1
QQN-GoldenSection,319,4.911410e0,6.912062e-1
QQN-GoldenSection,2,5.962364e0,7.754185e-1
QQN-GoldenSection,51,5.962364e0,7.754185e-1
QQN-GoldenSection,109,5.088873e0,7.066216e-1
QQN-GoldenSection,157,4.912542e0,6.913063e-1
QQN-GoldenSection,205,4.911427e0,6.912077e-1
QQN-GoldenSection,253,4.911412e0,6.912064e-1
QQN-GoldenSection,301,4.911410e0,6.912062e-1
QQN-GoldenSection,315,4.911410e0,6.912062e-1
QQN-GoldenSection,319,4.911410e0,6.912062e-1
QQN-GoldenSection,2,6.139874e0,7.881594e-1
QQN-GoldenSection,51,6.139874e0,7.881594e-1
QQN-GoldenSection,109,5.208299e0,7.166959e-1
QQN-GoldenSection,157,4.923251e0,6.922520e-1
QQN-GoldenSection,205,4.912492e0,6.913019e-1
QQN-GoldenSection,253,4.911509e0,6.912149e-1
QQN-GoldenSection,301,4.911410e0,6.912062e-1
QQN-GoldenSection,305,4.911410e0,6.912062e-1
QQN-GoldenSection,2,6.051723e0,7.818790e-1
QQN-GoldenSection,51,6.051723e0,7.818790e-1
QQN-GoldenSection,109,5.230484e0,7.185418e-1
QQN-GoldenSection,157,4.921781e0,6.921223e-1
QQN-GoldenSection,205,4.912200e0,6.912760e-1
QQN-GoldenSection,253,4.911512e0,6.912152e-1
QQN-GoldenSection,301,4.911410e0,6.912062e-1
QQN-GoldenSection,305,4.911410e0,6.912062e-1
QQN-GoldenSection,2,5.921040e0,7.723980e-1
QQN-GoldenSection,51,5.921040e0,7.723980e-1
QQN-GoldenSection,109,4.995460e0,6.985755e-1
QQN-GoldenSection,157,4.911556e0,6.912191e-1
QQN-GoldenSection,205,4.911410e0,6.912062e-1
QQN-GoldenSection,219,4.911410e0,6.912062e-1
QQN-GoldenSection,233,4.911410e0,6.912062e-1
QQN-GoldenSection,247,4.911410e0,6.912062e-1
QQN-GoldenSection,251,4.911410e0,6.912062e-1
QQN-GoldenSection,2,6.120908e0,7.868158e-1
QQN-GoldenSection,51,6.120908e0,7.868158e-1
QQN-GoldenSection,109,5.512834e0,7.413749e-1
QQN-GoldenSection,157,5.045582e0,7.029112e-1
QQN-GoldenSection,205,4.999409e0,6.989187e-1
QQN-GoldenSection,253,4.912843e0,6.913329e-1
QQN-GoldenSection,301,4.911596e0,6.912226e-1
QQN-GoldenSection,349,4.911410e0,6.912062e-1
QQN-GoldenSection,397,4.911410e0,6.912062e-1
QQN-GoldenSection,401,4.911410e0,6.912062e-1
QQN-GoldenSection,2,5.906131e0,7.713031e-1
QQN-GoldenSection,51,5.906131e0,7.713031e-1
QQN-GoldenSection,109,4.984292e0,6.976035e-1
QQN-GoldenSection,157,4.911514e0,6.912154e-1
QQN-GoldenSection,205,4.911411e0,6.912062e-1
QQN-GoldenSection,253,4.911410e0,6.912062e-1
QQN-GoldenSection,267,4.911410e0,6.912062e-1
QQN-GoldenSection,271,4.911410e0,6.912062e-1
QQN-GoldenSection,2,6.001456e0,7.782566e-1
QQN-GoldenSection,51,6.001456e0,7.782566e-1
QQN-GoldenSection,109,5.140238e0,7.109833e-1
QQN-GoldenSection,157,4.914229e0,6.914554e-1
QQN-GoldenSection,205,4.911545e0,6.912181e-1
QQN-GoldenSection,253,4.911435e0,6.912084e-1
QQN-GoldenSection,301,4.911410e0,6.912062e-1
QQN-GoldenSection,305,4.911410e0,6.912062e-1
QQN-GoldenSection,2,5.967617e0,7.758009e-1
QQN-GoldenSection,51,5.967617e0,7.758009e-1
QQN-GoldenSection,109,4.990464e0,6.981410e-1
QQN-GoldenSection,157,4.911573e0,6.912206e-1
QQN-GoldenSection,205,4.911420e0,6.912071e-1
QQN-GoldenSection,253,4.911412e0,6.912064e-1
QQN-GoldenSection,257,4.911410e0,6.912062e-1
QQN-GoldenSection,2,5.993413e0,7.776742e-1
QQN-GoldenSection,51,5.993413e0,7.776742e-1
QQN-GoldenSection,109,5.201325e0,7.161140e-1
QQN-GoldenSection,157,4.916722e0,6.916757e-1
QQN-GoldenSection,205,4.911653e0,6.912277e-1
QQN-GoldenSection,253,4.911449e0,6.912096e-1
QQN-GoldenSection,301,4.911411e0,6.912063e-1
QQN-GoldenSection,315,4.911410e0,6.912062e-1
QQN-GoldenSection,319,4.911410e0,6.912062e-1
QQN-GoldenSection,2,6.086791e0,7.843884e-1
QQN-GoldenSection,51,6.086791e0,7.843884e-1
QQN-GoldenSection,109,5.360227e0,7.291832e-1
QQN-GoldenSection,157,4.950768e0,6.946726e-1
QQN-GoldenSection,205,4.915977e0,6.916098e-1
QQN-GoldenSection,253,4.911732e0,6.912346e-1
QQN-GoldenSection,301,4.911417e0,6.912068e-1
QQN-GoldenSection,349,4.911410e0,6.912062e-1
QQN-GoldenSection,353,4.911410e0,6.912062e-1
QQN-GoldenSection,2,6.066904e0,7.829671e-1
QQN-GoldenSection,51,6.066904e0,7.829671e-1
QQN-GoldenSection,109,5.072377e0,7.052115e-1
QQN-GoldenSection,157,4.913029e0,6.913493e-1
QQN-GoldenSection,205,4.911568e0,6.912202e-1
QQN-GoldenSection,253,4.911428e0,6.912077e-1
QQN-GoldenSection,267,4.911410e0,6.912062e-1
QQN-GoldenSection,281,4.911410e0,6.912062e-1
QQN-GoldenSection,285,4.911410e0,6.912062e-1
QQN-GoldenSection,2,6.080584e0,7.839453e-1
