Optimizer,MaxEvaluation,ObjectiveValue
QQN-GoldenSection,2,1.729335e2
QQN-GoldenSection,52,1.729335e2
QQN-GoldenSection,104,5.293157e1
QQN-GoldenSection,157,3.010250e-2
QQN-GoldenSection,210,7.873300e-3
QQN-GoldenSection,268,2.099466e-3
QQN-GoldenSection,316,3.761490e-4
QQN-GoldenSection,364,3.016819e-8
QQN-GoldenSection,412,6.342229e-13
QQN-GoldenSection,416,2.153472e-18
QQN-GoldenSection,2,1.658810e2
QQN-GoldenSection,52,1.658810e2
QQN-GoldenSection,104,4.007141e1
QQN-GoldenSection,157,7.967331e-5
QQN-GoldenSection,215,2.082353e-5
QQN-GoldenSection,263,8.898364e-6
QQN-GoldenSection,311,2.782534e-12
QQN-GoldenSection,315,1.890164e-18
QQN-GoldenSection,2,1.685861e2
QQN-GoldenSection,52,1.685861e2
QQN-GoldenSection,105,9.433998e-1
QQN-GoldenSection,163,5.647166e-2
QQN-GoldenSection,211,4.080186e-2
QQN-GoldenSection,259,1.058346e-5
QQN-GoldenSection,307,2.544400e-9
QQN-GoldenSection,355,5.384472e-12
QQN-GoldenSection,359,3.194776e-15
QQN-GoldenSection,2,1.657587e2
QQN-GoldenSection,52,1.657587e2
QQN-GoldenSection,104,3.246539e1
QQN-GoldenSection,157,5.441293e-3
QQN-GoldenSection,215,1.323454e-3
QQN-GoldenSection,263,1.470232e-4
QQN-GoldenSection,311,2.942242e-9
QQN-GoldenSection,359,1.046120e-13
QQN-GoldenSection,363,1.020447e-19
QQN-GoldenSection,2,1.725579e2
QQN-GoldenSection,52,1.725579e2
QQN-GoldenSection,105,1.388063e1
QQN-GoldenSection,163,1.408793e-1
QQN-GoldenSection,211,1.272102e-1
QQN-GoldenSection,259,5.136755e-5
QQN-GoldenSection,307,3.750556e-8
QQN-GoldenSection,355,4.001965e-12
QQN-GoldenSection,359,6.401795e-17
QQN-GoldenSection,2,1.702827e2
QQN-GoldenSection,52,1.702827e2
QQN-GoldenSection,104,3.746918e1
QQN-GoldenSection,157,4.018738e-3
QQN-GoldenSection,215,1.022864e-3
QQN-GoldenSection,263,2.960410e-4
QQN-GoldenSection,311,4.363205e-9
QQN-GoldenSection,359,1.441934e-13
QQN-GoldenSection,363,1.139947e-19
QQN-GoldenSection,2,1.677607e2
QQN-GoldenSection,52,1.677607e2
QQN-GoldenSection,104,3.708232e1
QQN-GoldenSection,157,1.893575e-3
QQN-GoldenSection,215,4.820334e-4
QQN-GoldenSection,263,1.277565e-4
QQN-GoldenSection,311,9.198279e-10
QQN-GoldenSection,359,1.340616e-14
QQN-GoldenSection,363,5.895269e-21
QQN-GoldenSection,2,1.673018e2
QQN-GoldenSection,52,1.673018e2
QQN-GoldenSection,105,5.622189e0
QQN-GoldenSection,163,1.523908e-1
QQN-GoldenSection,211,1.122114e-1
QQN-GoldenSection,259,6.095986e-5
QQN-GoldenSection,307,3.261955e-8
QQN-GoldenSection,355,1.096579e-10
QQN-GoldenSection,403,1.865743e-13
QQN-GoldenSection,407,3.690033e-17
QQN-GoldenSection,2,1.681815e2
QQN-GoldenSection,52,1.681815e2
QQN-GoldenSection,105,3.526061e0
QQN-GoldenSection,163,1.316587e-1
QQN-GoldenSection,211,9.223955e-2
QQN-GoldenSection,259,4.657683e-5
QQN-GoldenSection,307,1.722241e-8
QQN-GoldenSection,355,3.716294e-11
QQN-GoldenSection,403,1.279320e-13
QQN-GoldenSection,407,1.013107e-17
QQN-GoldenSection,2,1.627065e2
QQN-GoldenSection,52,1.627065e2
QQN-GoldenSection,105,1.688203e1
QQN-GoldenSection,159,8.168986e-2
QQN-GoldenSection,217,1.538990e-2
QQN-GoldenSection,265,2.410793e-5
QQN-GoldenSection,313,1.710183e-8
QQN-GoldenSection,361,1.857716e-13
QQN-GoldenSection,365,2.214018e-18
QQN-GoldenSection,2,1.734594e2
QQN-GoldenSection,52,1.734594e2
QQN-GoldenSection,103,6.086310e1
QQN-GoldenSection,153,2.882895e-1
QQN-GoldenSection,203,6.810763e-2
QQN-GoldenSection,253,1.711434e-2
QQN-GoldenSection,303,4.456576e-3
QQN-GoldenSection,353,1.178453e-3
QQN-GoldenSection,403,3.142590e-4
QQN-GoldenSection,453,8.413239e-5
QQN-GoldenSection,503,2.257291e-5
QQN-GoldenSection,553,6.062560e-6
QQN-GoldenSection,603,1.629184e-6
QQN-GoldenSection,653,4.379214e-7
QQN-GoldenSection,703,1.177282e-7
QQN-GoldenSection,753,3.165100e-8
QQN-GoldenSection,803,8.509475e-9
QQN-GoldenSection,853,2.287792e-9
QQN-GoldenSection,903,6.150699e-10
QQN-GoldenSection,953,1.653570e-10
QQN-GoldenSection,1003,4.445422e-11
QQN-GoldenSection,2,1.716687e2
QQN-GoldenSection,52,1.716687e2
QQN-GoldenSection,103,6.191164e1
QQN-GoldenSection,153,3.577152e-1
QQN-GoldenSection,203,8.296485e-2
QQN-GoldenSection,253,2.060739e-2
QQN-GoldenSection,303,5.319019e-3
QQN-GoldenSection,353,1.396053e-3
QQN-GoldenSection,403,3.697079e-4
QQN-GoldenSection,453,9.832179e-5
QQN-GoldenSection,503,2.620818e-5
QQN-GoldenSection,553,6.993559e-6
QQN-GoldenSection,603,1.867299e-6
QQN-GoldenSection,653,4.987078e-7
QQN-GoldenSection,703,1.332099e-7
QQN-GoldenSection,753,3.558347e-8
QQN-GoldenSection,803,9.505299e-9
QQN-GoldenSection,853,2.539102e-9
QQN-GoldenSection,903,6.782442e-10
QQN-GoldenSection,953,1.811677e-10
QQN-GoldenSection,1003,4.839084e-11
QQN-GoldenSection,2,1.676432e2
QQN-GoldenSection,52,1.676432e2
QQN-GoldenSection,104,4.409809e1
QQN-GoldenSection,157,2.682563e-4
QQN-GoldenSection,215,7.145650e-5
QQN-GoldenSection,263,5.766057e-5
QQN-GoldenSection,311,5.771876e-11
QQN-GoldenSection,315,1.730346e-16
QQN-GoldenSection,2,1.660371e2
QQN-GoldenSection,52,1.660371e2
QQN-GoldenSection,105,1.690927e1
QQN-GoldenSection,159,9.056252e-2
QQN-GoldenSection,217,1.716953e-2
QQN-GoldenSection,265,2.341525e-5
QQN-GoldenSection,313,1.991030e-8
QQN-GoldenSection,361,9.945769e-14
QQN-GoldenSection,365,6.770946e-19
QQN-GoldenSection,2,1.697678e2
QQN-GoldenSection,52,1.697678e2
QQN-GoldenSection,104,4.154521e1
QQN-GoldenSection,157,1.495089e-3
QQN-GoldenSection,215,3.917718e-4
QQN-GoldenSection,263,2.167195e-4
QQN-GoldenSection,311,1.197852e-9
QQN-GoldenSection,359,1.768592e-14
QQN-GoldenSection,363,6.135345e-21
QQN-GoldenSection,2,1.653636e2
QQN-GoldenSection,52,1.653636e2
QQN-GoldenSection,104,2.772570e1
QQN-GoldenSection,158,1.786530e-2
QQN-GoldenSection,216,4.084578e-3
QQN-GoldenSection,264,1.487382e-4
QQN-GoldenSection,312,8.310730e-9
QQN-GoldenSection,360,9.656458e-13
QQN-GoldenSection,364,1.557023e-18
QQN-GoldenSection,2,1.732666e2
QQN-GoldenSection,52,1.732666e2
QQN-GoldenSection,103,6.149784e1
QQN-GoldenSection,153,3.426843e-1
QQN-GoldenSection,203,7.981829e-2
QQN-GoldenSection,253,1.988383e-2
QQN-GoldenSection,303,5.144600e-3
QQN-GoldenSection,353,1.353161e-3
QQN-GoldenSection,403,3.590892e-4
QQN-GoldenSection,453,9.568981e-5
QQN-GoldenSection,503,2.555761e-5
QQN-GoldenSection,553,6.833520e-6
QQN-GoldenSection,603,1.828198e-6
QQN-GoldenSection,653,4.892361e-7
QQN-GoldenSection,703,1.309401e-7
QQN-GoldenSection,753,3.504684e-8
QQN-GoldenSection,803,9.380641e-9
QQN-GoldenSection,853,2.510809e-9
QQN-GoldenSection,903,6.720286e-10
QQN-GoldenSection,953,1.798666e-10
QQN-GoldenSection,1003,4.813956e-11
QQN-GoldenSection,2,1.728432e2
QQN-GoldenSection,52,1.728432e2
QQN-GoldenSection,104,4.109378e1
QQN-GoldenSection,157,5.450320e-3
QQN-GoldenSection,215,1.415341e-3
QQN-GoldenSection,263,7.495296e-4
QQN-GoldenSection,311,1.433613e-8
QQN-GoldenSection,359,8.021282e-13
QQN-GoldenSection,363,7.496026e-19
QQN-GoldenSection,2,1.733235e2
QQN-GoldenSection,52,1.733235e2
QQN-GoldenSection,104,3.930094e1
QQN-GoldenSection,157,7.403686e-3
QQN-GoldenSection,215,1.899746e-3
QQN-GoldenSection,263,7.638241e-4
QQN-GoldenSection,311,1.971891e-8
QQN-GoldenSection,359,1.389714e-12
QQN-GoldenSection,363,1.622001e-18
QQN-GoldenSection,2,1.706311e2
QQN-GoldenSection,52,1.706311e2
QQN-GoldenSection,104,2.687394e1
QQN-GoldenSection,158,3.349238e-2
QQN-GoldenSection,216,7.568256e-3
QQN-GoldenSection,264,2.395893e-4
QQN-GoldenSection,312,2.160596e-8
QQN-GoldenSection,360,5.359330e-12
QQN-GoldenSection,364,8.346800e-18
QQN-Bisection-1,2,1.677996e2
QQN-Bisection-1,67,1.677996e2
QQN-Bisection-1,128,6.425703e1
QQN-Bisection-1,191,5.894579e1
QQN-Bisection-1,264,2.870915e1
