Optimizer,MaxEvaluation,ObjectiveValue,LogObjectiveValue
QQN-GoldenSection,2,1.729335e2,2.237879e0
QQN-GoldenSection,52,1.729335e2,2.237879e0
QQN-GoldenSection,104,5.293157e1,1.723715e0
QQN-GoldenSection,157,3.010250e-2,-1.521397e0
QQN-GoldenSection,210,7.873300e-3,-2.103843e0
QQN-GoldenSection,268,2.099466e-3,-2.677891e0
QQN-GoldenSection,316,3.761490e-4,-3.424640e0
QQN-GoldenSection,364,3.016819e-8,-7.520451e0
QQN-GoldenSection,412,6.342229e-13,-1.219776e1
QQN-GoldenSection,416,2.153472e-18,-1.500000e1
QQN-GoldenSection,2,1.658810e2,2.219797e0
QQN-GoldenSection,52,1.658810e2,2.219797e0
QQN-GoldenSection,104,4.007141e1,1.602835e0
QQN-GoldenSection,157,7.967331e-5,-4.098687e0
QQN-GoldenSection,215,2.082353e-5,-4.681446e0
QQN-GoldenSection,263,8.898364e-6,-5.050690e0
QQN-GoldenSection,311,2.782534e-12,-1.155556e1
QQN-GoldenSection,315,1.890164e-18,-1.500000e1
QQN-GoldenSection,2,1.685861e2,2.226822e0
QQN-GoldenSection,52,1.685861e2,2.226822e0
QQN-GoldenSection,105,9.433998e-1,-2.530423e-2
QQN-GoldenSection,163,5.647166e-2,-1.248169e0
QQN-GoldenSection,211,4.080186e-2,-1.389320e0
QQN-GoldenSection,259,1.058346e-5,-4.975372e0
QQN-GoldenSection,307,2.544400e-9,-8.594415e0
QQN-GoldenSection,355,5.384472e-12,-1.126886e1
QQN-GoldenSection,359,3.194776e-15,-1.449556e1
QQN-GoldenSection,2,1.657587e2,2.219476e0
QQN-GoldenSection,52,1.657587e2,2.219476e0
QQN-GoldenSection,104,3.246539e1,1.511421e0
QQN-GoldenSection,157,5.441293e-3,-2.264298e0
QQN-GoldenSection,215,1.323454e-3,-2.878291e0
QQN-GoldenSection,263,1.470232e-4,-3.832614e0
QQN-GoldenSection,311,2.942242e-9,-8.531322e0
QQN-GoldenSection,359,1.046120e-13,-1.298042e1
QQN-GoldenSection,363,1.020447e-19,-1.500000e1
QQN-GoldenSection,2,1.725579e2,2.236935e0
QQN-GoldenSection,52,1.725579e2,2.236935e0
QQN-GoldenSection,105,1.388063e1,1.142409e0
QQN-GoldenSection,163,1.408793e-1,-8.511529e-1
QQN-GoldenSection,211,1.272102e-1,-8.954781e-1
QQN-GoldenSection,259,5.136755e-5,-4.289311e0
QQN-GoldenSection,307,3.750556e-8,-7.425904e0
QQN-GoldenSection,355,4.001965e-12,-1.139773e1
QQN-GoldenSection,359,6.401795e-17,-1.500000e1
QQN-GoldenSection,2,1.702827e2,2.231170e0
QQN-GoldenSection,52,1.702827e2,2.231170e0
QQN-GoldenSection,104,3.746918e1,1.573674e0
QQN-GoldenSection,157,4.018738e-3,-2.395910e0
QQN-GoldenSection,215,1.022864e-3,-2.990182e0
QQN-GoldenSection,263,2.960410e-4,-3.528648e0
QQN-GoldenSection,311,4.363205e-9,-8.360194e0
QQN-GoldenSection,359,1.441934e-13,-1.284105e1
QQN-GoldenSection,363,1.139947e-19,-1.500000e1
QQN-GoldenSection,2,1.677607e2,2.224690e0
QQN-GoldenSection,52,1.677607e2,2.224690e0
QQN-GoldenSection,104,3.708232e1,1.569167e0
QQN-GoldenSection,157,1.893575e-3,-2.722717e0
QQN-GoldenSection,215,4.820334e-4,-3.316923e0
QQN-GoldenSection,263,1.277565e-4,-3.893617e0
QQN-GoldenSection,311,9.198279e-10,-9.036293e0
QQN-GoldenSection,359,1.340616e-14,-1.387270e1
QQN-GoldenSection,363,5.895269e-21,-1.500000e1
QQN-GoldenSection,2,1.673018e2,2.223501e0
QQN-GoldenSection,52,1.673018e2,2.223501e0
QQN-GoldenSection,105,5.622189e0,7.499055e-1
QQN-GoldenSection,163,1.523908e-1,-8.170412e-1
QQN-GoldenSection,211,1.122114e-1,-9.499630e-1
QQN-GoldenSection,259,6.095986e-5,-4.214956e0
QQN-GoldenSection,307,3.261955e-8,-7.486522e0
QQN-GoldenSection,355,1.096579e-10,-9.959960e0
QQN-GoldenSection,403,1.865743e-13,-1.272915e1
QQN-GoldenSection,407,3.690033e-17,-1.500000e1
QQN-GoldenSection,2,1.681815e2,2.225778e0
QQN-GoldenSection,52,1.681815e2,2.225778e0
QQN-GoldenSection,105,3.526061e0,5.472898e-1
QQN-GoldenSection,163,1.316587e-1,-8.805504e-1
QQN-GoldenSection,211,9.223955e-2,-1.035083e0
QQN-GoldenSection,259,4.657683e-5,-4.331830e0
QQN-GoldenSection,307,1.722241e-8,-7.763906e0
QQN-GoldenSection,355,3.716294e-11,-1.042989e1
QQN-GoldenSection,403,1.279320e-13,-1.289302e1
QQN-GoldenSection,407,1.013107e-17,-1.500000e1
QQN-GoldenSection,2,1.627065e2,2.211405e0
QQN-GoldenSection,52,1.627065e2,2.211405e0
QQN-GoldenSection,105,1.688203e1,1.227425e0
QQN-GoldenSection,159,8.168986e-2,-1.087832e0
QQN-GoldenSection,217,1.538990e-2,-1.812764e0
QQN-GoldenSection,265,2.410793e-5,-4.617840e0
QQN-GoldenSection,313,1.710183e-8,-7.766957e0
QQN-GoldenSection,361,1.857716e-13,-1.273102e1
QQN-GoldenSection,365,2.214018e-18,-1.500000e1
QQN-GoldenSection,2,1.734594e2,2.239198e0
QQN-GoldenSection,52,1.734594e2,2.239198e0
QQN-GoldenSection,103,6.086310e1,1.784354e0
QQN-GoldenSection,153,2.882895e-1,-5.401711e-1
QQN-GoldenSection,203,6.810763e-2,-1.166804e0
