Optimizer,MaxEvaluation,ObjectiveValue
QQN-GoldenSection,2,1.995861e1
QQN-GoldenSection,55,1.995861e1
QQN-GoldenSection,106,4.091710e0
QQN-GoldenSection,157,3.833348e0
QQN-GoldenSection,205,3.644140e0
QQN-GoldenSection,256,3.497718e0
QQN-GoldenSection,305,3.365511e0
QQN-GoldenSection,356,3.253383e0
QQN-GoldenSection,405,3.147491e0
QQN-GoldenSection,456,3.054006e0
QQN-GoldenSection,505,2.963872e0
QQN-GoldenSection,556,2.882452e0
QQN-GoldenSection,605,2.803008e0
QQN-GoldenSection,656,2.730172e0
QQN-GoldenSection,706,2.658543e0
QQN-GoldenSection,758,2.592302e0
QQN-GoldenSection,808,2.526907e0
QQN-GoldenSection,860,2.465968e0
QQN-GoldenSection,910,2.405574e0
QQN-GoldenSection,962,2.348928e0
QQN-GoldenSection,1012,2.292587e0
QQN-GoldenSection,2,6.582068e1
QQN-GoldenSection,55,6.582068e1
QQN-GoldenSection,106,4.294588e0
QQN-GoldenSection,164,4.138876e0
QQN-GoldenSection,212,3.891716e0
QQN-GoldenSection,260,3.437679e0
QQN-GoldenSection,308,2.900240e0
QQN-GoldenSection,369,2.456733e0
QQN-GoldenSection,428,2.340172e0
QQN-GoldenSection,489,2.244439e0
QQN-GoldenSection,548,2.154453e0
QQN-GoldenSection,603,2.076627e0
QQN-GoldenSection,657,1.203892e-1
QQN-GoldenSection,709,1.163940e-1
QQN-GoldenSection,763,1.126469e-1
QQN-GoldenSection,815,1.091985e-1
QQN-GoldenSection,869,1.059276e-1
QQN-GoldenSection,921,1.028780e-1
QQN-GoldenSection,975,9.996404e-2
QQN-GoldenSection,1027,9.722356e-2
QQN-GoldenSection,2,4.361752e0
QQN-GoldenSection,55,4.361752e0
QQN-GoldenSection,107,4.283980e0
QQN-GoldenSection,165,4.211714e0
QQN-GoldenSection,226,4.078613e0
QQN-GoldenSection,285,4.000767e0
QQN-GoldenSection,346,3.925386e0
QQN-GoldenSection,405,3.848924e0
QQN-GoldenSection,466,3.775093e0
QQN-GoldenSection,525,3.700355e0
QQN-GoldenSection,586,3.628371e0
QQN-GoldenSection,645,3.555642e0
QQN-GoldenSection,706,3.485743e0
QQN-GoldenSection,765,3.415241e0
QQN-GoldenSection,813,3.347589e0
QQN-GoldenSection,861,3.093702e0
QQN-GoldenSection,909,2.710262e0
QQN-GoldenSection,965,2.422058e0
QQN-GoldenSection,1018,3.574685e-2
QQN-GoldenSection,2,1.950375e1
QQN-GoldenSection,55,1.950375e1
QQN-GoldenSection,105,4.417397e0
QQN-GoldenSection,156,4.132065e0
QQN-GoldenSection,204,3.928910e0
QQN-GoldenSection,255,3.771657e0
QQN-GoldenSection,304,3.629569e0
QQN-GoldenSection,356,3.509066e0
QQN-GoldenSection,405,3.395241e0
QQN-GoldenSection,457,3.294802e0
QQN-GoldenSection,506,3.197992e0
QQN-GoldenSection,558,3.110616e0
QQN-GoldenSection,607,3.025416e0
QQN-GoldenSection,659,2.947384e0
QQN-GoldenSection,709,2.870719e0
QQN-GoldenSection,761,2.799940e0
QQN-GoldenSection,811,2.730182e0
QQN-GoldenSection,863,2.665300e0
QQN-GoldenSection,913,2.601131e0
QQN-GoldenSection,965,2.541065e0
QQN-GoldenSection,1015,2.481465e0
QQN-GoldenSection,2,2.400323e1
QQN-GoldenSection,55,2.400323e1
QQN-GoldenSection,106,3.908007e0
QQN-GoldenSection,157,3.681688e0
QQN-GoldenSection,205,3.508062e0
QQN-GoldenSection,256,3.371633e0
QQN-GoldenSection,305,3.247677e0
QQN-GoldenSection,356,3.141812e0
QQN-GoldenSection,405,3.041517e0
QQN-GoldenSection,456,2.952571e0
QQN-GoldenSection,505,2.866633e0
QQN-GoldenSection,557,2.788752e0
QQN-GoldenSection,606,2.712634e0
QQN-GoldenSection,658,2.642665e0
QQN-GoldenSection,708,2.573755e0
QQN-GoldenSection,760,2.509878e0
QQN-GoldenSection,810,2.446723e0
QQN-GoldenSection,862,2.387749e0
QQN-GoldenSection,912,2.329216e0
QQN-GoldenSection,964,2.274212e0
QQN-GoldenSection,1014,2.219421e0
QQN-GoldenSection,2,6.076774e1
QQN-GoldenSection,55,6.076774e1
QQN-GoldenSection,106,4.316754e0
QQN-GoldenSection,164,4.152522e0
QQN-GoldenSection,212,3.896445e0
QQN-GoldenSection,260,3.406322e0
QQN-GoldenSection,308,2.858000e0
QQN-GoldenSection,356,2.414303e0
QQN-GoldenSection,404,2.183512e0
QQN-GoldenSection,466,1.707438e0
QQN-GoldenSection,522,1.653992e0
QQN-GoldenSection,575,5.650568e-1
QQN-GoldenSection,627,5.488068e-1
QQN-GoldenSection,680,5.338959e-1
QQN-GoldenSection,732,5.200758e-1
QQN-GoldenSection,785,5.072733e-1
QQN-GoldenSection,837,4.952864e-1
QQN-GoldenSection,890,4.840786e-1
QQN-GoldenSection,942,4.735046e-1
QQN-GoldenSection,995,4.635492e-1
QQN-GoldenSection,1048,4.541008e-1
QQN-GoldenSection,2,9.940032e1
QQN-GoldenSection,55,9.940032e1
QQN-GoldenSection,106,4.147821e0
QQN-GoldenSection,164,4.029063e0
QQN-GoldenSection,212,3.826920e0
QQN-GoldenSection,260,3.670369e0
QQN-GoldenSection,308,3.081644e0
QQN-GoldenSection,364,2.776457e0
QQN-GoldenSection,413,6.867206e-2
QQN-GoldenSection,465,5.887862e-2
QQN-GoldenSection,514,5.484739e-2
QQN-GoldenSection,566,2.087926e-2
QQN-GoldenSection,615,1.696741e-2
QQN-GoldenSection,668,9.712295e-3
QQN-GoldenSection,727,5.789904e-3
QQN-GoldenSection,775,1.504607e-3
QQN-GoldenSection,823,4.226054e-4
QQN-GoldenSection,871,3.913891e-5
QQN-GoldenSection,919,5.989616e-7
QQN-GoldenSection,967,1.386985e-8
QQN-GoldenSection,1015,6.542541e-13
QQN-GoldenSection,2,2.168675e1
QQN-GoldenSection,55,2.168675e1
QQN-GoldenSection,106,3.809140e0
QQN-GoldenSection,157,3.579862e0
QQN-GoldenSection,205,3.405734e0
QQN-GoldenSection,256,3.270000e0
QQN-GoldenSection,305,3.147029e0
QQN-GoldenSection,356,3.042419e0
QQN-GoldenSection,405,2.943447e0
QQN-GoldenSection,457,2.855878e0
QQN-GoldenSection,506,2.771326e0
QQN-GoldenSection,558,2.694816e0
QQN-GoldenSection,607,2.620055e0
QQN-GoldenSection,659,2.551402e0
QQN-GoldenSection,709,2.483785e0
QQN-GoldenSection,761,2.421134e0
QQN-GoldenSection,811,2.359160e0
QQN-GoldenSection,863,2.301296e0
QQN-GoldenSection,913,2.243820e0
QQN-GoldenSection,965,2.189804e0
QQN-GoldenSection,1015,2.135940e0
QQN-GoldenSection,2,2.491353e1
QQN-GoldenSection,55,2.491353e1
QQN-GoldenSection,106,4.024644e0
QQN-GoldenSection,157,3.793077e0
QQN-GoldenSection,205,3.616066e0
QQN-GoldenSection,256,3.476682e0
QQN-GoldenSection,305,3.349980e0
QQN-GoldenSection,356,3.241642e0
QQN-GoldenSection,405,3.138980e0
QQN-GoldenSection,456,3.047884e0
QQN-GoldenSection,505,2.959869e0
QQN-GoldenSection,556,2.880083e0
QQN-GoldenSection,605,2.802119e0
QQN-GoldenSection,657,2.730447e0
QQN-GoldenSection,707,2.659885e0
QQN-GoldenSection,759,2.594494e0
QQN-GoldenSection,809,2.529884e0
QQN-GoldenSection,861,2.469578e0
QQN-GoldenSection,911,2.409775e0
QQN-GoldenSection,963,2.353608e0
QQN-GoldenSection,1013,2.297718e0
QQN-GoldenSection,2,7.015894e1
QQN-GoldenSection,55,7.015894e1
QQN-GoldenSection,106,4.370944e0
QQN-GoldenSection,164,4.215945e0
QQN-GoldenSection,212,3.968499e0
QQN-GoldenSection,260,3.519548e0
QQN-GoldenSection,308,2.976838e0
QQN-GoldenSection,369,2.535435e0
QQN-GoldenSection,428,2.436006e0
QQN-GoldenSection,489,2.350031e0
QQN-GoldenSection,548,2.267357e0
QQN-GoldenSection,609,2.193853e0
QQN-GoldenSection,668,2.122183e0
QQN-GoldenSection,724,2.057224e0
QQN-GoldenSection,777,9.030673e-3
QQN-GoldenSection,830,9.011014e-3
QQN-GoldenSection,883,8.991381e-3
QQN-GoldenSection,936,8.971798e-3
QQN-GoldenSection,989,8.952264e-3
QQN-GoldenSection,1042,8.932780e-3
QQN-GoldenSection,2,3.163419e1
QQN-GoldenSection,55,3.163419e1
QQN-GoldenSection,106,3.875731e0
QQN-GoldenSection,157,3.677638e0
QQN-GoldenSection,205,3.518239e0
QQN-GoldenSection,256,3.389891e0
QQN-GoldenSection,304,3.272119e0
QQN-GoldenSection,355,3.170329e0
QQN-GoldenSection,404,3.073421e0
QQN-GoldenSection,455,2.986838e0
QQN-GoldenSection,504,2.902932e0
QQN-GoldenSection,555,2.826498e0
QQN-GoldenSection,604,2.751647e0
QQN-GoldenSection,655,2.682580e0
QQN-GoldenSection,704,2.614466e0
QQN-GoldenSection,755,2.551144e0
QQN-GoldenSection,805,2.488482e0
QQN-GoldenSection,856,2.429839e0
QQN-GoldenSection,906,2.371605e0
QQN-GoldenSection,957,2.316790e0
QQN-GoldenSection,1007,2.262176e0
QQN-GoldenSection,2,9.655847e1
QQN-GoldenSection,55,9.655847e1
QQN-GoldenSection,106,3.985114e0
QQN-GoldenSection,164,3.870785e0
QQN-GoldenSection,212,3.675854e0
QQN-GoldenSection,260,3.552455e0
QQN-GoldenSection,308,2.966309e0
QQN-GoldenSection,364,2.673468e0
QQN-GoldenSection,413,9.036690e-2
QQN-GoldenSection,465,8.095643e-2
QQN-GoldenSection,513,7.514872e-2
QQN-GoldenSection,564,3.030966e-2
QQN-GoldenSection,614,2.547112e-2
QQN-GoldenSection,667,1.687460e-2
QQN-GoldenSection,726,1.087725e-2
QQN-GoldenSection,774,3.411929e-3
QQN-GoldenSection,822,1.296501e-3
QQN-GoldenSection,870,1.973275e-4
QQN-GoldenSection,918,8.918687e-6
QQN-GoldenSection,966,7.343470e-7
QQN-GoldenSection,1014,9.652257e-10
QQN-GoldenSection,2,3.594490e1
QQN-GoldenSection,55,3.594490e1
QQN-GoldenSection,106,3.792721e0
QQN-GoldenSection,164,3.611439e0
QQN-GoldenSection,212,3.351116e0
QQN-GoldenSection,260,2.835068e0
QQN-GoldenSection,315,2.315326e0
QQN-GoldenSection,369,6.056183e-1
QQN-GoldenSection,422,5.889860e-1
QQN-GoldenSection,476,5.728979e-1
QQN-GoldenSection,529,5.577567e-1
QQN-GoldenSection,583,5.430294e-1
QQN-GoldenSection,636,5.290972e-1
QQN-GoldenSection,690,5.155021e-1
QQN-GoldenSection,743,5.025849e-1
QQN-GoldenSection,797,4.899449e-1
QQN-GoldenSection,850,4.778918e-1
QQN-GoldenSection,904,4.660716e-1
QQN-GoldenSection,957,4.547660e-1
QQN-GoldenSection,1011,4.436596e-1
QQN-GoldenSection,2,1.187333e2
QQN-GoldenSection,56,1.187333e2
QQN-GoldenSection,110,1.151018e-1
QQN-GoldenSection,168,1.150312e-1
QQN-GoldenSection,229,1.149494e-1
QQN-GoldenSection,290,1.148785e-1
QQN-GoldenSection,351,1.148077e-1
QQN-GoldenSection,412,1.147368e-1
QQN-GoldenSection,473,1.146660e-1
QQN-GoldenSection,534,1.145951e-1
QQN-GoldenSection,595,1.145242e-1
QQN-GoldenSection,656,1.144532e-1
QQN-GoldenSection,717,1.143823e-1
QQN-GoldenSection,778,1.143113e-1
QQN-GoldenSection,826,1.142403e-1
QQN-GoldenSection,887,1.129213e-1
QQN-GoldenSection,948,1.128508e-1
QQN-GoldenSection,1009,1.127802e-1
QQN-GoldenSection,2,5.415462e1
QQN-GoldenSection,56,5.415462e1
QQN-GoldenSection,110,1.788245e-1
QQN-GoldenSection,168,1.787357e-1
QQN-GoldenSection,223,1.786320e-1
QQN-GoldenSection,277,9.753439e-4
QQN-GoldenSection,335,9.664411e-4
QQN-GoldenSection,383,6.511579e-4
QQN-GoldenSection,431,5.201097e-5
QQN-GoldenSection,479,3.739958e-6
QQN-GoldenSection,527,9.089929e-8
QQN-GoldenSection,575,6.526068e-9
QQN-GoldenSection,623,5.488880e-13
QQN-GoldenSection,627,1.982259e-16
QQN-GoldenSection,2,3.793677e1
QQN-GoldenSection,55,3.793677e1
QQN-GoldenSection,106,3.998202e0
QQN-GoldenSection,157,3.808839e0
QQN-GoldenSection,205,3.653488e0
QQN-GoldenSection,256,3.526531e0
QQN-GoldenSection,304,3.409369e0
QQN-GoldenSection,355,3.307304e0
QQN-GoldenSection,404,3.209836e0
QQN-GoldenSection,455,3.122308e0
QQN-GoldenSection,504,3.037331e0
QQN-GoldenSection,555,2.959650e0
QQN-GoldenSection,604,2.883495e0
QQN-GoldenSection,655,2.813047e0
QQN-GoldenSection,704,2.743534e0
QQN-GoldenSection,755,2.678811e0
QQN-GoldenSection,804,2.614770e0
QQN-GoldenSection,855,2.554782e0
QQN-GoldenSection,905,2.495247e0
QQN-GoldenSection,956,2.439181e0
QQN-GoldenSection,1006,2.383375e0
QQN-GoldenSection,2,4.394837e0
QQN-GoldenSection,55,4.394837e0
QQN-GoldenSection,106,3.994720e0
QQN-GoldenSection,157,3.775041e0
QQN-GoldenSection,205,3.603876e0
QQN-GoldenSection,256,3.467937e0
QQN-GoldenSection,305,3.343940e0
QQN-GoldenSection,356,3.237480e0
QQN-GoldenSection,405,3.136423e0
QQN-GoldenSection,456,3.046510e0
QQN-GoldenSection,505,2.959545e0
QQN-GoldenSection,556,2.880564e0
QQN-GoldenSection,605,2.803329e0
QQN-GoldenSection,657,2.732231e0
QQN-GoldenSection,706,2.662197e0
QQN-GoldenSection,758,2.597225e0
QQN-GoldenSection,808,2.533002e0
QQN-GoldenSection,860,2.473007e0
