Optimizer,MaxEvaluation,ObjectiveValue,LogObjectiveValue
QQN-GoldenSection,2,1.188132e3,3.074865e0
QQN-GoldenSection,55,1.188132e3,3.074865e0
QQN-GoldenSection,110,1.534760e2,2.186040e0
QQN-GoldenSection,168,2.983472e1,1.474722e0
QQN-GoldenSection,216,1.054199e1,1.022923e0
QQN-GoldenSection,264,4.712953e0,6.732931e-1
QQN-GoldenSection,312,4.613050e0,6.639881e-1
QQN-GoldenSection,360,4.583102e0,6.611595e-1
QQN-GoldenSection,408,4.574341e0,6.603285e-1
QQN-GoldenSection,456,4.570288e0,6.599436e-1
QQN-GoldenSection,504,4.558004e0,6.587747e-1
QQN-GoldenSection,552,4.531074e0,6.562012e-1
QQN-GoldenSection,600,4.497721e0,6.529925e-1
QQN-GoldenSection,662,4.405922e0,6.440368e-1
QQN-GoldenSection,721,4.272230e0,6.306546e-1
QQN-GoldenSection,783,4.229856e0,6.263256e-1
QQN-GoldenSection,843,4.185128e0,6.217088e-1
QQN-GoldenSection,904,4.143125e0,6.173281e-1
QQN-GoldenSection,964,4.098977e0,6.126755e-1
QQN-GoldenSection,1025,4.057247e0,6.082314e-1
QQN-GoldenSection,2,1.035972e3,3.015348e0
QQN-GoldenSection,55,1.035972e3,3.015348e0
QQN-GoldenSection,110,9.281794e1,1.967632e0
QQN-GoldenSection,168,1.752707e1,1.243709e0
QQN-GoldenSection,216,9.723829e0,9.878373e-1
QQN-GoldenSection,264,4.620505e0,6.646895e-1
QQN-GoldenSection,312,4.583405e0,6.611882e-1
QQN-GoldenSection,360,4.579734e0,6.608403e-1
QQN-GoldenSection,408,4.575792e0,6.604663e-1
QQN-GoldenSection,456,4.557047e0,6.586835e-1
QQN-GoldenSection,504,4.511398e0,6.543111e-1
QQN-GoldenSection,552,4.466104e0,6.499288e-1
QQN-GoldenSection,614,4.351902e0,6.386791e-1
QQN-GoldenSection,673,4.298870e0,6.333543e-1
QQN-GoldenSection,735,4.261646e0,6.295774e-1
QQN-GoldenSection,795,4.222053e0,6.255237e-1
QQN-GoldenSection,856,4.184518e0,6.216454e-1
QQN-GoldenSection,916,4.144514e0,6.174736e-1
QQN-GoldenSection,977,4.106203e0,6.134404e-1
QQN-GoldenSection,1037,4.065411e0,6.091044e-1
QQN-GoldenSection,2,1.022706e3,3.009751e0
QQN-GoldenSection,55,1.022706e3,3.009751e0
QQN-GoldenSection,110,1.382070e2,2.140530e0
QQN-GoldenSection,168,2.991139e1,1.475837e0
QQN-GoldenSection,216,1.457289e1,1.163546e0
QQN-GoldenSection,264,4.650520e0,6.675015e-1
QQN-GoldenSection,312,4.565445e0,6.594831e-1
QQN-GoldenSection,360,4.560829e0,6.590438e-1
QQN-GoldenSection,408,4.556647e0,6.586454e-1
QQN-GoldenSection,456,4.539318e0,6.569906e-1
QQN-GoldenSection,504,4.499343e0,6.531491e-1
QQN-GoldenSection,552,4.461159e0,6.494477e-1
QQN-GoldenSection,600,4.374325e0,6.409110e-1
QQN-GoldenSection,648,4.280406e0,6.314850e-1
QQN-GoldenSection,709,4.134783e0,6.164527e-1
QQN-GoldenSection,770,4.101106e0,6.129010e-1
QQN-GoldenSection,831,4.066887e0,6.092621e-1
QQN-GoldenSection,892,4.029549e0,6.052564e-1
QQN-GoldenSection,952,3.991386e0,6.011238e-1
QQN-GoldenSection,1013,3.949136e0,5.965021e-1
QQN-GoldenSection,2,8.999880e2,2.954237e0
QQN-GoldenSection,55,8.999880e2,2.954237e0
QQN-GoldenSection,110,1.730952e2,2.238285e0
QQN-GoldenSection,164,4.241243e1,1.627493e0
QQN-GoldenSection,222,3.865606e0,5.872175e-1
QQN-GoldenSection,270,1.636900e0,2.140221e-1
QQN-GoldenSection,318,8.939633e-1,-4.868033e-2
QQN-GoldenSection,366,7.666144e-1,-1.154230e-1
QQN-GoldenSection,414,6.981873e-1,-1.560281e-1
QQN-GoldenSection,462,6.671818e-1,-1.757558e-1
QQN-GoldenSection,510,6.388803e-1,-1.945805e-1
QQN-GoldenSection,558,5.893695e-1,-2.296123e-1
QQN-GoldenSection,606,5.213493e-1,-2.828712e-1
QQN-GoldenSection,654,3.957323e-1,-4.025985e-1
QQN-GoldenSection,702,3.506741e-1,-4.550963e-1
