Optimizer,MaxEvaluation,ObjectiveValue,LogObjectiveValue
QQN-GoldenSection,2,4.568247e0,6.597496e-1
QQN-GoldenSection,56,4.568247e0,6.597496e-1
QQN-GoldenSection,108,3.342112e0,5.240210e-1
QQN-GoldenSection,163,2.757710e0,4.405486e-1
QQN-GoldenSection,218,2.752720e0,4.397620e-1
QQN-GoldenSection,276,2.752709e0,4.397603e-1
QQN-GoldenSection,290,2.752709e0,4.397603e-1
QQN-GoldenSection,294,2.752709e0,4.397603e-1
QQN-GoldenSection,2,5.824982e0,7.652946e-1
QQN-GoldenSection,52,5.824982e0,7.652946e-1
QQN-GoldenSection,107,1.108295e0,4.465547e-2
QQN-GoldenSection,165,9.888615e-1,-4.864511e-3
QQN-GoldenSection,213,9.888277e-1,-4.879396e-3
QQN-GoldenSection,261,9.888265e-1,-4.879909e-3
QQN-GoldenSection,275,9.888265e-1,-4.879909e-3
QQN-GoldenSection,279,9.888265e-1,-4.879909e-3
QQN-GoldenSection,2,2.289278e0,3.596985e-1
QQN-GoldenSection,56,2.289278e0,3.596985e-1
QQN-GoldenSection,111,2.004881e0,3.020886e-1
QQN-GoldenSection,169,1.981599e0,2.970158e-1
QQN-GoldenSection,217,1.980927e0,2.968686e-1
QQN-GoldenSection,265,1.980921e0,2.968673e-1
QQN-GoldenSection,279,1.980921e0,2.968673e-1
QQN-GoldenSection,293,1.980921e0,2.968673e-1
QQN-GoldenSection,297,1.980921e0,2.968673e-1
QQN-GoldenSection,2,3.596357e0,5.558628e-1
QQN-GoldenSection,52,3.596357e0,5.558628e-1
QQN-GoldenSection,107,1.468445e-1,-8.331423e-1
QQN-GoldenSection,165,1.308147e-1,-8.833434e-1
QQN-GoldenSection,213,1.257260e-1,-9.005748e-1
QQN-GoldenSection,261,1.106027e-1,-9.562341e-1
QQN-GoldenSection,309,1.098780e-1,-9.590892e-1
QQN-GoldenSection,357,1.098737e-1,-9.591064e-1
QQN-GoldenSection,361,1.098737e-1,-9.591064e-1
QQN-GoldenSection,2,2.335159e0,3.683165e-1
QQN-GoldenSection,56,2.335159e0,3.683165e-1
QQN-GoldenSection,111,1.990245e0,2.989066e-1
QQN-GoldenSection,169,1.981194e0,2.969270e-1
QQN-GoldenSection,217,1.980923e0,2.968676e-1
QQN-GoldenSection,231,1.980921e0,2.968673e-1
QQN-GoldenSection,279,1.980921e0,2.968673e-1
QQN-GoldenSection,283,1.980921e0,2.968673e-1
QQN-GoldenSection,2,3.437652e0,5.362619e-1
QQN-GoldenSection,56,3.437652e0,5.362619e-1
QQN-GoldenSection,108,3.356653e0,5.259065e-1
QQN-GoldenSection,163,2.848871e0,4.546728e-1
QQN-GoldenSection,218,2.755569e0,4.402112e-1
QQN-GoldenSection,276,2.752785e0,4.397723e-1
