Optimizer,MaxEvaluation,ObjectiveValue
QQN-GoldenSection,2,1.447284e0
QQN-GoldenSection,49,1.447284e0
QQN-GoldenSection,107,8.637831e-2
QQN-GoldenSection,162,3.843091e-2
QQN-GoldenSection,221,1.367210e-2
QQN-GoldenSection,269,1.270076e-3
QQN-GoldenSection,317,2.918863e-4
QQN-GoldenSection,365,8.310089e-6
QQN-GoldenSection,413,9.377918e-8
QQN-GoldenSection,461,3.997587e-10
QQN-GoldenSection,509,8.491829e-13
QQN-GoldenSection,513,2.403439e-16
QQN-GoldenSection,2,1.278788e0
QQN-GoldenSection,49,1.278788e0
QQN-GoldenSection,107,6.877901e-2
QQN-GoldenSection,155,2.986483e-2
QQN-GoldenSection,203,2.767887e-2
QQN-GoldenSection,251,7.187262e-5
QQN-GoldenSection,299,1.795918e-5
QQN-GoldenSection,347,1.273150e-6
QQN-GoldenSection,395,1.848565e-9
QQN-GoldenSection,443,4.992331e-12
QQN-GoldenSection,447,1.659038e-15
QQN-GoldenSection,2,9.396354e-1
QQN-GoldenSection,49,9.396354e-1
QQN-GoldenSection,107,7.717222e-2
QQN-GoldenSection,155,3.375547e-2
QQN-GoldenSection,203,3.355694e-2
QQN-GoldenSection,251,9.192788e-6
QQN-GoldenSection,299,2.212639e-7
QQN-GoldenSection,347,1.735212e-8
QQN-GoldenSection,395,4.493894e-9
QQN-GoldenSection,443,1.217382e-11
QQN-GoldenSection,447,8.596857e-14
QQN-GoldenSection,2,1.180991e0
QQN-GoldenSection,49,1.180991e0
QQN-GoldenSection,107,9.304704e-2
QQN-GoldenSection,162,4.214214e-2
QQN-GoldenSection,221,1.433328e-2
QQN-GoldenSection,269,1.416767e-3
QQN-GoldenSection,317,3.006080e-4
QQN-GoldenSection,365,1.967674e-5
QQN-GoldenSection,413,4.050832e-7
QQN-GoldenSection,461,2.642145e-9
QQN-GoldenSection,509,8.375780e-12
QQN-GoldenSection,513,3.919133e-15
QQN-GoldenSection,2,9.689091e-1
QQN-GoldenSection,49,9.689091e-1
QQN-GoldenSection,107,6.373902e-2
QQN-GoldenSection,155,2.768380e-2
QQN-GoldenSection,203,2.460489e-2
QQN-GoldenSection,251,1.302723e-4
QQN-GoldenSection,299,3.447130e-5
QQN-GoldenSection,347,1.349093e-6
QQN-GoldenSection,395,3.057078e-9
QQN-GoldenSection,443,6.326293e-12
QQN-GoldenSection,447,2.824001e-15
QQN-GoldenSection,2,9.163669e-1
QQN-GoldenSection,49,9.163669e-1
QQN-GoldenSection,107,8.690576e-2
QQN-GoldenSection,162,3.872455e-2
QQN-GoldenSection,221,1.352649e-2
QQN-GoldenSection,269,1.258077e-3
QQN-GoldenSection,317,2.907826e-4
QQN-GoldenSection,365,8.203783e-6
QQN-GoldenSection,413,9.178747e-8
QQN-GoldenSection,461,3.867669e-10
QQN-GoldenSection,509,8.140880e-13
QQN-GoldenSection,513,2.274667e-16
QQN-GoldenSection,2,1.664544e0
QQN-GoldenSection,49,1.664544e0
QQN-GoldenSection,107,1.004270e-1
QQN-GoldenSection,162,4.667090e-2
QQN-GoldenSection,221,1.379553e-2
QQN-GoldenSection,269,1.531449e-3
QQN-GoldenSection,317,2.938072e-4
QQN-GoldenSection,365,3.412804e-5
QQN-GoldenSection,413,7.601208e-7
QQN-GoldenSection,461,6.871773e-9
QQN-GoldenSection,509,2.367718e-11
QQN-GoldenSection,513,1.695639e-14
QQN-GoldenSection,2,1.423705e0
QQN-GoldenSection,49,1.423705e0
QQN-GoldenSection,107,5.148984e-2
QQN-GoldenSection,155,2.273239e-2
QQN-GoldenSection,203,1.885883e-2
QQN-GoldenSection,251,2.556830e-4
QQN-GoldenSection,299,6.646316e-5
QQN-GoldenSection,347,1.614162e-6
QQN-GoldenSection,395,3.636334e-9
QQN-GoldenSection,443,8.126281e-12
QQN-GoldenSection,447,2.305020e-15
QQN-GoldenSection,2,1.588476e0
