Optimizer,MaxEvaluation,ObjectiveValue
QQN-GoldenSection,2,1.764626e1
QQN-GoldenSection,50,1.764626e1
QQN-GoldenSection,99,4.434202e-1
QQN-GoldenSection,148,8.840914e-2
QQN-GoldenSection,196,7.191400e-2
QQN-GoldenSection,253,7.155150e-2
QQN-GoldenSection,301,7.154667e-2
QQN-GoldenSection,349,7.154664e-2
QQN-GoldenSection,353,7.154664e-2
QQN-GoldenSection,2,1.867142e1
QQN-GoldenSection,50,1.867142e1
QQN-GoldenSection,99,4.444201e-1
QQN-GoldenSection,148,8.834529e-2
QQN-GoldenSection,196,7.185842e-2
QQN-GoldenSection,253,7.155042e-2
QQN-GoldenSection,301,7.154669e-2
QQN-GoldenSection,349,7.154665e-2
QQN-GoldenSection,353,7.154664e-2
QQN-GoldenSection,2,1.751388e1
QQN-GoldenSection,50,1.751388e1
QQN-GoldenSection,99,4.880861e-1
QQN-GoldenSection,148,9.142101e-2
QQN-GoldenSection,196,7.187955e-2
QQN-GoldenSection,252,7.155177e-2
QQN-GoldenSection,300,7.154669e-2
QQN-GoldenSection,348,7.154665e-2
QQN-GoldenSection,362,7.154664e-2
QQN-GoldenSection,366,7.154664e-2
QQN-GoldenSection,2,1.563235e1
QQN-GoldenSection,50,1.563235e1
QQN-GoldenSection,99,4.032974e-1
QQN-GoldenSection,148,8.604578e-2
QQN-GoldenSection,196,7.182458e-2
QQN-GoldenSection,253,7.154970e-2
QQN-GoldenSection,301,7.154666e-2
QQN-GoldenSection,349,7.154664e-2
QQN-GoldenSection,397,7.154664e-2
QQN-GoldenSection,401,7.154664e-2
QQN-GoldenSection,2,1.710839e1
QQN-GoldenSection,50,1.710839e1
QQN-GoldenSection,99,4.686322e-1
QQN-GoldenSection,148,9.009588e-2
QQN-GoldenSection,196,7.194066e-2
QQN-GoldenSection,252,7.155244e-2
QQN-GoldenSection,300,7.154666e-2
QQN-GoldenSection,348,7.154664e-2
QQN-GoldenSection,352,7.154664e-2
QQN-GoldenSection,2,1.871757e1
QQN-GoldenSection,50,1.871757e1
QQN-GoldenSection,99,4.416973e-1
QQN-GoldenSection,148,8.765866e-2
QQN-GoldenSection,196,7.187062e-2
QQN-GoldenSection,253,7.155023e-2
QQN-GoldenSection,301,7.154667e-2
QQN-GoldenSection,349,7.154665e-2
QQN-GoldenSection,353,7.154664e-2
QQN-GoldenSection,2,1.923792e1
QQN-GoldenSection,50,1.923792e1
QQN-GoldenSection,99,5.021672e-1
QQN-GoldenSection,148,9.149095e-2
QQN-GoldenSection,196,7.188960e-2
QQN-GoldenSection,252,7.155143e-2
QQN-GoldenSection,300,7.154669e-2
QQN-GoldenSection,348,7.154665e-2
QQN-GoldenSection,352,7.154664e-2
QQN-GoldenSection,2,1.770291e1
QQN-GoldenSection,50,1.770291e1
QQN-GoldenSection,99,4.367991e-1
QQN-GoldenSection,148,8.687112e-2
QQN-GoldenSection,196,7.176208e-2
QQN-GoldenSection,252,7.154788e-2
QQN-GoldenSection,300,7.154667e-2
QQN-GoldenSection,348,7.154664e-2
QQN-GoldenSection,352,7.154664e-2
QQN-GoldenSection,2,1.750324e1
QQN-GoldenSection,50,1.750324e1
QQN-GoldenSection,99,4.758718e-1
QQN-GoldenSection,148,9.016279e-2
QQN-GoldenSection,196,7.188701e-2
QQN-GoldenSection,252,7.155159e-2
QQN-GoldenSection,300,7.154667e-2
QQN-GoldenSection,348,7.154664e-2
QQN-GoldenSection,352,7.154664e-2
QQN-GoldenSection,2,1.714629e1
QQN-GoldenSection,50,1.714629e1
QQN-GoldenSection,99,4.577194e-1
QQN-GoldenSection,148,8.899160e-2
QQN-GoldenSection,196,7.182539e-2
QQN-GoldenSection,252,7.155019e-2
QQN-GoldenSection,300,7.154668e-2
QQN-GoldenSection,348,7.154665e-2
QQN-GoldenSection,352,7.154664e-2
QQN-GoldenSection,2,1.824474e1
QQN-GoldenSection,50,1.824474e1
QQN-GoldenSection,99,4.518356e-1
QQN-GoldenSection,148,8.824556e-2
QQN-GoldenSection,196,7.190296e-2
QQN-GoldenSection,253,7.155092e-2
QQN-GoldenSection,301,7.154666e-2
QQN-GoldenSection,349,7.154664e-2
QQN-GoldenSection,353,7.154664e-2
QQN-GoldenSection,2,1.889584e1
QQN-GoldenSection,50,1.889584e1
QQN-GoldenSection,99,4.672509e-1
QQN-GoldenSection,148,8.838638e-2
QQN-GoldenSection,196,7.180519e-2
QQN-GoldenSection,252,7.154891e-2
QQN-GoldenSection,300,7.154667e-2
QQN-GoldenSection,348,7.154664e-2
QQN-GoldenSection,362,7.154664e-2
QQN-GoldenSection,366,7.154664e-2
QQN-GoldenSection,2,2.017798e1
QQN-GoldenSection,50,2.017798e1
QQN-GoldenSection,99,5.339408e-1
QQN-GoldenSection,148,9.196791e-2
QQN-GoldenSection,196,7.185575e-2
QQN-GoldenSection,252,7.155002e-2
QQN-GoldenSection,300,7.154668e-2
QQN-GoldenSection,348,7.154664e-2
QQN-GoldenSection,362,7.154664e-2
QQN-GoldenSection,366,7.154664e-2
QQN-GoldenSection,2,1.796731e1
QQN-GoldenSection,50,1.796731e1
QQN-GoldenSection,99,4.286985e-1
QQN-GoldenSection,148,8.828696e-2
QQN-GoldenSection,196,7.188551e-2
QQN-GoldenSection,253,7.155100e-2
QQN-GoldenSection,301,7.154670e-2
QQN-GoldenSection,349,7.154665e-2
QQN-GoldenSection,363,7.154664e-2
QQN-GoldenSection,367,7.154664e-2
QQN-GoldenSection,2,1.949867e1
QQN-GoldenSection,50,1.949867e1
QQN-GoldenSection,99,4.667248e-1
QQN-GoldenSection,148,9.000874e-2
QQN-GoldenSection,196,7.194159e-2
QQN-GoldenSection,253,7.155137e-2
QQN-GoldenSection,301,7.154669e-2
QQN-GoldenSection,349,7.154665e-2
QQN-GoldenSection,363,7.154664e-2
QQN-GoldenSection,367,7.154664e-2
QQN-GoldenSection,2,1.779785e1
QQN-GoldenSection,50,1.779785e1
QQN-GoldenSection,99,4.114258e-1
QQN-GoldenSection,148,8.632819e-2
QQN-GoldenSection,206,7.181393e-2
QQN-GoldenSection,254,7.154897e-2
QQN-GoldenSection,302,7.154668e-2
QQN-GoldenSection,350,7.154664e-2
QQN-GoldenSection,354,7.154664e-2
QQN-GoldenSection,2,1.928379e1
QQN-GoldenSection,50,1.928379e1
QQN-GoldenSection,99,4.926301e-1
QQN-GoldenSection,148,8.950489e-2
QQN-GoldenSection,196,7.184687e-2
QQN-GoldenSection,252,7.154989e-2
QQN-GoldenSection,300,7.154667e-2
QQN-GoldenSection,348,7.154664e-2
QQN-GoldenSection,362,7.154664e-2
QQN-GoldenSection,366,7.154664e-2
QQN-GoldenSection,2,1.752234e1
QQN-GoldenSection,50,1.752234e1
QQN-GoldenSection,99,4.494894e-1
QQN-GoldenSection,148,8.926255e-2
QQN-GoldenSection,196,7.191059e-2
QQN-GoldenSection,253,7.155144e-2
QQN-GoldenSection,301,7.154668e-2
QQN-GoldenSection,349,7.154665e-2
QQN-GoldenSection,397,7.154664e-2
