Optimizer,MaxEvaluation,ObjectiveValue,LogObjectiveValue
QQN-GoldenSection,2,1.162370e2,2.065344e0
QQN-GoldenSection,50,1.162370e2,2.065344e0
QQN-GoldenSection,99,6.001096e0,7.782306e-1
QQN-GoldenSection,159,1.021207e0,9.113804e-3
QQN-GoldenSection,207,4.915417e-1,-3.084396e-1
QQN-GoldenSection,255,4.818821e-1,-3.170592e-1
QQN-GoldenSection,303,4.816519e-1,-3.172668e-1
QQN-GoldenSection,351,4.816491e-1,-3.172693e-1
QQN-GoldenSection,399,4.816489e-1,-3.172694e-1
QQN-GoldenSection,447,4.816489e-1,-3.172694e-1
QQN-GoldenSection,451,4.816489e-1,-3.172694e-1
QQN-GoldenSection,2,1.160853e2,2.064777e0
QQN-GoldenSection,50,1.160853e2,2.064777e0
QQN-GoldenSection,99,5.786162e0,7.623906e-1
QQN-GoldenSection,158,9.685445e-1,-1.388043e-2
QQN-GoldenSection,206,4.903153e-1,-3.095246e-1
QQN-GoldenSection,254,4.818906e-1,-3.170516e-1
QQN-GoldenSection,302,4.816548e-1,-3.172641e-1
QQN-GoldenSection,350,4.816492e-1,-3.172691e-1
QQN-GoldenSection,364,4.816489e-1,-3.172694e-1
QQN-GoldenSection,378,4.816489e-1,-3.172694e-1
QQN-GoldenSection,426,4.816489e-1,-3.172694e-1
QQN-GoldenSection,440,4.816489e-1,-3.172694e-1
QQN-GoldenSection,454,4.816489e-1,-3.172694e-1
QQN-GoldenSection,502,4.816489e-1,-3.172694e-1
QQN-GoldenSection,506,4.816489e-1,-3.172694e-1
QQN-GoldenSection,2,1.147808e2,2.059869e0
QQN-GoldenSection,50,1.147808e2,2.059869e0
QQN-GoldenSection,99,5.749324e0,7.596168e-1
QQN-GoldenSection,158,9.759300e-1,-1.058132e-2
QQN-GoldenSection,206,4.904606e-1,-3.093959e-1
QQN-GoldenSection,254,4.818840e-1,-3.170575e-1
QQN-GoldenSection,302,4.816548e-1,-3.172641e-1
QQN-GoldenSection,350,4.816492e-1,-3.172692e-1
QQN-GoldenSection,398,4.816489e-1,-3.172694e-1
QQN-GoldenSection,412,4.816489e-1,-3.172694e-1
QQN-GoldenSection,460,4.816489e-1,-3.172694e-1
QQN-GoldenSection,464,4.816489e-1,-3.172694e-1
QQN-GoldenSection,2,1.177120e2,2.070821e0
QQN-GoldenSection,50,1.177120e2,2.070821e0
QQN-GoldenSection,99,5.873863e0,7.689238e-1
QQN-GoldenSection,159,1.013772e0,5.940156e-3
QQN-GoldenSection,207,4.912051e-1,-3.087371e-1
QQN-GoldenSection,255,4.818763e-1,-3.170644e-1
QQN-GoldenSection,303,4.816518e-1,-3.172669e-1
QQN-GoldenSection,351,4.816491e-1,-3.172693e-1
QQN-GoldenSection,365,4.816489e-1,-3.172694e-1
QQN-GoldenSection,413,4.816489e-1,-3.172694e-1
QQN-GoldenSection,427,4.816489e-1,-3.172694e-1
QQN-GoldenSection,431,4.816489e-1,-3.172694e-1
QQN-GoldenSection,2,1.172234e2,2.069014e0
QQN-GoldenSection,50,1.172234e2,2.069014e0
QQN-GoldenSection,99,6.100409e0,7.853589e-1
QQN-GoldenSection,159,1.047103e0,1.998921e-2
QQN-GoldenSection,207,4.925859e-1,-3.075180e-1
QQN-GoldenSection,255,4.818945e-1,-3.170480e-1
QQN-GoldenSection,303,4.816522e-1,-3.172665e-1
QQN-GoldenSection,351,4.816491e-1,-3.172692e-1
QQN-GoldenSection,399,4.816489e-1,-3.172694e-1
QQN-GoldenSection,413,4.816489e-1,-3.172694e-1
QQN-GoldenSection,417,4.816489e-1,-3.172694e-1
QQN-GoldenSection,2,1.151464e2,2.061250e0
QQN-GoldenSection,50,1.151464e2,2.061250e0
QQN-GoldenSection,99,5.802252e0,7.635966e-1
QQN-GoldenSection,159,9.995152e-1,-2.106078e-4
QQN-GoldenSection,207,4.910440e-1,-3.088796e-1
QQN-GoldenSection,255,4.818805e-1,-3.170606e-1
QQN-GoldenSection,303,4.816529e-1,-3.172658e-1
QQN-GoldenSection,351,4.816491e-1,-3.172692e-1
QQN-GoldenSection,365,4.816489e-1,-3.172694e-1
QQN-GoldenSection,379,4.816489e-1,-3.172694e-1
QQN-GoldenSection,383,4.816489e-1,-3.172694e-1
QQN-GoldenSection,2,1.152395e2,2.061601e0
QQN-GoldenSection,50,1.152395e2,2.061601e0
QQN-GoldenSection,99,5.845985e0,7.668577e-1
QQN-GoldenSection,159,1.004601e0,1.993775e-3
QQN-GoldenSection,207,4.905774e-1,-3.092925e-1
QQN-GoldenSection,255,4.818727e-1,-3.170677e-1
QQN-GoldenSection,303,4.816532e-1,-3.172655e-1
QQN-GoldenSection,351,4.816491e-1,-3.172692e-1
QQN-GoldenSection,365,4.816489e-1,-3.172694e-1
QQN-GoldenSection,379,4.816489e-1,-3.172694e-1
QQN-GoldenSection,393,4.816489e-1,-3.172694e-1
QQN-GoldenSection,407,4.816489e-1,-3.172694e-1
QQN-GoldenSection,421,4.816489e-1,-3.172694e-1
QQN-GoldenSection,425,4.816489e-1,-3.172694e-1
QQN-GoldenSection,2,1.179074e2,2.071541e0
QQN-GoldenSection,50,1.179074e2,2.071541e0
QQN-GoldenSection,99,5.943657e0,7.740538e-1
QQN-GoldenSection,159,1.012336e0,5.324691e-3
QQN-GoldenSection,207,4.914743e-1,-3.084992e-1
QQN-GoldenSection,255,4.818976e-1,-3.170452e-1
QQN-GoldenSection,303,4.816530e-1,-3.172658e-1
QQN-GoldenSection,351,4.816491e-1,-3.172692e-1
QQN-GoldenSection,365,4.816489e-1,-3.172694e-1
QQN-GoldenSection,379,4.816489e-1,-3.172694e-1
QQN-GoldenSection,427,4.816489e-1,-3.172694e-1
QQN-GoldenSection,431,4.816489e-1,-3.172694e-1
QQN-GoldenSection,2,1.124318e2,2.050889e0
QQN-GoldenSection,50,1.124318e2,2.050889e0
QQN-GoldenSection,99,5.636828e0,7.510347e-1
QQN-GoldenSection,159,9.941210e-1,-2.560737e-3
QQN-GoldenSection,207,4.913541e-1,-3.086054e-1
QQN-GoldenSection,255,4.818666e-1,-3.170732e-1
QQN-GoldenSection,303,4.816523e-1,-3.172663e-1
QQN-GoldenSection,351,4.816491e-1,-3.172693e-1
QQN-GoldenSection,365,4.816489e-1,-3.172694e-1
QQN-GoldenSection,379,4.816489e-1,-3.172694e-1
QQN-GoldenSection,427,4.816489e-1,-3.172694e-1
QQN-GoldenSection,431,4.816489e-1,-3.172694e-1
QQN-GoldenSection,2,1.160745e2,2.064737e0
QQN-GoldenSection,50,1.160745e2,2.064737e0
QQN-GoldenSection,99,6.069549e0,7.831564e-1
QQN-GoldenSection,159,1.044000e0,1.870035e-2
QQN-GoldenSection,207,4.922022e-1,-3.078564e-1
QQN-GoldenSection,255,4.818865e-1,-3.170553e-1
QQN-GoldenSection,303,4.816516e-1,-3.172670e-1
QQN-GoldenSection,351,4.816491e-1,-3.172693e-1
QQN-GoldenSection,365,4.816489e-1,-3.172694e-1
QQN-GoldenSection,379,4.816489e-1,-3.172694e-1
QQN-GoldenSection,393,4.816489e-1,-3.172694e-1
QQN-GoldenSection,441,4.816489e-1,-3.172694e-1
QQN-GoldenSection,445,4.816489e-1,-3.172694e-1
QQN-GoldenSection,2,1.131246e2,2.053557e0
QQN-GoldenSection,50,1.131246e2,2.053557e0
QQN-GoldenSection,99,5.707125e0,7.564174e-1
QQN-GoldenSection,159,9.917321e-1,-3.605620e-3
QQN-GoldenSection,207,4.916354e-1,-3.083569e-1
QQN-GoldenSection,255,4.818757e-1,-3.170649e-1
QQN-GoldenSection,303,4.816519e-1,-3.172667e-1
QQN-GoldenSection,351,4.816491e-1,-3.172693e-1
QQN-GoldenSection,365,4.816489e-1,-3.172694e-1
QQN-GoldenSection,379,4.816489e-1,-3.172694e-1
QQN-GoldenSection,393,4.816489e-1,-3.172694e-1
QQN-GoldenSection,397,4.816489e-1,-3.172694e-1
QQN-GoldenSection,2,1.241417e2,2.093918e0
QQN-GoldenSection,50,1.241417e2,2.093918e0
QQN-GoldenSection,99,6.148055e0,7.887378e-1
QQN-GoldenSection,158,1.022724e0,9.758349e-3
QQN-GoldenSection,206,4.912611e-1,-3.086876e-1
QQN-GoldenSection,254,4.819017e-1,-3.170415e-1
QQN-GoldenSection,302,4.816536e-1,-3.172652e-1
QQN-GoldenSection,350,4.816492e-1,-3.172692e-1
QQN-GoldenSection,364,4.816489e-1,-3.172694e-1
QQN-GoldenSection,378,4.816489e-1,-3.172694e-1
QQN-GoldenSection,392,4.816489e-1,-3.172694e-1
QQN-GoldenSection,406,4.816489e-1,-3.172694e-1
QQN-GoldenSection,410,4.816489e-1,-3.172694e-1
QQN-GoldenSection,2,1.162399e2,2.065355e0
QQN-GoldenSection,50,1.162399e2,2.065355e0
QQN-GoldenSection,99,5.758423e0,7.603036e-1
QQN-GoldenSection,158,9.817918e-1,-7.980578e-3
QQN-GoldenSection,206,4.903665e-1,-3.094792e-1
QQN-GoldenSection,254,4.818710e-1,-3.170692e-1
QQN-GoldenSection,302,4.816532e-1,-3.172655e-1
QQN-GoldenSection,350,4.816491e-1,-3.172692e-1
QQN-GoldenSection,398,4.816489e-1,-3.172694e-1
QQN-GoldenSection,446,4.816489e-1,-3.172694e-1
QQN-GoldenSection,494,4.816489e-1,-3.172694e-1
QQN-GoldenSection,498,4.816489e-1,-3.172694e-1
QQN-GoldenSection,2,1.124311e2,2.050886e0
QQN-GoldenSection,50,1.124311e2,2.050886e0
QQN-GoldenSection,99,5.590998e0,7.474893e-1
QQN-GoldenSection,158,9.486317e-1,-2.290237e-2
QQN-GoldenSection,206,4.905168e-1,-3.093461e-1
QQN-GoldenSection,254,4.818831e-1,-3.170583e-1
QQN-GoldenSection,302,4.816546e-1,-3.172643e-1
QQN-GoldenSection,350,4.816492e-1,-3.172691e-1
QQN-GoldenSection,398,4.816489e-1,-3.172694e-1
QQN-GoldenSection,412,4.816489e-1,-3.172694e-1
QQN-GoldenSection,426,4.816489e-1,-3.172694e-1
QQN-GoldenSection,430,4.816489e-1,-3.172694e-1
QQN-GoldenSection,2,1.173407e2,2.069449e0
QQN-GoldenSection,50,1.173407e2,2.069449e0
QQN-GoldenSection,99,5.792956e0,7.629002e-1
QQN-GoldenSection,158,9.883097e-1,-5.106935e-3
QQN-GoldenSection,206,4.910450e-1,-3.088787e-1
QQN-GoldenSection,254,4.818898e-1,-3.170523e-1
QQN-GoldenSection,302,4.816523e-1,-3.172664e-1
QQN-GoldenSection,350,4.816491e-1,-3.172692e-1
QQN-GoldenSection,364,4.816489e-1,-3.172694e-1
QQN-GoldenSection,412,4.816489e-1,-3.172694e-1
QQN-GoldenSection,426,4.816489e-1,-3.172694e-1
QQN-GoldenSection,440,4.816489e-1,-3.172694e-1
QQN-GoldenSection,488,4.816489e-1,-3.172694e-1
QQN-GoldenSection,492,4.816489e-1,-3.172694e-1
QQN-GoldenSection,2,1.141542e2,2.057492e0
QQN-GoldenSection,50,1.141542e2,2.057492e0
QQN-GoldenSection,99,5.673060e0,7.538174e-1
QQN-GoldenSection,158,9.781764e-1,-9.582804e-3
QQN-GoldenSection,206,4.909640e-1,-3.089503e-1
QQN-GoldenSection,254,4.818784e-1,-3.170625e-1
QQN-GoldenSection,302,4.816535e-1,-3.172653e-1
QQN-GoldenSection,350,4.816491e-1,-3.172692e-1
QQN-GoldenSection,398,4.816489e-1,-3.172694e-1
QQN-GoldenSection,412,4.816489e-1,-3.172694e-1
QQN-GoldenSection,426,4.816489e-1,-3.172694e-1
QQN-GoldenSection,440,4.816489e-1,-3.172694e-1
QQN-GoldenSection,444,4.816489e-1,-3.172694e-1
QQN-GoldenSection,2,1.194705e2,2.077261e0
QQN-GoldenSection,50,1.194705e2,2.077261e0
QQN-GoldenSection,99,6.035312e0,7.806997e-1
QQN-GoldenSection,159,1.034384e0,1.468183e-2
QQN-GoldenSection,207,4.916862e-1,-3.083120e-1
QQN-GoldenSection,255,4.818808e-1,-3.170604e-1
