Optimizer,MaxEvaluation,ObjectiveValue,LogObjectiveValue
QQN-GoldenSection,2,6.978411e-1,-1.562435e-1
QQN-GoldenSection,54,6.978411e-1,-1.562435e-1
QQN-GoldenSection,112,3.319631e-1,-4.789101e-1
QQN-GoldenSection,160,3.300279e-1,-4.814493e-1
QQN-GoldenSection,208,3.158764e-1,-5.004829e-1
QQN-GoldenSection,256,3.154792e-1,-5.010293e-1
QQN-GoldenSection,304,3.153044e-1,-5.012699e-1
QQN-GoldenSection,352,3.153042e-1,-5.012703e-1
QQN-GoldenSection,366,3.153026e-1,-5.012725e-1
QQN-GoldenSection,414,3.153026e-1,-5.012725e-1
QQN-GoldenSection,428,3.153026e-1,-5.012725e-1
QQN-GoldenSection,432,3.153026e-1,-5.012725e-1
QQN-GoldenSection,2,6.636072e-1,-1.780889e-1
QQN-GoldenSection,54,6.636072e-1,-1.780889e-1
QQN-GoldenSection,112,3.218723e-1,-4.923164e-1
QQN-GoldenSection,160,3.210828e-1,-4.933829e-1
QQN-GoldenSection,208,3.154248e-1,-5.011042e-1
QQN-GoldenSection,256,3.153423e-1,-5.012178e-1
QQN-GoldenSection,304,3.153028e-1,-5.012722e-1
QQN-GoldenSection,352,3.153026e-1,-5.012724e-1
QQN-GoldenSection,366,3.153026e-1,-5.012725e-1
QQN-GoldenSection,370,3.153026e-1,-5.012725e-1
QQN-GoldenSection,2,7.020311e-1,-1.536437e-1
QQN-GoldenSection,54,7.020311e-1,-1.536437e-1
QQN-GoldenSection,112,3.280579e-1,-4.840495e-1
QQN-GoldenSection,160,3.265659e-1,-4.860292e-1
QQN-GoldenSection,208,3.156632e-1,-5.007760e-1
QQN-GoldenSection,256,3.154179e-1,-5.011136e-1
QQN-GoldenSection,304,3.153028e-1,-5.012722e-1
QQN-GoldenSection,352,3.153027e-1,-5.012723e-1
QQN-GoldenSection,400,3.153026e-1,-5.012725e-1
QQN-GoldenSection,404,3.153026e-1,-5.012725e-1
QQN-GoldenSection,2,6.728760e-1,-1.720650e-1
QQN-GoldenSection,54,6.728760e-1,-1.720650e-1
QQN-GoldenSection,112,3.239995e-1,-4.894557e-1
QQN-GoldenSection,160,3.229654e-1,-4.908440e-1
QQN-GoldenSection,208,3.154950e-1,-5.010075e-1
QQN-GoldenSection,256,3.153657e-1,-5.011855e-1
QQN-GoldenSection,270,3.153028e-1,-5.012722e-1
QQN-GoldenSection,318,3.153028e-1,-5.012722e-1
QQN-GoldenSection,332,3.153026e-1,-5.012724e-1
QQN-GoldenSection,346,3.153026e-1,-5.012725e-1
QQN-GoldenSection,350,3.153026e-1,-5.012725e-1
QQN-GoldenSection,2,6.918583e-1,-1.599828e-1
QQN-GoldenSection,54,6.918583e-1,-1.599828e-1
QQN-GoldenSection,112,3.221298e-1,-4.919691e-1
QQN-GoldenSection,160,3.213037e-1,-4.930842e-1
QQN-GoldenSection,208,3.154224e-1,-5.011075e-1
QQN-GoldenSection,256,3.153422e-1,-5.012178e-1
QQN-GoldenSection,304,3.153029e-1,-5.012720e-1
QQN-GoldenSection,318,3.153026e-1,-5.012725e-1
QQN-GoldenSection,332,3.153026e-1,-5.012725e-1
QQN-GoldenSection,346,3.153026e-1,-5.012725e-1
QQN-GoldenSection,394,3.153026e-1,-5.012725e-1
QQN-GoldenSection,398,3.153026e-1,-5.012725e-1
QQN-GoldenSection,2,6.983851e-1,-1.559050e-1
QQN-GoldenSection,54,6.983851e-1,-1.559050e-1
QQN-GoldenSection,112,3.244866e-1,-4.888033e-1
QQN-GoldenSection,160,3.233926e-1,-4.902699e-1
QQN-GoldenSection,208,3.155093e-1,-5.009878e-1
QQN-GoldenSection,256,3.153703e-1,-5.011792e-1
QQN-GoldenSection,304,3.153028e-1,-5.012722e-1
QQN-GoldenSection,352,3.153027e-1,-5.012723e-1
QQN-GoldenSection,400,3.153026e-1,-5.012725e-1
QQN-GoldenSection,404,3.153026e-1,-5.012725e-1
QQN-GoldenSection,2,6.903971e-1,-1.609011e-1
QQN-GoldenSection,54,6.903971e-1,-1.609011e-1
QQN-GoldenSection,112,3.210557e-1,-4.934197e-1
QQN-GoldenSection,160,3.203423e-1,-4.943857e-1
QQN-GoldenSection,208,3.153869e-1,-5.011564e-1
QQN-GoldenSection,256,3.153313e-1,-5.012329e-1
QQN-GoldenSection,304,3.153028e-1,-5.012722e-1
QQN-GoldenSection,352,3.153026e-1,-5.012724e-1
QQN-GoldenSection,400,3.153026e-1,-5.012725e-1
QQN-GoldenSection,404,3.153026e-1,-5.012725e-1
QQN-GoldenSection,2,7.158150e-1,-1.451992e-1
QQN-GoldenSection,54,7.158150e-1,-1.451992e-1
QQN-GoldenSection,112,3.211953e-1,-4.932308e-1
QQN-GoldenSection,160,3.204984e-1,-4.941741e-1
QQN-GoldenSection,208,3.154008e-1,-5.011372e-1
QQN-GoldenSection,256,3.153336e-1,-5.012297e-1
QQN-GoldenSection,304,3.153029e-1,-5.012721e-1
QQN-GoldenSection,352,3.153026e-1,-5.012725e-1
QQN-GoldenSection,366,3.153026e-1,-5.012725e-1
QQN-GoldenSection,414,3.153026e-1,-5.012725e-1
QQN-GoldenSection,418,3.153026e-1,-5.012725e-1
QQN-GoldenSection,2,6.925693e-1,-1.595368e-1
QQN-GoldenSection,54,6.925693e-1,-1.595368e-1
QQN-GoldenSection,112,3.263410e-1,-4.863283e-1
QQN-GoldenSection,160,3.250164e-1,-4.880947e-1
QQN-GoldenSection,208,3.155772e-1,-5.008944e-1
QQN-GoldenSection,256,3.153945e-1,-5.011458e-1
QQN-GoldenSection,304,3.153028e-1,-5.012722e-1
QQN-GoldenSection,352,3.153027e-1,-5.012723e-1
QQN-GoldenSection,366,3.153026e-1,-5.012725e-1
QQN-GoldenSection,370,3.153026e-1,-5.012725e-1
QQN-GoldenSection,2,6.356949e-1,-1.967513e-1
QQN-GoldenSection,54,6.356949e-1,-1.967513e-1
QQN-GoldenSection,112,3.246838e-1,-4.885394e-1
QQN-GoldenSection,160,3.235900e-1,-4.900049e-1
QQN-GoldenSection,208,3.155423e-1,-5.009424e-1
QQN-GoldenSection,256,3.153786e-1,-5.011678e-1
QQN-GoldenSection,304,3.153027e-1,-5.012722e-1
QQN-GoldenSection,352,3.153027e-1,-5.012724e-1
QQN-GoldenSection,366,3.153026e-1,-5.012725e-1
QQN-GoldenSection,370,3.153026e-1,-5.012725e-1
QQN-GoldenSection,2,7.039221e-1,-1.524754e-1
QQN-GoldenSection,54,7.039221e-1,-1.524754e-1
QQN-GoldenSection,112,3.255944e-1,-4.873231e-1
QQN-GoldenSection,160,3.243712e-1,-4.889577e-1
QQN-GoldenSection,208,3.155523e-1,-5.009287e-1
QQN-GoldenSection,256,3.153833e-1,-5.011613e-1
QQN-GoldenSection,304,3.153029e-1,-5.012720e-1
QQN-GoldenSection,352,3.153028e-1,-5.012722e-1
QQN-GoldenSection,366,3.153026e-1,-5.012725e-1
QQN-GoldenSection,414,3.153026e-1,-5.012725e-1
QQN-GoldenSection,462,3.153026e-1,-5.012725e-1
QQN-GoldenSection,466,3.153026e-1,-5.012725e-1
QQN-GoldenSection,2,7.406930e-1,-1.303618e-1
QQN-GoldenSection,54,7.406930e-1,-1.303618e-1
QQN-GoldenSection,112,3.235056e-1,-4.901183e-1
