Optimizer,MaxEvaluation,ObjectiveValue,LogObjectiveValue
QQN-GoldenSection,2,5.504178e-2,-1.259308e0
QQN-GoldenSection,49,5.504178e-2,-1.259308e0
QQN-GoldenSection,107,4.613830e-2,-1.335938e0
QQN-GoldenSection,155,4.165647e-2,-1.380318e0
QQN-GoldenSection,203,3.017296e-2,-1.520382e0
QQN-GoldenSection,251,1.268534e-2,-1.896698e0
QQN-GoldenSection,299,1.433578e-5,-4.843579e0
QQN-GoldenSection,347,1.041563e-7,-6.982315e0
QQN-GoldenSection,395,1.166199e-9,-8.933227e0
QQN-GoldenSection,399,6.761038e-13,-1.216999e1
QQN-GoldenSection,2,4.168129e-2,-1.380059e0
QQN-GoldenSection,49,4.168129e-2,-1.380059e0
QQN-GoldenSection,107,3.372938e-2,-1.471992e0
QQN-GoldenSection,155,3.069030e-2,-1.512999e0
QQN-GoldenSection,203,1.909435e-2,-1.719095e0
QQN-GoldenSection,251,5.592491e-3,-2.252395e0
QQN-GoldenSection,299,3.240905e-3,-2.489334e0
QQN-GoldenSection,347,1.855710e-6,-5.731490e0
QQN-GoldenSection,395,4.656552e-9,-8.331936e0
QQN-GoldenSection,399,1.483436e-14,-1.382873e1
QQN-GoldenSection,2,5.244596e-2,-1.280288e0
QQN-GoldenSection,50,5.244596e-2,-1.280288e0
QQN-GoldenSection,108,4.460486e-2,-1.350618e0
QQN-GoldenSection,156,3.983374e-2,-1.399749e0
QQN-GoldenSection,204,3.142568e-2,-1.502715e0
QQN-GoldenSection,252,1.539997e-2,-1.812480e0
QQN-GoldenSection,300,1.433452e-3,-2.843617e0
QQN-GoldenSection,348,1.638387e-5,-4.785584e0
QQN-GoldenSection,396,2.576998e-7,-6.588886e0
QQN-GoldenSection,444,7.601403e-10,-9.119106e0
QQN-GoldenSection,448,5.120257e-13,-1.229071e1
QQN-GoldenSection,2,3.531293e-2,-1.452066e0
QQN-GoldenSection,49,3.531293e-2,-1.452066e0
QQN-GoldenSection,107,2.914754e-2,-1.535398e0
QQN-GoldenSection,155,2.643401e-2,-1.577837e0
QQN-GoldenSection,203,1.786876e-2,-1.747906e0
QQN-GoldenSection,251,6.456961e-3,-2.189972e0
QQN-GoldenSection,299,5.441171e-4,-3.264308e0
QQN-GoldenSection,347,1.354737e-6,-5.868145e0
QQN-GoldenSection,395,8.255685e-9,-8.083247e0
QQN-GoldenSection,399,6.394034e-13,-1.219423e1
QQN-GoldenSection,2,4.853145e-2,-1.313977e0
QQN-GoldenSection,50,4.853145e-2,-1.313977e0
QQN-GoldenSection,108,4.086132e-2,-1.388688e0
QQN-GoldenSection,156,3.518749e-2,-1.453612e0
QQN-GoldenSection,204,3.022231e-2,-1.519672e0
QQN-GoldenSection,252,1.577229e-2,-1.802105e0
QQN-GoldenSection,300,3.490614e-3,-2.457098e0
QQN-GoldenSection,348,6.439571e-6,-5.191143e0
QQN-GoldenSection,396,7.926524e-8,-7.100917e0
QQN-GoldenSection,444,4.954694e-10,-9.304983e0
QQN-GoldenSection,448,3.410527e-13,-1.246718e1
QQN-GoldenSection,2,6.158755e-2,-1.210507e0
QQN-GoldenSection,49,6.158755e-2,-1.210507e0
QQN-GoldenSection,107,3.828174e-2,-1.417008e0
QQN-GoldenSection,155,3.516268e-2,-1.453918e0
QQN-GoldenSection,203,5.759777e-3,-2.239594e0
QQN-GoldenSection,251,3.385845e-3,-2.470333e0
QQN-GoldenSection,299,4.930666e-7,-6.307094e0
QQN-GoldenSection,347,8.136162e-10,-9.089580e0
QQN-GoldenSection,351,3.752767e-16,-1.500000e1
QQN-GoldenSection,2,6.889987e-2,-1.161782e0
QQN-GoldenSection,49,6.889987e-2,-1.161782e0
QQN-GoldenSection,107,3.880523e-2,-1.411110e0
QQN-GoldenSection,155,3.567262e-2,-1.447665e0
QQN-GoldenSection,210,2.592014e-3,-2.586363e0
QQN-GoldenSection,269,6.404652e-4,-3.193504e0
QQN-GoldenSection,317,5.197760e-8,-7.284184e0
QQN-GoldenSection,321,1.514609e-18,-1.500000e1
QQN-GoldenSection,2,6.518935e-2,-1.185823e0
QQN-GoldenSection,49,6.518935e-2,-1.185823e0
QQN-GoldenSection,107,3.439495e-2,-1.463505e0
QQN-GoldenSection,155,3.163027e-2,-1.499897e0
QQN-GoldenSection,211,1.042035e-3,-2.982118e0
QQN-GoldenSection,270,3.250579e-4,-3.488039e0
QQN-GoldenSection,318,8.008301e-9,-8.096460e0
QQN-GoldenSection,322,3.168741e-20,-1.500000e1
QQN-GoldenSection,2,2.723823e-2,-1.564821e0
QQN-GoldenSection,55,2.723823e-2,-1.564821e0
QQN-GoldenSection,113,1.130854e-3,-2.946594e0
QQN-GoldenSection,161,4.695339e-5,-4.328333e0
QQN-GoldenSection,209,4.326218e-5,-4.363892e0
QQN-GoldenSection,257,9.676877e-10,-9.014265e0
QQN-GoldenSection,261,3.422604e-18,-1.500000e1
QQN-GoldenSection,2,5.151411e-2,-1.288074e0
QQN-GoldenSection,49,5.151411e-2,-1.288074e0
QQN-GoldenSection,107,4.079849e-2,-1.389356e0
QQN-GoldenSection,155,3.720693e-2,-1.429376e0
QQN-GoldenSection,203,2.118198e-2,-1.674033e0
QQN-GoldenSection,251,4.765936e-3,-2.321852e0
QQN-GoldenSection,299,4.155495e-3,-2.381377e0
QQN-GoldenSection,347,1.602075e-6,-5.795317e0
QQN-GoldenSection,395,2.808330e-9,-8.551552e0
QQN-GoldenSection,399,1.429026e-16,-1.500000e1
QQN-GoldenSection,2,5.281019e-2,-1.277282e0
QQN-GoldenSection,49,5.281019e-2,-1.277282e0
QQN-GoldenSection,107,4.321469e-2,-1.364369e0
QQN-GoldenSection,155,3.925619e-2,-1.406092e0
QQN-GoldenSection,203,2.558295e-2,-1.592049e0
QQN-GoldenSection,251,8.459507e-3,-2.072655e0
QQN-GoldenSection,299,2.110936e-3,-2.675525e0
QQN-GoldenSection,347,2.654204e-6,-5.576066e0
QQN-GoldenSection,395,1.083950e-8,-7.964991e0
QQN-GoldenSection,399,2.208640e-13,-1.265588e1
QQN-GoldenSection,2,5.275103e-2,-1.277769e0
QQN-GoldenSection,54,5.275103e-2,-1.277769e0
QQN-GoldenSection,112,2.505976e-2,-1.601023e0
QQN-GoldenSection,160,1.192516e-2,-1.923536e0
QQN-GoldenSection,208,1.093254e-2,-1.961279e0
QQN-GoldenSection,256,1.107409e-3,-2.955692e0
QQN-GoldenSection,304,3.965792e-5,-4.401670e0
QQN-GoldenSection,352,1.630563e-7,-6.787663e0
QQN-GoldenSection,400,8.737367e-10,-9.058619e0
QQN-GoldenSection,404,1.848360e-13,-1.273321e1
QQN-GoldenSection,2,5.573655e-2,-1.253860e0
QQN-GoldenSection,49,5.573655e-2,-1.253860e0
QQN-GoldenSection,107,4.551332e-2,-1.341861e0
QQN-GoldenSection,155,4.135859e-2,-1.383434e0
QQN-GoldenSection,203,2.671666e-2,-1.573218e0
QQN-GoldenSection,251,8.639821e-3,-2.063495e0
QQN-GoldenSection,299,2.627798e-3,-2.580408e0
QQN-GoldenSection,347,2.807205e-6,-5.551726e0
QQN-GoldenSection,395,1.039361e-8,-7.983233e0
QQN-GoldenSection,399,1.503301e-13,-1.282295e1
QQN-GoldenSection,2,4.828564e-2,-1.316182e0
QQN-GoldenSection,55,4.828564e-2,-1.316182e0
QQN-GoldenSection,113,1.161700e-2,-1.934906e0
QQN-GoldenSection,161,2.796507e-3,-2.553384e0
QQN-GoldenSection,209,2.572774e-3,-2.589598e0
QQN-GoldenSection,257,3.094455e-5,-4.509416e0
QQN-GoldenSection,305,1.374536e-8,-7.861844e0
QQN-GoldenSection,353,3.263314e-12,-1.148634e1
QQN-GoldenSection,357,2.507261e-15,-1.460080e1
QQN-GoldenSection,2,5.405311e-2,-1.267179e0
QQN-GoldenSection,49,5.405311e-2,-1.267179e0
QQN-GoldenSection,107,4.532368e-2,-1.343675e0
QQN-GoldenSection,155,4.091588e-2,-1.388108e0
QQN-GoldenSection,203,2.968077e-2,-1.527525e0
QQN-GoldenSection,251,1.251626e-2,-1.902525e0
QQN-GoldenSection,299,1.948729e-5,-4.710248e0
QQN-GoldenSection,347,1.441197e-7,-6.841277e0
QQN-GoldenSection,395,1.630202e-9,-8.787759e0
QQN-GoldenSection,399,9.796441e-13,-1.200893e1
QQN-GoldenSection,2,5.434659e-2,-1.264828e0
QQN-GoldenSection,53,5.434659e-2,-1.264828e0
QQN-GoldenSection,111,3.714499e-2,-1.430100e0
QQN-GoldenSection,159,2.550672e-2,-1.593345e0
QQN-GoldenSection,207,2.317055e-2,-1.635064e0
QQN-GoldenSection,255,6.927503e-3,-2.159423e0
QQN-GoldenSection,303,1.006054e-3,-2.997379e0
QQN-GoldenSection,351,1.690429e-5,-4.772003e0
QQN-GoldenSection,399,2.494817e-7,-6.602961e0
QQN-GoldenSection,447,5.172907e-10,-9.286265e0
QQN-GoldenSection,451,4.102321e-13,-1.238697e1
QQN-GoldenSection,2,4.704017e-2,-1.327531e0
QQN-GoldenSection,55,4.704017e-2,-1.327531e0
QQN-GoldenSection,113,2.370538e-3,-2.625153e0
QQN-GoldenSection,161,1.194715e-4,-3.922736e0
QQN-GoldenSection,209,1.100735e-4,-3.958317e0
QQN-GoldenSection,257,5.282430e-9,-8.277166e0
QQN-GoldenSection,261,5.468274e-17,-1.500000e1
QQN-GoldenSection,2,5.045736e-2,-1.297076e0
QQN-GoldenSection,50,5.045736e-2,-1.297076e0
QQN-GoldenSection,108,4.284464e-2,-1.368104e0
QQN-GoldenSection,156,3.835481e-2,-1.416180e0
QQN-GoldenSection,204,2.985814e-2,-1.524937e0
QQN-GoldenSection,252,1.433226e-2,-1.843685e0
QQN-GoldenSection,300,1.045558e-3,-2.980652e0
QQN-GoldenSection,348,1.226190e-5,-4.911442e0
QQN-GoldenSection,396,1.898706e-7,-6.721542e0
QQN-GoldenSection,444,4.580559e-10,-9.339081e0
QQN-GoldenSection,448,2.707481e-13,-1.256743e1
QQN-GoldenSection,2,4.001213e-2,-1.397808e0
QQN-GoldenSection,53,4.001213e-2,-1.397808e0
QQN-GoldenSection,111,2.665537e-2,-1.574215e0
QQN-GoldenSection,159,1.783259e-2,-1.748786e0
QQN-GoldenSection,207,1.622126e-2,-1.789915e0
QQN-GoldenSection,255,4.501493e-3,-2.346643e0
QQN-GoldenSection,303,6.000031e-4,-3.221846e0
QQN-GoldenSection,351,9.525235e-6,-5.021124e0
QQN-GoldenSection,399,1.326722e-7,-6.877220e0
QQN-GoldenSection,447,2.323282e-10,-9.633898e0
QQN-GoldenSection,451,1.665528e-13,-1.277845e1
QQN-GoldenSection,2,4.059271e-2,-1.391552e0
QQN-GoldenSection,49,4.059271e-2,-1.391552e0
QQN-GoldenSection,107,2.936231e-2,-1.532210e0
QQN-GoldenSection,155,2.689880e-2,-1.570267e0
QQN-GoldenSection,203,1.031056e-2,-1.986718e0
QQN-GoldenSection,251,2.207242e-4,-3.656150e0
QQN-GoldenSection,299,5.355859e-7,-6.271171e0
QQN-GoldenSection,347,3.808218e-9,-8.419278e0
QQN-GoldenSection,395,3.780014e-12,-1.142251e1
QQN-GoldenSection,399,1.901809e-15,-1.472083e1
QQN-Bisection-1,2,3.377081e-2,-1.471458e0
QQN-Bisection-1,65,3.377081e-2,-1.471458e0
QQN-Bisection-1,105,2.866521e-2,-1.542645e0
QQN-Bisection-1,126,2.503778e-2,-1.601404e0
QQN-Bisection-1,147,2.109196e-2,-1.675883e0
QQN-Bisection-1,168,1.105049e-2,-1.956619e0
QQN-Bisection-1,189,2.171250e-3,-2.663290e0
QQN-Bisection-1,210,7.357069e-6,-5.133295e0
QQN-Bisection-1,231,9.724789e-8,-7.012120e0
QQN-Bisection-1,252,5.621506e-10,-9.250147e0
QQN-Bisection-1,256,4.080335e-13,-1.238930e1
QQN-Bisection-1,2,3.475332e-2,-1.459004e0
QQN-Bisection-1,63,3.475332e-2,-1.459004e0
QQN-Bisection-1,103,2.794083e-2,-1.553761e0
QQN-Bisection-1,124,2.544336e-2,-1.594426e0
QQN-Bisection-1,145,1.541085e-2,-1.812174e0
QQN-Bisection-1,166,4.187288e-3,-2.378067e0
QQN-Bisection-1,187,3.218403e-3,-2.492360e0
QQN-Bisection-1,208,1.347111e-6,-5.870596e0
QQN-Bisection-1,229,2.734143e-9,-8.563179e0
QQN-Bisection-1,233,2.876163e-15,-1.454119e1
QQN-Bisection-1,2,4.778271e-2,-1.320729e0
QQN-Bisection-1,63,4.778271e-2,-1.320729e0
QQN-Bisection-1,103,4.058632e-2,-1.391620e0
QQN-Bisection-1,124,3.631834e-2,-1.439874e0
QQN-Bisection-1,145,2.834061e-2,-1.547591e0
QQN-Bisection-1,166,1.365598e-2,-1.864677e0
QQN-Bisection-1,187,1.044461e-3,-2.981108e0
QQN-Bisection-1,208,1.223578e-5,-4.912368e0
QQN-Bisection-1,229,1.902286e-7,-6.720724e0
QQN-Bisection-1,250,4.764589e-10,-9.321975e0
QQN-Bisection-1,254,2.892551e-13,-1.253872e1
QQN-Bisection-1,2,3.511379e-2,-1.454522e0
QQN-Bisection-1,65,3.511379e-2,-1.454522e0
QQN-Bisection-1,105,2.896033e-2,-1.538196e0
QQN-Bisection-1,126,2.426821e-2,-1.614962e0
QQN-Bisection-1,147,2.128506e-2,-1.671925e0
QQN-Bisection-1,168,1.067771e-2,-1.971522e0
QQN-Bisection-1,189,2.516336e-3,-2.599231e0
QQN-Bisection-1,210,6.845110e-6,-5.164620e0
QQN-Bisection-1,231,8.731304e-8,-7.058921e0
QQN-Bisection-1,252,5.494100e-10,-9.260103e0
QQN-Bisection-1,256,4.104163e-13,-1.238678e1
QQN-Bisection-1,2,3.856463e-2,-1.413811e0
