Optimizer,MaxEvaluation,ObjectiveValue
QQN-GoldenSection,2,-1.622355e-7
QQN-GoldenSection,58,-1.622355e-7
QQN-GoldenSection,116,-1.672152e-7
QQN-GoldenSection,175,-1.672672e-7
QQN-GoldenSection,234,-1.672672e-7
QQN-GoldenSection,293,-1.672672e-7
QQN-GoldenSection,352,-1.672672e-7
QQN-GoldenSection,411,-1.672672e-7
QQN-GoldenSection,470,-1.672672e-7
QQN-GoldenSection,529,-1.672672e-7
QQN-GoldenSection,588,-1.672672e-7
QQN-GoldenSection,647,-1.672672e-7
QQN-GoldenSection,706,-1.672673e-7
QQN-GoldenSection,765,-1.672673e-7
QQN-GoldenSection,824,-1.672673e-7
QQN-GoldenSection,883,-1.672673e-7
QQN-GoldenSection,942,-1.672673e-7
QQN-GoldenSection,1001,-1.672673e-7
QQN-GoldenSection,2,-1.172028e-9
QQN-GoldenSection,6,-1.172028e-9
QQN-GoldenSection,2,-1.634916e-10
QQN-GoldenSection,6,-1.634916e-10
QQN-GoldenSection,2,-1.413220e-11
QQN-GoldenSection,6,-1.413220e-11
QQN-GoldenSection,2,-3.270718e-8
QQN-GoldenSection,58,-3.270718e-8
QQN-GoldenSection,116,-3.293081e-8
QQN-GoldenSection,175,-3.293307e-8
QQN-GoldenSection,234,-3.293307e-8
QQN-GoldenSection,293,-3.293307e-8
QQN-GoldenSection,352,-3.293307e-8
QQN-GoldenSection,411,-3.293307e-8
QQN-GoldenSection,470,-3.293307e-8
QQN-GoldenSection,529,-3.293307e-8
QQN-GoldenSection,588,-3.293307e-8
QQN-GoldenSection,647,-3.293307e-8
QQN-GoldenSection,706,-3.293307e-8
QQN-GoldenSection,765,-3.293307e-8
QQN-GoldenSection,824,-3.293307e-8
QQN-GoldenSection,883,-3.293307e-8
QQN-GoldenSection,942,-3.293307e-8
QQN-GoldenSection,1001,-3.293307e-8
QQN-GoldenSection,2,-8.816367e-10
QQN-GoldenSection,6,-8.816367e-10
QQN-GoldenSection,2,-8.434861e-12
QQN-GoldenSection,6,-8.434861e-12
QQN-GoldenSection,2,-6.742470e-7
QQN-GoldenSection,58,-6.742470e-7
QQN-GoldenSection,116,-7.547812e-7
QQN-GoldenSection,176,-7.557289e-7
QQN-GoldenSection,236,-7.557292e-7
QQN-GoldenSection,296,-7.557295e-7
QQN-GoldenSection,356,-7.557298e-7
QQN-GoldenSection,416,-7.557301e-7
QQN-GoldenSection,476,-7.557303e-7
QQN-GoldenSection,536,-7.557306e-7
QQN-GoldenSection,596,-7.557309e-7
QQN-GoldenSection,656,-7.557312e-7
QQN-GoldenSection,716,-7.557315e-7
QQN-GoldenSection,776,-7.557318e-7
QQN-GoldenSection,836,-7.557321e-7
QQN-GoldenSection,896,-7.557323e-7
QQN-GoldenSection,956,-7.557326e-7
QQN-GoldenSection,1016,-7.557329e-7
QQN-GoldenSection,2,-2.717443e-12
QQN-GoldenSection,6,-2.717443e-12
QQN-GoldenSection,2,-5.799990e-13
QQN-GoldenSection,6,-5.799990e-13
QQN-GoldenSection,2,-4.635438e-10
QQN-GoldenSection,6,-4.635438e-10
QQN-GoldenSection,2,-1.315610e-6
QQN-GoldenSection,58,-1.315610e-6
QQN-GoldenSection,116,-1.620697e-6
QQN-GoldenSection,177,-1.624815e-6
QQN-GoldenSection,238,-1.624817e-6
QQN-GoldenSection,299,-1.624820e-6
QQN-GoldenSection,360,-1.624822e-6
QQN-GoldenSection,421,-1.624825e-6
QQN-GoldenSection,482,-1.624827e-6
QQN-GoldenSection,543,-1.624830e-6
QQN-GoldenSection,604,-1.624832e-6
QQN-GoldenSection,665,-1.624835e-6
QQN-GoldenSection,726,-1.624837e-6
QQN-GoldenSection,787,-1.624840e-6
QQN-GoldenSection,848,-1.624842e-6
QQN-GoldenSection,909,-1.624845e-6
QQN-GoldenSection,970,-1.624847e-6
QQN-GoldenSection,1031,-1.624850e-6
QQN-GoldenSection,2,-4.614176e-10
QQN-GoldenSection,6,-4.614176e-10
QQN-GoldenSection,2,-6.613055e-9
QQN-GoldenSection,6,-6.613055e-9
QQN-GoldenSection,2,-1.336636e-7
QQN-GoldenSection,58,-1.336636e-7
QQN-GoldenSection,116,-1.370829e-7
QQN-GoldenSection,175,-1.371183e-7
QQN-GoldenSection,234,-1.371183e-7
QQN-GoldenSection,293,-1.371183e-7
QQN-GoldenSection,352,-1.371183e-7
QQN-GoldenSection,411,-1.371183e-7
QQN-GoldenSection,470,-1.371184e-7
QQN-GoldenSection,529,-1.371184e-7
QQN-GoldenSection,588,-1.371184e-7
QQN-GoldenSection,647,-1.371184e-7
QQN-GoldenSection,706,-1.371184e-7
QQN-GoldenSection,765,-1.371184e-7
QQN-GoldenSection,824,-1.371184e-7
QQN-GoldenSection,883,-1.371184e-7
QQN-GoldenSection,942,-1.371184e-7
QQN-GoldenSection,1001,-1.371184e-7
QQN-GoldenSection,2,-5.950027e-11
QQN-GoldenSection,6,-5.950027e-11
QQN-GoldenSection,2,-1.551501e-6
QQN-GoldenSection,58,-1.551501e-6
QQN-GoldenSection,116,-1.977407e-6
QQN-GoldenSection,177,-1.983440e-6
QQN-GoldenSection,238,-1.983445e-6
QQN-GoldenSection,299,-1.983449e-6
QQN-GoldenSection,360,-1.983454e-6
QQN-GoldenSection,421,-1.983458e-6
QQN-GoldenSection,482,-1.983463e-6
QQN-GoldenSection,543,-1.983467e-6
QQN-GoldenSection,604,-1.983471e-6
