Optimizer,MaxEvaluation,ObjectiveValue
QQN-GoldenSection,2,4.492957e-1
QQN-GoldenSection,50,4.492957e-1
QQN-GoldenSection,108,2.253627e-1
QQN-GoldenSection,156,2.232207e-1
QQN-GoldenSection,204,2.210284e-1
QQN-GoldenSection,252,2.167975e-1
QQN-GoldenSection,307,2.133415e-1
QQN-GoldenSection,355,2.100826e-1
QQN-GoldenSection,413,2.085140e-1
QQN-GoldenSection,461,2.070921e-1
QQN-GoldenSection,509,2.055725e-1
QQN-GoldenSection,557,2.018215e-1
QQN-GoldenSection,605,2.016239e-1
QQN-GoldenSection,653,1.976616e-1
QQN-GoldenSection,701,1.956211e-1
QQN-GoldenSection,749,1.934790e-1
QQN-GoldenSection,797,1.901301e-1
QQN-GoldenSection,845,1.869462e-1
QQN-GoldenSection,893,1.817256e-1
QQN-GoldenSection,941,1.798042e-1
QQN-GoldenSection,989,1.779935e-1
QQN-GoldenSection,1037,1.755226e-1
QQN-GoldenSection,2,4.099299e-1
QQN-GoldenSection,50,4.099299e-1
QQN-GoldenSection,108,2.212782e-1
QQN-GoldenSection,156,2.191057e-1
QQN-GoldenSection,204,2.155657e-1
QQN-GoldenSection,252,2.106653e-1
QQN-GoldenSection,300,2.089217e-1
QQN-GoldenSection,348,2.063498e-1
QQN-GoldenSection,396,2.046459e-1
QQN-GoldenSection,444,2.025520e-1
QQN-GoldenSection,492,2.004990e-1
QQN-GoldenSection,540,1.982505e-1
QQN-GoldenSection,588,1.949952e-1
QQN-GoldenSection,636,1.918034e-1
QQN-GoldenSection,684,1.892322e-1
QQN-GoldenSection,732,1.863227e-1
QQN-GoldenSection,780,1.831285e-1
QQN-GoldenSection,828,1.821193e-1
QQN-GoldenSection,876,1.798829e-1
QQN-GoldenSection,924,1.792697e-1
QQN-GoldenSection,972,1.785691e-1
QQN-GoldenSection,1020,1.772052e-1
QQN-GoldenSection,2,3.639254e-1
QQN-GoldenSection,50,3.639254e-1
QQN-GoldenSection,108,2.232009e-1
QQN-GoldenSection,156,2.216672e-1
QQN-GoldenSection,204,2.192767e-1
QQN-GoldenSection,259,2.135133e-1
QQN-GoldenSection,318,2.104897e-1
QQN-GoldenSection,366,2.092494e-1
QQN-GoldenSection,414,2.063520e-1
QQN-GoldenSection,462,2.035538e-1
QQN-GoldenSection,510,1.968825e-1
QQN-GoldenSection,558,1.945787e-1
QQN-GoldenSection,606,1.921072e-1
QQN-GoldenSection,654,1.902978e-1
QQN-GoldenSection,702,1.878535e-1
QQN-GoldenSection,750,1.859242e-1
QQN-GoldenSection,798,1.814818e-1
QQN-GoldenSection,846,1.799461e-1
QQN-GoldenSection,894,1.785620e-1
QQN-GoldenSection,942,1.750689e-1
QQN-GoldenSection,990,1.730596e-1
QQN-GoldenSection,1038,1.684528e-1
QQN-GoldenSection,2,2.865503e-1
QQN-GoldenSection,50,2.865503e-1
QQN-GoldenSection,108,2.237754e-1
QQN-GoldenSection,156,2.206917e-1
QQN-GoldenSection,204,2.119768e-1
QQN-GoldenSection,252,2.066150e-1
QQN-GoldenSection,300,2.010600e-1
QQN-GoldenSection,348,1.990271e-1
QQN-GoldenSection,396,1.931489e-1
QQN-GoldenSection,444,1.888527e-1
QQN-GoldenSection,492,1.875256e-1
QQN-GoldenSection,540,1.843802e-1
QQN-GoldenSection,588,1.819678e-1
QQN-GoldenSection,636,1.791600e-1
QQN-GoldenSection,691,1.764552e-1
QQN-GoldenSection,740,1.740524e-1
QQN-GoldenSection,798,1.721516e-1
QQN-GoldenSection,846,1.702285e-1
QQN-GoldenSection,894,1.686917e-1
QQN-GoldenSection,942,1.667431e-1
QQN-GoldenSection,990,1.653172e-1
QQN-GoldenSection,1038,1.637877e-1
QQN-GoldenSection,2,3.917114e-1
QQN-GoldenSection,50,3.917114e-1
QQN-GoldenSection,108,2.238510e-1
QQN-GoldenSection,156,2.217677e-1
QQN-GoldenSection,204,2.168525e-1
QQN-GoldenSection,260,2.080849e-1
QQN-GoldenSection,320,2.067194e-1
QQN-GoldenSection,375,2.050003e-1
QQN-GoldenSection,423,2.009323e-1
QQN-GoldenSection,472,2.001609e-1
QQN-GoldenSection,530,1.995090e-1
QQN-GoldenSection,578,1.968088e-1
QQN-GoldenSection,626,1.941136e-1
QQN-GoldenSection,674,1.929094e-1
QQN-GoldenSection,722,1.886283e-1
QQN-GoldenSection,770,1.868292e-1
QQN-GoldenSection,818,1.848874e-1
QQN-GoldenSection,866,1.828442e-1
QQN-GoldenSection,914,1.816295e-1
QQN-GoldenSection,962,1.804954e-1
QQN-GoldenSection,1010,1.791775e-1
QQN-GoldenSection,2,4.053170e-1
QQN-GoldenSection,50,4.053170e-1
QQN-GoldenSection,108,2.211266e-1
QQN-GoldenSection,156,2.197445e-1
QQN-GoldenSection,204,2.123726e-1
QQN-GoldenSection,252,2.096807e-1
QQN-GoldenSection,300,2.076700e-1
QQN-GoldenSection,348,2.056577e-1
QQN-GoldenSection,396,2.022408e-1
QQN-GoldenSection,444,1.992734e-1
QQN-GoldenSection,492,1.951766e-1
QQN-GoldenSection,540,1.925771e-1
QQN-GoldenSection,588,1.905574e-1
QQN-GoldenSection,636,1.891607e-1
QQN-GoldenSection,684,1.877545e-1
QQN-GoldenSection,732,1.860110e-1
QQN-GoldenSection,780,1.842597e-1
QQN-GoldenSection,828,1.827994e-1
QQN-GoldenSection,883,1.810848e-1
QQN-GoldenSection,942,1.792960e-1
QQN-GoldenSection,990,1.775083e-1
QQN-GoldenSection,1038,1.764331e-1
QQN-GoldenSection,2,4.159379e-1
QQN-GoldenSection,50,4.159379e-1
QQN-GoldenSection,108,2.220604e-1
QQN-GoldenSection,156,2.208744e-1
QQN-GoldenSection,212,2.126152e-1
QQN-GoldenSection,261,2.112016e-1
QQN-GoldenSection,309,2.095410e-1
QQN-GoldenSection,365,2.030185e-1
QQN-GoldenSection,413,2.000901e-1
QQN-GoldenSection,461,1.950713e-1
QQN-GoldenSection,509,1.915878e-1
QQN-GoldenSection,557,1.865308e-1
QQN-GoldenSection,605,1.831986e-1
QQN-GoldenSection,653,1.797915e-1
QQN-GoldenSection,701,1.773285e-1
QQN-GoldenSection,749,1.745289e-1
QQN-GoldenSection,797,1.722974e-1
QQN-GoldenSection,845,1.697871e-1
QQN-GoldenSection,893,1.669770e-1
QQN-GoldenSection,941,1.648583e-1
QQN-GoldenSection,989,1.632545e-1
QQN-GoldenSection,1037,1.621816e-1
QQN-GoldenSection,2,4.118113e-1
QQN-GoldenSection,50,4.118113e-1
QQN-GoldenSection,108,2.220281e-1
QQN-GoldenSection,156,2.206983e-1
QQN-GoldenSection,204,2.134843e-1
QQN-GoldenSection,252,2.108157e-1
QQN-GoldenSection,300,2.077995e-1
QQN-GoldenSection,348,2.063232e-1
QQN-GoldenSection,396,2.040763e-1
QQN-GoldenSection,444,2.015881e-1
QQN-GoldenSection,492,1.981208e-1
QQN-GoldenSection,540,1.947860e-1
QQN-GoldenSection,588,1.930646e-1
QQN-GoldenSection,636,1.916568e-1
QQN-GoldenSection,684,1.892488e-1
QQN-GoldenSection,732,1.870365e-1
QQN-GoldenSection,780,1.843287e-1
QQN-GoldenSection,828,1.820567e-1
QQN-GoldenSection,876,1.794767e-1
QQN-GoldenSection,924,1.766036e-1
QQN-GoldenSection,972,1.744263e-1
QQN-GoldenSection,1020,1.725909e-1
QQN-GoldenSection,2,3.275644e-1
QQN-GoldenSection,50,3.275644e-1
QQN-GoldenSection,108,2.206472e-1
QQN-GoldenSection,156,2.183315e-1
QQN-GoldenSection,211,2.102123e-1
QQN-GoldenSection,269,2.074152e-1
QQN-GoldenSection,317,2.049461e-1
QQN-GoldenSection,365,2.031922e-1
