Optimizer,MaxEvaluation,ObjectiveValue,LogObjectiveValue
QQN-GoldenSection,2,4.492957e-1,-3.474677e-1
QQN-GoldenSection,50,4.492957e-1,-3.474677e-1
QQN-GoldenSection,108,2.253627e-1,-6.471180e-1
QQN-GoldenSection,156,2.232207e-1,-6.512654e-1
QQN-GoldenSection,204,2.210284e-1,-6.555520e-1
QQN-GoldenSection,252,2.167975e-1,-6.639457e-1
QQN-GoldenSection,307,2.133415e-1,-6.709246e-1
QQN-GoldenSection,355,2.100826e-1,-6.776099e-1
QQN-GoldenSection,413,2.085140e-1,-6.808648e-1
QQN-GoldenSection,461,2.070921e-1,-6.838365e-1
QQN-GoldenSection,509,2.055725e-1,-6.870349e-1
QQN-GoldenSection,557,2.018215e-1,-6.950327e-1
QQN-GoldenSection,605,2.016239e-1,-6.954580e-1
QQN-GoldenSection,653,1.976616e-1,-7.040776e-1
QQN-GoldenSection,701,1.956211e-1,-7.085843e-1
QQN-GoldenSection,749,1.934790e-1,-7.133661e-1
QQN-GoldenSection,797,1.901301e-1,-7.209491e-1
QQN-GoldenSection,845,1.869462e-1,-7.282833e-1
QQN-GoldenSection,893,1.817256e-1,-7.405838e-1
QQN-GoldenSection,941,1.798042e-1,-7.452001e-1
QQN-GoldenSection,989,1.779935e-1,-7.495958e-1
QQN-GoldenSection,1037,1.755226e-1,-7.556669e-1
QQN-GoldenSection,2,4.099299e-1,-3.872904e-1
QQN-GoldenSection,50,4.099299e-1,-3.872904e-1
QQN-GoldenSection,108,2.212782e-1,-6.550613e-1
QQN-GoldenSection,156,2.191057e-1,-6.593463e-1
QQN-GoldenSection,204,2.155657e-1,-6.664204e-1
QQN-GoldenSection,252,2.106653e-1,-6.764070e-1
QQN-GoldenSection,300,2.089217e-1,-6.800164e-1
QQN-GoldenSection,348,2.063498e-1,-6.853960e-1
QQN-GoldenSection,396,2.046459e-1,-6.889969e-1
QQN-GoldenSection,444,2.025520e-1,-6.934634e-1
QQN-GoldenSection,492,2.004990e-1,-6.978878e-1
QQN-GoldenSection,540,1.982505e-1,-7.027857e-1
QQN-GoldenSection,588,1.949952e-1,-7.099761e-1
QQN-GoldenSection,636,1.918034e-1,-7.171436e-1
QQN-GoldenSection,684,1.892322e-1,-7.230051e-1
QQN-GoldenSection,732,1.863227e-1,-7.297343e-1
QQN-GoldenSection,780,1.831285e-1,-7.372441e-1
QQN-GoldenSection,828,1.821193e-1,-7.396440e-1
QQN-GoldenSection,876,1.798829e-1,-7.450102e-1
QQN-GoldenSection,924,1.792697e-1,-7.464930e-1
QQN-GoldenSection,972,1.785691e-1,-7.481938e-1
QQN-GoldenSection,1020,1.772052e-1,-7.515236e-1
QQN-GoldenSection,2,3.639254e-1,-4.389877e-1
QQN-GoldenSection,50,3.639254e-1,-4.389877e-1
QQN-GoldenSection,108,2.232009e-1,-6.513041e-1
QQN-GoldenSection,156,2.216672e-1,-6.542986e-1
QQN-GoldenSection,204,2.192767e-1,-6.590075e-1
QQN-GoldenSection,259,2.135133e-1,-6.705750e-1
QQN-GoldenSection,318,2.104897e-1,-6.767691e-1
QQN-GoldenSection,366,2.092494e-1,-6.793358e-1
QQN-GoldenSection,414,2.063520e-1,-6.853913e-1
QQN-GoldenSection,462,2.035538e-1,-6.913208e-1
QQN-GoldenSection,510,1.968825e-1,-7.057928e-1
QQN-GoldenSection,558,1.945787e-1,-7.109046e-1
QQN-GoldenSection,606,1.921072e-1,-7.164563e-1
QQN-GoldenSection,654,1.902978e-1,-7.205662e-1
QQN-GoldenSection,702,1.878535e-1,-7.261807e-1
QQN-GoldenSection,750,1.859242e-1,-7.306642e-1
QQN-GoldenSection,798,1.814818e-1,-7.411670e-1
QQN-GoldenSection,846,1.799461e-1,-7.448576e-1
QQN-GoldenSection,894,1.785620e-1,-7.482110e-1
QQN-GoldenSection,942,1.750689e-1,-7.567909e-1
QQN-GoldenSection,990,1.730596e-1,-7.618043e-1
QQN-GoldenSection,1038,1.684528e-1,-7.735218e-1
QQN-GoldenSection,2,2.865503e-1,-5.427991e-1
QQN-GoldenSection,50,2.865503e-1,-5.427991e-1
