Optimizer,MaxEvaluation,ObjectiveValue
QQN-GoldenSection,2,1.050570e1
QQN-GoldenSection,54,1.050570e1
QQN-GoldenSection,2,1.054306e1
QQN-GoldenSection,50,1.054306e1
QQN-GoldenSection,2,1.079352e1
QQN-GoldenSection,15,1.079352e1
QQN-GoldenSection,2,1.002012e1
QQN-GoldenSection,50,1.002012e1
QQN-GoldenSection,2,1.003349e1
QQN-GoldenSection,54,1.003349e1
QQN-GoldenSection,68,5.335934e0
QQN-GoldenSection,2,1.108083e1
QQN-GoldenSection,15,1.108083e1
QQN-GoldenSection,2,1.160537e1
QQN-GoldenSection,53,1.160537e1
QQN-GoldenSection,2,1.008118e1
QQN-GoldenSection,50,1.008118e1
QQN-GoldenSection,2,9.720511e0
QQN-GoldenSection,49,9.720511e0
QQN-GoldenSection,101,9.713300e0
QQN-GoldenSection,2,1.024034e1
QQN-GoldenSection,50,1.024034e1
QQN-GoldenSection,64,1.023433e1
QQN-Bisection-1,2,1.054216e1
QQN-Bisection-1,76,1.054216e1
QQN-Bisection-1,160,1.048769e1
QQN-Bisection-1,233,1.047716e1
QQN-Bisection-1,273,9.983881e0
QQN-Bisection-1,363,9.307064e0
QQN-Bisection-1,442,9.302327e0
QQN-Bisection-1,532,8.811016e0
QQN-Bisection-1,2,8.898700e0
QQN-Bisection-1,63,8.898700e0
QQN-Bisection-1,146,8.886794e0
QQN-Bisection-1,186,8.150888e0
QQN-Bisection-1,207,8.050005e0
QQN-Bisection-1,228,7.910443e0
QQN-Bisection-1,249,7.610219e0
QQN-Bisection-1,339,7.354194e0
QQN-Bisection-1,429,7.289579e0
QQN-Bisection-1,519,7.244078e0
QQN-Bisection-1,608,7.243833e0
QQN-Bisection-1,698,6.389490e0
QQN-Bisection-1,719,6.381138e0
QQN-Bisection-1,809,5.775279e0
QQN-Bisection-1,899,5.770024e0
QQN-Bisection-1,2,9.426102e0
QQN-Bisection-1,59,9.426102e0
QQN-Bisection-1,130,8.887693e0
QQN-Bisection-1,2,1.041501e1
QQN-Bisection-1,63,1.041501e1
QQN-Bisection-1,146,1.041173e1
QQN-Bisection-1,186,9.439398e0
QQN-Bisection-1,276,9.073821e0
QQN-Bisection-1,355,9.061684e0
QQN-Bisection-1,445,9.040476e0
QQN-Bisection-1,2,9.403786e0
QQN-Bisection-1,59,9.403786e0
QQN-Bisection-1,132,9.398052e0
QQN-Bisection-1,172,9.312735e0
QQN-Bisection-1,262,9.136169e0
QQN-Bisection-1,351,9.128489e0
QQN-Bisection-1,441,7.104682e0
QQN-Bisection-1,520,7.098511e0
QQN-Bisection-1,610,6.505218e0
QQN-Bisection-1,2,9.350506e0
QQN-Bisection-1,63,9.350506e0
QQN-Bisection-1,2,1.088386e1
QQN-Bisection-1,63,1.088386e1
QQN-Bisection-1,134,1.087781e1
QQN-Bisection-1,2,9.640688e0
QQN-Bisection-1,74,9.640688e0
QQN-Bisection-1,158,9.633021e0
QQN-Bisection-1,241,9.631979e0
QQN-Bisection-1,320,8.825265e0
QQN-Bisection-1,405,8.824187e0
QQN-Bisection-1,489,8.797563e0
QQN-Bisection-1,529,8.789803e0
QQN-Bisection-1,619,8.786725e0
QQN-Bisection-1,698,8.689752e0
QQN-Bisection-1,2,1.078452e1
QQN-Bisection-1,63,1.078452e1
QQN-Bisection-1,2,9.634689e0
QQN-Bisection-1,76,9.634689e0
QQN-Bisection-1,159,8.529128e0
QQN-Bisection-1,243,8.058430e0
QQN-Bisection-1,283,8.041619e0
QQN-Bisection-1,373,8.033720e0
QQN-Bisection-1,463,8.024570e0
QQN-Bisection-1,2,9.932253e0
QQN-Bisection-1,74,9.932253e0
QQN-Bisection-1,158,9.928639e0
QQN-Bisection-1,2,1.010352e1
QQN-Bisection-1,76,1.010352e1
QQN-Bisection-1,161,9.765340e0
QQN-Bisection-1,244,9.747705e0
QQN-Bisection-1,284,9.352993e0
QQN-Bisection-1,374,8.892377e0
QQN-Bisection-1,2,1.230964e1
QQN-Bisection-1,63,1.230964e1
QQN-CubicQuadraticInterpolation,2,1.068618e1
QQN-CubicQuadraticInterpolation,64,1.068618e1
