Optimizer,MaxEvaluation,ObjectiveValue,LogObjectiveValue
QQN-GoldenSection,2,1.824951e0,2.612513e-1
QQN-GoldenSection,53,1.824951e0,2.612513e-1
QQN-GoldenSection,2,1.854777e0,2.682917e-1
QQN-GoldenSection,50,1.854777e0,2.682917e-1
QQN-GoldenSection,2,2.736455e0,4.371882e-1
QQN-GoldenSection,49,2.736455e0,4.371882e-1
QQN-GoldenSection,2,1.786862e0,2.520910e-1
QQN-GoldenSection,15,1.786862e0,2.520910e-1
QQN-GoldenSection,29,1.786159e0,2.519201e-1
QQN-GoldenSection,2,1.729571e0,2.379384e-1
QQN-GoldenSection,50,1.729571e0,2.379384e-1
QQN-GoldenSection,2,1.682289e0,2.259007e-1
QQN-GoldenSection,50,1.682289e0,2.259007e-1
QQN-GoldenSection,64,1.671652e0,2.231460e-1
QQN-GoldenSection,2,2.115914e0,3.254981e-1
QQN-GoldenSection,50,2.115914e0,3.254981e-1
QQN-GoldenSection,2,1.857799e0,2.689987e-1
QQN-GoldenSection,50,1.857799e0,2.689987e-1
QQN-GoldenSection,2,1.482714e0,1.710573e-1
QQN-GoldenSection,15,1.482714e0,1.710573e-1
QQN-GoldenSection,2,1.669221e0,2.225138e-1
QQN-GoldenSection,53,1.669221e0,2.225138e-1
QQN-GoldenSection,2,1.453141e0,1.623077e-1
QQN-GoldenSection,49,1.453141e0,1.623077e-1
QQN-GoldenSection,2,1.652859e0,2.182358e-1
QQN-GoldenSection,53,1.652859e0,2.182358e-1
QQN-GoldenSection,67,1.467712e0,1.666409e-1
QQN-Bisection-1,2,2.037159e0,3.090249e-1
QQN-Bisection-1,59,2.037159e0,3.090249e-1
QQN-Bisection-1,143,2.037034e0,3.089982e-1
QQN-Bisection-1,2,2.400739e0,3.803449e-1
QQN-Bisection-1,76,2.400739e0,3.803449e-1
QQN-Bisection-1,160,7.136780e-2,-1.146498e0
QQN-Bisection-1,233,6.885340e-2,-1.162075e0
QQN-Bisection-1,273,4.066751e-2,-1.390752e0
QQN-Bisection-1,363,1.290509e-2,-1.889239e0
QQN-Bisection-1,2,1.883143e0,2.748832e-1
QQN-Bisection-1,69,1.883143e0,2.748832e-1
QQN-Bisection-1,153,1.025529e0,1.094774e-2
QQN-Bisection-1,2,2.133743e0,3.291421e-1
QQN-Bisection-1,76,2.133743e0,3.291421e-1
QQN-Bisection-1,161,2.113227e0,3.249461e-1
QQN-Bisection-1,2,2.120255e0,3.263880e-1
QQN-Bisection-1,74,2.120255e0,3.263880e-1
QQN-Bisection-1,2,2.284909e0,3.588689e-1
QQN-Bisection-1,76,2.284909e0,3.588689e-1
QQN-Bisection-1,159,2.279153e0,3.577735e-1
QQN-Bisection-1,242,2.062027e0,3.142943e-1
QQN-Bisection-1,282,2.028556e0,3.071870e-1
QQN-Bisection-1,372,1.782856e0,2.511162e-1
QQN-Bisection-1,2,1.832228e0,2.629796e-1
QQN-Bisection-1,76,1.832228e0,2.629796e-1
QQN-Bisection-1,2,1.962665e0,2.928462e-1
QQN-Bisection-1,63,1.962665e0,2.928462e-1
QQN-Bisection-1,147,1.957460e0,2.916929e-1
QQN-Bisection-1,2,2.537640e0,4.044300e-1
QQN-Bisection-1,76,2.537640e0,4.044300e-1
QQN-Bisection-1,160,2.319400e0,3.653756e-1
