Optimizer,MaxEvaluation,ObjectiveValue
QQN-GoldenSection,2,7.906230e5
QQN-GoldenSection,54,7.906230e5
QQN-GoldenSection,106,5.634797e0
QQN-GoldenSection,164,5.631225e0
QQN-GoldenSection,222,5.627959e0
QQN-GoldenSection,280,5.627899e0
QQN-GoldenSection,337,5.627832e0
QQN-GoldenSection,394,5.627765e0
QQN-GoldenSection,452,5.627700e0
QQN-GoldenSection,509,5.627651e0
QQN-GoldenSection,566,5.627603e0
QQN-GoldenSection,623,5.627554e0
QQN-GoldenSection,680,5.627504e0
QQN-GoldenSection,737,5.627455e0
QQN-GoldenSection,794,5.627406e0
QQN-GoldenSection,851,5.627358e0
QQN-GoldenSection,908,5.627311e0
QQN-GoldenSection,965,5.627264e0
QQN-GoldenSection,1022,5.627215e0
QQN-GoldenSection,2,6.511951e5
QQN-GoldenSection,54,6.511951e5
QQN-GoldenSection,106,5.633157e0
QQN-GoldenSection,157,5.631158e0
QQN-GoldenSection,208,5.631101e0
QQN-GoldenSection,266,5.630867e0
QQN-GoldenSection,314,5.630845e0
QQN-GoldenSection,371,5.630844e0
QQN-GoldenSection,419,5.630488e0
QQN-GoldenSection,467,5.630376e0
QQN-GoldenSection,515,5.630334e0
QQN-GoldenSection,572,5.629619e0
QQN-GoldenSection,629,5.629527e0
QQN-GoldenSection,686,5.629451e0
QQN-GoldenSection,743,5.629408e0
QQN-GoldenSection,800,5.629366e0
QQN-GoldenSection,857,5.629324e0
QQN-GoldenSection,914,5.629282e0
QQN-GoldenSection,971,5.629240e0
QQN-GoldenSection,1028,5.629198e0
QQN-GoldenSection,2,9.068468e5
QQN-GoldenSection,54,9.068468e5
QQN-GoldenSection,106,5.635133e0
QQN-GoldenSection,158,5.631214e0
QQN-GoldenSection,210,5.631157e0
QQN-GoldenSection,261,5.630211e0
QQN-GoldenSection,312,5.630154e0
QQN-GoldenSection,363,5.630098e0
QQN-GoldenSection,414,5.630041e0
QQN-GoldenSection,464,5.629984e0
QQN-GoldenSection,514,5.629928e0
QQN-GoldenSection,566,5.629898e0
QQN-GoldenSection,616,5.629870e0
QQN-GoldenSection,668,5.629841e0
QQN-GoldenSection,718,5.629813e0
QQN-GoldenSection,776,5.629785e0
QQN-GoldenSection,833,5.629527e0
QQN-GoldenSection,890,5.629395e0
QQN-GoldenSection,947,5.629329e0
QQN-GoldenSection,1004,5.629290e0
QQN-GoldenSection,2,7.461351e5
QQN-GoldenSection,54,7.461351e5
QQN-GoldenSection,106,5.633974e0
QQN-GoldenSection,156,5.630737e0
QQN-GoldenSection,207,5.630681e0
QQN-GoldenSection,258,5.630632e0
QQN-GoldenSection,309,5.630582e0
QQN-GoldenSection,360,5.630534e0
QQN-GoldenSection,411,5.630486e0
QQN-GoldenSection,462,5.630437e0
QQN-GoldenSection,513,5.630388e0
QQN-GoldenSection,563,5.630339e0
QQN-GoldenSection,613,5.630291e0
QQN-GoldenSection,664,5.630266e0
QQN-GoldenSection,722,5.630243e0
QQN-GoldenSection,770,5.630222e0
QQN-GoldenSection,818,5.629941e0
QQN-GoldenSection,876,5.628590e0
QQN-GoldenSection,934,5.628429e0
QQN-GoldenSection,991,5.628397e0
QQN-GoldenSection,1049,5.628360e0
QQN-GoldenSection,2,7.544420e5
QQN-GoldenSection,54,7.544420e5
QQN-GoldenSection,106,5.634278e0
QQN-GoldenSection,164,5.632278e0
QQN-GoldenSection,221,5.631541e0
QQN-GoldenSection,269,5.630422e0
QQN-GoldenSection,327,5.630038e0
QQN-GoldenSection,384,5.629957e0
QQN-GoldenSection,443,5.629893e0
QQN-GoldenSection,502,5.629105e0
QQN-GoldenSection,560,5.628861e0
QQN-GoldenSection,608,5.628354e0
QQN-GoldenSection,666,5.627876e0
QQN-GoldenSection,724,5.627648e0
QQN-GoldenSection,781,5.627592e0
QQN-GoldenSection,838,5.627536e0
QQN-GoldenSection,895,5.627479e0
QQN-GoldenSection,953,5.627448e0
QQN-GoldenSection,1010,5.627419e0
QQN-GoldenSection,2,7.787981e5
QQN-GoldenSection,54,7.787981e5
QQN-GoldenSection,106,5.634198e0
QQN-GoldenSection,158,5.630687e0
QQN-GoldenSection,209,5.630630e0
QQN-GoldenSection,261,5.630574e0
QQN-GoldenSection,313,5.630518e0
QQN-GoldenSection,364,5.629982e0
QQN-GoldenSection,415,5.629925e0
QQN-GoldenSection,466,5.629868e0
QQN-GoldenSection,517,5.629812e0
QQN-GoldenSection,568,5.629755e0
QQN-GoldenSection,619,5.629699e0
QQN-GoldenSection,669,5.629642e0
QQN-GoldenSection,719,5.629592e0
QQN-GoldenSection,770,5.629546e0
QQN-GoldenSection,821,5.629512e0
QQN-GoldenSection,871,5.629466e0
QQN-GoldenSection,921,5.629434e0
QQN-GoldenSection,971,5.629404e0
QQN-GoldenSection,1021,5.629374e0
QQN-GoldenSection,2,5.537712e5
QQN-GoldenSection,54,5.537712e5
QQN-GoldenSection,106,5.633005e0
QQN-GoldenSection,158,5.629203e0
QQN-GoldenSection,209,5.629146e0
QQN-GoldenSection,261,5.628845e0
QQN-GoldenSection,312,5.628789e0
QQN-GoldenSection,364,5.628732e0
QQN-GoldenSection,415,5.628676e0
QQN-GoldenSection,467,5.628620e0
QQN-GoldenSection,518,5.628563e0
QQN-GoldenSection,570,5.628507e0
QQN-GoldenSection,621,5.628451e0
QQN-GoldenSection,673,5.628394e0
QQN-GoldenSection,724,5.628338e0
QQN-GoldenSection,776,5.628282e0
QQN-GoldenSection,828,5.628225e0
QQN-GoldenSection,886,5.627763e0
QQN-GoldenSection,943,5.627500e0
