Optimizer,MaxEvaluation,ObjectiveValue
QQN-GoldenSection,2,1.517839e2
QQN-GoldenSection,56,1.517839e2
QQN-GoldenSection,111,6.884102e1
QQN-GoldenSection,169,4.961222e1
QQN-GoldenSection,217,4.592179e1
QQN-GoldenSection,265,4.478211e1
QQN-GoldenSection,313,4.477310e1
QQN-GoldenSection,361,4.477308e1
QQN-GoldenSection,375,4.477308e1
QQN-GoldenSection,379,4.477308e1
QQN-GoldenSection,2,1.690891e2
QQN-GoldenSection,53,1.690891e2
QQN-GoldenSection,108,1.130051e2
QQN-GoldenSection,166,4.596596e1
QQN-GoldenSection,214,4.111831e1
QQN-GoldenSection,262,3.699683e1
QQN-GoldenSection,310,3.681549e1
QQN-GoldenSection,358,3.681336e1
QQN-GoldenSection,406,3.681334e1
QQN-GoldenSection,420,3.681334e1
QQN-GoldenSection,434,3.681334e1
QQN-GoldenSection,438,3.681334e1
QQN-GoldenSection,2,1.469499e2
QQN-GoldenSection,56,1.469499e2
QQN-GoldenSection,111,9.098654e1
QQN-GoldenSection,169,8.383559e1
QQN-GoldenSection,228,8.192978e1
QQN-GoldenSection,289,4.953004e1
QQN-GoldenSection,350,3.687987e1
QQN-GoldenSection,398,3.681344e1
QQN-GoldenSection,459,3.681344e1
QQN-GoldenSection,2,1.548992e2
QQN-GoldenSection,54,1.548992e2
QQN-GoldenSection,109,9.735122e1
QQN-GoldenSection,167,5.658761e1
QQN-GoldenSection,215,4.568464e1
QQN-GoldenSection,263,3.910361e1
QQN-GoldenSection,311,3.488666e1
QQN-GoldenSection,359,3.386458e1
QQN-GoldenSection,407,3.382946e1
QQN-GoldenSection,455,3.382851e1
QQN-GoldenSection,503,3.382851e1
QQN-GoldenSection,507,3.382851e1
QQN-GoldenSection,2,1.463754e2
QQN-GoldenSection,56,1.463754e2
QQN-GoldenSection,111,8.032579e1
QQN-GoldenSection,169,6.164500e1
QQN-GoldenSection,229,5.942106e1
QQN-GoldenSection,290,4.303369e1
QQN-GoldenSection,351,3.682055e1
QQN-GoldenSection,412,3.681344e1
QQN-GoldenSection,2,1.483433e2
QQN-GoldenSection,56,1.483433e2
QQN-GoldenSection,111,8.056714e1
QQN-GoldenSection,169,5.302146e1
QQN-GoldenSection,217,5.068660e1
QQN-GoldenSection,265,4.977584e1
QQN-GoldenSection,313,4.974793e1
QQN-GoldenSection,361,4.974785e1
QQN-GoldenSection,409,4.974785e1
QQN-GoldenSection,457,4.974785e1
QQN-GoldenSection,461,4.974785e1
QQN-GoldenSection,2,1.755083e2
QQN-GoldenSection,53,1.755083e2
QQN-GoldenSection,108,1.496880e2
QQN-GoldenSection,166,8.097949e1
QQN-GoldenSection,214,6.686678e1
QQN-GoldenSection,262,6.125303e1
QQN-GoldenSection,310,6.070993e1
QQN-GoldenSection,371,5.849450e1
QQN-GoldenSection,432,4.188499e1
QQN-GoldenSection,493,3.880763e1
QQN-GoldenSection,541,3.880320e1
QQN-GoldenSection,602,3.880320e1
QQN-GoldenSection,616,3.880320e1
QQN-GoldenSection,2,1.586359e2
QQN-GoldenSection,54,1.586359e2
QQN-GoldenSection,109,1.220448e2
QQN-GoldenSection,167,7.799601e1
QQN-GoldenSection,215,7.530277e1
QQN-GoldenSection,277,7.082616e1
QQN-GoldenSection,338,6.108254e1
QQN-GoldenSection,399,6.069227e1
QQN-GoldenSection,413,6.069223e1
QQN-GoldenSection,427,6.069223e1
QQN-GoldenSection,441,6.069223e1
QQN-GoldenSection,455,6.069223e1
QQN-GoldenSection,469,6.069223e1
QQN-GoldenSection,517,6.069223e1
QQN-GoldenSection,2,1.874815e2
QQN-GoldenSection,53,1.874815e2
QQN-GoldenSection,108,1.290934e2
QQN-GoldenSection,166,8.929581e1
QQN-GoldenSection,214,8.717333e1
QQN-GoldenSection,262,8.665630e1
QQN-GoldenSection,324,8.438852e1
QQN-GoldenSection,385,6.706408e1
QQN-GoldenSection,433,6.367789e1
QQN-GoldenSection,481,6.367785e1
QQN-GoldenSection,529,6.367773e1
QQN-GoldenSection,577,6.367710e1
QQN-GoldenSection,625,6.367708e1
QQN-GoldenSection,673,6.367708e1
QQN-GoldenSection,687,6.367708e1
QQN-GoldenSection,691,6.367708e1
QQN-GoldenSection,2,1.641059e2
QQN-GoldenSection,54,1.641059e2
QQN-GoldenSection,106,1.149931e2
QQN-GoldenSection,161,9.625779e1
QQN-GoldenSection,219,5.583990e1
QQN-GoldenSection,280,5.096400e1
QQN-GoldenSection,341,4.875327e1
QQN-GoldenSection,2,1.489784e2
QQN-GoldenSection,54,1.489784e2
QQN-GoldenSection,109,6.181349e1
QQN-GoldenSection,167,4.499055e1
QQN-GoldenSection,215,4.478586e1
QQN-GoldenSection,263,4.477322e1
QQN-GoldenSection,311,4.477308e1
QQN-GoldenSection,325,4.477308e1
QQN-GoldenSection,339,4.477308e1
QQN-GoldenSection,343,4.477308e1
QQN-GoldenSection,2,1.740855e2
QQN-GoldenSection,53,1.740855e2
QQN-GoldenSection,108,1.084015e2
QQN-GoldenSection,166,7.874077e1
QQN-GoldenSection,214,7.160037e1
QQN-GoldenSection,262,4.937905e1
QQN-GoldenSection,310,4.716608e1
QQN-GoldenSection,358,4.676440e1
QQN-GoldenSection,406,4.676277e1
QQN-GoldenSection,454,4.676272e1
QQN-GoldenSection,502,4.676272e1
QQN-GoldenSection,516,4.676272e1
QQN-GoldenSection,520,4.676272e1
QQN-GoldenSection,2,1.540311e2
QQN-GoldenSection,53,1.540311e2
QQN-GoldenSection,108,8.593205e1
QQN-GoldenSection,166,5.640557e1
QQN-GoldenSection,214,4.417524e1
QQN-GoldenSection,262,4.280818e1
QQN-GoldenSection,310,3.520186e1
QQN-GoldenSection,358,3.484285e1
QQN-GoldenSection,406,3.482376e1
QQN-GoldenSection,454,3.482350e1
QQN-GoldenSection,502,3.482349e1
QQN-GoldenSection,516,3.482349e1
QQN-GoldenSection,520,3.482349e1
QQN-GoldenSection,2,1.636027e2
QQN-GoldenSection,53,1.636027e2
QQN-GoldenSection,108,1.075203e2
QQN-GoldenSection,166,6.208555e1
QQN-GoldenSection,214,5.847036e1
QQN-GoldenSection,262,5.773715e1
