Optimizer,MaxEvaluation,ObjectiveValue,LogObjectiveValue
QQN-GoldenSection,2,1.517839e2,2.181226e0
QQN-GoldenSection,56,1.517839e2,2.181226e0
QQN-GoldenSection,111,6.884102e1,1.837847e0
QQN-GoldenSection,169,4.961222e1,1.695589e0
QQN-GoldenSection,217,4.592179e1,1.662019e0
QQN-GoldenSection,265,4.478211e1,1.651105e0
QQN-GoldenSection,313,4.477310e1,1.651017e0
QQN-GoldenSection,361,4.477308e1,1.651017e0
QQN-GoldenSection,375,4.477308e1,1.651017e0
QQN-GoldenSection,379,4.477308e1,1.651017e0
QQN-GoldenSection,2,1.690891e2,2.228115e0
QQN-GoldenSection,53,1.690891e2,2.228115e0
QQN-GoldenSection,108,1.130051e2,2.053098e0
QQN-GoldenSection,166,4.596596e1,1.662436e0
QQN-GoldenSection,214,4.111831e1,1.614035e0
QQN-GoldenSection,262,3.699683e1,1.568165e0
QQN-GoldenSection,310,3.681549e1,1.566031e0
QQN-GoldenSection,358,3.681336e1,1.566005e0
QQN-GoldenSection,406,3.681334e1,1.566005e0
QQN-GoldenSection,420,3.681334e1,1.566005e0
QQN-GoldenSection,434,3.681334e1,1.566005e0
QQN-GoldenSection,438,3.681334e1,1.566005e0
QQN-GoldenSection,2,1.469499e2,2.167169e0
QQN-GoldenSection,56,1.469499e2,2.167169e0
QQN-GoldenSection,111,9.098654e1,1.958977e0
QQN-GoldenSection,169,8.383559e1,1.923428e0
QQN-GoldenSection,228,8.192978e1,1.913442e0
QQN-GoldenSection,289,4.953004e1,1.694869e0
QQN-GoldenSection,350,3.687987e1,1.566789e0
QQN-GoldenSection,398,3.681344e1,1.566006e0
QQN-GoldenSection,459,3.681344e1,1.566006e0
QQN-GoldenSection,2,1.548992e2,2.190049e0
QQN-GoldenSection,54,1.548992e2,2.190049e0
QQN-GoldenSection,109,9.735122e1,1.988341e0
QQN-GoldenSection,167,5.658761e1,1.752721e0
QQN-GoldenSection,215,4.568464e1,1.659770e0
QQN-GoldenSection,263,3.910361e1,1.592217e0
QQN-GoldenSection,311,3.488666e1,1.542659e0
QQN-GoldenSection,359,3.386458e1,1.529746e0
QQN-GoldenSection,407,3.382946e1,1.529295e0
QQN-GoldenSection,455,3.382851e1,1.529283e0
QQN-GoldenSection,503,3.382851e1,1.529283e0
QQN-GoldenSection,507,3.382851e1,1.529283e0
QQN-GoldenSection,2,1.463754e2,2.165468e0
QQN-GoldenSection,56,1.463754e2,2.165468e0
QQN-GoldenSection,111,8.032579e1,1.904855e0
QQN-GoldenSection,169,6.164500e1,1.789898e0
QQN-GoldenSection,229,5.942106e1,1.773940e0
QQN-GoldenSection,290,4.303369e1,1.633809e0
QQN-GoldenSection,351,3.682055e1,1.566090e0
QQN-GoldenSection,412,3.681344e1,1.566006e0
QQN-GoldenSection,2,1.483433e2,2.171268e0
QQN-GoldenSection,56,1.483433e2,2.171268e0
QQN-GoldenSection,111,8.056714e1,1.906158e0
QQN-GoldenSection,169,5.302146e1,1.724452e0
QQN-GoldenSection,217,5.068660e1,1.704893e0
QQN-GoldenSection,265,4.977584e1,1.697019e0
QQN-GoldenSection,313,4.974793e1,1.696775e0
QQN-GoldenSection,361,4.974785e1,1.696774e0
QQN-GoldenSection,409,4.974785e1,1.696774e0
QQN-GoldenSection,457,4.974785e1,1.696774e0
QQN-GoldenSection,461,4.974785e1,1.696774e0
QQN-GoldenSection,2,1.755083e2,2.244298e0
QQN-GoldenSection,53,1.755083e2,2.244298e0
QQN-GoldenSection,108,1.496880e2,2.175187e0
QQN-GoldenSection,166,8.097949e1,1.908375e0
QQN-GoldenSection,214,6.686678e1,1.825210e0
QQN-GoldenSection,262,6.125303e1,1.787128e0
QQN-GoldenSection,310,6.070993e1,1.783260e0
QQN-GoldenSection,371,5.849450e1,1.767115e0
QQN-GoldenSection,432,4.188499e1,1.622058e0
QQN-GoldenSection,493,3.880763e1,1.588917e0
QQN-GoldenSection,541,3.880320e1,1.588867e0
QQN-GoldenSection,602,3.880320e1,1.588867e0
QQN-GoldenSection,616,3.880320e1,1.588867e0
QQN-GoldenSection,2,1.586359e2,2.200402e0
QQN-GoldenSection,54,1.586359e2,2.200402e0
QQN-GoldenSection,109,1.220448e2,2.086519e0
QQN-GoldenSection,167,7.799601e1,1.892072e0
QQN-GoldenSection,215,7.530277e1,1.876811e0
QQN-GoldenSection,277,7.082616e1,1.850194e0
QQN-GoldenSection,338,6.108254e1,1.785917e0
QQN-GoldenSection,399,6.069227e1,1.783133e0
QQN-GoldenSection,413,6.069223e1,1.783133e0
QQN-GoldenSection,427,6.069223e1,1.783133e0
QQN-GoldenSection,441,6.069223e1,1.783133e0
QQN-GoldenSection,455,6.069223e1,1.783133e0
QQN-GoldenSection,469,6.069223e1,1.783133e0
QQN-GoldenSection,517,6.069223e1,1.783133e0
QQN-GoldenSection,2,1.874815e2,2.272958e0
QQN-GoldenSection,53,1.874815e2,2.272958e0
QQN-GoldenSection,108,1.290934e2,2.110904e0
QQN-GoldenSection,166,8.929581e1,1.950831e0
QQN-GoldenSection,214,8.717333e1,1.940384e0
QQN-GoldenSection,262,8.665630e1,1.937800e0
QQN-GoldenSection,324,8.438852e1,1.926283e0
QQN-GoldenSection,385,6.706408e1,1.826490e0
QQN-GoldenSection,433,6.367789e1,1.803989e0
QQN-GoldenSection,481,6.367785e1,1.803988e0
QQN-GoldenSection,529,6.367773e1,1.803988e0
QQN-GoldenSection,577,6.367710e1,1.803983e0
QQN-GoldenSection,625,6.367708e1,1.803983e0
QQN-GoldenSection,673,6.367708e1,1.803983e0
QQN-GoldenSection,687,6.367708e1,1.803983e0
QQN-GoldenSection,691,6.367708e1,1.803983e0
QQN-GoldenSection,2,1.641059e2,2.215124e0
QQN-GoldenSection,54,1.641059e2,2.215124e0
QQN-GoldenSection,106,1.149931e2,2.060672e0
QQN-GoldenSection,161,9.625779e1,1.983436e0
QQN-GoldenSection,219,5.583990e1,1.746945e0
QQN-GoldenSection,280,5.096400e1,1.707264e0
QQN-GoldenSection,341,4.875327e1,1.688004e0
QQN-GoldenSection,2,1.489784e2,2.173123e0
QQN-GoldenSection,54,1.489784e2,2.173123e0
QQN-GoldenSection,109,6.181349e1,1.791083e0
QQN-GoldenSection,167,4.499055e1,1.653121e0
QQN-GoldenSection,215,4.478586e1,1.651141e0
QQN-GoldenSection,263,4.477322e1,1.651018e0
QQN-GoldenSection,311,4.477308e1,1.651017e0
QQN-GoldenSection,325,4.477308e1,1.651017e0
QQN-GoldenSection,339,4.477308e1,1.651017e0
QQN-GoldenSection,343,4.477308e1,1.651017e0
QQN-GoldenSection,2,1.740855e2,2.240763e0
QQN-GoldenSection,53,1.740855e2,2.240763e0
QQN-GoldenSection,108,1.084015e2,2.035035e0
QQN-GoldenSection,166,7.874077e1,1.896200e0
QQN-GoldenSection,214,7.160037e1,1.854915e0
QQN-GoldenSection,262,4.937905e1,1.693543e0
QQN-GoldenSection,310,4.716608e1,1.673630e0
QQN-GoldenSection,358,4.676440e1,1.669915e0
QQN-GoldenSection,406,4.676277e1,1.669900e0
QQN-GoldenSection,454,4.676272e1,1.669900e0
QQN-GoldenSection,502,4.676272e1,1.669900e0
QQN-GoldenSection,516,4.676272e1,1.669900e0
QQN-GoldenSection,520,4.676272e1,1.669900e0
QQN-GoldenSection,2,1.540311e2,2.187608e0
QQN-GoldenSection,53,1.540311e2,2.187608e0
QQN-GoldenSection,108,8.593205e1,1.934155e0
