Optimizer,MaxEvaluation,ObjectiveValue
QQN-GoldenSection,2,1.113865e3
QQN-GoldenSection,55,1.113865e3
QQN-GoldenSection,110,1.897040e2
QQN-GoldenSection,164,5.146406e1
QQN-GoldenSection,222,6.894196e0
QQN-GoldenSection,270,2.524845e0
QQN-GoldenSection,318,1.786400e0
QQN-GoldenSection,366,1.632679e0
QQN-GoldenSection,414,1.591576e0
QQN-GoldenSection,462,1.493952e0
QQN-GoldenSection,523,1.274578e0
QQN-GoldenSection,584,1.236378e0
QQN-GoldenSection,645,1.214839e0
QQN-GoldenSection,706,1.199474e0
QQN-GoldenSection,767,1.187335e0
QQN-GoldenSection,828,1.176291e0
QQN-GoldenSection,890,1.165917e0
QQN-GoldenSection,951,1.155721e0
QQN-GoldenSection,1013,1.145647e0
QQN-GoldenSection,2,9.413372e2
QQN-GoldenSection,55,9.413372e2
QQN-GoldenSection,110,1.805079e2
QQN-GoldenSection,168,4.135212e1
QQN-GoldenSection,216,2.065754e1
QQN-GoldenSection,264,4.613248e0
QQN-GoldenSection,312,4.516242e0
QQN-GoldenSection,360,4.500446e0
QQN-GoldenSection,408,4.493284e0
QQN-GoldenSection,456,4.486326e0
QQN-GoldenSection,504,4.469952e0
QQN-GoldenSection,552,4.444033e0
QQN-GoldenSection,600,4.398910e0
QQN-GoldenSection,648,4.273077e0
QQN-GoldenSection,696,4.012350e0
QQN-GoldenSection,744,3.991677e0
QQN-GoldenSection,792,3.828236e0
QQN-GoldenSection,853,3.290419e0
QQN-GoldenSection,914,3.241181e0
QQN-GoldenSection,975,3.201521e0
QQN-GoldenSection,1036,3.165254e0
QQN-GoldenSection,2,1.119769e3
QQN-GoldenSection,55,1.119769e3
QQN-GoldenSection,110,1.164512e2
QQN-GoldenSection,168,1.604051e1
QQN-GoldenSection,216,6.590860e0
QQN-GoldenSection,264,4.662797e0
QQN-GoldenSection,312,4.626722e0
QQN-GoldenSection,360,4.616847e0
QQN-GoldenSection,408,4.612990e0
QQN-GoldenSection,456,4.610557e0
QQN-GoldenSection,504,4.602923e0
QQN-GoldenSection,552,4.585261e0
QQN-GoldenSection,600,4.560737e0
QQN-GoldenSection,648,4.522527e0
QQN-GoldenSection,696,4.353057e0
QQN-GoldenSection,744,4.180719e0
QQN-GoldenSection,792,4.005268e0
QQN-GoldenSection,840,3.802255e0
QQN-GoldenSection,888,3.698996e0
QQN-GoldenSection,936,3.538001e0
QQN-GoldenSection,984,3.238561e0
QQN-GoldenSection,1032,3.235633e0
QQN-GoldenSection,2,1.197302e3
QQN-GoldenSection,55,1.197302e3
QQN-GoldenSection,110,1.611176e2
QQN-GoldenSection,164,3.606651e1
QQN-GoldenSection,222,1.803440e0
QQN-GoldenSection,270,8.353953e-1
QQN-GoldenSection,318,2.821737e-1
QQN-GoldenSection,366,2.618118e-1
QQN-GoldenSection,414,2.580118e-1
QQN-GoldenSection,462,2.489390e-1
QQN-GoldenSection,510,2.404519e-1
QQN-GoldenSection,558,2.123769e-1
QQN-GoldenSection,606,1.792116e-1
QQN-GoldenSection,654,1.131714e-1
QQN-GoldenSection,702,5.518643e-2
QQN-GoldenSection,750,3.802381e-2
QQN-GoldenSection,798,2.456290e-2
QQN-GoldenSection,846,1.550136e-2
QQN-GoldenSection,894,7.840638e-3
QQN-GoldenSection,955,2.422235e-3
QQN-GoldenSection,1003,1.466794e-3
QQN-GoldenSection,2,1.105934e3
QQN-GoldenSection,55,1.105934e3
QQN-GoldenSection,110,2.337460e2
QQN-GoldenSection,168,5.735971e1
QQN-GoldenSection,216,2.854243e1
QQN-GoldenSection,264,4.786431e0
QQN-GoldenSection,312,4.533474e0
QQN-GoldenSection,360,4.518635e0
QQN-GoldenSection,408,4.509023e0
QQN-GoldenSection,456,4.504538e0
QQN-GoldenSection,504,4.485568e0
QQN-GoldenSection,552,4.462257e0
QQN-GoldenSection,600,4.416226e0
QQN-GoldenSection,648,4.301868e0
QQN-GoldenSection,696,4.017537e0
QQN-GoldenSection,744,3.726871e0
QQN-GoldenSection,806,3.658698e0
QQN-GoldenSection,865,3.172202e0
QQN-GoldenSection,927,3.071645e0
QQN-GoldenSection,988,2.980453e0
QQN-GoldenSection,1050,2.946661e0
QQN-GoldenSection,2,8.858887e2
QQN-GoldenSection,55,8.858887e2
QQN-GoldenSection,110,2.265683e1
QQN-GoldenSection,168,5.211774e0
QQN-GoldenSection,216,4.488393e0
QQN-GoldenSection,264,4.463629e0
QQN-GoldenSection,312,4.453899e0
QQN-GoldenSection,360,4.433192e0
