Optimizer,MaxEvaluation,ObjectiveValue,LogObjectiveValue
QQN-GoldenSection,2,1.113865e3,3.046833e0
QQN-GoldenSection,55,1.113865e3,3.046833e0
QQN-GoldenSection,110,1.897040e2,2.278076e0
QQN-GoldenSection,164,5.146406e1,1.711504e0
QQN-GoldenSection,222,6.894196e0,8.384837e-1
QQN-GoldenSection,270,2.524845e0,4.022348e-1
QQN-GoldenSection,318,1.786400e0,2.519786e-1
QQN-GoldenSection,366,1.632679e0,2.129007e-1
QQN-GoldenSection,414,1.591576e0,2.018273e-1
QQN-GoldenSection,462,1.493952e0,1.743366e-1
QQN-GoldenSection,523,1.274578e0,1.053665e-1
QQN-GoldenSection,584,1.236378e0,9.215120e-2
QQN-GoldenSection,645,1.214839e0,8.451879e-2
QQN-GoldenSection,706,1.199474e0,7.899091e-2
QQN-GoldenSection,767,1.187335e0,7.457320e-2
QQN-GoldenSection,828,1.176291e0,7.051463e-2
QQN-GoldenSection,890,1.165917e0,6.666752e-2
QQN-GoldenSection,951,1.155721e0,6.285301e-2
QQN-GoldenSection,1013,1.145647e0,5.905066e-2
QQN-GoldenSection,2,9.413372e2,2.973745e0
QQN-GoldenSection,55,9.413372e2,2.973745e0
QQN-GoldenSection,110,1.805079e2,2.256496e0
QQN-GoldenSection,168,4.135212e1,1.616498e0
QQN-GoldenSection,216,2.065754e1,1.315079e0
QQN-GoldenSection,264,4.613248e0,6.640068e-1
QQN-GoldenSection,312,4.516242e0,6.547772e-1
QQN-GoldenSection,360,4.500446e0,6.532556e-1
QQN-GoldenSection,408,4.493284e0,6.525639e-1
QQN-GoldenSection,456,4.486326e0,6.518909e-1
QQN-GoldenSection,504,4.469952e0,6.503029e-1
QQN-GoldenSection,552,4.444033e0,6.477773e-1
QQN-GoldenSection,600,4.398910e0,6.433451e-1
QQN-GoldenSection,648,4.273077e0,6.307407e-1
QQN-GoldenSection,696,4.012350e0,6.033988e-1
QQN-GoldenSection,744,3.991677e0,6.011554e-1
QQN-GoldenSection,792,3.828236e0,5.829987e-1
QQN-GoldenSection,853,3.290419e0,5.172512e-1
QQN-GoldenSection,914,3.241181e0,5.107033e-1
QQN-GoldenSection,975,3.201521e0,5.053564e-1
QQN-GoldenSection,1036,3.165254e0,5.004086e-1
QQN-GoldenSection,2,1.119769e3,3.049128e0
QQN-GoldenSection,55,1.119769e3,3.049128e0
QQN-GoldenSection,110,1.164512e2,2.066144e0
QQN-GoldenSection,168,1.604051e1,1.205218e0
QQN-GoldenSection,216,6.590860e0,8.189421e-1
QQN-GoldenSection,264,4.662797e0,6.686465e-1
QQN-GoldenSection,312,4.626722e0,6.652734e-1
QQN-GoldenSection,360,4.616847e0,6.643455e-1
QQN-GoldenSection,408,4.612990e0,6.639825e-1
QQN-GoldenSection,456,4.610557e0,6.637534e-1
QQN-GoldenSection,504,4.602923e0,6.630337e-1
QQN-GoldenSection,552,4.585261e0,6.613640e-1
QQN-GoldenSection,600,4.560737e0,6.590351e-1
QQN-GoldenSection,648,4.522527e0,6.553812e-1
QQN-GoldenSection,696,4.353057e0,6.387943e-1
QQN-GoldenSection,744,4.180719e0,6.212510e-1
QQN-GoldenSection,792,4.005268e0,6.026316e-1
QQN-GoldenSection,840,3.802255e0,5.800412e-1
QQN-GoldenSection,888,3.698996e0,5.680839e-1
QQN-GoldenSection,936,3.538001e0,5.487579e-1
QQN-GoldenSection,984,3.238561e0,5.103521e-1
QQN-GoldenSection,1032,3.235633e0,5.099592e-1
QQN-GoldenSection,2,1.197302e3,3.078204e0
QQN-GoldenSection,55,1.197302e3,3.078204e0
QQN-GoldenSection,110,1.611176e2,2.207143e0
QQN-GoldenSection,164,3.606651e1,1.557104e0
QQN-GoldenSection,222,1.803440e0,2.561017e-1
QQN-GoldenSection,270,8.353953e-1,-7.810796e-2
QQN-GoldenSection,318,2.821737e-1,-5.494834e-1
QQN-GoldenSection,366,2.618118e-1,-5.820109e-1
QQN-GoldenSection,414,2.580118e-1,-5.883604e-1
QQN-GoldenSection,462,2.489390e-1,-6.039071e-1
QQN-GoldenSection,510,2.404519e-1,-6.189718e-1
QQN-GoldenSection,558,2.123769e-1,-6.728927e-1
QQN-GoldenSection,606,1.792116e-1,-7.466339e-1
QQN-GoldenSection,654,1.131714e-1,-9.462633e-1
QQN-GoldenSection,702,5.518643e-2,-1.258168e0
QQN-GoldenSection,750,3.802381e-2,-1.419944e0
QQN-GoldenSection,798,2.456290e-2,-1.609720e0
QQN-GoldenSection,846,1.550136e-2,-1.809630e0
QQN-GoldenSection,894,7.840638e-3,-2.105649e0
QQN-GoldenSection,955,2.422235e-3,-2.615784e0
QQN-GoldenSection,1003,1.466794e-3,-2.833631e0
QQN-GoldenSection,2,1.105934e3,3.043729e0
QQN-GoldenSection,55,1.105934e3,3.043729e0
QQN-GoldenSection,110,2.337460e2,2.368744e0
QQN-GoldenSection,168,5.735971e1,1.758607e0
QQN-GoldenSection,216,2.854243e1,1.455491e0
QQN-GoldenSection,264,4.786431e0,6.800118e-1
QQN-GoldenSection,312,4.533474e0,6.564311e-1
QQN-GoldenSection,360,4.518635e0,6.550073e-1
QQN-GoldenSection,408,4.509023e0,6.540824e-1
QQN-GoldenSection,456,4.504538e0,6.536503e-1
QQN-GoldenSection,504,4.485568e0,6.518174e-1
QQN-GoldenSection,552,4.462257e0,6.495546e-1
QQN-GoldenSection,600,4.416226e0,6.450513e-1
QQN-GoldenSection,648,4.301868e0,6.336571e-1
