Optimizer,MaxEvaluation,ObjectiveValue
QQN-GoldenSection,2,1.206941e0
QQN-GoldenSection,49,1.206941e0
QQN-GoldenSection,107,6.934219e-1
QQN-GoldenSection,155,6.885485e-1
QQN-GoldenSection,211,6.864102e-1
QQN-GoldenSection,259,6.862555e-1
QQN-GoldenSection,307,6.862159e-1
QQN-GoldenSection,355,6.862019e-1
QQN-GoldenSection,404,6.861800e-1
QQN-GoldenSection,454,6.861718e-1
QQN-GoldenSection,505,6.861686e-1
QQN-GoldenSection,556,6.861681e-1
QQN-GoldenSection,607,6.861660e-1
QQN-GoldenSection,658,6.861656e-1
QQN-GoldenSection,709,6.861637e-1
QQN-GoldenSection,759,6.861634e-1
QQN-GoldenSection,810,6.861609e-1
QQN-GoldenSection,860,6.861607e-1
QQN-GoldenSection,912,6.861582e-1
QQN-GoldenSection,963,6.861581e-1
QQN-GoldenSection,1015,6.861563e-1
QQN-GoldenSection,2,1.164445e0
QQN-GoldenSection,49,1.164445e0
QQN-GoldenSection,98,6.887465e-1
QQN-GoldenSection,146,6.865550e-1
QQN-GoldenSection,196,6.862393e-1
QQN-GoldenSection,256,6.862381e-1
QQN-GoldenSection,313,6.861928e-1
QQN-GoldenSection,371,6.861766e-1
QQN-GoldenSection,430,6.861699e-1
QQN-GoldenSection,478,6.861657e-1
QQN-GoldenSection,538,6.861512e-1
QQN-GoldenSection,599,6.861453e-1
QQN-GoldenSection,660,6.861451e-1
QQN-GoldenSection,721,6.861448e-1
QQN-GoldenSection,782,6.861446e-1
QQN-GoldenSection,843,6.861444e-1
QQN-GoldenSection,2,1.122657e0
QQN-GoldenSection,49,1.122657e0
QQN-GoldenSection,107,6.969643e-1
QQN-GoldenSection,155,6.945154e-1
QQN-GoldenSection,203,6.868593e-1
QQN-GoldenSection,259,6.862957e-1
QQN-GoldenSection,307,6.861976e-1
QQN-GoldenSection,355,6.861760e-1
QQN-GoldenSection,400,6.861444e-1
QQN-GoldenSection,2,1.106317e0
QQN-GoldenSection,49,1.106317e0
QQN-GoldenSection,107,6.918940e-1
QQN-GoldenSection,155,6.901548e-1
QQN-GoldenSection,203,6.863009e-1
QQN-GoldenSection,251,6.862597e-1
QQN-GoldenSection,299,6.862180e-1
QQN-GoldenSection,347,6.861952e-1
QQN-GoldenSection,406,6.861685e-1
QQN-GoldenSection,454,6.861640e-1
QQN-GoldenSection,514,6.861609e-1
QQN-GoldenSection,575,6.861575e-1
