Optimizer,MaxEvaluation,ObjectiveValue
QQN-GoldenSection,2,9.463988e2
QQN-GoldenSection,53,9.463988e2
QQN-GoldenSection,111,7.107068e2
QQN-GoldenSection,159,7.107018e2
QQN-GoldenSection,173,7.106958e2
QQN-GoldenSection,177,7.106958e2
QQN-GoldenSection,2,9.473277e2
QQN-GoldenSection,53,9.473277e2
QQN-GoldenSection,67,7.106958e2
QQN-GoldenSection,81,7.106958e2
QQN-GoldenSection,85,7.106958e2
QQN-GoldenSection,2,9.469434e2
QQN-GoldenSection,53,9.469434e2
QQN-GoldenSection,111,7.106964e2
QQN-GoldenSection,159,7.106961e2
QQN-GoldenSection,173,7.106958e2
QQN-GoldenSection,177,7.106958e2
QQN-GoldenSection,2,9.463501e2
QQN-GoldenSection,53,9.463501e2
QQN-GoldenSection,111,7.107007e2
QQN-GoldenSection,159,7.106985e2
QQN-GoldenSection,173,7.106958e2
QQN-GoldenSection,177,7.106958e2
QQN-GoldenSection,2,9.464807e2
QQN-GoldenSection,53,9.464807e2
QQN-GoldenSection,111,7.106959e2
QQN-GoldenSection,159,7.106959e2
QQN-GoldenSection,163,7.106958e2
QQN-GoldenSection,2,9.478056e2
QQN-GoldenSection,53,9.478056e2
QQN-GoldenSection,111,7.107006e2
QQN-GoldenSection,159,7.106984e2
QQN-GoldenSection,173,7.106958e2
QQN-GoldenSection,177,7.106958e2
QQN-GoldenSection,2,9.453509e2
QQN-GoldenSection,53,9.453509e2
QQN-GoldenSection,111,7.106962e2
QQN-GoldenSection,159,7.106961e2
QQN-GoldenSection,173,7.106958e2
QQN-GoldenSection,177,7.106958e2
QQN-GoldenSection,2,9.473506e2
QQN-GoldenSection,53,9.473506e2
QQN-GoldenSection,111,7.107003e2
QQN-GoldenSection,159,7.106982e2
QQN-GoldenSection,173,7.106958e2
QQN-GoldenSection,177,7.106958e2
QQN-GoldenSection,2,9.474801e2
QQN-GoldenSection,53,9.474801e2
QQN-GoldenSection,111,7.106959e2
QQN-GoldenSection,159,7.106959e2
QQN-GoldenSection,163,7.106958e2
QQN-GoldenSection,2,9.466070e2
QQN-GoldenSection,53,9.466070e2
QQN-GoldenSection,111,7.107054e2
QQN-GoldenSection,159,7.107010e2
QQN-GoldenSection,173,7.106958e2
QQN-GoldenSection,177,7.106958e2
QQN-GoldenSection,2,9.460990e2
QQN-GoldenSection,53,9.460990e2
QQN-GoldenSection,111,7.106977e2
QQN-GoldenSection,159,7.106968e2
QQN-GoldenSection,173,7.106958e2
QQN-GoldenSection,177,7.106958e2
QQN-GoldenSection,2,9.478033e2
QQN-GoldenSection,53,9.478033e2
QQN-GoldenSection,111,7.106968e2
QQN-GoldenSection,159,7.106963e2
QQN-GoldenSection,207,7.106958e2
QQN-GoldenSection,211,7.106958e2
QQN-GoldenSection,2,9.461571e2
QQN-GoldenSection,53,9.461571e2
QQN-GoldenSection,111,7.107010e2
QQN-GoldenSection,159,7.106986e2
QQN-GoldenSection,173,7.106958e2
QQN-GoldenSection,177,7.106958e2
QQN-GoldenSection,2,9.464267e2
QQN-GoldenSection,53,9.464267e2
QQN-GoldenSection,111,7.106963e2
QQN-GoldenSection,159,7.106961e2
QQN-GoldenSection,173,7.106958e2
QQN-GoldenSection,177,7.106958e2
QQN-GoldenSection,2,9.468776e2
QQN-GoldenSection,53,9.468776e2
QQN-GoldenSection,111,7.106973e2
QQN-GoldenSection,159,7.106966e2
QQN-GoldenSection,173,7.106958e2
QQN-GoldenSection,177,7.106958e2
QQN-GoldenSection,2,9.472346e2
QQN-GoldenSection,53,9.472346e2
QQN-GoldenSection,111,7.106959e2
QQN-GoldenSection,159,7.106958e2
QQN-GoldenSection,163,7.106958e2
QQN-GoldenSection,2,9.468074e2
QQN-GoldenSection,53,9.468074e2
QQN-GoldenSection,111,7.106991e2
QQN-GoldenSection,159,7.106976e2
QQN-GoldenSection,173,7.106958e2
QQN-GoldenSection,177,7.106958e2
QQN-GoldenSection,2,9.482901e2
QQN-GoldenSection,53,9.482901e2
QQN-GoldenSection,111,7.106960e2
QQN-GoldenSection,159,7.106959e2
QQN-GoldenSection,163,7.106958e2
QQN-GoldenSection,2,9.467721e2
QQN-GoldenSection,53,9.467721e2
QQN-GoldenSection,111,7.106960e2
QQN-GoldenSection,159,7.106959e2
QQN-GoldenSection,163,7.106958e2
QQN-GoldenSection,2,9.462622e2
QQN-GoldenSection,53,9.462622e2
QQN-GoldenSection,111,7.107091e2
QQN-GoldenSection,159,7.107030e2
QQN-GoldenSection,173,7.106958e2
QQN-GoldenSection,177,7.106958e2
QQN-Bisection-1,2,9.461716e2
QQN-Bisection-1,67,9.461716e2
QQN-Bisection-1,107,7.106989e2
QQN-Bisection-1,128,7.106975e2
QQN-Bisection-1,149,7.106958e2
QQN-Bisection-1,153,7.106958e2
QQN-Bisection-1,2,9.457015e2
QQN-Bisection-1,67,9.457015e2
QQN-Bisection-1,107,7.106969e2
QQN-Bisection-1,128,7.106964e2
QQN-Bisection-1,149,7.106958e2
QQN-Bisection-1,153,7.106958e2
QQN-Bisection-1,2,9.472886e2
QQN-Bisection-1,67,9.472886e2
QQN-Bisection-1,107,7.106977e2
QQN-Bisection-1,128,7.106969e2
QQN-Bisection-1,149,7.106958e2
QQN-Bisection-1,153,7.106958e2
QQN-Bisection-1,2,9.462134e2
QQN-Bisection-1,67,9.462134e2
