Optimizer,MaxEvaluation,ObjectiveValue,LogObjectiveValue
QQN-GoldenSection,2,2.366566e3,3.374119e0
QQN-GoldenSection,53,2.366566e3,3.374119e0
QQN-GoldenSection,111,1.776763e3,3.249629e0
QQN-GoldenSection,159,1.776752e3,3.249627e0
QQN-GoldenSection,207,1.776740e3,3.249624e0
QQN-GoldenSection,211,1.776740e3,3.249624e0
QQN-GoldenSection,2,2.367958e3,3.374374e0
QQN-GoldenSection,53,2.367958e3,3.374374e0
QQN-GoldenSection,111,1.776752e3,3.249627e0
QQN-GoldenSection,159,1.776746e3,3.249625e0
QQN-GoldenSection,173,1.776740e3,3.249624e0
QQN-GoldenSection,177,1.776740e3,3.249624e0
QQN-GoldenSection,2,2.368318e3,3.374440e0
QQN-GoldenSection,53,2.368318e3,3.374440e0
QQN-GoldenSection,111,1.776753e3,3.249627e0
QQN-GoldenSection,159,1.776747e3,3.249626e0
QQN-GoldenSection,173,1.776740e3,3.249624e0
QQN-GoldenSection,177,1.776740e3,3.249624e0
QQN-GoldenSection,2,2.368324e3,3.374441e0
QQN-GoldenSection,53,2.368324e3,3.374441e0
QQN-GoldenSection,111,1.776757e3,3.249628e0
QQN-GoldenSection,159,1.776749e3,3.249626e0
QQN-GoldenSection,173,1.776740e3,3.249624e0
QQN-GoldenSection,177,1.776740e3,3.249624e0
QQN-GoldenSection,2,2.365573e3,3.373936e0
QQN-GoldenSection,53,2.365573e3,3.373936e0
QQN-GoldenSection,111,1.776774e3,3.249632e0
QQN-GoldenSection,159,1.776758e3,3.249628e0
QQN-GoldenSection,173,1.776740e3,3.249624e0
QQN-GoldenSection,177,1.776740e3,3.249624e0
QQN-GoldenSection,2,2.366556e3,3.374117e0
QQN-GoldenSection,53,2.366556e3,3.374117e0
QQN-GoldenSection,111,1.776766e3,3.249630e0
QQN-GoldenSection,159,1.776754e3,3.249627e0
QQN-GoldenSection,173,1.776740e3,3.249624e0
QQN-GoldenSection,177,1.776740e3,3.249624e0
QQN-GoldenSection,2,2.368103e3,3.374401e0
QQN-GoldenSection,53,2.368103e3,3.374401e0
QQN-GoldenSection,111,1.776756e3,3.249628e0
QQN-GoldenSection,159,1.776748e3,3.249626e0
QQN-GoldenSection,173,1.776740e3,3.249624e0
QQN-GoldenSection,177,1.776740e3,3.249624e0
QQN-GoldenSection,2,2.368629e3,3.374497e0
QQN-GoldenSection,53,2.368629e3,3.374497e0
QQN-GoldenSection,111,1.776748e3,3.249626e0
QQN-GoldenSection,159,1.776744e3,3.249625e0
QQN-GoldenSection,173,1.776740e3,3.249624e0
QQN-GoldenSection,177,1.776740e3,3.249624e0
QQN-GoldenSection,2,2.369808e3,3.374713e0
QQN-GoldenSection,53,2.369808e3,3.374713e0
QQN-GoldenSection,111,1.776745e3,3.249625e0
QQN-GoldenSection,159,1.776743e3,3.249625e0
QQN-GoldenSection,173,1.776740e3,3.249624e0
QQN-GoldenSection,177,1.776740e3,3.249624e0
QQN-GoldenSection,2,2.364758e3,3.373787e0
QQN-GoldenSection,53,2.364758e3,3.373787e0
QQN-GoldenSection,111,1.776756e3,3.249628e0
QQN-GoldenSection,159,1.776749e3,3.249626e0
QQN-GoldenSection,173,1.776740e3,3.249624e0
QQN-GoldenSection,177,1.776740e3,3.249624e0
QQN-GoldenSection,2,2.365394e3,3.373904e0
QQN-GoldenSection,53,2.365394e3,3.373904e0
QQN-GoldenSection,111,1.776748e3,3.249626e0
QQN-GoldenSection,159,1.776744e3,3.249625e0
QQN-GoldenSection,207,1.776740e3,3.249624e0
QQN-GoldenSection,211,1.776740e3,3.249624e0
QQN-GoldenSection,2,2.367446e3,3.374280e0
QQN-GoldenSection,53,2.367446e3,3.374280e0
QQN-GoldenSection,111,1.776765e3,3.249630e0
QQN-GoldenSection,159,1.776753e3,3.249627e0
QQN-GoldenSection,173,1.776740e3,3.249624e0
QQN-GoldenSection,177,1.776740e3,3.249624e0
QQN-GoldenSection,2,2.368649e3,3.374501e0
QQN-GoldenSection,53,2.368649e3,3.374501e0
QQN-GoldenSection,111,1.776763e3,3.249630e0
QQN-GoldenSection,159,1.776752e3,3.249627e0
QQN-GoldenSection,173,1.776740e3,3.249624e0
QQN-GoldenSection,187,1.776740e3,3.249624e0
QQN-GoldenSection,191,1.776740e3,3.249624e0
QQN-GoldenSection,2,2.365782e3,3.373975e0
QQN-GoldenSection,53,2.365782e3,3.373975e0
QQN-GoldenSection,111,1.776770e3,3.249631e0
QQN-GoldenSection,159,1.776756e3,3.249628e0
QQN-GoldenSection,173,1.776740e3,3.249624e0
QQN-GoldenSection,177,1.776740e3,3.249624e0
QQN-GoldenSection,2,2.367022e3,3.374202e0
QQN-GoldenSection,53,2.367022e3,3.374202e0
QQN-GoldenSection,111,1.776756e3,3.249628e0
QQN-GoldenSection,159,1.776748e3,3.249626e0
QQN-GoldenSection,207,1.776740e3,3.249624e0
QQN-GoldenSection,211,1.776740e3,3.249624e0
QQN-GoldenSection,2,2.367981e3,3.374378e0
QQN-GoldenSection,53,2.367981e3,3.374378e0
QQN-GoldenSection,111,1.776759e3,3.249629e0
QQN-GoldenSection,159,1.776750e3,3.249626e0
QQN-GoldenSection,173,1.776740e3,3.249624e0
QQN-GoldenSection,177,1.776740e3,3.249624e0
QQN-GoldenSection,2,2.366169e3,3.374046e0
QQN-GoldenSection,53,2.366169e3,3.374046e0
QQN-GoldenSection,111,1.776748e3,3.249626e0
QQN-GoldenSection,159,1.776744e3,3.249625e0
QQN-GoldenSection,173,1.776740e3,3.249624e0
QQN-GoldenSection,177,1.776740e3,3.249624e0
QQN-GoldenSection,2,2.368439e3,3.374462e0
QQN-GoldenSection,53,2.368439e3,3.374462e0
QQN-GoldenSection,111,1.776759e3,3.249628e0
QQN-GoldenSection,159,1.776750e3,3.249626e0
QQN-GoldenSection,173,1.776740e3,3.249624e0
QQN-GoldenSection,177,1.776740e3,3.249624e0
QQN-GoldenSection,2,2.367659e3,3.374319e0
QQN-GoldenSection,53,2.367659e3,3.374319e0
QQN-GoldenSection,111,1.776748e3,3.249626e0
QQN-GoldenSection,159,1.776744e3,3.249625e0
QQN-GoldenSection,173,1.776740e3,3.249624e0
QQN-GoldenSection,177,1.776740e3,3.249624e0
QQN-GoldenSection,2,2.367280e3,3.374250e0
QQN-GoldenSection,53,2.367280e3,3.374250e0
QQN-GoldenSection,111,1.776749e3,3.249626e0
QQN-GoldenSection,159,1.776745e3,3.249625e0
QQN-GoldenSection,173,1.776740e3,3.249624e0
QQN-GoldenSection,177,1.776740e3,3.249624e0
QQN-Bisection-1,2,2.364537e3,3.373746e0
QQN-Bisection-1,67,2.364537e3,3.373746e0
