Optimizer,MaxEvaluation,ObjectiveValue,LogObjectiveValue
QQN-GoldenSection,2,1.157318e1,1.063453e0
QQN-GoldenSection,50,1.157318e1,1.063453e0
QQN-GoldenSection,99,1.724610e-2,-1.763309e0
QQN-GoldenSection,158,6.984689e-5,-4.155853e0
QQN-GoldenSection,206,1.072045e-6,-5.969787e0
QQN-GoldenSection,254,6.170312e-9,-8.209693e0
QQN-GoldenSection,302,9.519742e-11,-1.002137e1
QQN-GoldenSection,306,1.921876e-13,-1.271627e1
QQN-GoldenSection,2,1.290456e1,1.110743e0
QQN-GoldenSection,50,1.290456e1,1.110743e0
QQN-GoldenSection,99,1.128111e-2,-1.947648e0
QQN-GoldenSection,148,3.427165e-5,-4.465065e0
QQN-GoldenSection,205,3.848367e-7,-6.414724e0
QQN-GoldenSection,253,1.140849e-9,-8.942772e0
QQN-GoldenSection,301,2.818993e-12,-1.154991e1
QQN-GoldenSection,305,5.381129e-14,-1.326913e1
QQN-GoldenSection,2,1.113832e1,1.046820e0
QQN-GoldenSection,50,1.113832e1,1.046820e0
QQN-GoldenSection,108,1.036434e-2,-1.984458e0
QQN-GoldenSection,156,9.755460e-3,-2.010752e0
QQN-GoldenSection,204,8.977379e-7,-6.046850e0
QQN-GoldenSection,252,2.035497e-8,-7.691330e0
QQN-GoldenSection,300,4.175405e-11,-1.037930e1
QQN-GoldenSection,304,1.192620e-13,-1.292350e1
QQN-GoldenSection,2,1.278594e1,1.106733e0
QQN-GoldenSection,50,1.278594e1,1.106733e0
QQN-GoldenSection,108,1.389244e-2,-1.857221e0
QQN-GoldenSection,156,1.272924e-2,-1.895197e0
QQN-GoldenSection,204,7.792976e-7,-6.108297e0
QQN-GoldenSection,252,1.907193e-8,-7.719605e0
QQN-GoldenSection,300,3.562759e-10,-9.448214e0
QQN-GoldenSection,348,1.036228e-12,-1.198454e1
QQN-GoldenSection,352,1.040246e-14,-1.398286e1
QQN-GoldenSection,2,1.040569e1,1.017271e0
QQN-GoldenSection,50,1.040569e1,1.017271e0
QQN-GoldenSection,108,1.110451e-2,-1.954501e0
QQN-GoldenSection,156,1.017361e-2,-1.992525e0
QQN-GoldenSection,204,1.120707e-6,-5.950508e0
QQN-GoldenSection,252,2.431485e-8,-7.614128e0
QQN-GoldenSection,300,4.131738e-11,-1.038387e1
QQN-GoldenSection,304,7.053920e-14,-1.315157e1
QQN-GoldenSection,2,1.132515e1,1.054044e0
QQN-GoldenSection,50,1.132515e1,1.054044e0
QQN-GoldenSection,108,1.812415e-2,-1.741742e0
QQN-GoldenSection,156,1.785258e-2,-1.748299e0
QQN-GoldenSection,204,9.256608e-7,-6.033548e0
QQN-GoldenSection,252,1.699227e-8,-7.769749e0
QQN-GoldenSection,300,2.453575e-10,-9.610201e0
QQN-GoldenSection,348,3.534718e-12,-1.145165e1
QQN-GoldenSection,352,8.378998e-14,-1.307681e1
QQN-GoldenSection,2,1.216517e1,1.085118e0
QQN-GoldenSection,50,1.216517e1,1.085118e0
QQN-GoldenSection,108,1.241157e-2,-1.906173e0
QQN-GoldenSection,156,1.166566e-2,-1.933091e0
QQN-GoldenSection,204,1.472818e-6,-5.831851e0
QQN-GoldenSection,252,3.188485e-8,-7.496416e0
QQN-GoldenSection,300,1.943443e-10,-9.711428e0
QQN-GoldenSection,304,2.583286e-14,-1.358783e1
QQN-GoldenSection,2,1.115075e1,1.047304e0
QQN-GoldenSection,50,1.115075e1,1.047304e0
QQN-GoldenSection,99,1.162072e-2,-1.934767e0
QQN-GoldenSection,158,2.162903e-5,-4.664963e0
QQN-GoldenSection,206,4.636912e-7,-6.333771e0
QQN-GoldenSection,254,9.452193e-9,-8.024467e0
QQN-GoldenSection,302,5.135467e-12,-1.128942e1
QQN-GoldenSection,306,6.564913e-14,-1.318277e1
QQN-GoldenSection,2,1.221227e1,1.086796e0
QQN-GoldenSection,50,1.221227e1,1.086796e0
QQN-GoldenSection,108,1.735247e-2,-1.760639e0
QQN-GoldenSection,156,1.438135e-2,-1.842200e0
QQN-GoldenSection,204,1.721435e-6,-5.764109e0
QQN-GoldenSection,252,4.247534e-8,-7.371863e0
QQN-GoldenSection,300,4.422944e-10,-9.354289e0
QQN-GoldenSection,348,5.013292e-13,-1.229988e1
QQN-GoldenSection,352,6.512510e-15,-1.418625e1
QQN-GoldenSection,2,1.063788e1,1.026855e0
QQN-GoldenSection,50,1.063788e1,1.026855e0
QQN-GoldenSection,99,7.084334e-3,-2.149701e0
QQN-GoldenSection,148,1.265902e-5,-4.897600e0
QQN-GoldenSection,205,2.740331e-7,-6.562197e0
QQN-GoldenSection,253,1.811521e-9,-8.741957e0
QQN-GoldenSection,301,2.906599e-12,-1.153661e1
QQN-GoldenSection,305,1.114563e-14,-1.395290e1
QQN-GoldenSection,2,1.208861e1,1.082376e0
QQN-GoldenSection,50,1.208861e1,1.082376e0
QQN-GoldenSection,108,1.574126e-2,-1.802961e0
