Optimizer,MaxEvaluation,ObjectiveValue
QQN-GoldenSection,2,5.473284e0
QQN-GoldenSection,50,5.473284e0
QQN-GoldenSection,108,3.051206e-3
QQN-GoldenSection,156,2.508374e-3
QQN-GoldenSection,204,6.085774e-8
QQN-GoldenSection,252,1.126858e-9
QQN-GoldenSection,300,4.569772e-12
QQN-GoldenSection,304,2.066877e-14
QQN-GoldenSection,2,5.023481e0
QQN-GoldenSection,50,5.023481e0
QQN-GoldenSection,108,1.837766e-3
QQN-GoldenSection,156,1.220695e-3
QQN-GoldenSection,204,5.734154e-8
QQN-GoldenSection,252,1.672943e-9
QQN-GoldenSection,300,5.577413e-13
QQN-GoldenSection,304,7.080659e-16
QQN-GoldenSection,2,5.494987e0
QQN-GoldenSection,50,5.494987e0
QQN-GoldenSection,108,2.044031e-3
QQN-GoldenSection,156,1.326092e-3
QQN-GoldenSection,204,7.251123e-8
QQN-GoldenSection,252,2.212655e-9
QQN-GoldenSection,300,4.274781e-13
QQN-GoldenSection,304,3.627605e-16
QQN-GoldenSection,2,5.272485e0
QQN-GoldenSection,50,5.272485e0
QQN-GoldenSection,108,4.447863e-4
QQN-GoldenSection,156,3.260868e-4
QQN-GoldenSection,204,1.927712e-9
QQN-GoldenSection,252,5.438430e-11
QQN-GoldenSection,256,9.571444e-14
QQN-GoldenSection,2,6.142973e0
QQN-GoldenSection,50,6.142973e0
QQN-GoldenSection,108,5.924335e-3
QQN-GoldenSection,156,3.695804e-3
QQN-GoldenSection,204,4.280951e-7
QQN-GoldenSection,252,1.860910e-8
QQN-GoldenSection,300,6.020067e-12
QQN-GoldenSection,304,3.885140e-14
QQN-GoldenSection,2,5.778305e0
QQN-GoldenSection,50,5.778305e0
QQN-GoldenSection,108,3.791615e-3
QQN-GoldenSection,156,2.680333e-3
QQN-GoldenSection,204,1.221959e-7
QQN-GoldenSection,252,3.919732e-9
QQN-GoldenSection,300,4.131262e-12
QQN-GoldenSection,304,5.070182e-14
QQN-GoldenSection,2,4.814122e0
QQN-GoldenSection,50,4.814122e0
QQN-GoldenSection,108,4.837996e-3
QQN-GoldenSection,156,3.195436e-3
QQN-GoldenSection,204,3.064725e-7
QQN-GoldenSection,252,1.092620e-8
QQN-GoldenSection,300,6.202559e-12
QQN-GoldenSection,304,4.798194e-14
QQN-GoldenSection,2,7.199934e0
QQN-GoldenSection,50,7.199934e0
QQN-GoldenSection,108,1.274918e-3
QQN-GoldenSection,156,8.079151e-4
QQN-GoldenSection,204,3.517751e-8
QQN-GoldenSection,252,8.616816e-10
QQN-GoldenSection,256,5.057432e-14
QQN-GoldenSection,2,6.951363e0
QQN-GoldenSection,50,6.951363e0
QQN-GoldenSection,108,1.678264e-3
QQN-GoldenSection,156,1.040074e-3
QQN-GoldenSection,204,5.457863e-8
QQN-GoldenSection,252,1.709544e-9
QQN-GoldenSection,256,8.512868e-15
QQN-GoldenSection,2,5.359606e0
QQN-GoldenSection,50,5.359606e0
QQN-GoldenSection,108,1.302763e-4
QQN-GoldenSection,156,9.721843e-5
QQN-GoldenSection,204,1.455198e-10
QQN-GoldenSection,252,4.202220e-12
QQN-GoldenSection,256,2.985107e-16
QQN-GoldenSection,2,5.611299e0
QQN-GoldenSection,50,5.611299e0
QQN-GoldenSection,108,5.474639e-4
QQN-GoldenSection,156,4.216701e-4
QQN-GoldenSection,204,1.960558e-9
QQN-GoldenSection,252,5.827380e-11
QQN-GoldenSection,256,7.690296e-14
QQN-GoldenSection,2,4.309265e0
QQN-GoldenSection,50,4.309265e0
QQN-GoldenSection,108,2.357074e-3
QQN-GoldenSection,156,1.525688e-3
