Optimizer,MaxEvaluation,ObjectiveValue
QQN-GoldenSection,2,1.375004e1
QQN-GoldenSection,55,1.375004e1
QQN-GoldenSection,109,8.299350e0
QQN-GoldenSection,167,8.287029e0
QQN-GoldenSection,228,8.276032e0
QQN-GoldenSection,289,8.263107e0
QQN-GoldenSection,350,8.250041e0
QQN-GoldenSection,411,8.236926e0
QQN-GoldenSection,472,8.223658e0
QQN-GoldenSection,533,8.210324e0
QQN-GoldenSection,594,8.196815e0
QQN-GoldenSection,655,8.183216e0
QQN-GoldenSection,716,8.169409e0
QQN-GoldenSection,777,8.155482e0
QQN-GoldenSection,825,8.141300e0
QQN-GoldenSection,886,7.890009e0
QQN-GoldenSection,947,7.875656e0
QQN-GoldenSection,1008,7.861226e0
QQN-GoldenSection,2,1.132997e1
QQN-GoldenSection,55,1.132997e1
QQN-GoldenSection,106,8.454087e0
QQN-GoldenSection,164,8.158062e0
QQN-GoldenSection,225,7.640052e0
QQN-GoldenSection,283,7.280994e0
QQN-GoldenSection,344,6.963783e0
QQN-GoldenSection,402,6.652224e0
QQN-GoldenSection,463,6.379464e0
QQN-GoldenSection,521,6.106051e0
QQN-GoldenSection,582,5.860411e0
QQN-GoldenSection,640,5.618778e0
QQN-GoldenSection,701,5.402239e0
QQN-GoldenSection,760,5.187630e0
QQN-GoldenSection,817,4.992378e0
QQN-GoldenSection,870,2.661688e0
QQN-GoldenSection,922,1.538791e0
QQN-GoldenSection,975,1.523763e0
QQN-GoldenSection,1027,1.508814e0
QQN-GoldenSection,2,1.603664e2
QQN-GoldenSection,55,1.603664e2
QQN-GoldenSection,109,8.403932e0
QQN-GoldenSection,167,8.373467e0
QQN-GoldenSection,215,8.367038e0
QQN-GoldenSection,263,8.132386e0
QQN-GoldenSection,324,7.187987e0
QQN-GoldenSection,386,7.027150e0
QQN-GoldenSection,447,7.007877e0
QQN-GoldenSection,509,6.988406e0
QQN-GoldenSection,570,6.969037e0
QQN-GoldenSection,632,6.949431e0
QQN-GoldenSection,693,6.929822e0
QQN-GoldenSection,755,6.909967e0
QQN-GoldenSection,816,6.890103e0
QQN-GoldenSection,878,6.869984e0
QQN-GoldenSection,926,6.849851e0
QQN-GoldenSection,987,6.491943e0
QQN-GoldenSection,1049,6.470124e0
QQN-GoldenSection,2,1.596685e2
QQN-GoldenSection,55,1.596685e2
QQN-GoldenSection,109,8.693163e0
QQN-GoldenSection,167,8.678036e0
QQN-GoldenSection,229,8.671070e0
QQN-GoldenSection,290,8.655733e0
QQN-GoldenSection,352,8.640260e0
QQN-GoldenSection,413,8.624856e0
QQN-GoldenSection,475,8.609294e0
QQN-GoldenSection,536,8.593783e0
QQN-GoldenSection,598,8.578092e0
QQN-GoldenSection,659,8.562425e0
QQN-GoldenSection,721,8.546559e0
QQN-GoldenSection,782,8.530687e0
QQN-GoldenSection,830,8.514600e0
QQN-GoldenSection,888,8.205295e0
QQN-GoldenSection,949,5.567597e0
QQN-GoldenSection,1008,4.379822e0
QQN-GoldenSection,2,1.553126e1
QQN-GoldenSection,55,1.553126e1
QQN-GoldenSection,109,8.336760e0
QQN-GoldenSection,167,8.325133e0
QQN-GoldenSection,228,8.314462e0
QQN-GoldenSection,289,8.302749e0
QQN-GoldenSection,350,8.291031e0
QQN-GoldenSection,411,8.279363e0
QQN-GoldenSection,472,8.267664e0
QQN-GoldenSection,533,8.255995e0
QQN-GoldenSection,594,8.244275e0
QQN-GoldenSection,655,8.232570e0
QQN-GoldenSection,716,8.220803e0
QQN-GoldenSection,777,8.209042e0
QQN-GoldenSection,825,8.197211e0
QQN-GoldenSection,886,7.972498e0
QQN-GoldenSection,947,7.959164e0
QQN-GoldenSection,1008,7.945574e0
QQN-GoldenSection,2,3.651556e1
QQN-GoldenSection,55,3.651556e1
QQN-GoldenSection,109,8.105064e0
QQN-GoldenSection,167,8.072297e0
QQN-GoldenSection,228,8.065280e0
QQN-GoldenSection,289,8.033750e0
QQN-GoldenSection,350,8.003400e0
QQN-GoldenSection,411,7.974027e0
QQN-GoldenSection,472,7.945599e0
QQN-GoldenSection,533,7.917943e0
QQN-GoldenSection,594,7.891054e0
QQN-GoldenSection,655,7.864787e0
QQN-GoldenSection,716,7.839154e0
QQN-GoldenSection,777,7.814028e0
QQN-GoldenSection,825,7.789434e0
QQN-GoldenSection,886,7.226414e0
QQN-GoldenSection,948,7.208589e0
QQN-GoldenSection,1009,7.190471e0
QQN-GoldenSection,2,1.287171e2
QQN-GoldenSection,55,1.287171e2
QQN-GoldenSection,109,8.821897e0
QQN-GoldenSection,167,8.045465e0
QQN-GoldenSection,215,8.038639e0
QQN-GoldenSection,263,7.961533e0
QQN-GoldenSection,311,7.786280e0
QQN-GoldenSection,372,5.974553e0
QQN-GoldenSection,431,5.837246e0
QQN-GoldenSection,492,5.748679e0
QQN-GoldenSection,552,5.651706e0
QQN-GoldenSection,613,5.579415e0
QQN-GoldenSection,673,5.503325e0
QQN-GoldenSection,734,5.433138e0
QQN-GoldenSection,794,5.358183e0
QQN-GoldenSection,855,5.282660e0
