Optimizer,MaxEvaluation,ObjectiveValue,LogObjectiveValue
QQN-GoldenSection,2,1.375004e1,1.138304e0
QQN-GoldenSection,55,1.375004e1,1.138304e0
QQN-GoldenSection,109,8.299350e0,9.190441e-1
QQN-GoldenSection,167,8.287029e0,9.183989e-1
QQN-GoldenSection,228,8.276032e0,9.178221e-1
QQN-GoldenSection,289,8.263107e0,9.171434e-1
QQN-GoldenSection,350,8.250041e0,9.164561e-1
QQN-GoldenSection,411,8.236926e0,9.157652e-1
QQN-GoldenSection,472,8.223658e0,9.150651e-1
QQN-GoldenSection,533,8.210324e0,9.143603e-1
QQN-GoldenSection,594,8.196815e0,9.136451e-1
QQN-GoldenSection,655,8.183216e0,9.129240e-1
QQN-GoldenSection,716,8.169409e0,9.121906e-1
QQN-GoldenSection,777,8.155482e0,9.114496e-1
QQN-GoldenSection,825,8.141300e0,9.106938e-1
QQN-GoldenSection,886,7.890009e0,8.970775e-1
QQN-GoldenSection,947,7.875656e0,8.962867e-1
QQN-GoldenSection,1008,7.861226e0,8.954903e-1
QQN-GoldenSection,2,1.132997e1,1.054229e0
QQN-GoldenSection,55,1.132997e1,1.054229e0
QQN-GoldenSection,106,8.454087e0,9.270667e-1
QQN-GoldenSection,164,8.158062e0,9.115870e-1
QQN-GoldenSection,225,7.640052e0,8.830963e-1
QQN-GoldenSection,283,7.280994e0,8.621907e-1
QQN-GoldenSection,344,6.963783e0,8.428452e-1
QQN-GoldenSection,402,6.652224e0,8.229668e-1
QQN-GoldenSection,463,6.379464e0,8.047842e-1
QQN-GoldenSection,521,6.106051e0,7.857605e-1
QQN-GoldenSection,582,5.860411e0,7.679281e-1
QQN-GoldenSection,640,5.618778e0,7.496418e-1
QQN-GoldenSection,701,5.402239e0,7.325738e-1
QQN-GoldenSection,760,5.187630e0,7.149690e-1
QQN-GoldenSection,817,4.992378e0,6.983075e-1
QQN-GoldenSection,870,2.661688e0,4.251572e-1
QQN-GoldenSection,922,1.538791e0,1.871796e-1
QQN-GoldenSection,975,1.523763e0,1.829175e-1
QQN-GoldenSection,1027,1.508814e0,1.786357e-1
QQN-GoldenSection,2,1.603664e2,2.205113e0
QQN-GoldenSection,55,1.603664e2,2.205113e0
QQN-GoldenSection,109,8.403932e0,9.244825e-1
QQN-GoldenSection,167,8.373467e0,9.229053e-1
QQN-GoldenSection,215,8.367038e0,9.225718e-1
QQN-GoldenSection,263,8.132386e0,9.102180e-1
QQN-GoldenSection,324,7.187987e0,8.566073e-1
QQN-GoldenSection,386,7.027150e0,8.467792e-1
QQN-GoldenSection,447,7.007877e0,8.455865e-1
QQN-GoldenSection,509,6.988406e0,8.443781e-1
QQN-GoldenSection,570,6.969037e0,8.431727e-1
