Optimizer,MaxEvaluation,ObjectiveValue
QQN-GoldenSection,2,1.030668e1
QQN-GoldenSection,50,1.030668e1
QQN-GoldenSection,54,1.659336e-13
QQN-GoldenSection,2,1.054279e1
QQN-GoldenSection,50,1.054279e1
QQN-GoldenSection,54,1.697350e-13
QQN-GoldenSection,2,1.132138e1
QQN-GoldenSection,50,1.132138e1
QQN-GoldenSection,54,1.822700e-13
QQN-GoldenSection,2,1.025770e1
QQN-GoldenSection,50,1.025770e1
QQN-GoldenSection,54,1.651451e-13
QQN-GoldenSection,2,1.042965e1
QQN-GoldenSection,50,1.042965e1
QQN-GoldenSection,54,1.679135e-13
QQN-GoldenSection,2,1.090200e1
QQN-GoldenSection,50,1.090200e1
QQN-GoldenSection,54,1.755181e-13
QQN-GoldenSection,2,1.069931e1
QQN-GoldenSection,50,1.069931e1
QQN-GoldenSection,54,1.722548e-13
QQN-GoldenSection,2,1.011581e1
QQN-GoldenSection,50,1.011581e1
QQN-GoldenSection,54,1.628607e-13
QQN-GoldenSection,2,9.935342e0
QQN-GoldenSection,50,9.935342e0
QQN-GoldenSection,54,1.599553e-13
QQN-GoldenSection,2,1.032376e1
QQN-GoldenSection,50,1.032376e1
QQN-GoldenSection,54,1.662087e-13
QQN-GoldenSection,2,9.990839e0
QQN-GoldenSection,50,9.990839e0
QQN-GoldenSection,54,1.608487e-13
QQN-GoldenSection,2,9.807269e0
QQN-GoldenSection,50,9.807269e0
QQN-GoldenSection,54,1.578933e-13
QQN-GoldenSection,2,1.019026e1
QQN-GoldenSection,50,1.019026e1
QQN-GoldenSection,54,1.640593e-13
QQN-GoldenSection,2,1.132074e1
QQN-GoldenSection,50,1.132074e1
QQN-GoldenSection,54,1.822596e-13
QQN-GoldenSection,2,9.147191e0
QQN-GoldenSection,50,9.147191e0
QQN-GoldenSection,54,1.472663e-13
QQN-GoldenSection,2,9.939588e0
QQN-GoldenSection,50,9.939588e0
QQN-GoldenSection,54,1.600236e-13
QQN-GoldenSection,2,9.443558e0
QQN-GoldenSection,50,9.443558e0
QQN-GoldenSection,54,1.520377e-13
QQN-GoldenSection,2,1.032350e1
QQN-GoldenSection,50,1.032350e1
QQN-GoldenSection,54,1.662044e-13
QQN-GoldenSection,2,1.003201e1
QQN-GoldenSection,50,1.003201e1
QQN-GoldenSection,54,1.615116e-13
QQN-GoldenSection,2,9.928112e0
QQN-GoldenSection,50,9.928112e0
QQN-GoldenSection,54,1.598389e-13
QQN-Bisection-1,2,9.848292e0
QQN-Bisection-1,23,9.848292e0
QQN-Bisection-1,27,0.000000e0
QQN-Bisection-1,2,9.532198e0
QQN-Bisection-1,23,9.532198e0
QQN-Bisection-1,27,0.000000e0
QQN-Bisection-1,2,1.022929e1
QQN-Bisection-1,23,1.022929e1
QQN-Bisection-1,27,0.000000e0
QQN-Bisection-1,2,8.652339e0
QQN-Bisection-1,23,8.652339e0
QQN-Bisection-1,27,0.000000e0
QQN-Bisection-1,2,1.005010e1
QQN-Bisection-1,23,1.005010e1
QQN-Bisection-1,27,0.000000e0
QQN-Bisection-1,2,1.048575e1
QQN-Bisection-1,23,1.048575e1
QQN-Bisection-1,27,0.000000e0
QQN-Bisection-1,2,1.042938e1
QQN-Bisection-1,23,1.042938e1
QQN-Bisection-1,27,0.000000e0
QQN-Bisection-1,2,1.000379e1
QQN-Bisection-1,23,1.000379e1
QQN-Bisection-1,27,0.000000e0
QQN-Bisection-1,2,9.876745e0
QQN-Bisection-1,23,9.876745e0
QQN-Bisection-1,27,0.000000e0
QQN-Bisection-1,2,9.665748e0
QQN-Bisection-1,23,9.665748e0
QQN-Bisection-1,27,0.000000e0
QQN-Bisection-1,2,1.068422e1
QQN-Bisection-1,23,1.068422e1
QQN-Bisection-1,27,0.000000e0
QQN-Bisection-1,2,9.999259e0
QQN-Bisection-1,23,9.999259e0
QQN-Bisection-1,27,0.000000e0
QQN-Bisection-1,2,1.115417e1
QQN-Bisection-1,23,1.115417e1
QQN-Bisection-1,27,0.000000e0
QQN-Bisection-1,2,1.029157e1
QQN-Bisection-1,23,1.029157e1
QQN-Bisection-1,27,0.000000e0
QQN-Bisection-1,2,1.168680e1
QQN-Bisection-1,23,1.168680e1
QQN-Bisection-1,27,0.000000e0
QQN-Bisection-1,2,1.076803e1
QQN-Bisection-1,23,1.076803e1
QQN-Bisection-1,27,0.000000e0
QQN-Bisection-1,2,1.092218e1
QQN-Bisection-1,23,1.092218e1
QQN-Bisection-1,27,0.000000e0
QQN-Bisection-1,2,1.068579e1
QQN-Bisection-1,23,1.068579e1
QQN-Bisection-1,27,0.000000e0
QQN-Bisection-1,2,1.073637e1
QQN-Bisection-1,23,1.073637e1
QQN-Bisection-1,27,0.000000e0
QQN-Bisection-1,2,9.603657e0
QQN-Bisection-1,23,9.603657e0
QQN-Bisection-1,27,0.000000e0
QQN-CubicQuadraticInterpolation,2,1.060092e1
QQN-CubicQuadraticInterpolation,18,1.060092e1
QQN-CubicQuadraticInterpolation,22,0.000000e0
QQN-CubicQuadraticInterpolation,2,1.043406e1
QQN-CubicQuadraticInterpolation,18,1.043406e1
QQN-CubicQuadraticInterpolation,22,0.000000e0
QQN-CubicQuadraticInterpolation,2,1.006660e1
QQN-CubicQuadraticInterpolation,18,1.006660e1
QQN-CubicQuadraticInterpolation,22,0.000000e0
QQN-CubicQuadraticInterpolation,2,9.510143e0
QQN-CubicQuadraticInterpolation,18,9.510143e0
QQN-CubicQuadraticInterpolation,22,0.000000e0
QQN-CubicQuadraticInterpolation,2,1.068829e1
QQN-CubicQuadraticInterpolation,18,1.068829e1
QQN-CubicQuadraticInterpolation,22,0.000000e0
QQN-CubicQuadraticInterpolation,2,1.068217e1
QQN-CubicQuadraticInterpolation,18,1.068217e1
QQN-CubicQuadraticInterpolation,22,0.000000e0
QQN-CubicQuadraticInterpolation,2,9.607658e0
QQN-CubicQuadraticInterpolation,18,9.607658e0
QQN-CubicQuadraticInterpolation,22,0.000000e0
QQN-CubicQuadraticInterpolation,2,1.108347e1
QQN-CubicQuadraticInterpolation,18,1.108347e1
QQN-CubicQuadraticInterpolation,22,0.000000e0
QQN-CubicQuadraticInterpolation,2,9.298012e0
QQN-CubicQuadraticInterpolation,18,9.298012e0
QQN-CubicQuadraticInterpolation,22,0.000000e0
QQN-CubicQuadraticInterpolation,2,9.344433e0
QQN-CubicQuadraticInterpolation,18,9.344433e0
QQN-CubicQuadraticInterpolation,22,0.000000e0
QQN-CubicQuadraticInterpolation,2,1.033197e1
QQN-CubicQuadraticInterpolation,18,1.033197e1
QQN-CubicQuadraticInterpolation,22,0.000000e0
QQN-CubicQuadraticInterpolation,2,1.056095e1
QQN-CubicQuadraticInterpolation,18,1.056095e1
QQN-CubicQuadraticInterpolation,22,0.000000e0
QQN-CubicQuadraticInterpolation,2,9.395120e0
QQN-CubicQuadraticInterpolation,18,9.395120e0
QQN-CubicQuadraticInterpolation,22,0.000000e0
QQN-CubicQuadraticInterpolation,2,9.479582e0
QQN-CubicQuadraticInterpolation,18,9.479582e0
QQN-CubicQuadraticInterpolation,22,0.000000e0
QQN-CubicQuadraticInterpolation,2,1.036401e1
QQN-CubicQuadraticInterpolation,18,1.036401e1
QQN-CubicQuadraticInterpolation,22,0.000000e0
QQN-CubicQuadraticInterpolation,2,1.113211e1
QQN-CubicQuadraticInterpolation,18,1.113211e1
QQN-CubicQuadraticInterpolation,22,0.000000e0
QQN-CubicQuadraticInterpolation,2,1.045522e1
QQN-CubicQuadraticInterpolation,18,1.045522e1
QQN-CubicQuadraticInterpolation,22,0.000000e0
QQN-CubicQuadraticInterpolation,2,1.086912e1
QQN-CubicQuadraticInterpolation,18,1.086912e1
QQN-CubicQuadraticInterpolation,22,0.000000e0
QQN-CubicQuadraticInterpolation,2,9.154690e0
QQN-CubicQuadraticInterpolation,18,9.154690e0
QQN-CubicQuadraticInterpolation,22,0.000000e0
QQN-CubicQuadraticInterpolation,2,1.057166e1
QQN-CubicQuadraticInterpolation,18,1.057166e1
QQN-CubicQuadraticInterpolation,22,0.000000e0
L-BFGS-Aggressive,2,1.027840e1
L-BFGS-Aggressive,12,1.027840e1
L-BFGS-Aggressive,22,2.785653e-1
L-BFGS-Aggressive,25,0.000000e0
L-BFGS-Aggressive,2,8.840112e0
L-BFGS-Aggressive,12,8.840112e0
L-BFGS-Aggressive,22,7.057377e-2
L-BFGS-Aggressive,25,0.000000e0
L-BFGS-Aggressive,2,1.194861e1
L-BFGS-Aggressive,12,1.194861e1
L-BFGS-Aggressive,22,3.256525e-1
L-BFGS-Aggressive,25,0.000000e0
L-BFGS-Aggressive,2,1.078558e1
L-BFGS-Aggressive,12,1.078558e1
L-BFGS-Aggressive,22,2.476070e-1
L-BFGS-Aggressive,25,0.000000e0
L-BFGS-Aggressive,2,1.071068e1
L-BFGS-Aggressive,12,1.071068e1
L-BFGS-Aggressive,22,2.608389e-1
L-BFGS-Aggressive,25,0.000000e0
L-BFGS-Aggressive,2,9.738316e0
L-BFGS-Aggressive,12,9.738316e0
L-BFGS-Aggressive,22,1.631081e-1
L-BFGS-Aggressive,25,0.000000e0
L-BFGS-Aggressive,2,9.474061e0
