Optimizer,MaxEvaluation,ObjectiveValue,LogObjectiveValue
QQN-GoldenSection,2,1.030668e1,1.013119e0
QQN-GoldenSection,50,1.030668e1,1.013119e0
QQN-GoldenSection,54,1.659336e-13,-1.278007e1
QQN-GoldenSection,2,1.054279e1,1.022956e0
QQN-GoldenSection,50,1.054279e1,1.022956e0
QQN-GoldenSection,54,1.697350e-13,-1.277023e1
QQN-GoldenSection,2,1.132138e1,1.053900e0
QQN-GoldenSection,50,1.132138e1,1.053900e0
QQN-GoldenSection,54,1.822700e-13,-1.273928e1
QQN-GoldenSection,2,1.025770e1,1.011050e0
QQN-GoldenSection,50,1.025770e1,1.011050e0
QQN-GoldenSection,54,1.651451e-13,-1.278213e1
QQN-GoldenSection,2,1.042965e1,1.018270e0
QQN-GoldenSection,50,1.042965e1,1.018270e0
QQN-GoldenSection,54,1.679135e-13,-1.277491e1
QQN-GoldenSection,2,1.090200e1,1.037506e0
QQN-GoldenSection,50,1.090200e1,1.037506e0
QQN-GoldenSection,54,1.755181e-13,-1.275568e1
QQN-GoldenSection,2,1.069931e1,1.029356e0
QQN-GoldenSection,50,1.069931e1,1.029356e0
QQN-GoldenSection,54,1.722548e-13,-1.276383e1
QQN-GoldenSection,2,1.011581e1,1.005000e0
QQN-GoldenSection,50,1.011581e1,1.005000e0
QQN-GoldenSection,54,1.628607e-13,-1.278818e1
QQN-GoldenSection,2,9.935342e0,9.971828e-1
QQN-GoldenSection,50,9.935342e0,9.971828e-1
QQN-GoldenSection,54,1.599553e-13,-1.279600e1
QQN-GoldenSection,2,1.032376e1,1.013838e0
QQN-GoldenSection,50,1.032376e1,1.013838e0
QQN-GoldenSection,54,1.662087e-13,-1.277935e1
QQN-GoldenSection,2,9.990839e0,9.996019e-1
QQN-GoldenSection,50,9.990839e0,9.996019e-1
QQN-GoldenSection,54,1.608487e-13,-1.279358e1
QQN-GoldenSection,2,9.807269e0,9.915481e-1
QQN-GoldenSection,50,9.807269e0,9.915481e-1
QQN-GoldenSection,54,1.578933e-13,-1.280164e1
QQN-GoldenSection,2,1.019026e1,1.008185e0
QQN-GoldenSection,50,1.019026e1,1.008185e0
QQN-GoldenSection,54,1.640593e-13,-1.278500e1
QQN-GoldenSection,2,1.132074e1,1.053875e0
QQN-GoldenSection,50,1.132074e1,1.053875e0
QQN-GoldenSection,54,1.822596e-13,-1.273931e1
QQN-GoldenSection,2,9.147191e0,9.612877e-1
QQN-GoldenSection,50,9.147191e0,9.612877e-1
QQN-GoldenSection,54,1.472663e-13,-1.283190e1
QQN-GoldenSection,2,9.939588e0,9.973684e-1
QQN-GoldenSection,50,9.939588e0,9.973684e-1
QQN-GoldenSection,54,1.600236e-13,-1.279582e1
QQN-GoldenSection,2,9.443558e0,9.751356e-1
QQN-GoldenSection,50,9.443558e0,9.751356e-1
QQN-GoldenSection,54,1.520377e-13,-1.281805e1
QQN-GoldenSection,2,1.032350e1,1.013827e0
QQN-GoldenSection,50,1.032350e1,1.013827e0
QQN-GoldenSection,54,1.662044e-13,-1.277936e1
QQN-GoldenSection,2,1.003201e1,1.001388e0
QQN-GoldenSection,50,1.003201e1,1.001388e0
QQN-GoldenSection,54,1.615116e-13,-1.279180e1
QQN-GoldenSection,2,9.928112e0,9.968667e-1
QQN-GoldenSection,50,9.928112e0,9.968667e-1
QQN-GoldenSection,54,1.598389e-13,-1.279632e1
QQN-Bisection-1,2,9.848292e0,9.933609e-1
QQN-Bisection-1,23,9.848292e0,9.933609e-1
QQN-Bisection-1,2,9.532198e0,9.791930e-1
QQN-Bisection-1,23,9.532198e0,9.791930e-1
QQN-Bisection-1,2,1.022929e1,1.009845e0
QQN-Bisection-1,23,1.022929e1,1.009845e0
QQN-Bisection-1,2,8.652339e0,9.371335e-1
QQN-Bisection-1,23,8.652339e0,9.371335e-1
QQN-Bisection-1,2,1.005010e1,1.002170e0
QQN-Bisection-1,23,1.005010e1,1.002170e0
QQN-Bisection-1,2,1.048575e1,1.020599e0
QQN-Bisection-1,23,1.048575e1,1.020599e0
QQN-Bisection-1,2,1.042938e1,1.018258e0
QQN-Bisection-1,23,1.042938e1,1.018258e0
QQN-Bisection-1,2,1.000379e1,1.000164e0
QQN-Bisection-1,23,1.000379e1,1.000164e0
QQN-Bisection-1,2,9.876745e0,9.946138e-1
QQN-Bisection-1,23,9.876745e0,9.946138e-1
QQN-Bisection-1,2,9.665748e0,9.852355e-1
QQN-Bisection-1,23,9.665748e0,9.852355e-1
QQN-Bisection-1,2,1.068422e1,1.028743e0
QQN-Bisection-1,23,1.068422e1,1.028743e0
QQN-Bisection-1,2,9.999259e0,9.999678e-1
QQN-Bisection-1,23,9.999259e0,9.999678e-1
QQN-Bisection-1,2,1.115417e1,1.047437e0
QQN-Bisection-1,23,1.115417e1,1.047437e0
QQN-Bisection-1,2,1.029157e1,1.012482e0
QQN-Bisection-1,23,1.029157e1,1.012482e0
QQN-Bisection-1,2,1.168680e1,1.067696e0
QQN-Bisection-1,23,1.168680e1,1.067696e0
QQN-Bisection-1,2,1.076803e1,1.032136e0
QQN-Bisection-1,23,1.076803e1,1.032136e0
QQN-Bisection-1,2,1.092218e1,1.038309e0
QQN-Bisection-1,23,1.092218e1,1.038309e0
QQN-Bisection-1,2,1.068579e1,1.028807e0
QQN-Bisection-1,23,1.068579e1,1.028807e0
QQN-Bisection-1,2,1.073637e1,1.030858e0
QQN-Bisection-1,23,1.073637e1,1.030858e0
QQN-Bisection-1,2,9.603657e0,9.824366e-1
QQN-Bisection-1,23,9.603657e0,9.824366e-1
QQN-CubicQuadraticInterpolation,2,1.060092e1,1.025343e0
QQN-CubicQuadraticInterpolation,18,1.060092e1,1.025343e0
QQN-CubicQuadraticInterpolation,2,1.043406e1,1.018453e0
QQN-CubicQuadraticInterpolation,18,1.043406e1,1.018453e0
QQN-CubicQuadraticInterpolation,2,1.006660e1,1.002883e0
QQN-CubicQuadraticInterpolation,18,1.006660e1,1.002883e0
QQN-CubicQuadraticInterpolation,2,9.510143e0,9.781870e-1
QQN-CubicQuadraticInterpolation,18,9.510143e0,9.781870e-1
QQN-CubicQuadraticInterpolation,2,1.068829e1,1.028908e0
QQN-CubicQuadraticInterpolation,18,1.068829e1,1.028908e0
QQN-CubicQuadraticInterpolation,2,1.068217e1,1.028660e0
QQN-CubicQuadraticInterpolation,18,1.068217e1,1.028660e0
QQN-CubicQuadraticInterpolation,2,9.607658e0,9.826176e-1
QQN-CubicQuadraticInterpolation,18,9.607658e0,9.826176e-1
QQN-CubicQuadraticInterpolation,2,1.108347e1,1.044676e0
QQN-CubicQuadraticInterpolation,18,1.108347e1,1.044676e0
QQN-CubicQuadraticInterpolation,2,9.298012e0,9.683901e-1
QQN-CubicQuadraticInterpolation,18,9.298012e0,9.683901e-1
QQN-CubicQuadraticInterpolation,2,9.344433e0,9.705529e-1
QQN-CubicQuadraticInterpolation,18,9.344433e0,9.705529e-1
QQN-CubicQuadraticInterpolation,2,1.033197e1,1.014183e0
QQN-CubicQuadraticInterpolation,18,1.033197e1,1.014183e0
QQN-CubicQuadraticInterpolation,2,1.056095e1,1.023703e0
QQN-CubicQuadraticInterpolation,18,1.056095e1,1.023703e0
QQN-CubicQuadraticInterpolation,2,9.395120e0,9.729023e-1
QQN-CubicQuadraticInterpolation,18,9.395120e0,9.729023e-1
QQN-CubicQuadraticInterpolation,2,9.479582e0,9.767892e-1
QQN-CubicQuadraticInterpolation,18,9.479582e0,9.767892e-1
QQN-CubicQuadraticInterpolation,2,1.036401e1,1.015528e0
QQN-CubicQuadraticInterpolation,18,1.036401e1,1.015528e0
QQN-CubicQuadraticInterpolation,2,1.113211e1,1.046578e0
QQN-CubicQuadraticInterpolation,18,1.113211e1,1.046578e0
QQN-CubicQuadraticInterpolation,2,1.045522e1,1.019333e0
QQN-CubicQuadraticInterpolation,18,1.045522e1,1.019333e0
QQN-CubicQuadraticInterpolation,2,1.086912e1,1.036194e0
QQN-CubicQuadraticInterpolation,18,1.086912e1,1.036194e0
QQN-CubicQuadraticInterpolation,2,9.154690e0,9.616436e-1
QQN-CubicQuadraticInterpolation,18,9.154690e0,9.616436e-1
QQN-CubicQuadraticInterpolation,2,1.057166e1,1.024143e0
QQN-CubicQuadraticInterpolation,18,1.057166e1,1.024143e0
L-BFGS-Aggressive,2,1.027840e1,1.011926e0
L-BFGS-Aggressive,12,1.027840e1,1.011926e0
L-BFGS-Aggressive,22,2.785653e-1,-5.550729e-1
L-BFGS-Aggressive,2,8.840112e0,9.464578e-1
L-BFGS-Aggressive,12,8.840112e0,9.464578e-1
L-BFGS-Aggressive,22,7.057377e-2,-1.151357e0
L-BFGS-Aggressive,2,1.194861e1,1.077318e0
L-BFGS-Aggressive,12,1.194861e1,1.077318e0
L-BFGS-Aggressive,22,3.256525e-1,-4.872456e-1
L-BFGS-Aggressive,2,1.078558e1,1.032844e0
