Optimizer,MaxEvaluation,ObjectiveValue,LogObjectiveValue
QQN-GoldenSection,2,4.209873e-1,-3.757310e-1
QQN-GoldenSection,49,4.209873e-1,-3.757310e-1
QQN-GoldenSection,2,2.376905e-1,-6.239882e-1
QQN-GoldenSection,50,2.376905e-1,-6.239882e-1
QQN-Bisection-1,2,4.370263e-1,-3.594924e-1
QQN-Bisection-1,61,4.370263e-1,-3.594924e-1
QQN-Bisection-1,2,1.919098e-1,-7.169028e-1
QQN-Bisection-1,61,1.919098e-1,-7.169028e-1
QQN-Bisection-1,2,2.183567e-1,-6.608335e-1
QQN-Bisection-1,99,2.183567e-1,-6.608335e-1
QQN-CubicQuadraticInterpolation,2,3.450468e-1,-4.621220e-1
QQN-CubicQuadraticInterpolation,64,3.450468e-1,-4.621220e-1
L-BFGS-Aggressive,2,8.950594e-2,-1.048148e0
L-BFGS-Aggressive,12,8.950594e-2,-1.048148e0
L-BFGS-Aggressive,2,1.536671e0,1.865809e-1
L-BFGS-Aggressive,10,1.536671e0,1.865809e-1
Adam-Fast,2,1.730311e-1,-7.618757e-1
Adam-Fast,6,1.730311e-1,-7.618757e-1
Adam-Fast,2,1.816229e-1,-7.408295e-1
Adam-Fast,6,1.816229e-1,-7.408295e-1
Adam-Fast,2,8.215409e-1,-8.537080e-2
Adam-Fast,6,8.215409e-1,-8.537080e-2
GD,2,2.648002e-1,-5.770816e-1
GD,5,2.648002e-1,-5.770816e-1
GD,2,5.904659e-1,-2.288052e-1
GD,5,5.904659e-1,-2.288052e-1
GD,8,1.193130e-1,-9.233124e-1
GD,2,3.508886e-1,-4.548308e-1
GD,5,3.508886e-1,-4.548308e-1
QQN-GoldenSection,2,2.780332e-1,-5.559034e-1
QQN-GoldenSection,49,2.780332e-1,-5.559034e-1
QQN-GoldenSection,2,5.434019e-1,-2.648788e-1
QQN-GoldenSection,49,5.434019e-1,-2.648788e-1
QQN-GoldenSection,2,6.294352e-2,-1.201049e0
QQN-GoldenSection,49,6.294352e-2,-1.201049e0
QQN-Bisection-1,2,9.231090e-2,-1.034747e0
QQN-Bisection-1,99,9.231090e-2,-1.034747e0
QQN-Bisection-1,2,3.539907e-1,-4.510082e-1
QQN-Bisection-1,99,3.539907e-1,-4.510082e-1
QQN-Bisection-1,2,1.645080e-1,-7.838129e-1
QQN-Bisection-1,61,1.645080e-1,-7.838129e-1
QQN-Bisection-1,2,6.554931e-2,-1.183432e0
QQN-Bisection-1,99,6.554931e-2,-1.183432e0
QQN-Bisection-2,2,2.507933e-1,-6.006841e-1
QQN-Bisection-2,61,2.507933e-1,-6.006841e-1
QQN-Bisection-2,2,1.430009e-1,-8.446614e-1
QQN-Bisection-2,61,1.430009e-1,-8.446614e-1
QQN-Bisection-2,2,7.835430e-1,-1.059372e-1
QQN-Bisection-2,61,7.835430e-1,-1.059372e-1
QQN-StrongWolfe,2,2.688514e-2,-1.570488e0
QQN-StrongWolfe,37,2.688514e-2,-1.570488e0
QQN-Backtracking,2,7.624932e-2,-1.117764e0
QQN-Backtracking,14,7.624932e-2,-1.117764e0
QQN-Backtracking,2,2.733878e-1,-5.632209e-1
QQN-Backtracking,14,2.733878e-1,-5.632209e-1
QQN-Backtracking,2,2.261546e-1,-6.455947e-1
QQN-Backtracking,15,2.261546e-1,-6.455947e-1
