Optimizer,MaxEvaluation,ObjectiveValue
QQN-GoldenSection,2,1.765075e-1
QQN-GoldenSection,49,1.765075e-1
QQN-GoldenSection,100,-4.515550e1
QQN-GoldenSection,150,-7.479427e1
QQN-GoldenSection,200,-7.832120e1
QQN-GoldenSection,250,-7.833233e1
QQN-GoldenSection,254,-7.833233e1
QQN-GoldenSection,2,2.128909e-2
QQN-GoldenSection,49,2.128909e-2
QQN-GoldenSection,100,-5.169438e1
QQN-GoldenSection,152,-7.497401e1
QQN-GoldenSection,205,-7.832074e1
QQN-GoldenSection,263,-7.833233e1
QQN-GoldenSection,277,-7.833233e1
QQN-GoldenSection,291,-7.833233e1
QQN-GoldenSection,305,-7.833233e1
QQN-GoldenSection,319,-7.833233e1
QQN-GoldenSection,367,-7.833233e1
QQN-GoldenSection,371,-7.833233e1
QQN-GoldenSection,2,-1.386494e0
QQN-GoldenSection,50,-1.386494e0
QQN-GoldenSection,103,-7.712783e1
QQN-GoldenSection,161,-7.832178e1
QQN-GoldenSection,209,-7.833223e1
QQN-GoldenSection,257,-7.833233e1
QQN-GoldenSection,271,-7.833233e1
QQN-GoldenSection,275,-7.833233e1
QQN-GoldenSection,2,-6.495606e-1
QQN-GoldenSection,50,-6.495606e-1
QQN-GoldenSection,102,-7.229501e1
QQN-GoldenSection,160,-7.807766e1
QQN-GoldenSection,208,-7.831370e1
QQN-GoldenSection,256,-7.833208e1
QQN-GoldenSection,304,-7.833233e1
QQN-GoldenSection,318,-7.833233e1
QQN-GoldenSection,322,-7.833233e1
QQN-GoldenSection,2,-5.991167e-1
QQN-GoldenSection,50,-5.991167e-1
QQN-GoldenSection,100,-4.314054e1
QQN-GoldenSection,150,-7.520408e1
QQN-GoldenSection,200,-7.832518e1
QQN-GoldenSection,250,-7.833233e1
QQN-GoldenSection,264,-7.833233e1
QQN-GoldenSection,268,-7.833233e1
QQN-GoldenSection,2,1.578182e-2
QQN-GoldenSection,49,1.578182e-2
QQN-GoldenSection,98,-3.989433e1
QQN-GoldenSection,149,-6.332473e1
QQN-GoldenSection,200,-6.419561e1
QQN-GoldenSection,214,-6.419561e1
QQN-GoldenSection,228,-6.419561e1
QQN-GoldenSection,232,-6.419561e1
QQN-GoldenSection,2,2.174088e-1
QQN-GoldenSection,49,2.174088e-1
QQN-GoldenSection,99,-4.090753e1
QQN-GoldenSection,150,-7.623787e1
QQN-GoldenSection,201,-7.833016e1
QQN-GoldenSection,215,-7.833233e1
QQN-GoldenSection,229,-7.833233e1
QQN-GoldenSection,233,-7.833233e1
QQN-GoldenSection,2,6.935924e-2
QQN-GoldenSection,49,6.935924e-2
QQN-GoldenSection,102,-7.828827e1
QQN-GoldenSection,160,-7.833232e1
QQN-GoldenSection,174,-7.833233e1
QQN-GoldenSection,178,-7.833233e1
QQN-GoldenSection,2,-1.332862e-1
QQN-GoldenSection,49,-1.332862e-1
QQN-GoldenSection,99,-4.307755e1
QQN-GoldenSection,149,-7.522400e1
QQN-GoldenSection,199,-7.832533e1
QQN-GoldenSection,249,-7.833233e1
QQN-GoldenSection,253,-7.833233e1
QQN-GoldenSection,2,2.484281e-1
QQN-GoldenSection,49,2.484281e-1
QQN-GoldenSection,100,-4.482235e1
QQN-GoldenSection,149,-6.208745e1
QQN-GoldenSection,198,-6.419547e1
QQN-GoldenSection,248,-6.419561e1
QQN-GoldenSection,262,-6.419561e1
QQN-GoldenSection,266,-6.419561e1
QQN-GoldenSection,2,2.983019e-1
QQN-GoldenSection,50,2.983019e-1
QQN-GoldenSection,100,-4.125081e1
QQN-GoldenSection,150,-6.264368e1
QQN-GoldenSection,200,-6.419561e1
QQN-GoldenSection,214,-6.419561e1
QQN-GoldenSection,228,-6.419561e1
QQN-GoldenSection,232,-6.419561e1
QQN-GoldenSection,2,-4.308932e-2
QQN-GoldenSection,49,-4.308932e-2
QQN-GoldenSection,107,-3.917841e1
QQN-GoldenSection,166,-6.369688e1
QQN-GoldenSection,225,-6.419552e1
QQN-GoldenSection,273,-6.419561e1
QQN-GoldenSection,287,-6.419561e1
QQN-GoldenSection,291,-6.419561e1
QQN-GoldenSection,2,-1.211339e0
QQN-GoldenSection,50,-1.211339e0
QQN-GoldenSection,103,-7.575583e1
QQN-GoldenSection,161,-7.828454e1
QQN-GoldenSection,209,-7.833121e1
QQN-GoldenSection,257,-7.833233e1
QQN-GoldenSection,271,-7.833233e1
QQN-GoldenSection,285,-7.833233e1
QQN-GoldenSection,289,-7.833233e1
QQN-GoldenSection,2,-5.711917e-2
QQN-GoldenSection,49,-5.711917e-2
QQN-GoldenSection,98,-4.023046e1
QQN-GoldenSection,149,-7.676068e1
QQN-GoldenSection,200,-7.833127e1
QQN-GoldenSection,214,-7.833233e1
QQN-GoldenSection,228,-7.833233e1
QQN-GoldenSection,232,-7.833233e1
QQN-GoldenSection,2,-4.959554e-1
QQN-GoldenSection,50,-4.959554e-1
QQN-GoldenSection,101,-4.950584e1
QQN-GoldenSection,150,-7.475260e1
QQN-GoldenSection,199,-7.831906e1
QQN-GoldenSection,248,-7.833233e1
QQN-GoldenSection,252,-7.833233e1
QQN-GoldenSection,2,2.628346e-1
QQN-GoldenSection,50,2.628346e-1
QQN-GoldenSection,102,-6.718354e1
QQN-GoldenSection,160,-7.751031e1
QQN-GoldenSection,208,-7.816047e1
QQN-GoldenSection,256,-7.832513e1
QQN-GoldenSection,304,-7.833224e1
QQN-GoldenSection,352,-7.833233e1
QQN-GoldenSection,366,-7.833233e1
QQN-GoldenSection,370,-7.833233e1
QQN-GoldenSection,2,2.566073e-1
QQN-GoldenSection,50,2.566073e-1
QQN-GoldenSection,102,-7.359710e1
QQN-GoldenSection,160,-7.817381e1
QQN-GoldenSection,208,-7.832417e1
QQN-GoldenSection,256,-7.833226e1
QQN-GoldenSection,304,-7.833233e1
QQN-GoldenSection,352,-7.833233e1
QQN-GoldenSection,356,-7.833233e1
QQN-GoldenSection,2,-5.177341e-1
QQN-GoldenSection,50,-5.177341e-1
QQN-GoldenSection,102,-6.466868e1
QQN-GoldenSection,160,-7.713799e1
QQN-GoldenSection,208,-7.794969e1
QQN-GoldenSection,256,-7.830949e1
QQN-GoldenSection,304,-7.833171e1
QQN-GoldenSection,352,-7.833233e1
QQN-GoldenSection,366,-7.833233e1
QQN-GoldenSection,380,-7.833233e1
QQN-GoldenSection,394,-7.833233e1
QQN-GoldenSection,398,-7.833233e1
QQN-GoldenSection,2,3.882971e-1
QQN-GoldenSection,54,3.882971e-1
QQN-GoldenSection,106,-5.692150e1
QQN-GoldenSection,158,-7.579103e1
QQN-GoldenSection,211,-7.832673e1
QQN-GoldenSection,269,-7.833233e1
QQN-GoldenSection,283,-7.833233e1
QQN-GoldenSection,287,-7.833233e1
QQN-GoldenSection,2,-1.334189e-1
QQN-GoldenSection,49,-1.334189e-1
QQN-GoldenSection,101,-6.076909e1
QQN-GoldenSection,159,-7.647930e1
QQN-GoldenSection,207,-7.723350e1
QQN-GoldenSection,255,-7.823397e1
QQN-GoldenSection,303,-7.832444e1
QQN-GoldenSection,351,-7.833229e1
QQN-GoldenSection,399,-7.833233e1
QQN-GoldenSection,413,-7.833233e1
QQN-GoldenSection,427,-7.833233e1
QQN-GoldenSection,431,-7.833233e1
QQN-Bisection-1,2,-5.492058e-1
QQN-Bisection-1,61,-5.492058e-1
QQN-Bisection-1,136,-7.512125e1
QQN-Bisection-1,176,-7.622599e1
QQN-Bisection-1,197,-7.821906e1
QQN-Bisection-1,218,-7.832923e1
QQN-Bisection-1,239,-7.833232e1
QQN-Bisection-1,260,-7.833233e1
QQN-Bisection-1,281,-7.833233e1
QQN-Bisection-1,302,-7.833233e1
QQN-Bisection-1,306,-7.833233e1
QQN-Bisection-1,2,-1.164069e-1
QQN-Bisection-1,61,-1.164069e-1
QQN-Bisection-1,101,-3.905606e1
QQN-Bisection-1,170,-6.029930e1
QQN-Bisection-1,191,-7.440804e1
QQN-Bisection-1,212,-7.593000e1
QQN-Bisection-1,233,-7.821087e1
QQN-Bisection-1,254,-7.832451e1
QQN-Bisection-1,275,-7.833232e1
QQN-Bisection-1,296,-7.833233e1
QQN-Bisection-1,317,-7.833233e1
QQN-Bisection-1,321,-7.833233e1
QQN-Bisection-1,2,3.218763e-1
QQN-Bisection-1,99,3.218763e-1
QQN-Bisection-1,160,-4.063934e1
QQN-Bisection-1,235,-6.160101e1
QQN-Bisection-1,296,-6.186451e1
QQN-Bisection-1,369,-6.301538e1
QQN-Bisection-1,442,-6.351305e1
QQN-Bisection-1,515,-6.379209e1
QQN-Bisection-1,588,-6.395337e1
QQN-Bisection-1,661,-6.404850e1
QQN-Bisection-1,734,-6.410546e1
QQN-Bisection-1,795,-6.413997e1
QQN-Bisection-1,856,-6.414136e1
QQN-Bisection-1,929,-6.414618e1
QQN-Bisection-1,1002,-6.416544e1
QQN-Bisection-1,2,3.589591e-1
QQN-Bisection-1,65,3.589591e-1
QQN-Bisection-1,136,-3.943268e1
QQN-Bisection-1,207,-4.186883e1
QQN-Bisection-1,280,-5.209988e1
QQN-Bisection-1,343,-5.742342e1
QQN-Bisection-1,383,-6.416969e1
QQN-Bisection-1,404,-6.418433e1
QQN-Bisection-1,425,-6.419561e1
QQN-Bisection-1,446,-6.419561e1
QQN-Bisection-1,467,-6.419561e1
QQN-Bisection-1,471,-6.419561e1
QQN-Bisection-1,2,-8.261148e-2
QQN-Bisection-1,61,-8.261148e-2
QQN-Bisection-1,122,-4.213466e1
QQN-Bisection-1,183,-7.522003e1
QQN-Bisection-1,256,-7.685707e1
QQN-Bisection-1,329,-7.750132e1
QQN-Bisection-1,402,-7.785287e1
QQN-Bisection-1,475,-7.805102e1
QQN-Bisection-1,548,-7.816527e1
QQN-Bisection-1,621,-7.823223e1
QQN-Bisection-1,694,-7.827195e1
QQN-Bisection-1,767,-7.829573e1
