Optimizer,MaxEvaluation,ObjectiveValue,LogObjectiveValue
QQN-GoldenSection,2,2.035245e-1,-6.913832e-1
QQN-GoldenSection,50,2.035245e-1,-6.913832e-1
QQN-GoldenSection,108,4.452752e-3,-2.351371e0
QQN-GoldenSection,156,1.917764e-3,-2.717205e0
QQN-GoldenSection,212,1.657956e-4,-3.780427e0
QQN-GoldenSection,273,4.795689e-5,-4.319149e0
QQN-GoldenSection,321,3.093868e-7,-6.509498e0
QQN-GoldenSection,369,8.739228e-11,-1.005853e1
QQN-GoldenSection,373,7.301403e-15,-1.413659e1
QQN-GoldenSection,2,4.324337e-2,-1.364080e0
QQN-GoldenSection,49,4.324337e-2,-1.364080e0
QQN-GoldenSection,99,3.531401e-2,-1.452053e0
QQN-GoldenSection,149,2.429751e-2,-1.614438e0
QQN-GoldenSection,197,1.349385e-2,-1.869864e0
QQN-GoldenSection,246,1.921751e-4,-3.716303e0
QQN-GoldenSection,296,1.395447e-7,-6.855287e0
QQN-GoldenSection,345,8.811965e-11,-1.005493e1
QQN-GoldenSection,349,4.401032e-15,-1.435645e1
QQN-GoldenSection,2,2.616601e-1,-5.822625e-1
QQN-GoldenSection,50,2.616601e-1,-5.822625e-1
QQN-GoldenSection,108,5.044865e-2,-1.297150e0
QQN-GoldenSection,164,3.830887e-2,-1.416701e0
QQN-GoldenSection,212,3.414179e-2,-1.466714e0
QQN-GoldenSection,260,2.220022e-2,-1.653643e0
QQN-GoldenSection,308,1.152211e-2,-1.938468e0
QQN-GoldenSection,357,8.586421e-3,-2.066188e0
QQN-GoldenSection,406,4.656857e-5,-4.331907e0
QQN-GoldenSection,457,9.806395e-7,-6.008491e0
QQN-GoldenSection,506,6.373049e-9,-8.195653e0
QQN-GoldenSection,510,5.461004e-15,-1.426273e1
QQN-GoldenSection,2,8.627936e-2,-1.064093e0
QQN-GoldenSection,51,8.627936e-2,-1.064093e0
QQN-GoldenSection,109,5.022933e-2,-1.299043e0
QQN-GoldenSection,165,3.748112e-2,-1.426187e0
QQN-GoldenSection,215,3.356765e-2,-1.474079e0
QQN-GoldenSection,263,1.623555e-2,-1.789533e0
QQN-GoldenSection,314,6.020777e-3,-2.220347e0
QQN-GoldenSection,372,7.499814e-5,-4.124950e0
QQN-GoldenSection,420,3.837234e-6,-5.415982e0
QQN-GoldenSection,468,1.259885e-8,-7.899669e0
QQN-GoldenSection,516,6.699994e-12,-1.117393e1
QQN-GoldenSection,520,3.457912e-16,-1.500000e1
QQN-GoldenSection,2,1.098270e-1,-9.592909e-1
QQN-GoldenSection,51,1.098270e-1,-9.592909e-1
QQN-GoldenSection,109,1.907168e-2,-1.719611e0
QQN-GoldenSection,166,1.418627e-3,-2.848132e0
QQN-GoldenSection,216,1.369769e-4,-3.863353e0
QQN-GoldenSection,265,2.403100e-6,-5.619228e0
QQN-GoldenSection,327,9.543314e-9,-8.020301e0
QQN-GoldenSection,375,9.826827e-12,-1.100759e1
QQN-GoldenSection,379,8.906701e-19,-1.500000e1
QQN-GoldenSection,2,2.917763e-1,-5.349500e-1
QQN-GoldenSection,50,2.917763e-1,-5.349500e-1
QQN-GoldenSection,108,7.695448e-3,-2.113766e0
QQN-GoldenSection,156,3.016542e-3,-2.520491e0
QQN-GoldenSection,204,1.672777e-3,-2.776562e0
QQN-GoldenSection,252,3.591976e-5,-4.444667e0
QQN-GoldenSection,300,3.787250e-8,-7.421676e0
QQN-GoldenSection,348,1.967301e-10,-9.706129e0
QQN-GoldenSection,396,5.931396e-13,-1.222684e1
QQN-GoldenSection,400,4.225230e-16,-1.500000e1
QQN-GoldenSection,2,2.310743e-1,-6.362484e-1
QQN-GoldenSection,50,2.310743e-1,-6.362484e-1
QQN-GoldenSection,108,7.547858e-3,-2.122176e0
QQN-GoldenSection,156,2.061295e-3,-2.685860e0
QQN-GoldenSection,204,4.503641e-4,-3.346436e0
QQN-GoldenSection,252,2.518659e-4,-3.598831e0
QQN-GoldenSection,300,9.046879e-7,-6.043501e0
QQN-GoldenSection,348,3.407243e-11,-1.046760e1
QQN-GoldenSection,352,4.222989e-14,-1.337438e1
QQN-GoldenSection,2,1.933946e-1,-7.135556e-1
QQN-GoldenSection,50,1.933946e-1,-7.135556e-1
QQN-GoldenSection,108,5.449539e-2,-1.263640e0
QQN-GoldenSection,164,5.302966e-2,-1.275481e0
QQN-GoldenSection,212,5.236261e-2,-1.280979e0
QQN-GoldenSection,260,5.056802e-2,-1.296124e0
QQN-GoldenSection,308,4.789436e-2,-1.319716e0
