Optimizer,MaxEvaluation,ObjectiveValue
QQN-GoldenSection,2,4.754440e3
QQN-GoldenSection,54,4.754440e3
QQN-GoldenSection,103,1.335015e0
QQN-GoldenSection,154,1.167000e-6
QQN-GoldenSection,213,1.006942e-12
QQN-GoldenSection,217,9.709683e-33
QQN-GoldenSection,2,3.887138e3
QQN-GoldenSection,54,3.887138e3
QQN-GoldenSection,103,8.124352e-1
QQN-GoldenSection,154,1.162664e-6
QQN-GoldenSection,213,1.774842e-12
QQN-GoldenSection,217,1.476550e-32
QQN-GoldenSection,2,3.166377e3
QQN-GoldenSection,54,3.166377e3
QQN-GoldenSection,103,1.026657e0
QQN-GoldenSection,154,1.058274e-6
QQN-GoldenSection,213,1.247441e-12
QQN-GoldenSection,217,3.006422e-33
QQN-GoldenSection,2,3.084086e3
QQN-GoldenSection,54,3.084086e3
QQN-GoldenSection,103,1.097764e0
QQN-GoldenSection,154,1.660809e-6
QQN-GoldenSection,213,2.393514e-12
QQN-GoldenSection,217,4.309026e-32
QQN-GoldenSection,2,2.593029e3
QQN-GoldenSection,54,2.593029e3
QQN-GoldenSection,103,8.787732e-1
QQN-GoldenSection,154,1.954338e-6
QQN-GoldenSection,213,3.814574e-12
QQN-GoldenSection,217,5.120292e-31
QQN-GoldenSection,2,3.150020e3
QQN-GoldenSection,54,3.150020e3
QQN-GoldenSection,103,1.040059e0
QQN-GoldenSection,154,1.385318e-6
QQN-GoldenSection,213,2.277459e-12
QQN-GoldenSection,217,6.075121e-32
QQN-GoldenSection,2,4.591179e3
QQN-GoldenSection,54,4.591179e3
QQN-GoldenSection,103,1.287806e0
QQN-GoldenSection,154,5.177011e-7
QQN-GoldenSection,213,3.142656e-13
QQN-GoldenSection,217,1.622296e-32
QQN-GoldenSection,2,4.895922e3
QQN-GoldenSection,54,4.895922e3
QQN-GoldenSection,103,9.972210e-1
QQN-GoldenSection,154,1.867758e-7
QQN-GoldenSection,158,1.318712e-14
QQN-GoldenSection,2,4.068851e3
QQN-GoldenSection,54,4.068851e3
QQN-GoldenSection,103,9.512678e-1
QQN-GoldenSection,154,2.081415e-7
QQN-GoldenSection,158,1.245876e-14
QQN-GoldenSection,2,2.167106e3
QQN-GoldenSection,54,2.167106e3
QQN-GoldenSection,103,6.619712e-1
QQN-GoldenSection,154,4.199248e-7
QQN-GoldenSection,213,3.493727e-13
QQN-GoldenSection,217,8.253843e-33
QQN-GoldenSection,2,3.336596e3
QQN-GoldenSection,54,3.336596e3
QQN-GoldenSection,103,9.062697e-1
QQN-GoldenSection,154,1.548089e-6
QQN-GoldenSection,213,2.649214e-12
QQN-GoldenSection,217,8.959421e-31
QQN-GoldenSection,2,3.899543e3
QQN-GoldenSection,54,3.899543e3
QQN-GoldenSection,103,1.091543e0
QQN-GoldenSection,154,9.579684e-7
QQN-GoldenSection,213,8.231863e-13
QQN-GoldenSection,217,4.323754e-32
QQN-GoldenSection,2,2.478274e3
QQN-GoldenSection,54,2.478274e3
QQN-GoldenSection,103,9.753891e-1
QQN-GoldenSection,154,1.834507e-6
QQN-GoldenSection,213,3.348797e-12
QQN-GoldenSection,217,1.626833e-30
QQN-GoldenSection,2,2.932959e3
QQN-GoldenSection,54,2.932959e3
