Optimizer,MaxEvaluation,ObjectiveValue,LogObjectiveValue
QQN-GoldenSection,2,4.754440e3,3.677099e0
QQN-GoldenSection,54,4.754440e3,3.677099e0
QQN-GoldenSection,103,1.335015e0,1.254860e-1
QQN-GoldenSection,154,1.167000e-6,-5.932929e0
QQN-GoldenSection,213,1.006942e-12,-1.199700e1
QQN-GoldenSection,217,9.709683e-33,-1.500000e1
QQN-GoldenSection,2,3.887138e3,3.589630e0
QQN-GoldenSection,54,3.887138e3,3.589630e0
QQN-GoldenSection,103,8.124352e-1,-9.021128e-2
QQN-GoldenSection,154,1.162664e-6,-5.934546e0
QQN-GoldenSection,213,1.774842e-12,-1.175084e1
QQN-GoldenSection,217,1.476550e-32,-1.500000e1
QQN-GoldenSection,2,3.166377e3,3.500563e0
QQN-GoldenSection,54,3.166377e3,3.500563e0
QQN-GoldenSection,103,1.026657e0,1.142532e-2
QQN-GoldenSection,154,1.058274e-6,-5.975402e0
QQN-GoldenSection,213,1.247441e-12,-1.190398e1
QQN-GoldenSection,217,3.006422e-33,-1.500000e1
QQN-GoldenSection,2,3.084086e3,3.489126e0
QQN-GoldenSection,54,3.084086e3,3.489126e0
QQN-GoldenSection,103,1.097764e0,4.050897e-2
QQN-GoldenSection,154,1.660809e-6,-5.779680e0
QQN-GoldenSection,213,2.393514e-12,-1.162096e1
QQN-GoldenSection,217,4.309026e-32,-1.500000e1
QQN-GoldenSection,2,2.593029e3,3.413807e0
QQN-GoldenSection,54,2.593029e3,3.413807e0
QQN-GoldenSection,103,8.787732e-1,-5.612318e-2
QQN-GoldenSection,154,1.954338e-6,-5.709000e0
QQN-GoldenSection,213,3.814574e-12,-1.141855e1
QQN-GoldenSection,217,5.120292e-31,-1.500000e1
QQN-GoldenSection,2,3.150020e3,3.498313e0
QQN-GoldenSection,54,3.150020e3,3.498313e0
QQN-GoldenSection,103,1.040059e0,1.705781e-2
QQN-GoldenSection,154,1.385318e-6,-5.858451e0
QQN-GoldenSection,213,2.277459e-12,-1.164255e1
QQN-GoldenSection,217,6.075121e-32,-1.500000e1
QQN-GoldenSection,2,4.591179e3,3.661924e0
QQN-GoldenSection,54,4.591179e3,3.661924e0
QQN-GoldenSection,103,1.287806e0,1.098504e-1
QQN-GoldenSection,154,5.177011e-7,-6.285921e0
QQN-GoldenSection,213,3.142656e-13,-1.250270e1
QQN-GoldenSection,217,1.622296e-32,-1.500000e1
QQN-GoldenSection,2,4.895922e3,3.689835e0
QQN-GoldenSection,54,4.895922e3,3.689835e0
QQN-GoldenSection,103,9.972210e-1,-1.208605e-3
QQN-GoldenSection,154,1.867758e-7,-6.728679e0
QQN-GoldenSection,158,1.318712e-14,-1.387985e1
QQN-GoldenSection,2,4.068851e3,3.609472e0
QQN-GoldenSection,54,4.068851e3,3.609472e0
QQN-GoldenSection,103,9.512678e-1,-2.169722e-2
QQN-GoldenSection,154,2.081415e-7,-6.681641e0
QQN-GoldenSection,158,1.245876e-14,-1.390453e1
QQN-GoldenSection,2,2.167106e3,3.335880e0
QQN-GoldenSection,54,2.167106e3,3.335880e0
QQN-GoldenSection,103,6.619712e-1,-1.791609e-1
QQN-GoldenSection,154,4.199248e-7,-6.376828e0
QQN-GoldenSection,213,3.493727e-13,-1.245671e1
QQN-GoldenSection,217,8.253843e-33,-1.500000e1
QQN-GoldenSection,2,3.336596e3,3.523304e0
QQN-GoldenSection,54,3.336596e3,3.523304e0
QQN-GoldenSection,103,9.062697e-1,-4.274252e-2
QQN-GoldenSection,154,1.548089e-6,-5.810204e0
QQN-GoldenSection,213,2.649214e-12,-1.157688e1
QQN-GoldenSection,217,8.959421e-31,-1.500000e1
QQN-GoldenSection,2,3.899543e3,3.591014e0
QQN-GoldenSection,54,3.899543e3,3.591014e0
QQN-GoldenSection,103,1.091543e0,3.804095e-2
QQN-GoldenSection,154,9.579684e-7,-6.018649e0
QQN-GoldenSection,213,8.231863e-13,-1.208450e1
QQN-GoldenSection,217,4.323754e-32,-1.500000e1
QQN-GoldenSection,2,2.478274e3,3.394149e0
QQN-GoldenSection,54,2.478274e3,3.394149e0
QQN-GoldenSection,103,9.753891e-1,-1.082212e-2
QQN-GoldenSection,154,1.834507e-6,-5.736481e0
QQN-GoldenSection,213,3.348797e-12,-1.147511e1
QQN-GoldenSection,217,1.626833e-30,-1.500000e1
QQN-GoldenSection,2,2.932959e3,3.467306e0
QQN-GoldenSection,54,2.932959e3,3.467306e0
QQN-GoldenSection,103,6.661355e-1,-1.764374e-1
QQN-GoldenSection,154,7.480905e-7,-6.126046e0
QQN-GoldenSection,213,8.070134e-13,-1.209312e1
QQN-GoldenSection,217,3.782307e-32,-1.500000e1
QQN-GoldenSection,2,3.122762e3,3.494539e0
QQN-GoldenSection,54,3.122762e3,3.494539e0
QQN-GoldenSection,103,1.112372e0,4.625015e-2
QQN-GoldenSection,154,1.536503e-6,-5.813466e0
QQN-GoldenSection,213,2.432958e-12,-1.161387e1
QQN-GoldenSection,217,1.200625e-30,-1.500000e1
QQN-GoldenSection,2,3.900873e3,3.591162e0
QQN-GoldenSection,54,3.900873e3,3.591162e0
QQN-GoldenSection,103,5.700051e-1,-2.441213e-1
QQN-GoldenSection,154,2.640144e-7,-6.578372e0
QQN-GoldenSection,158,1.384954e-13,-1.285856e1
QQN-GoldenSection,2,4.452508e3,3.648605e0
QQN-GoldenSection,54,4.452508e3,3.648605e0
QQN-GoldenSection,103,1.097444e0,4.038252e-2
QQN-GoldenSection,154,4.326409e-7,-6.363872e0
QQN-GoldenSection,213,2.679593e-13,-1.257193e1
QQN-GoldenSection,217,2.308176e-33,-1.500000e1
QQN-GoldenSection,2,2.813650e3,3.449270e0
QQN-GoldenSection,54,2.813650e3,3.449270e0
QQN-GoldenSection,103,1.009114e0,3.940315e-3
QQN-GoldenSection,154,1.801740e-6,-5.744308e0
QQN-GoldenSection,213,2.945173e-12,-1.153089e1
QQN-GoldenSection,217,1.835538e-32,-1.500000e1
QQN-GoldenSection,2,3.445237e3,3.537219e0
QQN-GoldenSection,54,3.445237e3,3.537219e0
QQN-GoldenSection,103,1.566052e0,1.948061e-1
QQN-GoldenSection,154,4.626311e-6,-5.334765e0
QQN-GoldenSection,213,1.478630e-11,-1.083014e1
QQN-GoldenSection,217,5.541193e-29,-1.500000e1
QQN-GoldenSection,2,2.438345e3,3.387095e0
QQN-GoldenSection,54,2.438345e3,3.387095e0
QQN-GoldenSection,103,8.425748e-1,-7.439154e-2
QQN-GoldenSection,154,1.022066e-6,-5.990521e0
QQN-GoldenSection,213,1.017840e-12,-1.199232e1
QQN-GoldenSection,217,8.851489e-32,-1.500000e1
QQN-Bisection-1,2,3.386624e3,3.529767e0
QQN-Bisection-1,76,3.386624e3,3.529767e0
