Optimizer,Min,Q1,Median,Q3,Max,AllValues
GD-Momentum,1.176314e-1,1.308473e-1,1.423848e-1,1.638835e-1,2.007891e-1,"1.176314e-1;1.203961e-1;1.257533e-1;1.301022e-1;1.301672e-1;1.308473e-1;1.322464e-1;1.348120e-1;1.391781e-1;1.413534e-1;1.423848e-1;1.461936e-1;1.536782e-1;1.577460e-1;1.592910e-1;1.638835e-1;1.684114e-1;1.769806e-1;1.990016e-1;2.007891e-1"
Adam-AMSGrad,6.867062e-1,1.006333e0,1.154405e0,1.346585e0,1.620689e0,"6.867062e-1;7.750326e-1;8.914539e-1;9.338721e-1;9.633590e-1;1.006333e0;1.047924e0;1.070600e0;1.085119e0;1.103088e0;1.154405e0;1.184430e0;1.202928e0;1.206741e0;1.216758e0;1.346585e0;1.543061e0;1.569120e0;1.573838e0;1.620689e0"
GD-WeightDecay,3.444064e-10,3.552629e-10,3.781159e-10,3.857527e-10,3.943825e-10,"3.444064e-10;3.471273e-10;3.483698e-10;3.497610e-10;3.550009e-10;3.552629e-10;3.574178e-10;3.585236e-10;3.676782e-10;3.683175e-10;3.781159e-10;3.787006e-10;3.826026e-10;3.834510e-10;3.848352e-10;3.857527e-10;3.882390e-10;3.902404e-10;3.920754e-10;3.943825e-10"
Trust Region-Conservative,2.707453e-3,5.644490e-2,4.456178e0,4.545909e0,1.802488e1,"2.707453e-3;2.763599e-3;2.112146e-2;2.240675e-2;5.366798e-2;5.644490e-2;1.734013e-1;1.862478e-1;2.428274e-1;4.698588e-1;4.456178e0;4.474960e0;4.498212e0;4.522624e0;4.529231e0;4.545909e0;4.546103e0;4.585003e0;1.799784e1;1.802488e1"
Trust Region-Adaptive,3.708992e-1,1.210796e3,1.217713e3,1.221071e3,1.223478e3,"3.708992e-1;1.207139e3;1.207211e3;1.208287e3;1.209237e3;1.210796e3;1.211977e3;1.212819e3;1.215226e3;1.216566e3;1.217713e3;1.218047e3;1.218335e3;1.220031e3;1.220159e3;1.221071e3;1.221169e3;1.221703e3;1.222871e3;1.223478e3"
QQN-Bisection-2,0.000000e0,0.000000e0,0.000000e0,0.000000e0,0.000000e0,"0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0"
Trust Region-Standard,4.401984e2,4.592115e2,4.721753e2,4.842514e2,6.033294e3,"4.401984e2;4.438420e2;4.545486e2;4.558505e2;4.579663e2;4.592115e2;4.602422e2;4.605635e2;4.625282e2;4.716063e2;4.721753e2;4.727030e2;4.748618e2;4.784344e2;4.815524e2;4.842514e2;4.869838e2;4.885274e2;4.903486e2;6.033294e3"
QQN-Bisection-1,0.000000e0,0.000000e0,0.000000e0,0.000000e0,0.000000e0,"0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0;0.000000e0"
GD-Nesterov,6.312583e-2,9.255828e-2,9.957701e-2,1.057493e-1,1.290942e-1,"6.312583e-2;8.079185e-2;8.535937e-2;9.082616e-2;9.204986e-2;9.255828e-2;9.299594e-2;9.349931e-2;9.386001e-2;9.473229e-2;9.957701e-2;1.006695e-1;1.014787e-1;1.024532e-1;1.032838e-1;1.057493e-1;1.092722e-1;1.142336e-1;1.158584e-1;1.290942e-1"
GD,2.250069e-6,2.769193e-6,2.959768e-6,3.407831e-6,3.940828e-6,"2.250069e-6;2.274568e-6;2.335074e-6;2.388659e-6;2.392205e-6;2.397845e-6;2.494234e-6;2.501416e-6;2.590050e-6;2.700808e-6;2.769193e-6;2.771942e-6;2.820041e-6;2.866100e-6;2.871354e-6;2.883699e-6;2.911716e-6;2.937294e-6;2.947057e-6;2.958434e-6;2.959768e-6;2.972388e-6;2.974896e-6;3.016505e-6;3.027717e-6;3.074280e-6;3.162045e-6;3.267663e-6;3.362672e-6;3.396100e-6;3.407831e-6;3.432162e-6;3.460843e-6;3.510414e-6;3.518721e-6;3.538615e-6;3.620007e-6;3.803509e-6;3.886993e-6;3.940828e-6"
