Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,2.316849e0,7.607264e-5,8,311,50,0.005,false
QQN-GoldenSection,1,3.574452e0,6.008634e-7,6,197,33,0.003,false
QQN-GoldenSection,2,3.574452e0,1.562119e-7,6,197,33,0.003,false
QQN-GoldenSection,3,2.316849e0,3.834578e-5,7,269,44,0.004,false
QQN-GoldenSection,4,3.574452e0,2.397188e-7,6,198,33,0.003,false
QQN-GoldenSection,5,3.574452e0,3.691943e-7,5,156,27,0.002,false
QQN-GoldenSection,6,2.316849e0,8.377385e-7,8,313,45,0.004,true
QQN-GoldenSection,7,3.574452e0,5.295367e-9,8,247,45,0.003,false
QQN-GoldenSection,8,3.574452e0,1.161796e-7,6,163,33,0.002,false
QQN-GoldenSection,9,3.574452e0,7.592117e-7,5,189,27,0.002,false
QQN-GoldenSection,10,3.574452e0,5.705135e-7,5,190,27,0.002,false
QQN-GoldenSection,11,3.574452e0,5.393773e-7,6,197,33,0.003,false
QQN-GoldenSection,12,1.646224e0,3.628268e-6,7,270,44,0.004,false
QQN-GoldenSection,13,2.316849e0,3.739906e-8,10,328,57,0.005,true
QQN-GoldenSection,14,3.574452e0,1.103351e-8,7,205,39,0.003,false
QQN-GoldenSection,15,3.574452e0,3.265434e-7,7,205,39,0.003,false
QQN-GoldenSection,16,3.574452e0,5.573665e-8,6,197,33,0.002,false
QQN-GoldenSection,17,3.574452e0,6.417206e-7,5,155,27,0.002,false
QQN-GoldenSection,18,3.574452e0,5.756676e-7,5,189,27,0.002,false
QQN-GoldenSection,19,3.574452e0,1.245777e-7,6,231,33,0.003,false
QQN-Bisection-1,0,3.574452e0,3.729513e-7,6,86,134,0.002,false
QQN-Bisection-1,1,3.574452e0,1.503417e-7,6,86,134,0.002,false
QQN-Bisection-1,2,1.646224e0,9.011782e-10,11,215,252,0.004,true
QQN-Bisection-1,3,3.574452e0,8.321149e-8,7,96,143,0.002,false
QQN-Bisection-1,4,3.574452e0,7.223285e-7,6,85,133,0.002,false
QQN-Bisection-1,5,3.574452e0,8.036747e-7,6,83,131,0.002,false
QQN-Bisection-1,6,3.574452e0,6.677906e-9,7,96,143,0.002,false
QQN-Bisection-1,7,3.574452e0,1.851199e-7,6,86,134,0.002,false
QQN-Bisection-1,8,1.646224e0,5.909803e-8,16,300,380,0.007,true
QQN-Bisection-1,9,1.646224e0,9.060496e-7,13,284,313,0.005,true
QQN-Bisection-1,10,3.574452e0,4.495033e-8,6,86,134,0.002,false
QQN-Bisection-1,11,2.316849e0,9.938472e-7,16,444,489,0.006,true
QQN-Bisection-1,12,3.574452e0,5.429851e-7,6,85,133,0.002,false
QQN-Bisection-1,13,3.574452e0,3.998182e-9,6,86,134,0.002,false
QQN-Bisection-1,14,3.574452e0,4.476354e-7,6,85,133,0.002,false
QQN-Bisection-1,15,3.574452e0,3.588250e-7,5,75,124,0.001,false
QQN-Bisection-1,16,3.574452e0,8.422066e-8,7,96,143,0.002,false
QQN-Bisection-1,17,3.574452e0,5.525913e-7,6,86,134,0.002,false
QQN-Bisection-1,18,3.574452e0,3.213854e-7,6,85,133,0.002,false
QQN-Bisection-1,19,3.574452e0,5.237053e-8,6,85,133,0.002,false
QQN-CubicQuadraticInterpolation,0,3.574452e0,1.621011e-7,8,109,128,0.003,false
QQN-CubicQuadraticInterpolation,1,3.574452e0,5.493584e-8,9,95,90,0.002,false
QQN-CubicQuadraticInterpolation,2,3.574452e0,5.295105e-8,8,110,126,0.002,false
QQN-CubicQuadraticInterpolation,3,3.574452e0,4.174749e-7,9,118,132,0.003,false
QQN-CubicQuadraticInterpolation,4,2.316849e0,5.808555e-8,13,247,364,0.008,true
QQN-CubicQuadraticInterpolation,5,2.316849e0,3.314046e-3,13,384,628,0.014,false
QQN-CubicQuadraticInterpolation,6,3.574452e0,3.750720e-7,8,109,128,0.002,false
QQN-CubicQuadraticInterpolation,7,3.574452e0,1.442647e-8,10,159,212,0.004,false
QQN-CubicQuadraticInterpolation,8,3.574452e0,6.201664e-8,7,81,76,0.001,false
QQN-CubicQuadraticInterpolation,9,3.574452e0,2.486033e-8,9,97,96,0.002,false
QQN-CubicQuadraticInterpolation,10,3.574452e0,6.303671e-7,9,117,134,0.002,false
QQN-CubicQuadraticInterpolation,11,3.574452e0,1.393260e-7,7,82,101,0.002,false
QQN-CubicQuadraticInterpolation,12,3.574452e0,1.470324e-7,8,108,130,0.002,false
QQN-CubicQuadraticInterpolation,13,3.574452e0,8.546115e-7,6,72,94,0.002,false
QQN-CubicQuadraticInterpolation,14,3.574452e0,2.252753e-9,9,118,134,0.003,false
QQN-CubicQuadraticInterpolation,15,3.033017e-5,1.789216e0,12,395,681,0.015,false
QQN-CubicQuadraticInterpolation,16,3.574452e0,3.321713e-8,9,149,200,0.004,false
QQN-CubicQuadraticInterpolation,17,3.222751e0,2.297320e-8,11,186,277,0.006,true
QQN-CubicQuadraticInterpolation,18,3.574452e0,7.814420e-8,8,109,128,0.002,false
QQN-CubicQuadraticInterpolation,19,3.574452e0,1.910456e-7,8,109,128,0.002,false
L-BFGS-Aggressive,0,3.831525e0,2.945537e0,76,770,233,0.008,false
L-BFGS-Aggressive,1,1.793994e0,2.370938e0,77,777,236,0.009,false
L-BFGS-Aggressive,2,3.981397e0,3.440137e0,76,770,233,0.008,false
