Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,7.875960e-15,8.552935e-7,15,614,87,0.010,true
QQN-GoldenSection,1,3.777191e-15,5.923447e-7,15,614,87,0.009,true
QQN-GoldenSection,2,1.895266e-6,1.337348e-2,20,911,127,0.014,false
QQN-GoldenSection,3,1.013270e-18,9.836610e-9,15,612,87,0.009,true
QQN-GoldenSection,4,3.456122e-15,4.628370e-7,16,657,93,0.010,true
QQN-GoldenSection,5,6.149392e-16,2.382737e-7,15,613,87,0.009,true
QQN-GoldenSection,6,3.905721e-15,6.006168e-7,15,614,87,0.009,true
QQN-GoldenSection,7,1.703774e-16,1.271913e-7,15,614,87,0.009,true
QQN-GoldenSection,8,9.404798e-17,6.001139e-8,16,656,93,0.010,true
QQN-GoldenSection,9,8.296318e-15,7.055569e-7,16,655,93,0.010,true
QQN-GoldenSection,10,1.770507e-15,4.075816e-7,15,614,87,0.009,true
QQN-GoldenSection,11,1.511143e-16,7.118699e-8,16,657,93,0.010,true
QQN-GoldenSection,12,4.527812e-17,6.591232e-8,15,615,87,0.009,true
QQN-GoldenSection,13,3.943716e-19,5.868066e-9,17,695,99,0.011,true
QQN-GoldenSection,14,4.449041e-15,5.269634e-7,16,657,93,0.010,true
QQN-GoldenSection,15,6.843091e-19,7.505049e-9,15,613,87,0.009,true
QQN-GoldenSection,16,5.559152e-17,7.379366e-8,15,613,87,0.009,true
QQN-GoldenSection,17,1.266794e-15,9.566889e-8,14,574,81,0.009,true
QQN-GoldenSection,18,6.873182e-16,2.547247e-7,15,614,87,0.009,true
QQN-GoldenSection,19,4.046442e-18,1.816087e-8,15,613,87,0.009,true
QQN-Bisection-1,0,2.501341e-15,1.665665e-7,15,254,289,0.004,true
QQN-Bisection-1,1,8.018825e-16,2.711207e-8,13,184,227,0.003,true
QQN-Bisection-1,2,1.946982e-16,1.106843e-7,14,241,231,0.004,true
QQN-Bisection-1,3,1.026525e-13,5.810248e-7,12,174,218,0.003,true
QQN-Bisection-1,4,9.697412e-15,4.856731e-7,13,184,227,0.003,true
QQN-Bisection-1,5,1.630696e-17,2.906117e-8,13,184,227,0.003,true
QQN-Bisection-1,6,8.739445e-17,6.177189e-8,15,264,289,0.004,true
QQN-Bisection-1,7,6.016379e-16,1.880383e-7,18,394,382,0.006,true
