Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,8.400000e1,1.489091e-4,12,460,74,0.007,false
QQN-GoldenSection,1,8.400000e1,3.736671e-4,10,454,62,0.006,false
QQN-GoldenSection,2,8.400000e1,3.020233e-4,7,322,44,0.004,false
QQN-GoldenSection,3,8.400000e1,4.114036e-4,9,419,56,0.006,false
QQN-GoldenSection,4,8.400000e1,1.877232e-4,10,389,62,0.006,false
QQN-GoldenSection,5,8.400000e1,2.793472e-4,9,349,56,0.005,false
QQN-GoldenSection,6,8.400000e1,1.622591e-4,10,410,62,0.006,false
QQN-GoldenSection,7,8.400000e1,3.025444e-4,11,432,68,0.006,false
QQN-GoldenSection,8,8.400000e1,1.457912e-4,11,431,68,0.006,false
QQN-GoldenSection,9,8.400000e1,1.282840e-4,10,376,62,0.006,false
QQN-GoldenSection,10,8.400000e1,1.036224e-4,9,382,56,0.005,false
QQN-GoldenSection,11,8.400000e1,4.655004e-5,9,334,56,0.005,false
QQN-GoldenSection,12,8.400000e1,3.375041e-4,8,341,50,0.005,false
QQN-GoldenSection,13,8.400000e1,2.984415e-4,8,360,50,0.005,false
QQN-GoldenSection,14,8.400000e1,3.781530e-4,9,402,56,0.006,false
QQN-GoldenSection,15,8.400000e1,6.570888e-5,9,369,56,0.005,false
QQN-GoldenSection,16,8.400000e1,9.698843e-5,9,379,56,0.005,false
QQN-GoldenSection,17,8.400000e1,6.653352e-5,6,246,38,0.003,false
QQN-GoldenSection,18,8.400000e1,9.846594e-5,10,387,62,0.005,false
QQN-GoldenSection,19,8.400000e1,4.582863e-5,9,334,56,0.005,false
QQN-Bisection-1,0,8.400000e1,2.390002e-4,20,402,456,0.011,false
QQN-Bisection-1,1,8.404273e1,5.071491e0,15,454,566,0.011,false
QQN-Bisection-1,2,8.727240e1,8.378806e1,13,461,588,0.011,false
QQN-Bisection-1,3,8.400000e1,1.087943e-4,12,264,333,0.007,false
QQN-Bisection-1,4,8.400000e1,2.760456e-4,17,311,346,0.008,false
QQN-Bisection-1,5,8.400000e1,1.210011e-4,13,304,381,0.007,true
QQN-Bisection-1,6,8.400000e1,2.866087e-4,15,260,287,0.006,false
QQN-Bisection-1,7,8.400000e1,2.892913e-4,11,229,274,0.006,false
QQN-Bisection-1,8,8.401056e1,2.114410e0,15,444,566,0.010,false
QQN-Bisection-1,9,8.400000e2,2.163040e-4,11,199,272,0.006,false
QQN-Bisection-1,10,8.400000e1,4.101500e-4,15,260,288,0.007,false
QQN-Bisection-1,11,8.400000e1,3.098651e-4,14,318,414,0.008,true
QQN-Bisection-1,12,8.400000e1,2.026729e-4,14,230,246,0.006,false
QQN-Bisection-1,13,8.400000e1,7.848201e-5,18,293,324,0.007,true
QQN-Bisection-1,14,8.400000e1,1.998937e-4,14,247,303,0.007,false
QQN-Bisection-1,15,8.400000e1,2.677379e-4,11,224,282,0.006,false
QQN-Bisection-1,16,8.400000e1,1.065151e-4,9,173,216,0.005,false
QQN-Bisection-1,17,8.400000e1,1.071860e-4,18,351,396,0.008,true
QQN-Bisection-1,18,8.400000e1,3.298694e-4,9,167,215,0.005,false
QQN-Bisection-1,19,8.400000e1,4.224235e-4,15,364,467,0.009,true
QQN-CubicQuadraticInterpolation,0,8.400000e2,1.125442e-4,13,307,469,0.010,false
QQN-CubicQuadraticInterpolation,1,8.400000e1,2.535792e-4,15,374,595,0.012,false
QQN-CubicQuadraticInterpolation,2,8.400000e2,1.946005e-4,10,306,501,0.010,false
QQN-CubicQuadraticInterpolation,3,8.400000e2,5.796914e-5,14,363,575,0.012,false
