Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,1.301375e1,4.317165e-1,20,908,127,0.016,false
QQN-GoldenSection,1,8.130453e0,3.916892e-1,18,908,115,0.015,false
QQN-GoldenSection,2,1.307012e1,4.023327e-1,20,909,127,0.015,false
QQN-GoldenSection,3,9.599651e0,5.348812e-8,23,837,135,0.014,false
QQN-GoldenSection,4,1.288897e1,4.123276e-1,17,905,109,0.014,false
QQN-GoldenSection,5,1.223959e1,7.373581e-7,16,532,93,0.009,false
QQN-GoldenSection,6,1.178961e1,4.048664e-1,17,932,109,0.014,false
QQN-GoldenSection,7,1.223959e1,2.786727e-7,15,490,87,0.008,false
QQN-GoldenSection,8,1.175947e1,4.101743e-1,17,948,109,0.015,false
QQN-GoldenSection,9,1.223959e1,9.437315e-8,17,618,99,0.010,false
QQN-GoldenSection,10,1.102209e1,1.079195e-7,13,480,75,0.008,false
QQN-GoldenSection,11,1.223959e1,5.724010e-7,16,638,93,0.010,false
QQN-GoldenSection,12,1.223959e1,4.965294e-7,14,447,81,0.007,false
QQN-GoldenSection,13,1.191871e1,3.490818e-1,17,937,109,0.014,false
QQN-GoldenSection,14,1.223959e1,6.974167e-7,13,439,75,0.007,false
QQN-GoldenSection,15,1.189083e1,3.243227e-1,17,937,109,0.014,false
QQN-GoldenSection,16,1.223959e1,8.677418e-8,17,608,99,0.010,false
QQN-GoldenSection,17,1.170410e1,3.585263e-1,17,941,109,0.014,false
QQN-GoldenSection,18,1.162889e1,3.615389e-1,17,925,109,0.014,false
QQN-GoldenSection,19,7.116462e0,3.512020e-7,21,796,123,0.013,false
QQN-Bisection-1,0,1.308382e1,4.040104e-1,13,492,547,0.010,false
QQN-Bisection-1,1,1.223959e1,2.595089e-7,19,229,274,0.006,false
QQN-Bisection-1,2,1.223959e1,7.597928e-7,16,204,254,0.005,false
QQN-Bisection-1,3,1.223959e1,1.832025e-7,16,262,312,0.006,false
QQN-Bisection-1,4,1.223959e1,1.524255e-7,13,171,224,0.004,false
QQN-Bisection-1,5,1.122666e1,1.568840e-1,17,480,569,0.012,false
QQN-Bisection-1,6,1.223959e1,5.122154e-7,13,171,224,0.004,false
QQN-Bisection-1,7,1.315089e1,3.620303e-1,13,512,547,0.011,false
QQN-Bisection-1,8,1.223959e1,6.641911e-7,13,171,224,0.004,false
QQN-Bisection-1,9,1.187224e1,9.930490e-8,23,455,486,0.009,false
QQN-Bisection-1,10,8.888222e0,3.605680e-7,18,279,279,0.006,false
QQN-Bisection-1,11,1.311751e1,3.543112e-1,13,492,547,0.011,false
QQN-Bisection-1,12,1.223959e1,6.416997e-7,16,196,240,0.005,false
QQN-Bisection-1,13,1.223959e1,1.389923e-7,15,222,273,0.005,false
QQN-Bisection-1,14,1.223959e1,7.473153e-7,13,171,224,0.004,false
QQN-Bisection-1,15,1.235769e1,1.128873e-7,17,253,322,0.006,false
QQN-Bisection-1,16,1.223959e1,1.508000e-8,14,182,234,0.004,false
QQN-Bisection-1,17,7.287012e0,3.473370e-1,16,566,503,0.009,false
QQN-Bisection-1,18,1.223959e1,2.537894e-8,14,182,234,0.004,false
QQN-Bisection-1,19,1.223959e1,3.107498e-7,14,182,234,0.004,false
