Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,2.153472e-18,1.828996e-8,9,367,51,0.005,true
QQN-GoldenSection,1,1.890164e-18,1.762389e-8,7,278,39,0.004,true
QQN-GoldenSection,2,3.194776e-15,4.393261e-7,8,316,45,0.004,true
QQN-GoldenSection,3,1.020447e-19,3.352085e-9,8,320,45,0.004,true
QQN-GoldenSection,4,6.401795e-17,1.006074e-7,8,316,45,0.004,true
QQN-GoldenSection,5,1.139947e-19,3.461615e-9,8,320,45,0.004,true
QQN-GoldenSection,6,5.895269e-21,7.924259e-10,8,320,45,0.004,true
QQN-GoldenSection,7,3.690033e-17,7.783060e-8,9,358,51,0.005,true
QQN-GoldenSection,8,1.013107e-17,4.078324e-8,9,358,51,0.005,true
QQN-GoldenSection,9,2.214018e-18,1.643713e-8,8,322,45,0.004,true
QQN-GoldenSection,10,4.445422e-11,6.172450e-5,19,884,121,0.013,false
QQN-GoldenSection,11,4.839084e-11,6.485549e-5,19,884,121,0.013,false
QQN-GoldenSection,12,1.730346e-16,1.681034e-7,7,278,39,0.004,true
QQN-GoldenSection,13,6.770946e-19,9.089769e-9,8,322,45,0.004,true
QQN-GoldenSection,14,6.135345e-21,7.907620e-10,8,320,45,0.004,true
QQN-GoldenSection,15,1.557023e-18,1.322114e-8,8,321,45,0.004,true
QQN-GoldenSection,16,4.813956e-11,6.455290e-5,19,884,121,0.014,false
QQN-GoldenSection,17,7.496026e-19,8.684272e-9,8,320,45,0.004,true
QQN-GoldenSection,18,1.622001e-18,1.285519e-8,8,320,45,0.004,true
QQN-GoldenSection,19,8.346800e-18,3.030089e-8,8,321,45,0.004,true
QQN-Bisection-1,0,7.539972e-7,7.618419e-3,15,524,544,0.008,false
QQN-Bisection-1,1,2.537619e-16,1.163323e-7,9,136,187,0.002,true
QQN-Bisection-1,2,2.852522e-17,6.188934e-8,13,191,226,0.003,true
QQN-Bisection-1,3,8.560354e-20,3.703824e-9,10,155,191,0.003,true
QQN-Bisection-1,4,6.967741e-15,6.136137e-7,12,196,232,0.003,true
QQN-Bisection-1,5,1.522181e-15,4.594722e-7,11,179,210,0.003,true
QQN-Bisection-1,6,1.211980e-16,7.914629e-8,10,148,198,0.003,true
QQN-Bisection-1,7,3.378217e-19,4.335913e-9,12,190,220,0.003,true
QQN-Bisection-1,8,1.311041e-15,4.532824e-7,10,139,175,0.002,true
QQN-Bisection-1,9,6.664914e-17,7.806019e-8,10,158,198,0.003,true
QQN-Bisection-1,10,3.618566e-5,6.990419e-2,15,490,564,0.007,false
QQN-Bisection-1,11,3.755999e-22,2.442683e-10,10,139,175,0.002,true
QQN-Bisection-1,12,3.037424e-15,6.946525e-7,10,139,175,0.003,true
QQN-Bisection-1,13,4.021594e-16,2.007679e-7,11,156,199,0.003,true
QQN-Bisection-1,14,4.217040e-19,7.825897e-9,11,150,185,0.003,true
QQN-Bisection-1,15,7.035744e-20,2.874170e-9,8,123,169,0.002,true
QQN-Bisection-1,16,1.217085e-15,3.560391e-7,14,259,321,0.005,true
QQN-Bisection-1,17,2.472393e-16,1.143577e-7,11,140,183,0.003,true
QQN-Bisection-1,18,2.380579e-16,1.121588e-7,9,153,204,0.003,true
QQN-Bisection-1,19,4.586229e-19,7.126082e-9,8,126,178,0.002,true
QQN-CubicQuadraticInterpolation,0,1.449455e-15,4.277949e-7,12,190,262,0.005,true
QQN-CubicQuadraticInterpolation,1,5.504367e-17,6.691193e-8,12,190,262,0.005,true
QQN-CubicQuadraticInterpolation,2,1.333690e-19,3.788799e-9,12,214,310,0.006,true
QQN-CubicQuadraticInterpolation,3,1.397665e-17,3.780127e-8,10,148,194,0.004,true
QQN-CubicQuadraticInterpolation,4,4.093279e-19,7.992414e-9,14,278,422,0.008,true
QQN-CubicQuadraticInterpolation,5,7.851348e-21,1.085292e-9,11,185,260,0.005,true
QQN-CubicQuadraticInterpolation,6,1.797913e-18,1.047557e-8,15,286,430,0.009,true
QQN-CubicQuadraticInterpolation,7,7.301650e-17,1.079236e-7,11,182,254,0.005,true
QQN-CubicQuadraticInterpolation,8,5.341278e-15,6.248849e-7,10,151,200,0.004,true
QQN-CubicQuadraticInterpolation,9,5.101954e-8,1.755371e-3,13,406,672,0.013,false
QQN-CubicQuadraticInterpolation,10,1.186191e-17,3.025971e-8,11,156,202,0.004,true
QQN-CubicQuadraticInterpolation,11,4.766778e-15,8.038353e-7,14,278,422,0.009,true
QQN-CubicQuadraticInterpolation,12,7.612861e-16,1.998786e-7,11,182,254,0.005,true
QQN-CubicQuadraticInterpolation,13,2.755411e-15,5.774961e-7,10,150,198,0.004,true
QQN-CubicQuadraticInterpolation,14,5.256009e-16,1.845154e-7,12,214,310,0.006,true
QQN-CubicQuadraticInterpolation,15,1.111627e-18,1.306512e-8,14,254,374,0.008,true
QQN-CubicQuadraticInterpolation,16,4.183687e-15,5.740669e-7,12,214,310,0.006,true
QQN-CubicQuadraticInterpolation,17,1.817283e-18,1.711013e-8,10,112,138,0.003,true
QQN-CubicQuadraticInterpolation,18,1.339660e-16,8.823186e-8,11,209,308,0.006,true
QQN-CubicQuadraticInterpolation,19,3.558300e-17,5.165618e-8,12,190,262,0.005,true
L-BFGS-Aggressive,0,1.349891e2,4.878842e1,76,770,233,0.006,false
L-BFGS-Aggressive,1,1.096372e2,6.057778e1,76,771,233,0.005,false
L-BFGS-Aggressive,2,1.231435e2,4.964093e1,76,771,233,0.005,false
L-BFGS-Aggressive,3,1.150381e2,5.369496e1,76,771,233,0.006,false
L-BFGS-Aggressive,4,1.123290e2,5.601954e1,76,771,233,0.006,false
L-BFGS-Aggressive,5,1.353504e2,4.770679e1,76,771,233,0.006,false
L-BFGS-Aggressive,6,1.040143e2,6.185967e1,76,771,233,0.005,false
L-BFGS-Aggressive,7,1.306566e2,5.006335e1,76,771,233,0.006,false
L-BFGS-Aggressive,8,1.137693e2,5.623347e1,76,771,233,0.005,false
L-BFGS-Aggressive,9,1.326023e2,4.724427e1,76,771,233,0.006,false
L-BFGS-Aggressive,10,1.044822e2,6.071474e1,76,771,233,0.005,false
L-BFGS-Aggressive,11,9.918795e1,6.115261e1,76,771,233,0.005,false
L-BFGS-Aggressive,12,1.311232e2,5.033257e1,76,771,233,0.005,false
L-BFGS-Aggressive,13,1.345881e2,4.680794e1,76,771,233,0.006,false
L-BFGS-Aggressive,14,1.081460e2,6.183859e1,76,771,233,0.005,false
L-BFGS-Aggressive,15,1.285173e2,4.896328e1,76,771,233,0.005,false
L-BFGS-Aggressive,16,1.178522e2,5.397575e1,76,771,233,0.006,false
L-BFGS-Aggressive,17,1.077949e2,5.840465e1,76,771,233,0.006,false
L-BFGS-Aggressive,18,1.040320e2,6.231541e1,76,771,233,0.005,false
L-BFGS-Aggressive,19,1.133582e2,5.690297e1,76,771,233,0.005,false
Adam-Fast,0,5.106683e0,3.007010e1,33,69,68,0.001,false
Adam-Fast,1,5.264045e0,3.048357e1,34,71,70,0.001,false
Adam-Fast,2,5.320708e0,3.045740e1,33,69,68,0.001,false
Adam-Fast,3,4.864914e0,2.903547e1,32,67,66,0.001,false
Adam-Fast,4,5.012193e0,2.985617e1,32,67,66,0.001,false
Adam-Fast,5,5.035953e0,2.988212e1,32,67,66,0.001,false
Adam-Fast,6,1.080397e0,1.136706e1,47,97,96,0.002,false
Adam-Fast,7,5.128834e0,3.028729e1,33,69,68,0.001,false
Adam-Fast,8,5.902908e0,3.180201e1,34,71,70,0.001,false
Adam-Fast,9,5.005614e0,2.979702e1,32,67,66,0.001,false
Adam-Fast,10,5.122157e0,3.023034e1,33,69,68,0.001,false
Adam-Fast,11,5.157695e0,2.978190e1,33,69,68,0.001,false
Adam-Fast,12,5.338778e0,3.054145e1,33,69,68,0.001,false
Adam-Fast,13,4.753549e0,2.901678e1,32,67,66,0.001,false
Adam-Fast,14,5.475490e0,3.088907e1,34,71,70,0.001,false
Adam-Fast,15,5.231946e0,3.033822e1,33,69,68,0.001,false
Adam-Fast,16,5.179441e0,3.020406e1,33,69,68,0.001,false
Adam-Fast,17,5.005339e0,2.932551e1,32,67,66,0.001,false
Adam-Fast,18,5.295863e0,3.066827e1,34,71,70,0.001,false
Adam-Fast,19,5.559214e0,3.120022e1,34,71,70,0.001,false
GD,0,1.937654e-10,9.982819e-5,86,88,174,0.002,true
GD,1,1.484109e-10,8.736709e-5,77,79,156,0.002,true
GD,2,1.554827e-10,8.942439e-5,75,77,152,0.002,true
GD,3,1.225072e-10,7.937700e-5,69,71,140,0.002,true
GD,4,1.292602e-10,8.153562e-5,75,77,152,0.002,true
GD,5,1.083557e-10,7.465190e-5,83,85,168,0.002,true
GD,6,1.577287e-10,9.006797e-5,81,83,164,0.002,true
GD,7,1.182813e-10,7.799613e-5,73,75,148,0.002,true
GD,8,1.558094e-10,8.951830e-5,83,85,168,0.002,true
GD,9,1.088864e-10,7.483449e-5,86,88,174,0.002,true
GD,10,1.316101e-10,8.227342e-5,76,78,154,0.002,true
GD,11,1.185968e-10,7.810008e-5,68,70,138,0.002,true
GD,12,1.736482e-10,9.450400e-5,70,72,142,0.002,true
GD,13,1.936308e-10,9.979321e-5,71,73,144,0.002,true
GD,14,1.180057e-10,7.790501e-5,74,76,150,0.002,true
GD,15,1.491954e-10,8.759770e-5,75,77,152,0.002,true
GD,16,1.781550e-10,9.572252e-5,67,69,136,0.002,true
GD,17,1.531916e-10,8.876310e-5,72,74,146,0.002,true
GD,18,1.409631e-10,8.514645e-5,74,76,150,0.002,true
GD,19,1.579145e-10,9.012101e-5,79,81,160,0.002,true
QQN-GoldenSection,0,2.451092e-18,1.995947e-8,9,353,51,0.005,true
QQN-GoldenSection,1,9.707218e-17,8.460353e-8,8,311,45,0.004,true
QQN-GoldenSection,2,1.506142e-14,8.815000e-7,8,311,45,0.004,true
QQN-GoldenSection,3,5.417216e-19,9.154318e-9,8,311,45,0.004,true
QQN-GoldenSection,4,1.518067e-19,3.997115e-9,8,315,45,0.004,true
QQN-GoldenSection,5,1.007079e-14,7.511598e-7,8,319,45,0.004,true
QQN-GoldenSection,6,9.620518e-18,3.229895e-8,8,315,45,0.004,true
QQN-GoldenSection,7,5.546868e-15,9.538758e-7,7,273,39,0.003,true
QQN-GoldenSection,8,5.222461e-19,9.248945e-9,9,353,51,0.005,true
QQN-GoldenSection,9,1.144886e-18,1.088108e-8,8,317,45,0.004,true
QQN-GoldenSection,10,5.933766e-18,2.500696e-8,8,315,45,0.004,true
QQN-GoldenSection,11,1.311137e-14,8.326544e-7,8,311,45,0.004,true
QQN-GoldenSection,12,2.932473e-18,1.915013e-8,8,311,45,0.004,true
QQN-GoldenSection,13,5.177964e-18,2.833166e-8,9,362,51,0.005,true
QQN-GoldenSection,14,1.882706e-18,1.420353e-8,8,315,45,0.004,true
QQN-GoldenSection,15,5.355996e-14,1.928475e-6,53,685,325,0.013,false
QQN-GoldenSection,16,5.311097e-19,7.754492e-9,8,317,45,0.004,true
QQN-GoldenSection,17,1.881026e-19,5.405296e-9,9,362,51,0.005,true
QQN-GoldenSection,18,3.006352e-11,5.000377e-5,19,884,121,0.013,false
QQN-GoldenSection,19,1.161365e-14,7.734315e-7,8,311,45,0.004,true
QQN-Bisection-1,0,1.722903e-16,9.629559e-8,13,217,243,0.004,true
QQN-Bisection-1,1,1.021136e-17,4.088436e-8,9,154,188,0.003,true
QQN-Bisection-1,2,2.388915e-18,1.274703e-8,10,152,185,0.002,true
QQN-Bisection-1,3,2.884707e-16,1.698388e-7,10,155,192,0.003,true
QQN-Bisection-1,4,1.427116e-15,4.167667e-7,10,155,192,0.003,true
QQN-Bisection-1,5,3.074127e-15,6.001373e-7,11,176,204,0.003,true
QQN-Bisection-1,6,8.219177e-19,1.121363e-8,13,204,236,0.004,true
QQN-Bisection-1,7,6.112916e-18,1.785203e-8,9,134,182,0.002,true
QQN-Bisection-1,8,2.192984e-17,6.006442e-8,10,136,169,0.002,true
QQN-Bisection-1,9,3.178457e-15,5.583548e-7,14,266,301,0.005,true
QQN-Bisection-1,10,4.936707e-15,7.885300e-7,10,152,185,0.002,true
QQN-Bisection-1,11,1.774786e-9,3.562346e-4,15,514,546,0.008,false
QQN-Bisection-1,12,9.426881e-19,7.260818e-9,12,187,214,0.003,true
QQN-Bisection-1,13,1.267206e-17,4.280571e-8,12,203,230,0.003,true
