Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,4.057247e0,3.469990e0,18,912,115,0.014,false
QQN-GoldenSection,1,4.065411e0,2.330937e0,18,924,115,0.014,false
QQN-GoldenSection,2,3.949136e0,3.303006e0,18,900,115,0.014,false
QQN-GoldenSection,3,1.216917e-2,1.353677e0,20,913,127,0.015,false
QQN-GoldenSection,4,6.522352e-3,7.911729e-1,19,884,121,0.014,false
QQN-GoldenSection,5,3.905705e0,2.474098e0,18,898,115,0.014,false
QQN-GoldenSection,6,4.192172e0,2.745923e0,18,938,115,0.015,false
QQN-GoldenSection,7,4.471988e0,1.678524e0,18,890,115,0.014,false
QQN-GoldenSection,8,4.070201e-2,2.375670e0,19,884,121,0.014,false
QQN-GoldenSection,9,2.549531e0,8.245135e0,19,892,121,0.014,false
QQN-GoldenSection,10,2.065055e0,4.160457e0,18,890,115,0.014,false
QQN-GoldenSection,11,3.574233e0,2.679606e0,18,898,115,0.014,false
QQN-GoldenSection,12,2.962535e0,3.614262e0,18,918,115,0.014,false
QQN-GoldenSection,13,3.584133e0,2.612285e0,18,899,115,0.014,false
QQN-GoldenSection,14,3.223550e0,2.984891e0,18,917,115,0.014,false
QQN-GoldenSection,15,4.160659e0,2.151021e0,18,925,115,0.014,false
QQN-GoldenSection,16,3.259059e0,3.801044e0,18,917,115,0.014,false
QQN-GoldenSection,17,1.198805e0,2.452085e0,17,909,109,0.014,false
QQN-GoldenSection,18,3.482133e0,3.670043e0,18,912,115,0.014,false
QQN-GoldenSection,19,7.994129e-2,4.477262e-1,18,933,115,0.014,false
QQN-Bisection-1,0,3.942428e0,2.277112e0,19,495,577,0.011,false
QQN-Bisection-1,1,9.947120e-1,2.136840e0,17,443,571,0.011,false
QQN-Bisection-1,2,1.509766e0,2.459520e0,17,482,598,0.011,false
QQN-Bisection-1,3,8.099995e-1,2.472752e0,17,453,571,0.011,false
QQN-Bisection-1,4,4.921123e-2,1.102005e0,27,467,539,0.011,false
QQN-Bisection-1,5,1.175038e0,3.879096e0,16,462,574,0.011,false
QQN-Bisection-1,6,1.975522e0,3.029322e0,18,464,585,0.011,false
QQN-Bisection-1,7,1.586855e0,3.072266e0,19,456,562,0.011,false
QQN-Bisection-1,8,4.487006e0,2.056426e0,22,458,615,0.011,false
QQN-Bisection-1,9,8.575576e-1,3.103243e0,21,458,582,0.011,false
QQN-Bisection-1,10,1.703297e0,7.846725e0,27,477,539,0.011,false
QQN-Bisection-1,11,9.579644e-1,5.110425e0,17,473,573,0.011,false
QQN-Bisection-1,12,3.287699e0,3.288625e0,17,472,590,0.011,false
QQN-Bisection-1,13,8.998637e-1,3.110621e0,17,463,571,0.011,false
QQN-Bisection-1,14,1.206034e0,2.815652e0,16,452,561,0.011,false
QQN-Bisection-1,15,1.638554e0,5.165046e0,16,452,561,0.011,false
QQN-Bisection-1,16,3.194783e0,2.667673e0,19,476,542,0.011,false
QQN-Bisection-1,17,4.149595e0,2.210075e0,17,472,586,0.011,false
QQN-Bisection-1,18,2.853377e0,6.354293e0,22,460,555,0.011,false
QQN-Bisection-1,19,1.880753e-1,6.200343e0,25,464,556,0.011,false
QQN-CubicQuadraticInterpolation,0,3.803420e0,6.735033e0,13,381,622,0.013,false
QQN-CubicQuadraticInterpolation,1,4.214455e0,2.487988e0,13,381,622,0.013,false
QQN-CubicQuadraticInterpolation,2,3.094519e0,2.475749e0,13,381,623,0.013,false
QQN-CubicQuadraticInterpolation,3,3.938776e0,4.882041e0,13,381,622,0.013,false
QQN-CubicQuadraticInterpolation,4,3.763574e0,6.916874e0,13,381,622,0.013,false
QQN-CubicQuadraticInterpolation,5,2.914121e0,9.406598e0,13,381,622,0.013,false
QQN-CubicQuadraticInterpolation,6,4.242247e0,5.737551e0,13,381,622,0.013,false
