Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,2.752709e0,1.410344e-9,7,257,39,0.003,false
QQN-GoldenSection,1,9.888265e-1,2.297479e-8,7,242,39,0.003,false
QQN-GoldenSection,2,inf,inf,0,0,0,0.000,false
QQN-GoldenSection,3,1.980921e0,4.136645e-8,8,254,45,0.003,false
QQN-GoldenSection,4,1.098737e-1,6.298111e-7,8,318,45,0.004,true
QQN-GoldenSection,5,1.980921e0,1.589388e-8,7,246,39,0.003,false
QQN-GoldenSection,6,2.752709e0,1.781686e-8,9,375,51,0.005,false
QQN-GoldenSection,7,2.144688e-1,6.126438e-1,19,891,121,0.014,false
QQN-GoldenSection,8,1.089099e0,2.110745e-8,11,381,63,0.006,false
QQN-GoldenSection,9,1.951775e0,1.991974e-7,8,297,45,0.004,false
QQN-GoldenSection,10,6.316425e-1,7.348168e-7,7,276,39,0.004,false
QQN-GoldenSection,11,1.098738e-1,4.808090e-3,19,903,121,0.014,false
QQN-GoldenSection,12,1.980921e0,3.051508e-7,7,280,39,0.003,false
QQN-GoldenSection,13,2.705407e-4,4.753619e-2,19,923,121,0.014,false
QQN-GoldenSection,14,2.888087e-1,1.955171e-2,19,917,121,0.014,false
QQN-GoldenSection,15,1.980921e0,3.969536e-7,6,238,33,0.003,false
QQN-GoldenSection,16,9.986902e-5,2.312140e-2,19,921,121,0.014,false
QQN-GoldenSection,17,1.098737e-1,1.629539e-10,8,285,45,0.004,true
QQN-GoldenSection,18,7.126405e-3,3.348810e-1,19,898,121,0.013,false
QQN-GoldenSection,19,1.457095e-19,7.634435e-10,15,638,87,0.010,true
QQN-Bisection-1,0,1.980921e0,4.798885e-8,7,110,151,0.002,false
QQN-Bisection-1,1,1.980921e0,2.271161e-8,8,121,161,0.002,false
QQN-Bisection-1,2,1.426633e0,9.000494e-8,8,117,157,0.002,false
QQN-Bisection-1,3,2.438389e0,6.105792e-7,9,146,141,0.002,false
QQN-Bisection-1,4,1.098737e-1,2.036204e-7,13,286,271,0.005,true
QQN-Bisection-1,5,1.980921e0,1.955293e-7,9,118,165,0.002,false
QQN-Bisection-1,6,1.701971e0,1.125716e-8,10,155,189,0.003,false
QQN-Bisection-1,7,1.701971e0,2.521952e-8,10,167,147,0.003,false
QQN-Bisection-1,8,1.980921e0,6.274212e-8,7,110,145,0.002,false
QQN-Bisection-1,9,1.073325e0,2.362217e-7,9,156,139,0.002,false
QQN-Bisection-1,10,1.980921e0,2.340103e-7,7,107,142,0.002,false
QQN-Bisection-1,11,1.098737e-1,4.093196e-8,11,150,187,0.003,true
QQN-Bisection-1,12,1.980921e0,2.802813e-8,8,121,161,0.002,false
QQN-Bisection-1,13,2.169900e-1,2.197797e-1,13,524,506,0.009,false
QQN-Bisection-1,14,1.426633e0,7.559910e-9,7,134,117,0.002,false
QQN-Bisection-1,15,8.718222e-16,5.323030e-7,10,129,175,0.003,true
QQN-Bisection-1,16,1.951775e0,1.224103e-7,9,146,141,0.002,false
QQN-Bisection-1,17,4.394886e-1,6.389435e-5,16,470,544,0.010,false
QQN-Bisection-1,18,1.021915e-17,4.663012e-8,14,183,217,0.004,true
QQN-Bisection-1,19,1.980921e0,1.412501e-7,11,172,213,0.003,false
QQN-CubicQuadraticInterpolation,0,1.182317e0,2.532735e-4,15,387,618,0.013,false
QQN-CubicQuadraticInterpolation,1,1.980921e0,2.944128e-8,8,88,86,0.001,false
QQN-CubicQuadraticInterpolation,2,1.757856e0,6.045766e-7,8,108,130,0.002,false
QQN-CubicQuadraticInterpolation,3,2.438389e0,1.457478e-8,12,216,331,0.007,false
QQN-CubicQuadraticInterpolation,4,1.089099e0,4.873546e-9,15,260,370,0.008,false
QQN-CubicQuadraticInterpolation,5,1.980921e0,1.289609e-7,8,93,96,0.002,false
QQN-CubicQuadraticInterpolation,6,9.737116e-1,1.094538e-7,12,264,410,0.008,false
QQN-CubicQuadraticInterpolation,7,1.980921e0,7.573361e-9,8,87,88,0.001,false
QQN-CubicQuadraticInterpolation,8,2.438389e0,7.419837e-6,9,127,169,0.004,false
QQN-CubicQuadraticInterpolation,9,1.980921e0,1.158112e-7,11,134,148,0.003,false
QQN-CubicQuadraticInterpolation,10,2.752709e0,1.377830e-8,12,212,306,0.006,false
QQN-CubicQuadraticInterpolation,11,1.073325e0,9.786277e-9,12,238,354,0.007,false
QQN-CubicQuadraticInterpolation,12,1.701971e0,2.326928e-7,7,100,122,0.002,false
QQN-CubicQuadraticInterpolation,13,3.072637e0,4.132752e-8,11,157,196,0.004,false
QQN-CubicQuadraticInterpolation,14,1.377407e-17,8.607393e-9,12,236,354,0.007,true
QQN-CubicQuadraticInterpolation,15,1.980921e0,7.123714e-7,6,72,74,0.001,false
QQN-CubicQuadraticInterpolation,16,1.101433e-1,1.693650e-1,12,376,639,0.013,false
QQN-CubicQuadraticInterpolation,17,2.499160e0,2.473067e-7,9,129,178,0.003,false
QQN-CubicQuadraticInterpolation,18,1.182329e0,6.474414e-2,12,377,642,0.013,false
QQN-CubicQuadraticInterpolation,19,2.438389e0,1.913338e-8,11,162,224,0.005,false
L-BFGS-Aggressive,0,3.222240e0,1.139522e1,76,772,233,0.005,false
L-BFGS-Aggressive,1,5.537936e-1,3.697218e0,123,631,374,0.010,false
L-BFGS-Aggressive,2,2.968233e0,1.570287e1,76,772,233,0.006,false
L-BFGS-Aggressive,3,2.009454e0,3.403715e0,76,772,233,0.006,false
L-BFGS-Aggressive,4,1.926110e-1,5.131991e0,122,637,371,0.013,false
L-BFGS-Aggressive,5,3.497171e-1,8.825128e0,123,631,374,0.010,false
L-BFGS-Aggressive,6,4.545974e0,1.361591e1,76,772,233,0.005,false
L-BFGS-Aggressive,7,4.756590e0,1.045803e1,76,772,233,0.005,false
L-BFGS-Aggressive,8,2.839330e0,1.195656e1,76,772,233,0.006,false
L-BFGS-Aggressive,9,5.175049e-1,7.622404e0,76,770,233,0.008,false
L-BFGS-Aggressive,10,3.365897e0,5.959880e0,76,772,233,0.005,false
L-BFGS-Aggressive,11,9.428721e-1,8.746631e0,123,631,374,0.010,false
L-BFGS-Aggressive,12,3.324439e0,1.889300e1,76,772,233,0.006,false
