Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,2.248867e-17,8.525284e-9,14,560,81,0.009,true
QQN-GoldenSection,1,2.534128e-15,9.600748e-8,13,537,75,0.008,true
QQN-GoldenSection,2,2.086698e-13,6.792617e-7,12,476,69,0.007,true
QQN-GoldenSection,3,1.467091e-14,2.295731e-7,13,518,75,0.008,true
QQN-GoldenSection,4,9.038078e-15,1.347433e-7,13,518,75,0.008,true
QQN-GoldenSection,5,3.804160e-13,8.820995e-7,14,560,81,0.009,true
QQN-GoldenSection,6,2.905086e-16,2.598622e-8,13,518,75,0.008,true
QQN-GoldenSection,7,1.624084e-14,1.780708e-7,13,518,75,0.008,true
QQN-GoldenSection,8,1.905293e-13,5.567322e-7,14,560,81,0.009,true
QQN-GoldenSection,9,3.519433e-17,8.400452e-9,13,518,75,0.008,true
QQN-GoldenSection,10,1.619344e-14,2.493890e-7,13,536,75,0.009,true
QQN-GoldenSection,11,9.244783e-15,1.631223e-7,13,518,75,0.008,true
QQN-GoldenSection,12,8.069773e-14,5.924641e-7,14,560,81,0.009,true
QQN-GoldenSection,13,1.063221e-13,5.489077e-7,12,476,69,0.007,true
QQN-GoldenSection,14,4.082652e-13,8.155793e-7,14,560,81,0.009,true
QQN-GoldenSection,15,7.535420e-15,1.552431e-7,13,518,75,0.008,true
QQN-GoldenSection,16,1.708059e-14,8.040251e-8,13,518,75,0.008,true
QQN-GoldenSection,17,6.025970e-14,4.403957e-7,12,476,69,0.008,true
QQN-GoldenSection,18,3.227262e-13,6.017778e-7,12,476,69,0.008,true
QQN-GoldenSection,19,4.224487e-15,1.339661e-7,14,560,81,0.009,true
QQN-Bisection-1,0,1.406864e-14,2.313322e-7,14,151,187,0.003,true
QQN-Bisection-1,1,8.706231e-14,3.197391e-7,13,140,177,0.003,true
QQN-Bisection-1,2,3.410403e-13,8.030911e-7,12,129,167,0.003,true
QQN-Bisection-1,3,7.022472e-14,3.073842e-7,14,151,187,0.003,true
QQN-Bisection-1,4,1.522296e-13,6.258069e-7,12,129,167,0.003,true
QQN-Bisection-1,5,4.922938e-19,7.923886e-10,13,140,177,0.003,true
QQN-Bisection-1,6,2.746613e-13,8.843717e-7,12,129,167,0.003,true
QQN-Bisection-1,7,4.611376e-14,3.271843e-7,13,140,177,0.003,true
QQN-Bisection-1,8,1.451640e-13,5.320511e-7,12,129,167,0.003,true
QQN-Bisection-1,9,1.291247e-15,5.107299e-8,13,140,177,0.003,true
QQN-Bisection-1,10,4.130800e-14,3.835920e-7,12,129,167,0.003,true
QQN-Bisection-1,11,1.995250e-13,6.795648e-7,17,222,263,0.005,true
QQN-Bisection-1,12,9.780432e-15,1.632628e-7,13,140,177,0.003,true
QQN-Bisection-1,13,4.150764e-14,3.017394e-7,12,129,167,0.003,true
QQN-Bisection-1,14,3.046406e-15,1.147370e-7,13,178,223,0.004,true
QQN-Bisection-1,15,2.704366e-13,6.895742e-7,15,162,197,0.004,true
QQN-Bisection-1,16,7.678781e-14,4.570940e-7,12,129,167,0.003,true
QQN-Bisection-1,17,1.228266e-13,6.474417e-7,12,129,167,0.003,true
QQN-Bisection-1,18,9.515248e-15,2.042248e-7,13,140,177,0.003,true
QQN-Bisection-1,19,1.625372e-13,6.325611e-7,12,129,167,0.003,true
QQN-CubicQuadraticInterpolation,0,2.157393e-15,6.631611e-8,13,246,366,0.008,true
QQN-CubicQuadraticInterpolation,1,1.699520e-13,5.304317e-7,12,260,402,0.009,true
QQN-CubicQuadraticInterpolation,2,6.613661e-15,5.863276e-8,13,247,368,0.008,true
QQN-CubicQuadraticInterpolation,3,5.890160e-14,3.886130e-7,13,292,458,0.010,true
QQN-CubicQuadraticInterpolation,4,1.272978e-15,5.661698e-8,13,268,410,0.009,true
QQN-CubicQuadraticInterpolation,5,1.774695e-13,7.787325e-7,12,236,354,0.008,true
QQN-CubicQuadraticInterpolation,6,8.719841e-14,4.357103e-7,12,239,360,0.008,true
QQN-CubicQuadraticInterpolation,7,1.970767e-16,2.373944e-8,14,228,322,0.007,true
QQN-CubicQuadraticInterpolation,8,1.601412e-15,5.045233e-8,13,268,410,0.009,true
QQN-CubicQuadraticInterpolation,9,1.053140e-15,4.642824e-8,12,215,312,0.007,true
QQN-CubicQuadraticInterpolation,10,1.244844e-12,8.649532e-7,14,277,420,0.009,true
