Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,4.816489e-1,7.638772e-7,10,396,57,0.126,true
QQN-GoldenSection,1,4.816489e-1,1.192244e-7,14,427,81,0.143,true
QQN-GoldenSection,2,4.816489e-1,1.044592e-7,11,403,63,0.129,true
QQN-GoldenSection,3,4.816489e-1,8.455046e-7,11,370,63,0.119,true
QQN-GoldenSection,4,4.816489e-1,8.310047e-7,10,362,57,0.116,true
QQN-GoldenSection,5,4.816489e-1,8.865163e-7,10,328,57,0.106,true
QQN-GoldenSection,6,4.816489e-1,2.139817e-7,13,352,75,0.120,true
QQN-GoldenSection,7,4.816489e-1,9.811412e-7,11,370,63,0.125,true
QQN-GoldenSection,8,4.816489e-1,7.625052e-7,11,370,63,0.121,true
QQN-GoldenSection,9,4.816489e-1,2.703760e-7,12,378,69,0.126,true
QQN-GoldenSection,10,4.816489e-1,5.604376e-7,11,336,63,0.112,true
QQN-GoldenSection,11,4.816489e-1,1.214921e-7,12,343,69,0.115,true
QQN-GoldenSection,12,4.816489e-1,1.152744e-7,11,437,63,0.139,true
QQN-GoldenSection,13,4.816489e-1,1.101222e-7,11,369,63,0.120,true
QQN-GoldenSection,14,4.816489e-1,8.418454e-8,13,419,75,0.138,true
QQN-GoldenSection,15,4.816489e-1,1.692804e-7,12,377,69,0.130,true
QQN-GoldenSection,16,4.816489e-1,6.996847e-7,11,336,63,0.116,true
QQN-GoldenSection,17,4.816489e-1,1.180086e-7,12,377,69,0.129,true
QQN-GoldenSection,18,4.816489e-1,1.519477e-7,11,403,63,0.135,true
QQN-GoldenSection,19,4.816489e-1,5.890522e-7,10,362,57,0.116,true
QQN-Bisection-1,0,4.816489e-1,2.138112e-7,11,148,179,0.099,true
QQN-Bisection-1,1,4.816489e-1,3.117418e-7,11,148,179,0.099,true
QQN-Bisection-1,2,4.816489e-1,3.631489e-7,11,148,179,0.099,true
QQN-Bisection-1,3,4.816489e-1,7.856981e-7,10,137,169,0.093,true
QQN-Bisection-1,4,4.816489e-1,3.687055e-7,11,148,179,0.100,true
QQN-Bisection-1,5,4.816489e-1,2.967984e-7,11,148,179,0.099,true
QQN-Bisection-1,6,4.816489e-1,3.595223e-7,11,148,179,0.099,true
QQN-Bisection-1,7,4.816489e-1,9.433800e-7,10,137,169,0.092,true
QQN-Bisection-1,8,4.816489e-1,3.103583e-7,11,148,179,0.099,true
QQN-Bisection-1,9,4.816489e-1,3.161213e-7,11,148,179,0.098,true
QQN-Bisection-1,10,4.816489e-1,2.640370e-7,11,148,179,0.098,true
QQN-Bisection-1,11,4.816489e-1,4.118396e-7,11,148,179,0.099,true
QQN-Bisection-1,12,4.816489e-1,3.706706e-7,11,148,179,0.098,true
QQN-Bisection-1,13,4.816489e-1,3.508806e-7,11,148,179,0.099,true
QQN-Bisection-1,14,4.816489e-1,8.744059e-7,10,137,169,0.092,true
QQN-Bisection-1,15,4.816489e-1,2.827933e-7,11,148,179,0.099,true
QQN-Bisection-1,16,4.816489e-1,8.431652e-7,10,137,169,0.092,true
QQN-Bisection-1,17,4.816489e-1,3.255865e-7,11,148,179,0.100,true
QQN-Bisection-1,18,4.816489e-1,4.080817e-7,11,148,179,0.098,true
QQN-Bisection-1,19,4.816489e-1,3.420724e-7,11,148,179,0.099,true
QQN-CubicQuadraticInterpolation,0,4.816489e-1,2.217842e-7,13,177,222,0.121,true
QQN-CubicQuadraticInterpolation,1,4.816489e-1,1.114267e-7,16,153,148,0.091,true
QQN-CubicQuadraticInterpolation,2,4.816489e-1,1.226087e-7,13,153,174,0.099,true
QQN-CubicQuadraticInterpolation,3,4.816489e-1,5.650840e-7,12,145,168,0.096,true
QQN-CubicQuadraticInterpolation,4,4.816489e-1,5.482522e-8,17,160,154,0.095,true
QQN-CubicQuadraticInterpolation,5,4.816489e-1,1.556102e-7,12,145,168,0.096,true
QQN-CubicQuadraticInterpolation,6,4.816489e-1,2.649392e-7,15,145,138,0.085,true
QQN-CubicQuadraticInterpolation,7,4.816489e-1,3.273976e-7,14,137,132,0.081,true
