Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,3.232535e-1,3.903647e-7,12,380,69,0.142,false
QQN-GoldenSection,1,3.232535e-1,4.040150e-7,11,406,63,0.147,false
QQN-GoldenSection,2,3.232535e-1,3.622364e-7,11,337,63,0.129,false
QQN-GoldenSection,3,3.232535e-1,6.177706e-7,11,338,63,0.131,false
QQN-GoldenSection,4,3.232535e-1,5.990261e-7,11,372,63,0.147,false
QQN-GoldenSection,5,3.232535e-1,5.748841e-7,11,406,63,0.160,false
QQN-GoldenSection,6,3.232535e-1,4.060590e-7,11,371,63,0.142,false
QQN-GoldenSection,7,3.232535e-1,3.975348e-7,11,372,63,0.147,false
QQN-GoldenSection,8,3.232535e-1,4.898376e-7,12,414,69,0.161,false
QQN-GoldenSection,9,3.232535e-1,3.134431e-7,12,346,69,0.150,false
QQN-GoldenSection,10,3.232535e-1,8.727840e-7,11,372,63,0.141,false
QQN-GoldenSection,11,3.232535e-1,7.983688e-7,11,439,63,0.164,false
QQN-GoldenSection,12,3.232535e-1,4.552908e-7,11,440,63,0.163,false
QQN-GoldenSection,13,3.232535e-1,3.539174e-7,11,372,63,0.141,false
QQN-GoldenSection,14,3.232535e-1,5.961933e-7,11,338,63,0.130,false
QQN-GoldenSection,15,3.232535e-1,6.880625e-7,10,364,57,0.136,false
QQN-GoldenSection,16,3.232535e-1,3.635803e-7,13,388,75,0.150,false
QQN-GoldenSection,17,3.232535e-1,6.941865e-7,12,353,69,0.133,false
QQN-GoldenSection,18,3.232535e-1,2.388781e-7,11,389,63,0.141,false
QQN-GoldenSection,19,3.232535e-1,4.684814e-7,12,346,69,0.129,false
QQN-Bisection-1,0,3.232535e-1,9.296577e-7,10,112,152,0.085,false
QQN-Bisection-1,1,3.232535e-1,4.382751e-7,11,123,162,0.092,false
QQN-Bisection-1,2,3.232535e-1,6.255845e-7,10,112,152,0.086,false
QQN-Bisection-1,3,3.232535e-1,4.039337e-7,11,123,162,0.092,false
QQN-Bisection-1,4,3.232535e-1,2.959465e-7,11,123,162,0.092,false
QQN-Bisection-1,5,3.232535e-1,5.056063e-7,11,123,162,0.092,false
QQN-Bisection-1,6,3.232535e-1,9.009931e-7,10,112,152,0.085,false
QQN-Bisection-1,7,3.232535e-1,3.567370e-7,10,112,152,0.085,false
QQN-Bisection-1,8,3.232535e-1,6.446530e-7,11,161,208,0.120,false
QQN-Bisection-1,9,3.232535e-1,3.041146e-7,11,123,162,0.095,false
QQN-Bisection-1,10,3.232535e-1,7.062323e-7,10,112,152,0.089,false
QQN-Bisection-1,11,3.232535e-1,6.439873e-7,10,112,152,0.089,false
QQN-Bisection-1,12,3.232535e-1,6.045870e-7,11,161,208,0.121,false
QQN-Bisection-1,13,3.232535e-1,8.156384e-7,10,112,152,0.086,false
QQN-Bisection-1,14,3.232535e-1,6.224578e-7,11,123,162,0.093,false
QQN-Bisection-1,15,3.232535e-1,4.719945e-7,10,112,152,0.086,false
QQN-Bisection-1,16,3.232535e-1,7.457493e-7,10,112,152,0.086,false
QQN-Bisection-1,17,3.232535e-1,2.977446e-7,11,123,162,0.092,false
QQN-Bisection-1,18,3.232535e-1,5.705849e-7,11,123,162,0.093,false
QQN-Bisection-1,19,3.232535e-1,6.430232e-7,11,123,162,0.093,false
QQN-CubicQuadraticInterpolation,0,3.232535e-1,1.306800e-7,11,137,178,0.104,false
QQN-CubicQuadraticInterpolation,1,3.232535e-1,7.314809e-7,11,137,178,0.103,false
