Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,6.761038e-13,6.725552e-7,9,350,51,0.005,true
QQN-GoldenSection,1,1.483436e-14,1.512702e-7,9,350,51,0.005,true
QQN-GoldenSection,2,5.120257e-13,8.721095e-7,10,393,57,0.005,true
QQN-GoldenSection,3,6.394034e-13,8.446102e-7,9,350,51,0.005,true
QQN-GoldenSection,4,3.410527e-13,6.759725e-7,10,393,57,0.006,true
QQN-GoldenSection,5,3.752767e-16,2.113461e-8,8,308,45,0.004,true
QQN-GoldenSection,6,1.514609e-18,1.572863e-9,7,284,39,0.004,true
QQN-GoldenSection,7,3.168741e-20,2.401350e-10,7,285,39,0.004,true
QQN-GoldenSection,8,3.422604e-18,2.616314e-9,6,230,33,0.003,true
QQN-GoldenSection,9,1.429026e-16,1.568339e-8,9,350,51,0.005,true
QQN-GoldenSection,10,2.208640e-13,5.423901e-7,9,350,51,0.005,true
QQN-GoldenSection,11,1.848360e-13,3.949357e-7,9,355,51,0.005,true
QQN-GoldenSection,12,1.503301e-13,4.551721e-7,9,350,51,0.005,true
QQN-GoldenSection,13,2.507261e-15,1.547720e-8,8,314,45,0.004,true
QQN-GoldenSection,14,9.796441e-13,8.040035e-7,9,350,51,0.005,true
QQN-GoldenSection,15,4.102321e-13,7.668471e-7,10,396,57,0.005,true
QQN-GoldenSection,16,5.468274e-17,1.045775e-8,6,230,33,0.003,true
QQN-GoldenSection,17,2.707481e-13,6.420642e-7,10,393,57,0.006,true
QQN-GoldenSection,18,1.665528e-13,4.951380e-7,10,396,57,0.005,true
QQN-GoldenSection,19,1.901809e-15,5.302014e-8,9,350,51,0.005,true
QQN-Bisection-1,0,4.080335e-13,7.457501e-7,10,109,149,0.002,true
QQN-Bisection-1,1,2.876163e-15,6.838365e-8,9,97,138,0.002,true
QQN-Bisection-1,2,2.892551e-13,6.621455e-7,10,108,148,0.002,true
QQN-Bisection-1,3,4.104163e-13,7.317144e-7,10,109,149,0.002,true
QQN-Bisection-1,4,1.379487e-14,1.515100e-7,10,108,148,0.002,true
QQN-Bisection-1,5,3.456909e-16,2.617606e-8,11,121,160,0.002,true
QQN-Bisection-1,6,1.996101e-14,1.760207e-7,9,97,138,0.002,true
QQN-Bisection-1,7,1.317343e-16,1.585694e-8,11,119,158,0.002,true
QQN-Bisection-1,8,6.034437e-16,3.254229e-8,10,111,151,0.002,true
QQN-Bisection-1,9,4.308578e-16,2.699344e-8,9,97,138,0.002,true
QQN-Bisection-1,10,4.618649e-13,7.915368e-7,10,109,149,0.002,true
QQN-Bisection-1,11,2.124276e-16,2.029227e-8,11,119,158,0.002,true
QQN-Bisection-1,12,3.605447e-13,7.118772e-7,10,110,150,0.002,true
QQN-Bisection-1,13,5.382219e-21,1.037513e-10,6,68,112,0.001,true
QQN-Bisection-1,14,1.366057e-15,3.894460e-8,8,86,128,0.002,true
QQN-Bisection-1,15,3.453765e-13,6.735106e-7,10,109,149,0.002,true
QQN-Bisection-1,16,7.844610e-15,1.128120e-7,9,97,138,0.002,true
QQN-Bisection-1,17,1.051170e-13,3.833306e-7,9,97,138,0.002,true
QQN-Bisection-1,18,4.080082e-13,7.829326e-7,10,108,148,0.002,true
QQN-Bisection-1,19,1.138788e-16,1.469065e-8,11,119,158,0.002,true
QQN-CubicQuadraticInterpolation,0,3.697845e-13,6.926679e-7,10,196,290,0.005,true
QQN-CubicQuadraticInterpolation,1,3.646564e-16,2.668310e-8,11,204,298,0.006,true
QQN-CubicQuadraticInterpolation,2,2.207275e-13,5.512543e-7,10,196,290,0.005,true
QQN-CubicQuadraticInterpolation,3,2.923223e-30,4.835885e-16,4,52,74,0.001,true
QQN-CubicQuadraticInterpolation,4,3.905355e-30,5.589529e-16,4,76,98,0.001,true
QQN-CubicQuadraticInterpolation,5,7.232326e-29,2.405382e-15,4,76,98,0.001,true
QQN-CubicQuadraticInterpolation,6,5.785206e-15,7.567776e-8,9,140,186,0.003,true
QQN-CubicQuadraticInterpolation,7,4.930381e-34,6.280370e-18,4,76,98,0.001,true
QQN-CubicQuadraticInterpolation,8,7.597575e-15,8.606232e-8,9,140,186,0.003,true
QQN-CubicQuadraticInterpolation,9,4.714916e-15,8.783677e-8,10,172,242,0.005,true
QQN-CubicQuadraticInterpolation,10,1.817536e-29,1.205831e-15,4,52,74,0.001,true
QQN-CubicQuadraticInterpolation,11,6.295603e-30,7.096818e-16,4,52,74,0.001,true
QQN-CubicQuadraticInterpolation,12,1.777516e-14,1.679020e-7,10,172,242,0.004,true
QQN-CubicQuadraticInterpolation,13,1.208067e-28,3.108783e-15,4,76,98,0.001,true
QQN-CubicQuadraticInterpolation,14,1.098410e-28,2.964335e-15,4,76,98,0.002,true
