Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,-4.079887e0,2.747754e0,17,911,109,0.016,false
QQN-GoldenSection,1,-3.778842e0,1.437504e0,18,894,115,0.016,false
QQN-GoldenSection,2,-3.045028e0,1.991181e-1,18,892,115,0.016,false
QQN-GoldenSection,3,-4.465162e0,1.790471e-1,17,936,109,0.016,false
QQN-GoldenSection,4,-2.395744e0,4.911969e0,18,919,115,0.016,false
QQN-GoldenSection,5,-1.783450e0,1.632299e-1,17,900,109,0.016,false
QQN-GoldenSection,6,-2.292618e0,7.725875e-3,18,925,115,0.016,false
QQN-GoldenSection,7,-1.498057e0,5.812478e-2,18,916,115,0.016,false
QQN-GoldenSection,8,-3.190859e0,2.564771e-1,18,887,115,0.016,false
QQN-GoldenSection,9,-4.634388e0,1.313533e-1,17,909,109,0.016,false
QQN-GoldenSection,10,-4.403720e0,3.826696e-1,18,925,115,0.016,false
QQN-GoldenSection,11,-5.300729e0,1.273665e-6,16,562,97,0.010,false
QQN-GoldenSection,12,-3.615689e0,1.795046e-2,18,903,115,0.016,false
QQN-GoldenSection,13,-5.300597e0,2.186519e-1,17,902,109,0.016,false
QQN-GoldenSection,14,-4.808084e0,6.274685e0,19,931,121,0.017,false
QQN-GoldenSection,15,-3.578563e0,8.330874e-1,18,912,115,0.016,false
QQN-GoldenSection,16,-2.381749e0,4.056703e-2,18,889,115,0.016,false
QQN-GoldenSection,17,-4.513841e0,2.780444e0,20,885,127,0.016,false
QQN-GoldenSection,18,-3.756812e0,1.165080e-3,17,951,109,0.016,false
QQN-GoldenSection,19,-2.250358e0,5.516704e-1,17,947,109,0.016,false
QQN-Bisection-1,0,-3.660737e0,1.120577e-1,22,476,540,0.013,false
QQN-Bisection-1,1,-5.300220e0,4.013258e-1,17,429,592,0.012,false
QQN-Bisection-1,2,-2.381242e0,5.084544e0,12,482,527,0.012,false
QQN-Bisection-1,3,-3.756813e0,4.806704e-2,22,469,585,0.013,false
QQN-Bisection-1,4,-2.453719e0,1.440264e-5,29,490,567,0.014,false
QQN-Bisection-1,5,-1.540882e0,2.431866e0,15,467,598,0.013,false
QQN-Bisection-1,6,-4.121276e0,5.664047e0,20,492,558,0.011,false
QQN-Bisection-1,7,-5.301876e0,6.344718e-2,21,445,568,0.012,false
QQN-Bisection-1,8,-2.318233e0,1.238967e-1,16,452,594,0.013,false
QQN-Bisection-1,9,-4.115640e0,8.068463e-1,19,476,599,0.014,false
QQN-Bisection-1,10,-4.128126e0,9.388810e0,19,482,573,0.013,false
QQN-Bisection-1,11,-3.227063e0,1.464074e0,16,474,540,0.013,false
QQN-Bisection-1,12,-4.460064e0,7.432026e-1,17,480,561,0.013,false
QQN-Bisection-1,13,-3.565566e0,2.927898e-2,24,459,567,0.013,false
QQN-Bisection-1,14,-2.626797e0,1.140225e1,14,451,559,0.013,false
QQN-Bisection-1,15,-4.523729e0,5.626967e-1,20,463,591,0.013,false
QQN-Bisection-1,16,-2.605645e0,6.939371e1,13,399,608,0.014,false
QQN-Bisection-1,17,-4.142273e0,7.049867e0,16,469,543,0.011,false
QQN-Bisection-1,18,-4.482282e0,2.180481e0,14,456,594,0.013,false
QQN-Bisection-1,19,-2.893399e0,1.788599e-1,20,460,584,0.013,false
QQN-CubicQuadraticInterpolation,0,-3.761762e0,1.810745e-1,14,386,624,0.015,false
QQN-CubicQuadraticInterpolation,1,-2.754573e0,5.632274e-1,13,399,677,0.016,false
QQN-CubicQuadraticInterpolation,2,-2.786202e0,3.230911e-1,12,398,664,0.015,false
QQN-CubicQuadraticInterpolation,3,-4.404114e0,2.052301e-2,16,409,675,0.016,false
QQN-CubicQuadraticInterpolation,4,-3.922674e0,3.399546e-1,13,387,634,0.015,false
QQN-CubicQuadraticInterpolation,5,-1.957310e0,1.637367e0,11,386,648,0.015,false
QQN-CubicQuadraticInterpolation,6,-3.047917e0,8.600226e-1,12,403,674,0.016,false
QQN-CubicQuadraticInterpolation,7,-3.024621e0,4.151145e-1,12,397,662,0.015,false
QQN-CubicQuadraticInterpolation,8,-3.333051e0,9.367092e0,12,398,664,0.015,false
QQN-CubicQuadraticInterpolation,9,-2.286647e0,3.103024e-1,12,394,656,0.015,false
QQN-CubicQuadraticInterpolation,10,-1.673055e0,8.771252e0,13,406,672,0.016,false
QQN-CubicQuadraticInterpolation,11,-3.298030e0,1.025865e-1,13,402,664,0.016,false
QQN-CubicQuadraticInterpolation,12,-3.969456e0,6.308941e0,13,407,674,0.016,false
QQN-CubicQuadraticInterpolation,13,-3.753910e0,1.358910e0,13,402,664,0.016,false
QQN-CubicQuadraticInterpolation,14,-4.713448e0,5.356079e0,13,407,674,0.016,false
QQN-CubicQuadraticInterpolation,15,-7.913350e-1,1.104470e-1,13,384,651,0.016,false
QQN-CubicQuadraticInterpolation,16,-1.921830e0,7.798831e-2,13,402,664,0.016,false
QQN-CubicQuadraticInterpolation,17,-2.973395e0,6.898184e0,11,386,648,0.015,false
QQN-CubicQuadraticInterpolation,18,-2.928095e0,1.265845e0,12,378,624,0.015,false
