Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,1.755226e-1,1.339306e-1,20,912,127,0.299,false
QQN-GoldenSection,1,1.772052e-1,1.006522e-1,20,895,127,0.294,false
QQN-GoldenSection,2,1.684528e-1,9.440233e-2,20,913,127,0.300,false
QQN-GoldenSection,3,1.637877e-1,1.062388e-1,20,913,127,0.301,false
QQN-GoldenSection,4,1.791775e-1,1.255180e-1,19,891,121,0.300,false
QQN-GoldenSection,5,1.764331e-1,1.169786e-1,20,913,127,0.300,false
QQN-GoldenSection,6,1.621816e-1,6.336117e-2,20,912,127,0.302,false
QQN-GoldenSection,7,1.725909e-1,1.427802e-1,20,895,127,0.306,false
QQN-GoldenSection,8,1.820611e-1,6.391201e-2,19,888,121,0.294,false
QQN-GoldenSection,9,1.660935e-1,1.403660e-1,20,913,127,0.301,false
QQN-GoldenSection,10,1.616621e-1,1.117128e-1,20,895,127,0.295,false
QQN-GoldenSection,11,1.708350e-1,9.595711e-2,20,895,127,0.295,false
QQN-GoldenSection,12,1.751032e-1,1.707930e-1,20,913,127,0.301,false
QQN-GoldenSection,13,1.731994e-1,1.042337e-1,20,913,127,0.300,false
QQN-GoldenSection,14,1.798426e-1,7.122895e-2,20,902,127,0.298,false
QQN-GoldenSection,15,1.712370e-1,1.164355e-1,20,895,127,0.295,false
QQN-GoldenSection,16,1.808816e-1,7.412877e-2,20,914,127,0.303,false
QQN-GoldenSection,17,1.782593e-1,6.684642e-2,20,914,127,0.301,false
QQN-GoldenSection,18,1.723007e-1,9.205370e-2,20,895,127,0.296,false
QQN-GoldenSection,19,1.754950e-1,1.352633e-1,20,913,127,0.302,false
QQN-Bisection-1,0,1.396669e-1,7.571380e-2,44,502,506,0.422,false
QQN-Bisection-1,1,1.530235e-1,9.254111e-2,37,499,520,0.426,false
QQN-Bisection-1,2,1.488633e-1,5.957604e-2,38,493,514,0.424,false
QQN-Bisection-1,3,1.688869e-1,5.489345e-2,32,481,545,0.439,false
QQN-Bisection-1,4,1.535953e-1,6.337857e-2,38,503,519,0.429,false
QQN-Bisection-1,5,1.413988e-1,8.120517e-2,39,502,520,0.428,false
QQN-Bisection-1,6,1.623036e-1,5.886880e-2,33,495,534,0.436,false
QQN-Bisection-1,7,1.427793e-1,9.820315e-2,42,509,513,0.434,false
QQN-Bisection-1,8,1.522126e-1,1.498503e-1,40,496,512,0.428,false
QQN-Bisection-1,9,1.588904e-1,8.680883e-2,27,484,538,0.438,false
QQN-Bisection-1,10,1.459159e-1,5.942412e-2,35,496,526,0.432,false
QQN-Bisection-1,11,1.520483e-1,1.392792e-1,40,496,512,0.425,false
QQN-Bisection-1,12,1.514342e-1,9.115368e-2,40,496,512,0.424,false
QQN-Bisection-1,13,1.444811e-1,4.535898e-2,42,528,535,0.446,false
QQN-Bisection-1,14,1.539306e-1,9.430672e-2,36,490,518,0.428,false
QQN-Bisection-1,15,1.427697e-1,8.234629e-2,36,490,518,0.426,false
QQN-Bisection-1,16,1.458236e-1,1.133989e-1,30,508,549,0.447,false
QQN-Bisection-1,17,1.616658e-1,1.278347e-1,36,490,518,0.425,false
QQN-Bisection-1,18,1.643515e-1,1.165886e-1,40,496,512,0.425,false
QQN-Bisection-1,19,1.427125e-1,5.451438e-2,44,502,506,0.421,false
QQN-CubicQuadraticInterpolation,0,1.948100e-1,9.640468e-2,12,396,660,0.491,false
QQN-CubicQuadraticInterpolation,1,1.871835e-1,9.163774e-2,12,396,660,0.490,false
QQN-CubicQuadraticInterpolation,2,1.927610e-1,1.031144e-1,12,396,660,0.492,false
QQN-CubicQuadraticInterpolation,3,1.939098e-1,9.413713e-2,11,386,648,0.481,false
QQN-CubicQuadraticInterpolation,4,1.904229e-1,1.484609e-1,13,404,668,0.497,false
QQN-CubicQuadraticInterpolation,5,1.946919e-1,1.425672e-1,12,396,660,0.491,false
QQN-CubicQuadraticInterpolation,6,1.950537e-1,6.483923e-2,11,386,648,0.481,false
QQN-CubicQuadraticInterpolation,7,1.877377e-1,1.054671e-1,12,396,660,0.490,false
QQN-CubicQuadraticInterpolation,8,1.951543e-1,1.677796e-1,12,396,660,0.490,false
QQN-CubicQuadraticInterpolation,9,1.929799e-1,1.451731e-1,12,396,660,0.491,false
QQN-CubicQuadraticInterpolation,10,1.947418e-1,7.232659e-2,12,396,660,0.489,false
QQN-CubicQuadraticInterpolation,11,1.955613e-1,1.905056e-1,11,386,648,0.483,false
QQN-CubicQuadraticInterpolation,12,2.004435e-1,8.991086e-2,11,386,648,0.480,false
QQN-CubicQuadraticInterpolation,13,1.914829e-1,1.350236e-1,12,396,660,0.490,false
QQN-CubicQuadraticInterpolation,14,1.964577e-1,7.832461e-2,12,396,660,0.493,false
