Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,1.531748e0,7.004574e3,1,49,8,0.001,false
QQN-GoldenSection,1,inf,inf,0,0,0,0.000,false
QQN-GoldenSection,2,1.844669e0,4.445756e3,1,46,8,0.001,false
QQN-GoldenSection,3,2.731960e0,3.859350e3,1,45,8,0.001,false
QQN-GoldenSection,4,1.782961e0,3.731787e3,2,19,14,0.001,false
QQN-GoldenSection,5,1.718535e0,8.693538e3,1,46,8,0.001,false
QQN-GoldenSection,6,inf,inf,0,0,0,0.000,false
QQN-GoldenSection,7,1.671597e0,3.383301e3,2,54,14,0.001,false
QQN-GoldenSection,8,inf,inf,0,0,0,0.000,false
QQN-GoldenSection,9,inf,inf,0,0,0,0.000,false
QQN-GoldenSection,10,2.108317e0,3.259612e3,1,46,8,0.001,false
QQN-GoldenSection,11,1.850046e0,2.099981e3,1,46,8,0.001,false
QQN-GoldenSection,12,inf,inf,0,0,0,0.000,false
QQN-GoldenSection,13,inf,inf,0,0,0,0.000,false
QQN-GoldenSection,14,inf,inf,0,0,0,0.000,false
QQN-GoldenSection,15,1.468101e0,3.637713e3,1,11,8,0.001,false
QQN-GoldenSection,16,1.552705e0,2.705492e3,1,49,8,0.001,false
QQN-GoldenSection,17,1.443200e0,3.365291e3,1,45,8,0.001,false
QQN-GoldenSection,18,inf,inf,0,0,0,0.000,false
QQN-GoldenSection,19,1.467701e0,4.352240e3,2,57,14,0.002,false
QQN-Bisection-1,0,2.034296e0,5.152489e3,2,67,80,0.007,false
QQN-Bisection-1,1,inf,inf,0,0,0,0.000,false
QQN-Bisection-1,2,1.032894e-2,9.334608e3,5,145,222,0.014,false
QQN-Bisection-1,3,inf,inf,0,0,0,0.000,false
QQN-Bisection-1,4,1.014204e0,4.271112e3,2,77,80,0.007,false
QQN-Bisection-1,5,2.103605e0,6.073043e3,2,66,99,0.007,false
QQN-Bisection-1,6,2.105553e0,2.619279e3,1,31,47,0.005,false
QQN-Bisection-1,7,1.778104e0,1.004268e4,5,167,209,0.014,false
QQN-Bisection-1,8,1.822134e0,7.661715e3,1,31,49,0.005,false
QQN-Bisection-1,9,1.948478e0,2.522305e3,2,71,80,0.007,false
QQN-Bisection-1,10,2.288208e0,8.000911e3,8,264,366,0.023,false
QQN-Bisection-1,11,1.871011e0,4.682319e3,2,65,97,0.007,false
QQN-Bisection-1,12,1.435681e-1,3.204637e3,3,97,150,0.010,false
QQN-Bisection-1,13,3.148101e-1,1.456273e3,3,97,121,0.009,false
QQN-Bisection-1,14,2.177041e-2,5.813699e3,7,237,316,0.020,false
QQN-Bisection-1,15,1.495729e-1,1.955535e3,8,258,323,0.021,false
QQN-Bisection-1,16,2.158122e0,6.191766e3,3,82,120,0.009,false
QQN-Bisection-1,17,6.243488e-1,5.777372e3,5,128,186,0.012,false
QQN-Bisection-1,18,inf,inf,0,0,0,0.000,false
QQN-Bisection-1,19,5.093585e-1,5.694341e3,4,114,143,0.010,false
QQN-CubicQuadraticInterpolation,0,inf,inf,0,0,0,0.000,false
QQN-CubicQuadraticInterpolation,1,2.286068e0,4.341883e3,1,11,8,0.001,false
QQN-CubicQuadraticInterpolation,2,inf,inf,0,0,0,0.000,false
QQN-CubicQuadraticInterpolation,3,1.299191e0,4.883684e3,2,43,39,0.002,false
QQN-CubicQuadraticInterpolation,4,inf,inf,0,0,0,0.000,false
QQN-CubicQuadraticInterpolation,5,2.240734e0,7.046625e3,3,28,20,0.002,false
QQN-CubicQuadraticInterpolation,6,inf,inf,0,0,0,0.000,false
QQN-CubicQuadraticInterpolation,7,inf,inf,0,0,0,0.000,false
QQN-CubicQuadraticInterpolation,8,inf,inf,0,0,0,0.000,false
QQN-CubicQuadraticInterpolation,9,inf,inf,0,0,0,0.000,false
QQN-CubicQuadraticInterpolation,10,2.014072e0,3.379430e3,1,34,32,0.002,false
QQN-CubicQuadraticInterpolation,11,2.276494e0,6.809766e3,1,11,8,0.001,false
QQN-CubicQuadraticInterpolation,12,1.504338e0,7.389347e3,2,43,39,0.002,false
QQN-CubicQuadraticInterpolation,13,inf,inf,0,0,0,0.000,false
QQN-CubicQuadraticInterpolation,14,1.620921e0,6.779779e2,1,23,21,0.001,false
QQN-CubicQuadraticInterpolation,15,1.462764e0,8.595360e3,2,43,39,0.002,false
QQN-CubicQuadraticInterpolation,16,1.570524e0,7.015280e3,1,35,33,0.002,false
QQN-CubicQuadraticInterpolation,17,inf,inf,0,0,0,0.000,false
QQN-CubicQuadraticInterpolation,18,1.673721e0,6.525312e3,2,67,89,0.005,false
QQN-CubicQuadraticInterpolation,19,1.592420e0,5.353266e3,1,35,33,0.002,false
L-BFGS-Aggressive,0,1.714492e0,2.104226e3,2,23,9,0.001,false
L-BFGS-Aggressive,1,inf,inf,0,0,0,0.000,false
L-BFGS-Aggressive,2,inf,inf,0,0,0,0.000,false
L-BFGS-Aggressive,3,1.833209e0,2.759416e3,2,23,9,0.001,false
L-BFGS-Aggressive,4,inf,inf,0,0,0,0.000,false
L-BFGS-Aggressive,5,1.606461e0,1.027320e4,1,13,6,0.000,false
L-BFGS-Aggressive,6,2.227077e0,3.375966e3,3,33,12,0.001,false
L-BFGS-Aggressive,7,inf,inf,0,0,0,0.000,false
L-BFGS-Aggressive,8,inf,inf,0,0,0,0.000,false
L-BFGS-Aggressive,9,inf,inf,0,0,0,0.000,false
L-BFGS-Aggressive,10,inf,inf,0,0,0,0.000,false
L-BFGS-Aggressive,11,inf,inf,0,0,0,0.000,false
L-BFGS-Aggressive,12,inf,inf,0,0,0,0.000,false
L-BFGS-Aggressive,13,inf,inf,0,0,0,0.000,false
L-BFGS-Aggressive,14,2.753039e0,5.903749e3,3,33,12,0.001,false
L-BFGS-Aggressive,15,1.994884e0,6.673382e2,1,13,6,0.000,false
L-BFGS-Aggressive,16,1.862418e0,2.976090e3,1,13,6,0.001,false
