Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,4.477308e1,5.839796e-7,9,330,51,0.005,false
QQN-GoldenSection,1,3.681334e1,1.008951e-8,11,377,63,0.006,true
QQN-GoldenSection,2,3.681344e1,3.670019e-6,8,413,50,0.006,false
QQN-GoldenSection,3,3.382851e1,8.540576e-7,11,446,63,0.007,true
QQN-GoldenSection,4,3.681344e1,2.480092e-6,7,372,44,0.006,false
QQN-GoldenSection,5,4.974785e1,3.999574e-9,10,406,57,0.006,false
QQN-GoldenSection,6,3.880320e1,1.202988e-6,12,546,74,0.009,false
QQN-GoldenSection,7,6.069223e1,2.020086e-6,13,441,79,0.007,false
QQN-GoldenSection,8,6.367708e1,8.358160e-8,15,606,87,0.010,false
QQN-GoldenSection,9,4.875276e1,7.508535e-4,6,307,38,0.005,false
QQN-GoldenSection,10,4.477308e1,9.514432e-8,9,294,51,0.004,false
QQN-GoldenSection,11,4.676272e1,5.614336e-7,12,453,69,0.007,false
QQN-GoldenSection,12,3.482349e1,6.994753e-7,12,453,69,0.007,true
QQN-GoldenSection,13,5.770724e1,6.043284e-9,10,369,57,0.005,false
QQN-GoldenSection,14,4.278313e1,1.404794e-4,6,316,38,0.004,false
QQN-GoldenSection,15,6.467204e1,5.668094e-7,11,378,63,0.006,false
QQN-GoldenSection,16,3.084359e1,3.414111e-4,9,470,56,0.007,false
QQN-GoldenSection,17,4.178821e1,2.123182e-7,10,370,57,0.005,true
QQN-GoldenSection,18,3.482349e1,2.384669e-7,13,429,75,0.007,true
QQN-GoldenSection,19,6.467192e1,7.582077e-8,14,538,81,0.008,false
QQN-Bisection-1,0,5.770742e1,6.078584e-9,14,377,429,0.008,false
QQN-Bisection-1,1,4.477308e1,6.698860e-9,9,146,141,0.002,false
QQN-Bisection-1,2,3.681344e1,1.438861e-2,15,459,562,0.012,false
QQN-Bisection-1,3,4.676298e1,1.094867e-8,10,133,181,0.003,false
QQN-Bisection-1,4,5.173800e1,6.224433e-1,14,450,552,0.011,false
QQN-Bisection-1,5,5.173775e1,3.594613e-9,9,148,203,0.003,false
QQN-Bisection-1,6,4.974785e1,4.156685e-7,9,122,171,0.003,false
QQN-Bisection-1,7,2.984872e1,2.059917e-7,14,220,222,0.004,true
QQN-Bisection-1,8,9.054055e1,1.566972e-7,10,145,193,0.003,false
QQN-Bisection-1,9,3.979831e1,2.050103e-7,13,214,279,0.005,true
QQN-Bisection-1,10,3.880320e1,2.755750e-2,15,456,559,0.012,false
QQN-Bisection-1,11,7.263156e1,2.593186e-1,14,501,539,0.012,false
QQN-Bisection-1,12,4.377811e1,3.547711e-8,12,227,225,0.004,false
QQN-Bisection-1,13,6.168713e1,5.267638e-8,14,276,314,0.005,false
QQN-Bisection-1,14,4.377807e1,9.235547e-7,11,171,216,0.004,false
QQN-Bisection-1,15,4.477308e1,2.609229e-8,10,133,181,0.003,false
QQN-Bisection-1,16,4.477308e1,1.730875e-7,16,242,244,0.005,false
QQN-Bisection-1,17,3.979831e1,4.278979e-7,8,109,159,0.002,true
QQN-Bisection-1,18,6.666173e1,2.190808e-8,14,305,318,0.007,false
QQN-Bisection-1,19,3.780834e1,1.992016e-7,11,171,216,0.004,true
QQN-CubicQuadraticInterpolation,0,4.477301e1,3.367174e-8,11,143,183,0.004,false
QQN-CubicQuadraticInterpolation,1,6.865180e1,8.667846e-7,11,205,296,0.006,false
QQN-CubicQuadraticInterpolation,2,4.079319e1,1.088837e-7,15,260,392,0.009,true
QQN-CubicQuadraticInterpolation,3,4.974785e1,1.373935e-8,17,327,484,0.011,false
QQN-CubicQuadraticInterpolation,4,3.979831e1,2.171849e-8,12,175,242,0.005,true
QQN-CubicQuadraticInterpolation,5,1.293446e1,3.713789e-7,14,241,355,0.008,true
QQN-CubicQuadraticInterpolation,6,5.870231e1,1.279139e-8,12,165,206,0.004,false
QQN-CubicQuadraticInterpolation,7,3.482347e1,4.701808e-7,15,236,332,0.007,true
QQN-CubicQuadraticInterpolation,8,6.467200e1,1.413409e-7,15,259,380,0.009,false
QQN-CubicQuadraticInterpolation,9,6.268208e1,8.235799e-8,12,189,256,0.005,false
QQN-CubicQuadraticInterpolation,10,5.372742e1,6.010973e-7,9,140,186,0.004,false
QQN-CubicQuadraticInterpolation,11,4.477308e1,3.238773e-7,8,109,128,0.002,false
QQN-CubicQuadraticInterpolation,12,5.870231e1,7.512322e-8,13,222,310,0.007,false
QQN-CubicQuadraticInterpolation,13,5.969719e1,6.879256e-8,11,156,202,0.004,false
QQN-CubicQuadraticInterpolation,14,8.158581e1,8.725191e-7,14,241,356,0.008,false
QQN-CubicQuadraticInterpolation,15,4.676298e1,4.316308e-8,9,103,122,0.003,false
QQN-CubicQuadraticInterpolation,16,3.979831e1,6.453326e-8,13,221,312,0.007,true
QQN-CubicQuadraticInterpolation,17,8.059092e1,1.576390e-8,14,230,318,0.007,false
QQN-CubicQuadraticInterpolation,18,4.974785e1,1.877484e-6,14,283,425,0.009,false
QQN-CubicQuadraticInterpolation,19,4.974785e1,1.363567e-9,10,149,192,0.004,false
L-BFGS-Aggressive,0,1.618168e2,1.095544e2,76,772,233,0.006,false
L-BFGS-Aggressive,1,1.352985e2,1.171863e2,76,772,233,0.006,false
L-BFGS-Aggressive,2,1.526355e2,1.381305e2,76,772,233,0.006,false
L-BFGS-Aggressive,3,1.653478e2,1.624370e2,76,772,233,0.006,false
L-BFGS-Aggressive,4,1.604182e2,1.430933e2,76,772,233,0.006,false
L-BFGS-Aggressive,5,1.796433e2,1.395057e2,76,772,233,0.006,false
L-BFGS-Aggressive,6,1.856257e2,1.489553e2,76,772,233,0.006,false
L-BFGS-Aggressive,7,1.683254e2,1.265354e2,76,772,233,0.006,false
L-BFGS-Aggressive,8,1.556575e2,1.294466e2,76,772,233,0.006,false
L-BFGS-Aggressive,9,1.824215e2,1.427944e2,76,772,233,0.006,false
L-BFGS-Aggressive,10,1.655305e2,1.514348e2,76,772,233,0.007,false
L-BFGS-Aggressive,11,1.844546e2,1.374113e2,76,772,233,0.006,false
L-BFGS-Aggressive,12,1.508846e2,1.392499e2,76,772,233,0.006,false
L-BFGS-Aggressive,13,1.587497e2,1.617508e2,76,772,233,0.006,false
L-BFGS-Aggressive,14,1.751718e2,1.130679e2,76,772,233,0.006,false
L-BFGS-Aggressive,15,1.492100e2,1.488769e2,76,772,233,0.006,false
L-BFGS-Aggressive,16,1.440136e2,1.117516e2,76,772,233,0.006,false
L-BFGS-Aggressive,17,1.557574e2,1.435650e2,76,772,233,0.006,false
L-BFGS-Aggressive,18,1.538275e2,1.176026e2,76,772,233,0.006,false
L-BFGS-Aggressive,19,1.448751e2,1.250227e2,76,772,233,0.006,false
