Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,8.216529e0,3.530808e0,18,923,115,0.016,false
QQN-GoldenSection,1,7.725781e0,3.748836e0,18,887,115,0.015,false
QQN-GoldenSection,2,8.359468e0,2.696859e0,18,924,115,0.015,false
QQN-GoldenSection,3,9.601608e0,3.173565e-1,19,918,121,0.016,false
QQN-GoldenSection,4,8.075467e0,3.883451e0,18,903,115,0.015,false
QQN-GoldenSection,5,8.716410e0,4.034091e0,19,928,121,0.016,false
QQN-GoldenSection,6,9.266289e0,3.241246e0,18,888,115,0.015,false
QQN-GoldenSection,7,8.376431e0,4.418557e0,18,915,115,0.015,false
QQN-GoldenSection,8,8.361961e0,4.302547e0,18,914,115,0.015,false
QQN-GoldenSection,9,8.415780e0,3.354703e0,18,913,115,0.015,false
QQN-GoldenSection,10,2.258518e0,1.715509e1,20,926,127,0.016,false
QQN-GoldenSection,11,8.463634e0,4.301105e0,18,915,115,0.015,false
QQN-GoldenSection,12,9.034840e0,2.258168e0,17,908,109,0.015,false
QQN-GoldenSection,13,9.597944e0,2.614185e-1,18,918,115,0.015,false
QQN-GoldenSection,14,8.940867e0,3.228430e0,18,937,115,0.016,false
QQN-GoldenSection,15,8.152643e0,3.971365e0,18,889,115,0.015,false
QQN-GoldenSection,16,8.106065e0,3.450658e0,19,931,121,0.016,false
QQN-GoldenSection,17,3.712655e0,1.013690e1,19,885,121,0.015,false
QQN-GoldenSection,18,8.762995e0,2.427856e0,19,914,121,0.016,false
QQN-GoldenSection,19,8.225446e0,6.519499e0,18,935,115,0.016,false
QQN-Bisection-1,0,9.029090e0,2.143926e0,18,473,596,0.012,false
QQN-Bisection-1,1,7.844177e0,5.421563e0,17,443,571,0.012,false
QQN-Bisection-1,2,2.876056e0,1.196274e1,30,471,536,0.013,false
QQN-Bisection-1,3,6.916787e0,4.490171e0,21,488,582,0.013,false
QQN-Bisection-1,4,9.604661e0,1.341850e-1,22,460,557,0.012,false
QQN-Bisection-1,5,5.522945e0,4.173226e0,23,470,604,0.013,false
QQN-Bisection-1,6,4.070183e0,3.302544e0,23,481,565,0.013,false
QQN-Bisection-1,7,4.979690e0,3.782759e0,24,502,575,0.013,false
QQN-Bisection-1,8,5.652062e0,6.209601e0,21,459,549,0.012,false
QQN-Bisection-1,9,6.172526e0,3.532991e0,21,448,580,0.012,false
QQN-Bisection-1,10,5.388353e0,6.440932e0,23,441,569,0.012,false
QQN-Bisection-1,11,5.847849e0,3.930858e0,21,459,549,0.012,false
QQN-Bisection-1,12,5.004527e0,2.545797e0,22,479,588,0.013,false
QQN-Bisection-1,13,9.030930e0,3.093350e0,20,496,583,0.013,false
QQN-Bisection-1,14,6.202193e0,4.688109e0,19,456,558,0.012,false
QQN-Bisection-1,15,4.813465e0,4.586636e0,23,470,600,0.013,false
QQN-Bisection-1,16,7.692617e0,1.577675e1,19,455,577,0.012,false
QQN-Bisection-1,17,9.603344e0,1.819217e-1,19,446,560,0.012,false
QQN-Bisection-1,18,3.657111e-1,6.561314e0,36,489,528,0.013,false
QQN-Bisection-1,19,3.767284e0,1.678625e1,25,454,552,0.012,false
QQN-CubicQuadraticInterpolation,0,8.755553e0,4.459589e0,12,398,664,0.015,false
QQN-CubicQuadraticInterpolation,1,8.952926e0,3.474922e0,12,397,662,0.015,false
QQN-CubicQuadraticInterpolation,2,9.057769e0,2.506849e0,12,397,662,0.015,false
QQN-CubicQuadraticInterpolation,3,7.442204e0,2.680666e1,13,382,624,0.014,false
QQN-CubicQuadraticInterpolation,4,9.097781e0,3.993095e0,13,381,622,0.014,false
QQN-CubicQuadraticInterpolation,5,9.059132e0,2.492999e0,12,397,662,0.015,false
QQN-CubicQuadraticInterpolation,6,8.552644e0,2.635810e0,13,409,678,0.015,false
QQN-CubicQuadraticInterpolation,7,8.427356e0,7.103116e0,12,397,662,0.015,false
QQN-CubicQuadraticInterpolation,8,8.834606e0,6.664508e0,13,405,670,0.015,false
QQN-CubicQuadraticInterpolation,9,8.676643e0,4.503062e0,12,397,662,0.014,false
QQN-CubicQuadraticInterpolation,10,8.640455e0,3.705972e0,12,397,662,0.015,false
QQN-CubicQuadraticInterpolation,11,7.478611e0,3.964000e0,13,405,670,0.015,false
QQN-CubicQuadraticInterpolation,12,9.199628e0,8.840382e0,13,405,670,0.015,false
QQN-CubicQuadraticInterpolation,13,8.403324e0,4.346758e0,14,389,630,0.014,false
QQN-CubicQuadraticInterpolation,14,8.768163e0,6.010943e0,13,381,622,0.014,false
QQN-CubicQuadraticInterpolation,15,8.774900e0,4.398009e0,12,397,662,0.015,false
QQN-CubicQuadraticInterpolation,16,8.406844e0,2.807048e0,12,397,662,0.015,false
QQN-CubicQuadraticInterpolation,17,8.507636e0,5.121791e0,12,397,662,0.015,false
QQN-CubicQuadraticInterpolation,18,2.447495e1,6.141675e1,11,386,648,0.014,false
QQN-CubicQuadraticInterpolation,19,8.398839e0,5.129561e0,13,406,672,0.015,false
L-BFGS-Aggressive,0,2.110150e3,2.101277e3,76,772,233,0.007,false
L-BFGS-Aggressive,1,2.489527e3,2.586770e3,76,772,233,0.007,false
L-BFGS-Aggressive,2,2.099340e3,2.087039e3,76,772,233,0.007,false
L-BFGS-Aggressive,3,2.012893e3,2.152209e3,76,772,233,0.007,false
L-BFGS-Aggressive,4,2.252332e3,2.294604e3,76,772,233,0.007,false
L-BFGS-Aggressive,5,1.854823e3,1.889614e3,76,772,233,0.007,false
L-BFGS-Aggressive,6,2.247031e3,2.235226e3,76,772,233,0.007,false
L-BFGS-Aggressive,7,2.638188e3,2.512522e3,76,772,233,0.007,false
L-BFGS-Aggressive,8,2.100665e3,2.102581e3,76,772,233,0.007,false
L-BFGS-Aggressive,9,1.946876e3,1.980660e3,76,772,233,0.007,false
L-BFGS-Aggressive,10,2.281021e3,2.300737e3,76,772,233,0.007,false
L-BFGS-Aggressive,11,2.464764e3,2.431780e3,76,772,233,0.007,false
L-BFGS-Aggressive,12,2.193930e3,2.207764e3,76,772,233,0.007,false
L-BFGS-Aggressive,13,2.272743e3,2.257622e3,76,772,233,0.007,false
L-BFGS-Aggressive,14,2.277170e3,2.265647e3,76,772,233,0.007,false
L-BFGS-Aggressive,15,2.249474e3,2.196201e3,76,772,233,0.007,false
L-BFGS-Aggressive,16,2.403381e3,2.362460e3,76,772,233,0.007,false
L-BFGS-Aggressive,17,2.063823e3,2.185587e3,76,772,233,0.007,false
L-BFGS-Aggressive,18,2.076550e3,2.157536e3,76,772,233,0.007,false
L-BFGS-Aggressive,19,1.680985e3,1.807766e3,76,772,233,0.007,false
Adam-Fast,0,3.713050e-1,2.884765e1,118,239,238,0.005,true
Adam-Fast,1,3.487595e1,1.214803e2,19,41,40,0.001,false
Adam-Fast,2,2.835850e1,8.286251e1,20,43,42,0.001,false
Adam-Fast,3,3.045242e-1,1.875093e1,112,227,226,0.005,true
Adam-Fast,4,3.261455e1,9.006112e1,19,41,40,0.001,false
Adam-Fast,5,3.508994e1,1.010654e2,18,39,38,0.001,false
Adam-Fast,6,1.608992e-1,1.865332e1,180,363,362,0.008,true
Adam-Fast,7,1.114654e1,3.517471e1,35,73,72,0.002,true
Adam-Fast,8,3.003216e1,8.435269e1,22,47,46,0.001,false
Adam-Fast,9,1.888344e-1,2.062016e1,203,409,408,0.009,true
Adam-Fast,10,1.121344e1,4.055656e1,36,75,74,0.002,true
Adam-Fast,11,1.190316e1,3.728795e1,34,71,70,0.001,true
Adam-Fast,12,2.795678e-1,2.353778e1,148,299,298,0.007,true
Adam-Fast,13,3.750565e1,1.231728e2,19,41,40,0.001,false
Adam-Fast,14,3.145300e1,1.048539e2,19,41,40,0.001,true
Adam-Fast,15,3.198400e1,9.310248e1,19,41,40,0.001,true
Adam-Fast,16,3.564143e1,1.262621e2,19,41,40,0.001,false
Adam-Fast,17,3.060173e-1,1.996724e1,134,271,270,0.006,true
Adam-Fast,18,3.978763e1,1.245364e2,17,37,36,0.001,true
Adam-Fast,19,2.813033e1,9.574329e1,19,41,40,0.001,false
GD,0,1.088670e1,3.405093e1,45,48,92,0.001,true
GD,1,1.004477e1,1.990217e1,41,44,84,0.001,true
GD,2,9.832397e0,1.058154e1,44,47,90,0.001,true
GD,3,1.046453e1,2.687297e1,44,47,90,0.001,true
GD,4,1.050268e1,2.701722e1,43,46,88,0.001,true
GD,5,1.006857e1,2.026159e1,46,49,94,0.001,true
GD,6,1.052994e1,2.822036e1,50,53,102,0.001,true
GD,7,9.956039e0,1.773989e1,41,44,84,0.001,true
GD,8,1.028855e1,2.470810e1,42,45,86,0.001,true
GD,9,1.001988e1,1.911405e1,40,43,82,0.001,true
GD,10,9.899246e0,1.555791e1,43,46,88,0.001,true
GD,11,9.624012e0,3.641129e0,42,45,86,0.001,true
GD,12,9.865568e0,1.539130e1,42,45,86,0.001,true
GD,13,9.753999e0,8.368700e0,43,46,88,0.001,true
GD,14,9.850227e0,1.497102e1,43,46,88,0.001,true
GD,15,1.015994e1,2.179494e1,42,45,86,0.001,true
GD,16,1.009158e1,2.029631e1,45,48,92,0.001,true
GD,17,9.769226e0,1.088167e1,45,48,92,0.001,true
GD,18,1.016974e1,2.241682e1,43,46,88,0.001,true
GD,19,9.644460e0,5.592500e0,46,49,94,0.001,true
QQN-GoldenSection,0,8.335253e0,3.271384e0,19,929,121,0.016,false
QQN-GoldenSection,1,8.361442e0,3.509769e0,18,888,115,0.015,false
QQN-GoldenSection,2,9.188925e0,2.099773e0,18,894,115,0.015,false
QQN-GoldenSection,3,8.123255e0,5.387205e0,19,905,121,0.015,false
QQN-GoldenSection,4,8.542579e0,2.347331e0,19,894,121,0.015,false
QQN-GoldenSection,5,9.110150e0,2.082101e0,18,891,115,0.015,false
QQN-GoldenSection,6,8.168861e0,2.548730e0,18,891,115,0.015,false
QQN-GoldenSection,7,8.407343e0,2.663722e0,19,934,121,0.016,false
QQN-GoldenSection,8,8.346246e0,2.680650e0,19,934,121,0.016,false
QQN-GoldenSection,9,8.321638e0,2.701132e0,19,936,121,0.016,false
QQN-GoldenSection,10,8.018926e0,3.177010e0,19,935,121,0.016,false
QQN-GoldenSection,11,9.334982e0,1.598179e0,19,917,121,0.016,false
QQN-GoldenSection,12,7.999968e0,3.062872e0,19,914,121,0.016,false
QQN-GoldenSection,13,9.154825e0,2.998789e0,19,927,121,0.016,false
QQN-GoldenSection,14,8.714268e0,4.211843e0,19,925,121,0.016,false
QQN-GoldenSection,15,8.239652e0,3.149138e0,19,919,121,0.016,false
QQN-GoldenSection,16,8.135539e0,2.675254e0,19,911,121,0.016,false
QQN-GoldenSection,17,8.252677e0,2.484984e0,19,911,121,0.015,false
QQN-GoldenSection,18,8.050686e0,3.460714e0,19,929,121,0.016,false
QQN-GoldenSection,19,8.110800e0,2.613069e0,18,888,115,0.015,false
QQN-Bisection-1,0,4.047507e0,1.013088e1,22,467,536,0.012,false
QQN-Bisection-1,1,2.006403e0,1.004910e1,31,488,558,0.012,false
QQN-Bisection-1,2,7.646371e0,7.521140e0,20,493,568,0.012,false
QQN-Bisection-1,3,3.483569e0,1.478691e1,25,471,539,0.012,false
QQN-Bisection-1,4,2.384238e0,3.781624e0,30,488,519,0.012,false
QQN-Bisection-1,5,3.090374e0,1.092457e1,27,483,553,0.012,false
QQN-Bisection-1,6,5.239466e-1,9.802177e0,37,487,527,0.013,false
QQN-Bisection-1,7,8.178207e0,4.248662e0,18,461,546,0.011,false
QQN-Bisection-1,8,5.281672e0,6.995297e0,24,489,562,0.012,false
