Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,6.861563e-1,1.570512e-2,19,896,121,0.293,false
QQN-GoldenSection,1,6.861443e-1,1.560385e-2,15,755,92,0.246,false
QQN-GoldenSection,2,6.861444e-1,1.654523e-2,8,354,50,0.119,false
QQN-GoldenSection,3,6.861532e-1,1.498445e-2,18,928,115,0.300,false
QQN-GoldenSection,4,6.861369e-1,1.331684e-2,11,493,68,0.167,false
QQN-GoldenSection,5,6.861535e-1,1.618424e-2,13,554,79,0.188,false
QQN-GoldenSection,6,6.861516e-1,1.606507e-2,15,636,91,0.215,false
QQN-GoldenSection,7,6.861581e-1,1.735288e-2,19,903,121,0.306,false
QQN-GoldenSection,8,6.861324e-1,1.297751e-2,14,608,86,0.213,false
QQN-GoldenSection,9,6.861521e-1,1.609982e-2,14,594,85,0.200,false
QQN-GoldenSection,10,6.861531e-1,1.549637e-2,14,654,85,0.221,false
QQN-GoldenSection,11,6.861429e-1,1.645804e-2,15,714,92,0.244,false
QQN-GoldenSection,12,6.861668e-1,1.784870e-2,20,922,127,0.316,false
QQN-GoldenSection,13,6.861539e-1,1.453982e-2,16,804,97,0.268,false
QQN-GoldenSection,14,6.861532e-1,1.550137e-2,17,894,109,0.295,false
QQN-GoldenSection,15,6.861435e-1,1.555363e-2,10,471,62,0.164,false
QQN-GoldenSection,16,6.861490e-1,1.419881e-2,15,654,91,0.222,false
QQN-GoldenSection,17,6.861418e-1,1.544655e-2,9,398,56,0.137,false
QQN-GoldenSection,18,6.861617e-1,1.506515e-2,17,936,109,0.312,false
QQN-GoldenSection,19,6.861498e-1,1.687152e-2,12,529,74,0.179,false
QQN-Bisection-1,0,6.861366e-1,1.439626e-2,18,474,594,0.351,false
QQN-Bisection-1,1,6.861445e-1,1.655447e-2,16,460,580,0.345,false
QQN-Bisection-1,2,6.861377e-1,1.517424e-2,20,467,615,0.372,false
QQN-Bisection-1,3,6.861404e-1,1.410169e-2,16,460,584,0.349,false
QQN-Bisection-1,4,6.861357e-1,1.322770e-2,17,463,619,0.364,false
QQN-Bisection-1,5,6.861513e-1,1.435685e-2,14,458,550,0.336,false
QQN-Bisection-1,6,6.861402e-1,1.534052e-2,17,473,594,0.363,false
QQN-Bisection-1,7,6.861320e-1,1.577973e-2,19,467,578,0.421,false
QQN-Bisection-1,8,6.861322e-1,2.069422e-2,21,449,568,0.371,false
QQN-Bisection-1,9,6.861376e-1,1.336762e-2,16,450,606,0.400,false
QQN-Bisection-1,10,6.861361e-1,1.603804e-2,20,458,554,0.347,false
QQN-Bisection-1,11,6.861353e-1,1.373695e-2,15,449,568,0.341,false
QQN-Bisection-1,12,6.861333e-1,1.416290e-2,21,457,570,0.344,false
QQN-Bisection-1,13,6.861459e-1,1.502871e-2,16,482,576,0.352,false
QQN-Bisection-1,14,6.861385e-1,1.343993e-2,17,464,587,0.360,false
QQN-Bisection-1,15,6.861471e-1,1.578328e-2,18,474,598,0.365,false
QQN-Bisection-1,16,6.861355e-1,1.599936e-2,19,448,536,0.355,false
QQN-Bisection-1,17,6.861370e-1,1.332567e-2,16,510,520,0.335,false
QQN-Bisection-1,18,6.861446e-1,1.655536e-2,16,500,518,0.339,false
QQN-Bisection-1,19,6.861441e-1,1.652850e-2,18,484,600,0.371,false
QQN-CubicQuadraticInterpolation,0,6.861430e-1,1.483216e-2,12,394,656,0.367,false
QQN-CubicQuadraticInterpolation,1,6.861481e-1,1.584902e-2,12,394,656,0.369,false
QQN-CubicQuadraticInterpolation,2,6.861440e-1,1.652390e-2,12,394,656,0.360,false
QQN-CubicQuadraticInterpolation,3,6.861530e-1,1.705612e-2,12,394,656,0.362,false
QQN-CubicQuadraticInterpolation,4,6.861530e-1,1.705612e-2,12,394,656,0.369,false
QQN-CubicQuadraticInterpolation,5,6.861396e-1,1.459920e-2,12,394,656,0.360,false
QQN-CubicQuadraticInterpolation,6,6.861467e-1,1.403170e-2,12,394,656,0.361,false
QQN-CubicQuadraticInterpolation,7,6.861530e-1,1.705612e-2,12,394,656,0.361,false
QQN-CubicQuadraticInterpolation,8,6.861424e-1,1.642756e-2,12,394,656,0.361,false
QQN-CubicQuadraticInterpolation,9,6.861530e-1,1.705612e-2,12,394,656,0.362,false
QQN-CubicQuadraticInterpolation,10,6.861423e-1,1.478799e-2,12,394,656,0.361,false
QQN-CubicQuadraticInterpolation,11,6.861530e-1,1.705612e-2,12,394,656,0.362,false
QQN-CubicQuadraticInterpolation,12,6.861530e-1,1.705612e-2,12,394,656,0.380,false
