Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,1.776740e3,3.418500e-8,5,186,27,0.002,false
QQN-GoldenSection,1,1.776740e3,1.328082e-8,5,152,27,0.002,false
QQN-GoldenSection,2,1.776740e3,1.619848e-8,5,152,27,0.002,false
QQN-GoldenSection,3,1.776740e3,2.251598e-8,5,152,27,0.002,false
QQN-GoldenSection,4,1.776740e3,6.419904e-8,5,152,27,0.002,false
QQN-GoldenSection,5,1.776740e3,3.216818e-8,5,152,27,0.002,false
QQN-GoldenSection,6,1.776740e3,3.399664e-8,5,152,27,0.002,false
QQN-GoldenSection,7,1.776740e3,7.223110e-9,5,152,27,0.002,false
QQN-GoldenSection,8,1.776740e3,3.778903e-9,5,152,27,0.002,false
QQN-GoldenSection,9,1.776740e3,1.838169e-8,5,152,27,0.002,false
QQN-GoldenSection,10,1.776740e3,6.100619e-9,5,186,27,0.002,false
QQN-GoldenSection,11,1.776740e3,4.823883e-8,5,152,27,0.002,false
QQN-GoldenSection,12,1.776740e3,7.384767e-8,6,160,33,0.002,false
QQN-GoldenSection,13,1.776740e3,6.254259e-8,5,152,27,0.002,false
QQN-GoldenSection,14,1.776740e3,3.607717e-8,5,186,27,0.002,false
QQN-GoldenSection,15,1.776740e3,4.577762e-8,5,152,27,0.002,false
QQN-GoldenSection,16,1.776740e3,1.072439e-8,5,152,27,0.002,false
QQN-GoldenSection,17,1.776740e3,3.156181e-8,5,152,27,0.002,false
QQN-GoldenSection,18,1.776740e3,1.610022e-8,5,152,27,0.002,false
QQN-GoldenSection,19,1.776740e3,1.264311e-8,5,152,27,0.002,false
QQN-Bisection-1,0,1.776740e3,1.007795e-7,5,55,100,0.001,false
QQN-Bisection-1,1,1.776740e3,1.047423e-8,5,55,100,0.001,false
QQN-Bisection-1,2,1.776740e3,3.644095e-8,5,55,100,0.001,false
QQN-Bisection-1,3,1.776740e3,3.597844e-8,5,55,100,0.001,false
QQN-Bisection-1,4,1.776740e3,5.245213e-8,5,55,100,0.001,false
QQN-Bisection-1,5,1.776740e3,6.018137e-9,5,55,100,0.001,false
QQN-Bisection-1,6,1.776740e3,4.390723e-8,5,55,100,0.001,false
QQN-Bisection-1,7,1.776740e3,2.085574e-8,5,55,100,0.001,false
QQN-Bisection-1,8,1.776740e3,3.800595e-8,5,55,100,0.001,false
QQN-Bisection-1,9,1.776740e3,7.431257e-9,5,55,100,0.001,false
QQN-Bisection-1,10,1.776740e3,2.585588e-8,5,55,100,0.001,false
QQN-Bisection-1,11,1.776740e3,3.890661e-8,5,55,100,0.001,false
QQN-Bisection-1,12,1.776740e3,1.234258e-8,5,55,100,0.001,false
QQN-Bisection-1,13,1.776740e3,7.575499e-8,5,55,100,0.001,false
QQN-Bisection-1,14,1.776740e3,5.936908e-8,5,55,100,0.001,false
QQN-Bisection-1,15,1.776740e3,4.141544e-8,5,55,100,0.001,false
QQN-Bisection-1,16,1.776740e3,2.267137e-8,5,55,100,0.001,false
QQN-Bisection-1,17,1.776740e3,7.069219e-8,5,55,100,0.001,false
QQN-Bisection-1,18,1.776740e3,5.647346e-8,5,55,100,0.001,false
QQN-Bisection-1,19,1.776740e3,2.222021e-8,5,55,100,0.001,false
QQN-CubicQuadraticInterpolation,0,2.210933e3,1.554002e0,12,398,684,0.015,false
QQN-CubicQuadraticInterpolation,1,2.211022e3,1.538360e0,12,398,684,0.014,false
QQN-CubicQuadraticInterpolation,2,2.211197e3,1.509302e0,12,398,684,0.014,false
QQN-CubicQuadraticInterpolation,3,5.921917e2,5.361611e-9,7,101,120,0.002,false
QQN-CubicQuadraticInterpolation,4,2.210931e3,1.555806e0,12,398,684,0.014,false
QQN-CubicQuadraticInterpolation,5,2.211497e3,1.454281e0,12,398,684,0.014,false
QQN-CubicQuadraticInterpolation,6,5.921917e2,7.979830e-9,7,101,120,0.002,false
QQN-CubicQuadraticInterpolation,7,5.921917e2,5.595515e-9,7,101,120,0.002,false
QQN-CubicQuadraticInterpolation,8,2.211333e3,1.485246e0,12,398,684,0.015,false
QQN-CubicQuadraticInterpolation,9,5.921917e2,3.608155e-9,7,101,120,0.002,false
QQN-CubicQuadraticInterpolation,10,5.921917e2,6.402416e-9,8,109,126,0.002,false
QQN-CubicQuadraticInterpolation,11,5.921917e2,8.510987e-9,8,109,126,0.002,false
QQN-CubicQuadraticInterpolation,12,5.921917e2,6.474107e-9,7,101,120,0.002,false
QQN-CubicQuadraticInterpolation,13,2.211332e3,1.485491e0,12,398,684,0.015,false
QQN-CubicQuadraticInterpolation,14,5.921917e2,3.744695e-9,7,101,120,0.002,false
QQN-CubicQuadraticInterpolation,15,5.921917e2,7.297277e-9,7,101,120,0.002,false
QQN-CubicQuadraticInterpolation,16,5.921917e2,6.802215e-9,7,101,120,0.002,false
QQN-CubicQuadraticInterpolation,17,5.921917e2,8.129925e-9,7,101,120,0.002,false
QQN-CubicQuadraticInterpolation,18,2.211248e3,1.499346e0,12,398,684,0.014,false
QQN-CubicQuadraticInterpolation,19,2.211318e3,1.488459e0,12,398,684,0.014,false
L-BFGS-Aggressive,0,1.776740e3,5.668929e-4,52,296,159,0.006,false
L-BFGS-Aggressive,1,1.776740e3,2.438805e-5,51,286,155,0.006,false
L-BFGS-Aggressive,2,1.776740e3,6.985846e-3,54,338,164,0.006,false
L-BFGS-Aggressive,3,1.776740e3,1.751448e-2,48,301,146,0.006,false
L-BFGS-Aggressive,4,1.776740e3,3.934034e-4,48,275,147,0.005,false
L-BFGS-Aggressive,5,1.776740e3,3.484916e-4,51,294,155,0.006,false
L-BFGS-Aggressive,6,1.776743e3,3.989794e-2,46,296,140,0.005,false
L-BFGS-Aggressive,7,1.776740e3,4.028283e-4,52,299,158,0.006,false
L-BFGS-Aggressive,8,1.776740e3,1.079666e-4,53,304,161,0.006,false
L-BFGS-Aggressive,9,1.776740e3,2.645915e-3,52,324,158,0.006,false
L-BFGS-Aggressive,10,1.480534e3,1.166453e-3,74,438,223,0.008,false
L-BFGS-Aggressive,11,1.776740e3,1.993667e-4,51,290,155,0.006,false
L-BFGS-Aggressive,12,1.776740e3,8.701255e-4,50,314,152,0.006,false
L-BFGS-Aggressive,13,1.776740e3,6.950289e-5,50,293,152,0.006,false
L-BFGS-Aggressive,14,1.776740e3,1.729898e-3,53,328,161,0.006,false
L-BFGS-Aggressive,15,1.776740e3,2.664260e-3,50,312,152,0.006,false
L-BFGS-Aggressive,16,1.776740e3,5.069739e-5,51,296,155,0.006,false
L-BFGS-Aggressive,17,1.776740e3,8.872669e-6,58,332,176,0.006,false
L-BFGS-Aggressive,18,1.776740e3,1.379490e-4,53,306,161,0.006,false
L-BFGS-Aggressive,19,1.776740e3,1.298422e-5,52,299,158,0.006,false
Adam-Fast,0,1.855459e3,6.231035e0,249,502,502,0.010,false
Adam-Fast,1,1.855552e3,6.234372e0,249,502,502,0.010,false
Adam-Fast,2,1.854785e3,6.206824e0,249,502,502,0.010,false
Adam-Fast,3,1.855212e3,6.222100e0,249,502,502,0.010,false
Adam-Fast,4,1.855455e3,6.230830e0,249,502,502,0.010,false
Adam-Fast,5,1.855332e3,6.226451e0,249,502,502,0.010,false
Adam-Fast,6,1.855267e3,6.224127e0,249,502,502,0.010,false
Adam-Fast,7,1.856253e3,6.259394e0,249,502,502,0.010,false
Adam-Fast,8,1.854959e3,6.213087e0,249,502,502,0.010,false
Adam-Fast,9,1.855565e3,6.234788e0,249,502,502,0.010,false
Adam-Fast,10,1.855534e3,6.233741e0,249,502,502,0.010,false
Adam-Fast,11,1.856471e3,6.267182e0,249,502,502,0.010,false
Adam-Fast,12,1.854175e3,6.184789e0,249,502,502,0.010,false
