Optimizer,Run,FinalValue,FinalGradientNorm,Iterations,FunctionEvals,GradientEvals,Time,Converged
QQN-GoldenSection,0,2.066877e-14,2.756130e-7,7,267,39,0.004,true
QQN-GoldenSection,1,7.080659e-16,5.215080e-8,7,267,39,0.004,true
QQN-GoldenSection,2,3.627605e-16,3.747733e-8,7,267,39,0.004,true
QQN-GoldenSection,3,9.571444e-14,6.087731e-7,6,225,33,0.003,true
QQN-GoldenSection,4,3.885140e-14,3.915479e-7,7,267,39,0.004,true
QQN-GoldenSection,5,5.070182e-14,4.384487e-7,7,267,39,0.004,true
QQN-GoldenSection,6,4.798194e-14,4.312569e-7,7,267,39,0.004,true
QQN-GoldenSection,7,5.057432e-14,4.631199e-7,6,225,33,0.003,true
QQN-GoldenSection,8,8.512868e-15,1.827199e-7,6,225,33,0.003,true
QQN-GoldenSection,9,2.985107e-16,3.401737e-8,6,225,33,0.003,true
QQN-GoldenSection,10,7.690296e-14,5.362734e-7,6,225,33,0.003,true
QQN-GoldenSection,11,6.346792e-15,1.572694e-7,7,267,39,0.003,true
QQN-GoldenSection,12,3.769981e-15,1.220016e-7,7,267,39,0.004,true
QQN-GoldenSection,13,4.684375e-15,1.356844e-7,7,267,39,0.004,true
QQN-GoldenSection,14,6.365732e-14,4.992297e-7,7,267,39,0.004,true
QQN-GoldenSection,15,3.380761e-14,3.586805e-7,7,267,39,0.004,true
QQN-GoldenSection,16,6.923244e-15,1.609324e-7,7,267,39,0.004,true
QQN-GoldenSection,17,1.572722e-14,2.507591e-7,7,267,39,0.004,true
QQN-GoldenSection,18,5.615130e-14,4.700711e-7,7,267,39,0.004,true
QQN-GoldenSection,19,7.182322e-14,5.295385e-7,7,267,39,0.004,true
QQN-Bisection-1,0,6.306761e-15,1.569447e-7,7,75,118,0.002,true
QQN-Bisection-1,1,3.166160e-19,1.115750e-9,7,75,118,0.002,true
QQN-Bisection-1,2,4.994787e-14,4.425726e-7,7,75,118,0.002,true
QQN-Bisection-1,3,2.488452e-14,3.133992e-7,6,64,108,0.001,true
QQN-Bisection-1,4,2.934280e-15,1.117172e-7,7,75,118,0.002,true
QQN-Bisection-1,5,4.347734e-14,4.127784e-7,7,75,118,0.001,true
QQN-Bisection-1,6,3.322010e-14,3.563601e-7,7,75,118,0.002,true
QQN-Bisection-1,7,5.937986e-15,1.493129e-7,7,75,118,0.002,true
QQN-Bisection-1,8,1.555725e-16,2.397927e-8,7,75,118,0.002,true
QQN-Bisection-1,9,5.424379e-15,1.446133e-7,7,75,118,0.002,true
QQN-Bisection-1,10,6.821027e-16,5.226503e-8,7,75,118,0.002,true
QQN-Bisection-1,11,2.199065e-13,9.777321e-7,6,64,108,0.001,true
QQN-Bisection-1,12,1.829018e-14,2.687751e-7,7,75,118,0.002,true
QQN-Bisection-1,13,9.533025e-15,1.951059e-7,7,75,118,0.002,true
QQN-Bisection-1,14,1.034843e-13,6.461844e-7,6,64,108,0.001,true
QQN-Bisection-1,15,9.449898e-15,1.905895e-7,7,75,118,0.001,true
QQN-Bisection-1,16,7.113472e-14,5.306690e-7,7,75,118,0.001,true
QQN-Bisection-1,17,1.712059e-16,2.523869e-8,6,64,108,0.001,true
QQN-Bisection-1,18,9.249922e-14,6.308005e-7,6,64,108,0.001,true
QQN-Bisection-1,19,1.554172e-14,2.398764e-7,7,75,118,0.002,true
QQN-CubicQuadraticInterpolation,0,3.110968e-14,3.305585e-7,11,111,112,0.002,true
QQN-CubicQuadraticInterpolation,1,2.754381e-14,3.110158e-7,11,111,112,0.002,true
QQN-CubicQuadraticInterpolation,2,2.527476e-15,9.436134e-8,12,119,120,0.003,true
QQN-CubicQuadraticInterpolation,3,2.299303e-15,8.992767e-8,12,119,120,0.003,true
QQN-CubicQuadraticInterpolation,4,2.317809e-13,9.086017e-7,11,111,112,0.002,true
QQN-CubicQuadraticInterpolation,5,2.448376e-13,9.336726e-7,11,111,112,0.002,true
QQN-CubicQuadraticInterpolation,6,5.156560e-14,4.297168e-7,12,119,120,0.003,true
QQN-CubicQuadraticInterpolation,7,2.067338e-13,8.583033e-7,11,111,112,0.002,true
QQN-CubicQuadraticInterpolation,8,2.041919e-15,8.475399e-8,12,119,120,0.003,true
QQN-CubicQuadraticInterpolation,9,2.461505e-14,2.963778e-7,12,119,120,0.003,true
QQN-CubicQuadraticInterpolation,10,1.168461e-13,6.453706e-7,12,119,120,0.003,true
QQN-CubicQuadraticInterpolation,11,2.131552e-14,2.737966e-7,11,111,112,0.002,true
QQN-CubicQuadraticInterpolation,12,2.488725e-15,9.363911e-8,12,119,120,0.003,true
QQN-CubicQuadraticInterpolation,13,2.802103e-13,9.987037e-7,11,111,112,0.002,true
QQN-CubicQuadraticInterpolation,14,2.165912e-15,8.732118e-8,12,119,120,0.003,true
QQN-CubicQuadraticInterpolation,15,1.048264e-13,6.107225e-7,12,119,120,0.003,true
QQN-CubicQuadraticInterpolation,16,2.179372e-15,8.751741e-8,12,119,120,0.003,true
QQN-CubicQuadraticInterpolation,17,2.362975e-15,9.111775e-8,12,119,120,0.003,true
QQN-CubicQuadraticInterpolation,18,1.579325e-13,7.503741e-7,12,119,120,0.003,true
QQN-CubicQuadraticInterpolation,19,3.823155e-14,3.691536e-7,12,119,120,0.003,true
L-BFGS-Aggressive,0,5.328409e-4,4.785308e-2,77,771,236,0.009,false
L-BFGS-Aggressive,1,3.952734e-4,4.182632e-2,77,771,236,0.009,false
L-BFGS-Aggressive,2,4.613938e-4,4.550047e-2,77,771,236,0.008,false
L-BFGS-Aggressive,3,6.456819e-4,5.297848e-2,77,771,236,0.008,false
L-BFGS-Aggressive,4,3.975321e-4,4.157007e-2,77,771,236,0.009,false
L-BFGS-Aggressive,5,2.609525e-4,3.279238e-2,77,771,236,0.008,false
L-BFGS-Aggressive,6,8.165831e-4,5.951305e-2,77,771,236,0.009,false
L-BFGS-Aggressive,7,7.024943e-4,5.576790e-2,77,771,236,0.009,false
L-BFGS-Aggressive,8,5.562972e-4,4.980856e-2,77,771,236,0.009,false
L-BFGS-Aggressive,9,5.733836e-4,5.059161e-2,77,771,236,0.009,false
L-BFGS-Aggressive,10,5.647024e-3,1.557323e-1,77,770,236,0.009,false
L-BFGS-Aggressive,11,8.340365e-4,6.093320e-2,77,771,236,0.009,false
L-BFGS-Aggressive,12,6.062261e-4,5.214680e-2,77,771,236,0.009,false
L-BFGS-Aggressive,13,8.771051e-4,6.238803e-2,77,771,236,0.007,false
L-BFGS-Aggressive,14,9.288543e-4,6.411928e-2,77,771,236,0.007,false
L-BFGS-Aggressive,15,7.540911e-4,5.734551e-2,77,771,236,0.008,false
L-BFGS-Aggressive,16,8.512365e-4,6.029148e-2,77,771,236,0.009,false
L-BFGS-Aggressive,17,7.377878e-4,5.671167e-2,77,771,236,0.009,false
L-BFGS-Aggressive,18,1.476829e-3,7.769719e-2,77,770,236,0.009,false
L-BFGS-Aggressive,19,9.250986e-4,6.369207e-2,77,771,236,0.007,false
Adam-Fast,0,3.508292e-1,1.254238e0,17,37,36,0.001,false
Adam-Fast,1,3.612418e-1,1.271434e0,18,39,38,0.001,false
Adam-Fast,2,3.604737e-1,1.272065e0,18,39,38,0.001,false
Adam-Fast,3,3.482439e-1,1.248135e0,17,37,36,0.001,false
Adam-Fast,4,3.627192e-1,1.275304e0,17,37,36,0.001,false
Adam-Fast,5,3.615012e-1,1.273394e0,17,37,36,0.001,false
Adam-Fast,6,3.703802e-1,1.288874e0,18,39,38,0.001,false
Adam-Fast,7,3.546067e-1,1.260705e0,17,37,36,0.001,false
Adam-Fast,8,3.493931e-1,1.250595e0,17,37,36,0.001,false
Adam-Fast,9,3.401226e-1,1.233586e0,17,37,36,0.001,false
Adam-Fast,10,3.439948e-1,1.240301e0,18,39,38,0.001,false
Adam-Fast,11,3.633342e-1,1.272915e0,17,37,36,0.001,false
Adam-Fast,12,3.547352e-1,1.258865e0,18,39,38,0.001,false
Adam-Fast,13,3.554175e-1,1.260892e0,18,39,38,0.001,false
Adam-Fast,14,3.344357e-1,1.222466e0,17,37,36,0.001,false
Adam-Fast,15,3.561037e-1,1.260912e0,17,37,36,0.001,false
Adam-Fast,16,3.602924e-1,1.270622e0,17,37,36,0.001,false
Adam-Fast,17,3.521456e-1,1.251825e0,17,37,36,0.001,false
Adam-Fast,18,3.487613e-1,1.250980e0,17,37,36,0.001,false
Adam-Fast,19,3.658174e-1,1.277964e0,17,37,36,0.001,false
GD,0,2.048187e-6,2.930668e-3,332,335,668,0.009,false
GD,1,2.387129e-6,3.164833e-3,332,335,668,0.009,false
GD,2,2.704166e-6,3.353440e-3,332,335,668,0.008,false
